corpus,stratum,cluster_id,row_id,tool_calls,path_resolved_calls,mutation_calls,explore_calls,validation_attempts,recognized_successful_validations,has_mutation,prior_explore_calls,prior_path_explore_calls,any_prior_explore,eligible_transitions,same_path,same_module,cross_module,same_path_share,same_module_share,cross_module_share,observed_module_returns,return_gap_median_calls,return_gap_p90_calls,unique_target_paths,top_target_share,target_hhi,mutated_paths,mutated_path_read_before_share,mutated_path_mutated_again_share,resolved
ideatrail,default/train,flow-matching-convergence-guarantees,b4_016_2509_02337,102,80,10,92,0,0,True,50,34,True,79,27,43,9,0.34177215189873417,0.5443037974683544,0.11392405063291139,8,3.0,12.399999999999999,41,0.1875,0.0728125,4,0.0,0.75,A
ideatrail,default/train,generative-flow-convergence-theory,b4_250_2509_25519,82,48,8,74,0,0,True,46,20,True,47,12,28,7,0.2553191489361702,0.5957446808510638,0.14893617021276595,6,4.5,7.0,29,0.125,0.05295138888888889,4,0.0,0.75,A
ideatrail,default/train,generative-model-evaluation-methodologies,b3_090_2509_22799,131,74,6,125,0,0,True,76,31,True,73,10,50,13,0.136986301369863,0.684931506849315,0.1780821917808219,12,2.0,8.8,42,0.12162162162162163,0.04090577063550037,4,0.0,0.5,None
ideatrail,default/train,generative-models-information-retrieval,b4_227_2509_24291,93,48,7,86,0,0,True,52,18,True,47,14,24,9,0.2978723404255319,0.5106382978723404,0.19148936170212766,8,2.5,6.799999999999999,26,0.16666666666666666,0.07378472222222222,4,0.0,0.5,A
ideatrail,default/train,geospatial-vision-language-agents,b3_095_2509_23141,101,60,7,94,0,0,True,64,27,True,59,16,34,9,0.2711864406779661,0.576271186440678,0.15254237288135594,8,1.0,4.499999999999999,33,0.16666666666666666,0.07277777777777777,4,0.0,0.75,None
ideatrail,default/train,human-preference-alignment-generative-models,b4_895_2512_24138,84,58,13,71,0,0,True,51,25,True,57,21,27,9,0.3684210526315789,0.47368421052631576,0.15789473684210525,8,1.0,4.799999999999999,32,0.29310344827586204,0.11414982164090368,3,0.0,0.6666666666666666,A
ideatrail,default/train,human-preference-alignment-optimization,b3_113_2509_26346,106,70,9,97,0,0,True,39,16,True,69,25,31,13,0.36231884057971014,0.4492753623188406,0.18840579710144928,12,3.0,7.700000000000001,25,0.17142857142857143,0.08897959183673469,4,0.0,0.5,None
ideatrail,default/train,inference-time-compute-scaling,b2_020_2510_02263,72,49,6,66,0,0,True,35,19,True,48,16,25,7,0.3333333333333333,0.5208333333333334,0.14583333333333334,6,3.5,9.0,31,0.24489795918367346,0.0937109537692628,4,0.0,0.5,None
ideatrail,default/train,invariant-representation-learning-domain-generalization,b4_498_2510_16704,100,47,7,93,0,0,True,67,22,True,46,9,28,9,0.1956521739130435,0.6086956521739131,0.1956521739130435,8,1.5,3.5999999999999996,33,0.2127659574468085,0.07197827071072883,3,0.0,0.6666666666666666,A
ideatrail,default/train,irregular-sparse-time-series-forecasting,b4_341_2510_04910,106,57,15,91,0,0,True,66,24,True,56,20,25,11,0.35714285714285715,0.44642857142857145,0.19642857142857142,10,1.0,4.0,28,0.3157894736842105,0.12896275777162203,3,0.0,0.6666666666666666,A
