corpus,stratum,metric,statistic,eligible_units,estimate,ci95_low,ci95_high,status
openswe,openhands/qwen35_122b,same_module_share,mean,64,0.3072192985684496,0.2732164802926959,0.34272793824118397,reported
openswe,openhands/qwen35_122b,cross_module_share,mean,64,0.3040744085094914,0.2693794172449196,0.3403832125420162,reported
openswe,openhands/qwen35_122b,observed_module_returns,median,64,22.0,15.0,26.0,reported
openswe,openhands/qwen35_122b,return_gap_median_calls,median,64,2.0,2.0,3.0,reported
openswe,openhands/qwen35_122b,top_target_share,median,64,0.2568238213399504,0.22844827586206898,0.28470111448834856,reported
openswe,openhands/qwen35_122b,target_hhi,median,64,0.11635267511652791,0.09836432506887052,0.13701524068205825,reported
openswe,openhands/qwen35_122b,mutated_path_read_before_share,median,64,0.2403846153846154,0.17647058823529413,0.2899159663865546,reported
openswe,openhands/qwen35_122b,mutated_path_mutated_again_share,median,64,0.513157894736842,0.48148148148148145,0.6,reported
openswe,sweagent/minimax_m25,any_prior_explore,mean,64,1.0,1.0,1.0,reported
openswe,sweagent/minimax_m25,prior_explore_calls,median,64,9.0,8.0,10.0,reported
openswe,sweagent/minimax_m25,same_path_share,mean,64,0.425599047185879,0.39148891478748343,0.4623370155886996,reported
openswe,sweagent/minimax_m25,same_module_share,mean,64,0.2783907608028195,0.24387187699318347,0.31466642132405903,reported
openswe,sweagent/minimax_m25,cross_module_share,mean,64,0.2960101920113015,0.262144363150511,0.3310899383733351,reported
openswe,sweagent/minimax_m25,observed_module_returns,median,64,14.0,13.0,18.5,reported
openswe,sweagent/minimax_m25,return_gap_median_calls,median,63,3.0,2.0,3.0,reported
openswe,sweagent/minimax_m25,top_target_share,median,64,0.2892290869327502,0.2571428571428571,0.32666666666666666,reported
openswe,sweagent/minimax_m25,target_hhi,median,64,0.15262691378606086,0.12836274704210454,0.18248456790123457,reported
openswe,sweagent/minimax_m25,mutated_path_read_before_share,median,64,0.20714285714285713,0.14285714285714285,0.27097902097902093,reported
openswe,sweagent/minimax_m25,mutated_path_mutated_again_share,median,64,0.5555555555555556,0.5,0.6307481060606056,reported
openswe,sweagent/qwen35_122b,any_prior_explore,mean,64,1.0,1.0,1.0,reported
openswe,sweagent/qwen35_122b,prior_explore_calls,median,64,13.0,10.9875,15.5,reported
openswe,sweagent/qwen35_122b,same_path_share,mean,64,0.4284976238974904,0.40081174631614064,0.45638303871892577,reported
openswe,sweagent/qwen35_122b,same_module_share,mean,64,0.28107788723229055,0.2527230461183941,0.31032851340146167,reported
openswe,sweagent/qwen35_122b,cross_module_share,mean,64,0.29042448887021904,0.2636574790776445,0.317087600651844,reported
openswe,sweagent/qwen35_122b,observed_module_returns,median,64,46.5,40.0,58.5,reported
openswe,sweagent/qwen35_122b,return_gap_median_calls,median,64,3.0,3.0,4.0,reported
openswe,sweagent/qwen35_122b,top_target_share,median,64,0.17752525252525253,0.15185185185185185,0.20714285714285713,reported
openswe,sweagent/qwen35_122b,target_hhi,median,64,0.07038726255897168,0.06560635686725769,0.08232762240698749,reported
openswe,sweagent/qwen35_122b,mutated_path_read_before_share,median,64,0.19139194139194138,0.14862162162162162,0.2222222222222222,reported
openswe,sweagent/qwen35_122b,mutated_path_mutated_again_share,median,64,0.5,0.446875,0.5434782608695652,reported
