protocol,task,dataset,query_family,objective,metric,direction,selected_policy,selected_view,selected_ranker,best_visible_policy,best_view,best_ranker,selected_exact_best,selected_within_tolerance,default_within_tolerance,selected_target_rank,selected_delta_vs_best,selected_delta_vs_width,selected_delta_vs_fixed,selected_delta_vs_flat,outcome_class,view_changed,ranker_changed,high_regret_miss
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,True,5,0.0,0.0,1.0,0.0,near_best_transfer,True,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,fixed_session:width,fixed_session,width,False,True,True,7,0.0,0.0,1.0,1.0,near_best_transfer,True,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3103,0.4828,0.0,exact_transfer,False,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,higher,fixed_session:width,fixed_session,width,dataset_native:query_aware,dataset_native,query_aware,False,False,False,15,-0.6801,-0.0206,-0.4262,-0.0655,dataset_native_counterpoint,True,True,True
leave_task,satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,higher,raw_action_stack:width,raw_action_stack,width,operation_stack:query_aware,operation_stack,query_aware,False,False,True,9,-0.187,0.2195,0.1148,-0.034,selector_missed_good_default,True,True,True
leave_task,satraj_unsafe,satraj-os-safety,safety,budget30_operation_recall,budget30_recall,higher,fixed_session:width,fixed_session,width,dataset_native:query_aware,dataset_native,query_aware,False,False,False,12,-1.0,-0.1125,-0.865,0.0,dataset_native_counterpoint,True,True,True
leave_task,satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,fixed_session:query_aware,fixed_session,query_aware,False,False,True,6,-0.0815,0.5514,-0.0815,0.9148,selector_missed_good_default,True,True,True
leave_task,satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,2,0.0,15.0,55.0,0.0,near_best_transfer,True,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,1.0,0.9545,0.0,near_best_transfer,True,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,dataset_native:query_aware,dataset_native,query_aware,False,True,True,5,0.0,0.7159,0.0682,1.0,near_best_transfer,True,True,False
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.448,0.444,0.0,exact_transfer,False,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,True,True,6,-0.0089,0.011,-0.0002,0.0203,near_best_transfer,True,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,raw_action_stack:width,raw_action_stack,width,False,True,False,2,-0.0002,0.0025,0.0891,0.0,near_best_transfer,True,True,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:query_aware,operation_stack,query_aware,True,True,True,1,0.0,0.1075,0.032,0.4382,exact_transfer,False,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,operation_stack:query_aware,operation_stack,query_aware,False,True,True,2,0.0,0.0814,0.001,0.9993,near_best_transfer,False,True,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,9.0,325.0,0.0,exact_transfer,False,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.6554,0.992,0.0,exact_transfer,False,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,operation_stack:visible_risk,operation_stack,visible_risk,False,False,True,10,-0.1096,-0.0359,-0.0479,0.3127,selector_missed_good_default,True,True,True
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3904,0.3006,0.0,exact_transfer,False,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,True,True,8,-0.0103,-0.0091,-0.0016,0.0044,near_best_transfer,True,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,raw_action_stack:width,raw_action_stack,width,False,True,False,2,-0.0062,0.0032,0.1137,0.0,near_best_transfer,True,True,False
leave_task,agentnet_redundant_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:query_aware,operation_stack,query_aware,True,True,True,1,0.0,0.0095,0.0231,0.3533,exact_transfer,False,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,operation_stack:visible_risk,operation_stack,visible_risk,True,True,True,1,0.0,0.0937,0.0002,0.9989,exact_transfer,False,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,7.0,271.0,0.0,exact_transfer,False,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.6187,0.9886,0.0,exact_transfer,False,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,operation_stack:visible_risk,operation_stack,visible_risk,False,False,False,8,-0.0479,-0.0456,0.0411,0.3265,view_mismatch_operation_stack_best,True,True,False
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3461,0.2568,0.0,exact_transfer,False,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:query_aware,fixed_session,query_aware,False,False,True,8,-0.0368,-0.024,-0.0368,0.0072,selector_missed_good_default,True,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,higher,raw_action_stack:width,raw_action_stack,width,flat:query_aware,flat,query_aware,False,True,False,7,-0.015,0.008,0.2426,-0.015,near_best_transfer,True,True,False
leave_task,osworld_group_start,osworld-human,human-boundary,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:width,operation_stack,width,False,False,False,6,-0.127,-0.127,-0.0537,0.2971,ranker_mismatch_same_view,False,True,True
leave_task,osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,fixed_session:visible_risk,fixed_session,visible_risk,False,True,False,2,-0.0005,0.1286,0.0005,0.9955,near_best_transfer,True,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,dataset_native:visible_risk,dataset_native,visible_risk,False,True,False,3,0.0,3.0,106.0,0.0,near_best_transfer,True,True,False
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.6885,0.9795,0.0,exact_transfer,False,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:visible_risk,raw_action_stack,visible_risk,dataset_native:query_aware,dataset_native,query_aware,False,False,False,6,-0.1762,0.0984,0.1353,0.3689,dataset_native_counterpoint,True,True,True
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.2781,0.2031,0.0,exact_transfer,False,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,False,True,5,-0.0819,0.0336,-0.0683,0.1075,selector_missed_good_default,True,False,True
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,0.1356,0.4505,0.0,near_best_transfer,True,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,budget30_operation_recall,budget30_recall,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,False,True,6,-0.0536,-0.008,-0.0159,0.3452,selector_missed_good_default,True,False,True
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,lower,fixed_session:query_aware,fixed_session,query_aware,raw_action_stack:visible_risk,raw_action_stack,visible_risk,False,False,False,3,-0.0398,0.1646,0.0,0.9588,raw_action_counterpoint,True,True,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,True,1,0.0,3.0,9.0,0.0,exact_transfer,False,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,0.1176,0.7647,0.0,near_best_transfer,True,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_recall,budget30_positive_session_recall,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:visible_risk,operation_stack,visible_risk,False,False,False,6,-0.4706,0.0,0.0,0.4118,view_mismatch_operation_stack_best,True,True,True
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3448,0.3448,0.0,exact_transfer,False,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:width,fixed_session,width,False,False,False,2,-0.4834,0.1505,0.056,0.2395,fixed_session_counterpoint,True,True,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,fixed_session:width,fixed_session,width,False,False,False,6,-0.379,0.0278,0.4339,0.0,fixed_session_counterpoint,True,True,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_operation_recall,budget30_recall,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:width,fixed_session,width,False,False,False,8,-1.0,-0.3069,0.0,0.0,fixed_session_counterpoint,True,True,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,lower,fixed_session:query_aware,fixed_session,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,False,True,7,-0.2826,-0.1413,0.0,0.6529,selector_missed_good_default,True,False,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,1.0,6.0,0.0,near_best_transfer,True,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,True,5,0.0,0.0,1.0,0.0,near_best_transfer,True,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_recall,budget30_positive_session_recall,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:width,fixed_session,width,False,False,True,8,-1.0,-1.0,0.0,0.0,selector_missed_good_default,True,True,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3103,0.4828,0.0,exact_transfer,False,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,higher,fixed_session:width,fixed_session,width,dataset_native:query_aware,dataset_native,query_aware,False,False,False,15,-0.6801,-0.0206,-0.4262,-0.0655,dataset_native_counterpoint,True,True,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,higher,raw_action_stack:width,raw_action_stack,width,operation_stack:query_aware,operation_stack,query_aware,False,False,True,9,-0.187,0.2195,0.1148,-0.034,selector_missed_good_default,True,True,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,budget30_operation_recall,budget30_recall,higher,fixed_session:width,fixed_session,width,dataset_native:query_aware,dataset_native,query_aware,False,False,False,12,-1.0,-0.1125,-0.865,0.0,dataset_native_counterpoint,True,True,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,fixed_session:query_aware,fixed_session,query_aware,False,False,True,6,-0.0815,0.5514,-0.0815,0.9148,selector_missed_good_default,True,True,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,2,0.0,15.0,55.0,0.0,near_best_transfer,True,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,1.0,0.9545,0.0,near_best_transfer,True,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,dataset_native:query_aware,dataset_native,query_aware,False,True,True,5,0.0,0.7159,0.0682,1.0,near_best_transfer,True,True,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.448,0.444,0.0,exact_transfer,False,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,True,True,6,-0.0089,0.011,-0.0002,0.0203,near_best_transfer,True,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,raw_action_stack:width,raw_action_stack,width,False,True,False,2,-0.0002,0.0025,0.0891,0.0,near_best_transfer,True,True,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:query_aware,operation_stack,query_aware,True,True,True,1,0.0,0.1075,0.032,0.4382,exact_transfer,False,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,operation_stack:query_aware,operation_stack,query_aware,False,True,True,2,0.0,0.0814,0.001,0.9993,near_best_transfer,False,True,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,9.0,325.0,0.0,exact_transfer,False,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.6554,0.992,0.0,exact_transfer,False,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,operation_stack:visible_risk,operation_stack,visible_risk,False,False,True,10,-0.1096,-0.0359,-0.0479,0.3127,selector_missed_good_default,True,True,True
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3904,0.3006,0.0,exact_transfer,False,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,True,True,8,-0.0103,-0.0091,-0.0016,0.0044,near_best_transfer,True,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,raw_action_stack:width,raw_action_stack,width,False,True,False,2,-0.0062,0.0032,0.1137,0.0,near_best_transfer,True,True,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:query_aware,operation_stack,query_aware,True,True,True,1,0.0,0.0095,0.0231,0.3533,exact_transfer,False,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,operation_stack:visible_risk,operation_stack,visible_risk,True,True,True,1,0.0,0.0937,0.0002,0.9989,exact_transfer,False,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,7.0,271.0,0.0,exact_transfer,False,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.6187,0.9886,0.0,exact_transfer,False,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:width,raw_action_stack,width,operation_stack:visible_risk,operation_stack,visible_risk,False,False,False,8,-0.0479,-0.0456,0.0411,0.3265,view_mismatch_operation_stack_best,True,True,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3461,0.2568,0.0,exact_transfer,False,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:query_aware,fixed_session,query_aware,False,False,True,8,-0.0368,-0.024,-0.0368,0.0072,selector_missed_good_default,True,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,higher,raw_action_stack:width,raw_action_stack,width,flat:query_aware,flat,query_aware,False,True,False,7,-0.015,0.008,0.2426,-0.015,near_best_transfer,True,True,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:width,operation_stack,width,False,False,False,6,-0.127,-0.127,-0.0537,0.2971,ranker_mismatch_same_view,False,True,True
leave_dataset,osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,fixed_session:visible_risk,fixed_session,visible_risk,False,True,False,2,-0.0005,0.1286,0.0005,0.9955,near_best_transfer,True,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,dataset_native:visible_risk,dataset_native,visible_risk,False,True,False,3,0.0,3.0,106.0,0.0,near_best_transfer,True,True,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.6885,0.9795,0.0,exact_transfer,False,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:visible_risk,raw_action_stack,visible_risk,dataset_native:query_aware,dataset_native,query_aware,False,False,False,6,-0.1762,0.0984,0.1353,0.3689,dataset_native_counterpoint,True,True,True
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.2781,0.2031,0.0,exact_transfer,False,False,False
