project,vendor,operation,calls,share_all_calls,raw_matched_calls,duration_coverage,tool_runtime_sum_ms,tool_runtime_median_ms,tool_runtime_p95_ms,tool_runtime_p99_ms,tool_runtime_max_ms,model_gap_sum_ms,model_gap_median_ms,model_gap_p95_ms,model_gap_p99_ms,model_gap_max_ms,result_bytes,failed_calls,failure_rate,no_progress_calls
agentskill-observability-paper,all,control,21,0.000116,21,1.000000,67246,8.000000,8876.000000,42229.600000,50568,334747,4526.500000,132572.500000,252309.700000,282244,1251,0,0.000000,0
agentskill-observability-paper,all,delegate,30,0.000166,30,1.000000,2722239,72863.500000,214251.350000,295851.960000,324091,442993,13666.000000,26895.700000,60762.720000,71846,145560,4,0.133333,8
agentskill-observability-paper,all,mutate,303,0.001676,303,1.000000,237065,96.000000,3546.900000,7608.060000,11440,3610978,7496.000000,34244.600000,95371.760000,230225,59578,28,0.092409,7
agentskill-observability-paper,all,navigate,22,0.000122,22,1.000000,1356,56.500000,103.600000,115.060000,118,108813,4542.000000,19406.800000,37988.560000,42634,4902,1,0.045455,5
agentskill-observability-paper,all,other,4,0.000022,4,1.000000,900,218.000000,457.800000,461.160000,462,24084,7500.000000,11669.700000,12040.340000,12133,2370,2,0.500000,0
agentskill-observability-paper,all,read,376,0.002080,376,1.000000,113211,29.000000,180.750000,2588.000000,49476,1396390,3819.500000,11836.500000,35547.250000,134963,2614429,2,0.005319,1
agentskill-observability-paper,all,search,118,0.000653,118,1.000000,61093,82.000000,2545.150000,6162.530000,6902,626004,4282.000000,14243.350000,38814.180000,49874,82874,1,0.008475,14
agentskill-observability-paper,all,shell,8,0.000044,8,1.000000,130216,12552.000000,41165.000000,47644.200000,49264,42559,4508.500000,9786.100000,11862.020000,12381,28946,5,0.625000,0
agentskill-observability-paper,all,validate,47,0.000260,47,1.000000,188186,3860.000000,5404.100000,6041.560000,6508,241548,5484.000000,8363.800000,13806.250000,13960,10861,0,0.000000,1
agentskill-observability-paper,all,vcs,4,0.000022,4,1.000000,1591,51.500000,1250.350000,1417.270000,1459,6414,944.000000,4570.100000,4892.420000,4973,6115,0,0.000000,0
agentskill-observability-paper,all,web,58,0.000321,58,1.000000,374439,6121.000000,8855.150000,12199.890000,13695,149328,0.000000,11454.000000,27502.550000,36544,138886,10,0.172414,0
all,all,control,2176,0.012038,2176,1.000000,28818267,15.000000,55.000000,3664.750000,26347546,109472888,7076.500000,50764.300000,137743.430000,62192444,101146,3,0.001379,1
all,all,delegate,3929,0.021736,3929,0.997455,44360320,48.000000,39279.000000,216928.020000,8046206,107048744,7253.500000,35160.050000,89761.320000,21678359,8349883,17,0.004327,358
all,all,mutate,26886,0.148735,26882,0.999702,10939634,51.000000,1481.150000,9765.820000,200374,720459172,9984.000000,58764.250000,137329.550000,86242128,11864110,612,0.022763,337
all,all,navigate,3816,0.021110,3816,1.000000,1657180,77.000000,1055.000000,9830.800000,60055,30068232,2813.000000,19720.600000,61002.880000,4502699,13688777,113,0.029612,111
all,all,other,103,0.000570,100,0.970874,67745,527.500000,2055.050000,3886.460000,6803,1168679,6083.000000,25392.550000,81297.060000,379080,91110,10,0.097087,1
all,all,read,51656,0.285765,51634,0.999555,31970580,74.000000,759.000000,17283.520000,424652,543520622,3277.000000,18148.350000,56139.640000,41067451,408911324,618,0.011964,5271
all,all,search,21218,0.117380,21204,0.999293,12542611,87.000000,1366.000000,8397.960000,300319,208549779,5361.500000,28413.550000,76445.540000,6734688,159153187,1064,0.050146,2223
all,all,shell,29510,0.163252,29509,0.999627,117061315,323.000000,16960.000000,30188.000000,7618732,299797470,5481.000000,22395.800000,53140.080000,48885059,330971336,1376,0.046628,4622
all,all,validate,5754,0.031832,5754,0.999826,21725929,1283.000000,12867.400000,30192.000000,447318,58427275,4251.000000,16213.100000,34315.360000,22384621,20050754,589,0.102364,633
all,all,vcs,12664,0.070058,12664,1.000000,10656776,97.000000,1405.550000,9131.330000,2675516,103379554,0.000000,20071.400000,84373.660000,3344037,48552642,186,0.014687,517
all,all,wait,19920,0.110199,19920,0.999297,536078524,30003.000000,60015.000000,180006.950000,1787834,127855904,4002.000000,12655.000000,26760.200000,13771826,29073713,435,0.021837,4291
all,all,web,3132,0.017326,3132,0.995530,21959709,6755.500000,11689.300000,27222.460000,62396,6687323,0.000000,7256.200000,14187.480000,81087,7306183,443,0.141443,27
all,claude,control,626,0.003463,626,1.000000,28758912,10.000000,65.750000,59265.750000,26347546,6654167,4264.500000,28874.200000,138913.860000,2863766,49314,3,0.004792,1
all,claude,delegate,604,0.003341,604,0.983444,42780260,2997.500000,262715.050000,642522.550000,8046206,4402139,10398.000000,30424.000000,46258.300000,71846,1808265,15,0.024834,328
all,claude,mutate,9677,0.053534,9677,0.999793,4207075,52.000000,1786.600000,6371.600000,200374,99721299,5796.000000,35606.000000,132633.200000,1612899,2057267,429,0.044332,153
all,claude,navigate,828,0.004581,828,1.000000,133608,41.000000,216.000000,3201.680000,17740,2721613,2940.000000,10499.200000,35831.200000,67319,682801,41,0.049517,42
all,claude,other,66,0.000365,66,1.000000,18326,263.500000,625.250000,666.200000,687,792970,4588.000000,37849.900000,202373.640000,379080,15515,10,0.151515,0
all,claude,read,11322,0.062634,11322,1.000000,8744726,21.000000,718.850000,6157.160000,424652,52355075,3178.000000,11303.350000,37987.090000,7850800,71974301,325,0.028705,537
all,claude,search,5714,0.031610,5714,1.000000,5767418,48.000000,1449.850000,21956.490000,300319,32709778,3797.000000,18114.500000,49703.820000,1961052,5664549,96,0.016801,848
all,claude,shell,1954,0.010810,1954,1.000000,16378802,456.500000,6468.900000,68723.390000,7618732,12045492,4095.000000,14979.950000,36873.810000,1477738,2160120,231,0.118219,106
all,claude,validate,1026,0.005676,1026,1.000000,5001445,1689.500000,13044.500000,76990.250000,433381,8552536,3915.000000,11337.400000,29058.000000,3727150,615404,38,0.037037,71
all,claude,vcs,1341,0.007419,1341,1.000000,5038793,46.000000,1844.000000,4022.000000,2675516,6361103,3384.000000,18718.500000,70026.270000,160320,3622403,52,0.038777,167
all,claude,wait,9,0.000050,9,1.000000,8334,1259.000000,2020.200000,2179.240000,2219,59601,6604.000000,9406.800000,9649.360000,9710,3424,1,0.111111,9
all,claude,web,3120,0.017260,3120,0.995513,21939069,6760.500000,11714.500000,27361.900000,62396,6623818,0.000000,7245.550000,13954.710000,81087,7070404,443,0.141987,27
all,codex,control,1550,0.008575,1550,1.000000,59355,17.000000,54.550000,227.080000,5703,102818721,7569.500000,57700.750000,134392.850000,62192444,51832,0,0.000000,0
all,codex,delegate,3325,0.018394,3325,1.000000,1580060,42.000000,3112.600000,5637.040000,31205,102646605,6943.000000,36433.600000,93403.560000,21678359,6541618,2,0.000602,30
all,codex,mutate,17205,0.095179,17205,0.999884,6732559,49.000000,1386.900000,10040.000000,35169,620614840,13306.000000,65365.000000,138897.870000,86242128,9806843,183,0.010636,184
all,codex,navigate,2988,0.016530,2988,1.000000,1523572,92.000000,1191.050000,10050.130000,60055,27346619,0.000000,20839.650000,69583.740000,4502699,13005976,72,0.024096,69
all,codex,other,34,0.000188,34,1.000000,49419,998.500000,3689.950000,5830.820000,6803,359604,9783.000000,20538.300000,23162.350000,24385,75595,0,0.000000,1
all,codex,read,40312,0.223009,40312,0.999975,23225854,89.000000,768.000000,29948.900000,60967,491047547,3375.000000,19436.400000,62544.560000,41067451,336937023,293,0.007268,4734
all,codex,search,15490,0.085692,15490,0.999935,6775193,112.000000,1271.600000,7415.200000,30370,175736517,6455.000000,31646.000000,81634.000000,6734688,153488638,968,0.062492,1375
all,codex,shell,27555,0.152436,27555,0.999637,100682513,315.000000,17982.000000,30187.000000,776413,287751978,5582.000000,22693.200000,53894.240000,48885059,328811216,1145,0.041553,4516
all,codex,validate,4728,0.026156,4728,0.999788,16724484,1262.000000,12857.800000,30186.000000,447318,49874739,4359.000000,16824.400000,35178.840000,22384621,19435350,551,0.116540,562
all,codex,vcs,11323,0.062640,11323,1.000000,5617983,105.000000,1340.900000,9629.420000,46476,97018451,0.000000,20329.800000,84897.160000,3344037,44930239,134,0.011834,350
all,codex,wait,19911,0.110149,19911,0.999297,536070190,30003.000000,60015.200000,180007.000000,1787834,127796303,4001.000000,12661.300000,26760.380000,13771826,29070289,434,0.021797,4282
all,codex,web,12,0.000066,12,1.000000,20640,1097.000000,3974.950000,4560.590000,4707,63505,2503.500000,20227.050000,30571.010000,33157,235779,0,0.000000,0
all,gemini,mutate,4,0.000022,0,0.000000,0,0.000000,0.000000,0.000000,0,123033,43385.000000,76021.700000,78922.740000,79648,0,0,0.000000,0
all,gemini,other,3,0.000017,0,0.000000,0,0.000000,0.000000,0.000000,0,16105,0.000000,14494.500000,15782.900000,16105,0,0,0.000000,0
all,gemini,read,22,0.000122,0,0.000000,0,0.000000,0.000000,0.000000,0,118000,5695.000000,20464.300000,21366.460000,21592,0,0,0.000000,0
all,gemini,search,14,0.000077,0,0.000000,0,0.000000,0.000000,0.000000,0,103484,6965.000000,15021.050000,19026.610000,20028,0,0,0.000000,0
all,gemini,shell,1,0.000006,0,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0
bpf-developer-tutorial,all,control,13,0.000072,13,1.000000,106,7.000000,16.400000,16.880000,17,85876,6071.000000,22682.000000,31156.400000,33275,838,0,0.000000,0
bpf-developer-tutorial,all,delegate,23,0.000127,23,1.000000,575207,15.000000,133862.800000,238444.640000,266151,152757,6127.500000,19957.400000,31460.280000,34336,64415,0,0.000000,9
bpf-developer-tutorial,all,mutate,343,0.001898,339,0.988338,417983,21.000000,3999.300000,14735.180000,146771,7715714,9578.000000,111583.100000,174051.740000,260641,160997,16,0.046647,9
bpf-developer-tutorial,all,navigate,49,0.000271,49,1.000000,5764,77.000000,216.200000,783.360000,984,142484,2957.000000,9043.000000,13141.240000,14166,103485,0,0.000000,3
bpf-developer-tutorial,all,other,2,0.000011,0,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0
bpf-developer-tutorial,all,read,643,0.003557,632,0.982893,166343,10.000000,333.950000,4128.380000,63673,1614315,422.500000,11592.550000,20624.810000,104549,4940747,48,0.074650,84
bpf-developer-tutorial,all,search,198,0.001095,198,1.000000,32916,38.000000,419.500000,2224.020000,5751,1024859,3930.000000,17832.500000,31880.500000,65719,668017,11,0.055556,29
bpf-developer-tutorial,all,shell,169,0.000935,169,1.000000,8386259,305.000000,10080.800000,103004.680000,7618732,725681,3908.500000,11806.700000,16976.660000,29222,251542,25,0.147929,46
bpf-developer-tutorial,all,validate,1,0.000006,1,1.000000,23,23.000000,23.000000,23.000000,23,706,706.000000,706.000000,706.000000,706,1352,0,0.000000,1
bpf-developer-tutorial,all,vcs,166,0.000918,166,1.000000,57741,40.500000,1529.250000,7706.450000,10058,1810289,3379.000000,19703.800000,151933.020000,930998,500021,4,0.024096,36
bpf-developer-tutorial,all,wait,57,0.000315,57,1.000000,362283,76.000000,17901.800000,23358.040000,30003,257939,3071.000000,12468.400000,22783.200000,31970,189023,4,0.070175,8
eunomia.dev,all,control,107,0.000592,107,1.000000,99124,4.000000,56.100000,32130.940000,60151,3530311,4824.500000,65316.850000,1528212.170000,2863766,10794,0,0.000000,1
eunomia.dev,all,delegate,223,0.001234,223,1.000000,1251548,72.000000,2928.100000,160578.520000,519870,2355341,8624.000000,34240.650000,52696.970000,75289,115053,3,0.013453,64
eunomia.dev,all,mutate,1687,0.009333,1687,0.998814,1442217,57.000000,2949.000000,8981.360000,200374,28924879,9270.000000,65311.450000,148212.300000,503094,674603,36,0.021340,10
eunomia.dev,all,navigate,248,0.001372,248,1.000000,62977,87.500000,1168.350000,2623.040000,10042,1197570,3220.000000,18726.000000,31361.000000,46020,755566,2,0.008065,11
eunomia.dev,all,other,21,0.000116,21,1.000000,15405,100.000000,2075.000000,5857.400000,6803,631275,8625.000000,84569.400000,320177.880000,379080,7866,0,0.000000,0
eunomia.dev,all,read,2758,0.015257,2758,0.999637,4114423,69.000000,2361.200000,10066.760000,316937,25593700,2730.500000,17682.250000,48958.570000,8761372,22999811,53,0.019217,183
eunomia.dev,all,search,1300,0.007192,1300,0.999231,997037,102.000000,2178.300000,6507.140000,255069,13385778,6196.500000,31260.400000,84869.390000,947054,8379152,67,0.051538,76
eunomia.dev,all,shell,2512,0.013897,2512,0.999602,9393076,1163.000000,10076.500000,29739.300000,238727,17983506,5091.000000,19629.200000,45236.220000,215263,9762457,94,0.037420,649
eunomia.dev,all,validate,257,0.001422,257,1.000000,1572724,1168.000000,11378.600000,87038.280000,447318,1713030,5633.000000,17355.400000,29944.280000,62203,311003,20,0.077821,24
eunomia.dev,all,vcs,979,0.005416,979,1.000000,557292,116.000000,2239.600000,10036.320000,30014,14292454,4852.000000,25027.950000,198840.720000,2089025,4180292,22,0.022472,29
eunomia.dev,all,wait,3076,0.017017,3076,1.000000,35942726,5006.000000,30010.000000,60014.500000,300004,13498352,3261.000000,10456.000000,21328.600000,93463,6485025,76,0.024707,471
eunomia.dev,all,web,708,0.003917,708,1.000000,4826563,7028.000000,10293.200000,13958.110000,62396,1193090,0.000000,6678.050000,13288.450000,81087,1628445,273,0.385593,5
