project,pattern,occurrences,unique_calls_covered,share_all_calls,calls_per_occurrence_mean,calls_per_occurrence_median,calls_per_occurrence_p95,observed_serial_depth_mean,observed_serial_depth_median,observed_serial_depth_p95,work_over_depth_mean,strong_dependency_edges,parallel_candidate_edges,observed_read_content_in_edit_context_edges,same_exact_artifact_read_edit_proxy_edges,already_concurrent_edges,already_batched_disjoint_local_read_edges,sequential_disjoint_local_read_edges,unknown_dependency_edges,tool_runtime_sum_ms,model_gap_sum_ms
agentsight,grep_read_edit_test_bounded,608,7368,0.040760,12.118421,12.000000,20.000000,3.975329,4.000000,7.000000,3.303653,1516,1908,174,252,1769,6,133,3084,7826882,67858015
ActPlane,grep_read_edit_test_bounded,405,4904,0.027129,12.108642,12.000000,19.000000,4.071605,4.000000,7.000000,3.191702,1062,1183,132,167,1094,4,85,2087,3917865,43918991
eunomia.dev,poll_wait_burst,380,2329,0.012884,6.128947,4.000000,21.000000,5.942105,4.000000,20.050000,1.102304,1887,62,0,0,62,0,0,0,26673253,8486608
eunomia.dev,edit_burst,307,1162,0.006428,3.785016,2.000000,10.700000,2.530945,2.000000,6.000000,1.885800,494,11,0,0,11,0,0,350,958095,11515213
eunomia.dev,exploratory_directory_roam,231,2281,0.012619,9.874459,6.000000,30.500000,1.965368,2.000000,3.000000,5.312049,234,1159,0,0,767,121,271,657,1739293,22451981
agentskill-observability-paper,same_artifact_read_to_edit,216,339,0.001875,2.000000,2.000000,2.000000,1.027778,1.000000,1.000000,1.972222,6,0,2,210,0,0,0,0,157810,3065172
bpf-developer-tutorial,same_artifact_read_to_edit,167,236,0.001306,2.000000,2.000000,2.000000,1.023952,1.000000,1.000000,1.976048,4,0,3,163,0,0,0,0,116526,4818675
bpf-developer-tutorial,read_discovery_burst,141,826,0.004569,5.858156,3.000000,17.000000,1.503546,1.000000,3.000000,3.823877,68,436,0,0,157,212,67,181,123209,2067137
agentskill-observability-paper,repeat_read_same_target,132,174,0.000963,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,2.000000,0,0,0,0,0,0,0,132,27662,911022
eunomia.dev,edit_to_validation_cycle,116,1678,0.009283,14.465517,8.000000,42.250000,4.387931,3.000000,10.250000,3.146493,567,181,20,11,163,1,17,803,7341310,14766341
eunomia.dev,validation_retry_no_edit,113,840,0.004647,7.831858,3.000000,26.000000,4.424779,1.000000,20.400000,2.540628,437,115,0,0,113,0,2,220,5668666,3131484
academic-writing-skills,same_artifact_read_to_edit,100,144,0.000797,2.000000,2.000000,2.000000,1.030000,1.000000,1.000000,1.970000,3,0,3,97,0,0,0,0,76608,1070905
agentskill-observability-paper,read_discovery_burst,95,360,0.001992,3.789474,2.000000,9.900000,1.273684,1.000000,2.000000,3.050877,25,76,0,0,5,49,22,164,151579,1269381
bpf-developer-tutorial,repeat_read_same_target,94,160,0.000885,2.000000,2.000000,2.000000,1.031915,1.000000,1.000000,1.968085,3,7,0,0,7,0,0,84,43106,501984
academic-writing-skills,edit_burst,72,399,0.002207,5.541667,4.000000,15.450000,3.222222,2.000000,8.450000,1.845434,192,25,0,0,25,0,0,110,356671,1619066
academic-writing-skills,read_discovery_burst,69,351,0.001942,5.086957,3.000000,16.000000,1.521739,1.000000,3.000000,3.320773,38,145,0,0,4,107,34,99,122676,1686045
bpf-developer-tutorial,edit_burst,59,283,0.001566,4.796610,3.000000,14.400000,2.898305,2.000000,10.000000,1.946884,161,1,0,0,1,0,0,62,222714,3544478
agentskill-observability-paper,edit_burst,47,156,0.000863,3.319149,3.000000,7.000000,3.085106,2.000000,6.700000,1.127660,93,8,0,0,8,0,0,8,147226,1059003
bpf-developer-tutorial,exploratory_directory_roam,46,538,0.002976,11.695652,8.500000,33.500000,1.913043,2.000000,4.000000,6.673913,40,333,0,0,133,144,56,119,56349,1604046
eunomia.dev,grep_read_edit_test_bounded,46,577,0.003192,12.543478,12.000000,18.750000,3.673913,3.000000,6.000000,3.798847,142,109,9,8,93,0,16,272,2090529,5284651
agentskill-observability-paper,edit_to_validation_cycle,35,281,0.001555,8.028571,6.000000,19.800000,4.885714,4.000000,9.600000,1.539254,135,3,0,55,1,0,2,53,1459100,1814829
academic-writing-skills,exploratory_directory_roam,27,246,0.001361,9.111111,6.000000,19.400000,1.925926,2.000000,3.700000,5.097531,27,118,0,0,4,87,27,74,102616,1205895
academic-writing-skills,repeat_read_same_target,25,46,0.000254,2.000000,2.000000,2.000000,1.120000,1.000000,2.000000,1.880000,3,0,0,0,0,0,0,22,28681,220797
agentskill-observability-paper,exploratory_directory_roam,15,128,0.000708,8.533333,6.000000,21.400000,1.933333,2.000000,3.300000,4.855556,13,29,0,0,1,15,13,71,57745,710997
agentskill-observability-paper,validation_retry_no_edit,7,12,0.000066,2.142857,2.000000,2.700000,1.000000,1.000000,1.000000,2.142857,0,0,0,0,0,0,0,8,54743,34195
agentskill-observability-paper,grep_read_edit_test_bounded,6,59,0.000326,9.833333,9.000000,15.500000,4.666667,4.500000,7.500000,2.301389,22,0,0,13,0,0,0,18,213873,370515
bpf-developer-tutorial,poll_wait_burst,4,9,0.000050,2.250000,2.000000,2.850000,1.750000,2.000000,2.000000,1.375000,3,2,0,0,2,0,0,0,71536,42967
