project,reuse_class,opportunities,external_executions_avoidable_upper,external_execution_avoid_rate_upper,transparent_model_roundtrips_eliminated,fused_model_roundtrips_eliminated_upper,result_bytes_avoidable,identical_output_repeats,observed_identical_output_reuse_lower,incremental_bytes_upper_saved,full_result_bytes,changed_payload_proxy_bytes,note
ActPlane,exact_web_invocation_no_observed_mutation,10,10,1.000000,0,10,27562,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,read_same_target_after_observed_mutation,3437,0,0.000000,0,0,0,10,10,8505857,15164909,11476734,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,read_same_target_no_observed_mutation,9513,9513,1.000000,0,9513,44667542,93,93,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
academic-writing-skills,exact_read_invocation_after_observed_mutation,15,0,0.000000,0,0,0,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
academic-writing-skills,exact_read_invocation_no_observed_mutation,1,1,1.000000,0,1,21988,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
academic-writing-skills,exact_shell_invocation_no_observed_mutation,2,2,1.000000,0,2,60,2,2,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
academic-writing-skills,read_same_target_after_observed_mutation,30,0,0.000000,0,0,0,0,0,113880,185797,114743,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
academic-writing-skills,read_same_target_no_observed_mutation,26,26,1.000000,0,26,183275,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_navigate_invocation_after_observed_mutation,68,0,0.000000,0,0,0,8,8,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_navigate_invocation_no_observed_mutation,27,27,1.000000,0,27,8614,7,7,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_read_invocation_after_observed_mutation,737,0,0.000000,0,0,0,46,46,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_read_invocation_no_observed_mutation,559,559,1.000000,0,559,550735,62,62,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_search_invocation_after_observed_mutation,158,0,0.000000,0,0,0,2,2,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_search_invocation_no_observed_mutation,127,127,1.000000,0,127,50516,75,75,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_shell_invocation_after_observed_mutation,1474,0,0.000000,0,0,0,13,13,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_shell_invocation_no_observed_mutation,2343,2343,1.000000,0,2343,641052,107,107,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_validate_invocation_after_observed_mutation,986,0,0.000000,0,0,0,3,3,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_validate_invocation_no_observed_mutation,61,61,1.000000,0,61,568613,3,3,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_vcs_invocation_after_observed_mutation,2069,0,0.000000,0,0,0,2,2,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,exact_vcs_invocation_no_observed_mutation,229,229,1.000000,0,229,133121,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,read_same_target_after_observed_mutation,4484,0,0.000000,0,0,0,8,8,20497070,39032480,32280435,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentsight,read_same_target_no_observed_mutation,12295,12295,1.000000,0,12295,108700371,168,168,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentskill-observability-paper,exact_read_invocation_after_observed_mutation,23,0,0.000000,0,0,0,7,7,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentskill-observability-paper,exact_search_invocation_no_observed_mutation,1,1,1.000000,0,1,3,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentskill-observability-paper,exact_validate_invocation_after_observed_mutation,1,0,0.000000,0,0,0,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentskill-observability-paper,read_same_target_after_observed_mutation,137,0,0.000000,0,0,0,3,3,380376,598743,411766,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
agentskill-observability-paper,read_same_target_no_observed_mutation,93,93,1.000000,0,93,312272,2,2,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_navigate_invocation_after_observed_mutation,132,0,0.000000,0,0,0,9,9,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_navigate_invocation_no_observed_mutation,42,42,1.000000,0,42,23340,7,7,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_other_invocation_after_observed_mutation,8,0,0.000000,0,0,0,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_read_invocation_after_observed_mutation,2125,0,0.000000,0,0,0,177,177,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_read_invocation_no_observed_mutation,2172,2172,1.000000,0,2172,3770255,94,94,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_search_invocation_after_observed_mutation,333,0,0.000000,0,0,0,12,12,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_search_invocation_no_observed_mutation,420,420,1.000000,0,420,297013,85,85,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_shell_invocation_after_observed_mutation,3204,0,0.000000,0,0,0,26,26,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_shell_invocation_no_observed_mutation,4967,4967,1.000000,0,4967,2230401,332,332,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_validate_invocation_after_observed_mutation,1888,0,0.000000,0,0,0,9,9,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_validate_invocation_no_observed_mutation,81,81,1.000000,0,81,619533,3,3,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_vcs_invocation_after_observed_mutation,3130,0,0.000000,0,0,0,15,15,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_vcs_invocation_no_observed_mutation,449,449,1.000000,0,449,225201,2,2,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,exact_web_invocation_no_observed_mutation,10,10,1.000000,0,10,27562,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,read_same_target_after_observed_mutation,8523,0,0.000000,0,0,0,22,22,30801225,57882986,46960043,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
all,read_same_target_no_observed_mutation,22895,22895,1.000000,0,22895,161118747,308,308,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,exact_read_invocation_after_observed_mutation,65,0,0.000000,0,0,0,31,31,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,exact_read_invocation_no_observed_mutation,1,1,1.000000,0,1,5404,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,exact_search_invocation_after_observed_mutation,1,0,0.000000,0,0,0,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,exact_shell_invocation_after_observed_mutation,25,0,0.000000,0,0,0,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,exact_shell_invocation_no_observed_mutation,34,34,1.000000,0,34,10421,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,exact_vcs_invocation_after_observed_mutation,22,0,0.000000,0,0,0,12,12,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,read_same_target_after_observed_mutation,68,0,0.000000,0,0,0,0,0,122927,546776,719015,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
bpf-developer-tutorial,read_same_target_no_observed_mutation,123,123,1.000000,0,123,370465,32,32,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_read_invocation_after_observed_mutation,70,0,0.000000,0,0,0,5,5,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_read_invocation_no_observed_mutation,9,9,1.000000,0,9,233535,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_search_invocation_after_observed_mutation,2,0,0.000000,0,0,0,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_shell_invocation_after_observed_mutation,127,0,0.000000,0,0,0,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_shell_invocation_no_observed_mutation,637,637,1.000000,0,637,223584,191,191,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_validate_invocation_after_observed_mutation,86,0,0.000000,0,0,0,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_validate_invocation_no_observed_mutation,3,3,1.000000,0,3,2133,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_vcs_invocation_after_observed_mutation,143,0,0.000000,0,0,0,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,exact_vcs_invocation_no_observed_mutation,52,52,1.000000,0,52,12416,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,read_same_target_after_observed_mutation,367,0,0.000000,0,0,0,1,1,1181115,2354281,1957350,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
eunomia.dev,read_same_target_no_observed_mutation,845,845,1.000000,0,845,6884822,13,13,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
