project,source_stream_id,source_call_id,source_kind,files
academic-writing-skills,f63e82c3f255f8cd,toolu_01KaLhk4mHX5sXskq7zoYUjU,read,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_019nBsP8QpwyGsMnj9nerfEh,mutation,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01GCunRtVJd5Wvwgstbjth9W,mutation,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01BZAsW4HiHhL6Gx5Gh95PMZ,mutation,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01EL31MPA2MoJVxGe6isDHTN,mutation,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_014sKjk78mgeXTysBme26LDx,mutation,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01Nux4VQzQxzH2DzaD919ZxB,mutation,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01T6kU8XFjQEGpPECbTmKi7b,read,SKILL.md
ActPlane,6a52e04ba9bfcb5e,call_JqQzFCheoaDEhq6qtOaEF74f,read,AGENTS.md
ActPlane,6a52e04ba9bfcb5e,call_P1V57jY26QCqHlTwRytGWPCK,read,CLAUDE.md
ActPlane,6a52e04ba9bfcb5e,call_xpDP0ZwlJBeXp6DXA42eU8nl,read,AGENTS.md
ActPlane,6a52e04ba9bfcb5e,call_Q3Br2oZ4jP1NiWpnqhiGBBDD,read,AGENTS.md
ActPlane,6a52e04ba9bfcb5e,call_JoWNtr66zhPfadUv8RnuK9Mh,read,AGENTS.md
ActPlane,6a52e04ba9bfcb5e,call_wrf19jABAIiM0bYx7qBXsBmC,read,AGENTS.md
agentsight,5a807cf1531df4be,toolu_01MT7EyUfbE5EK3xZkDbWkDh,read,CLAUDE.md
agentsight,5a807cf1531df4be,toolu_01YBCEGu56DpdUvu2HhoTxsm,mutation,CLAUDE.md
agentsight,5a807cf1531df4be,toolu_014xYx5Pic6tsi7Smhjcw6FL,read,CLAUDE.md
agentsight,5a807cf1531df4be,toolu_012Gby9r6nfVLwFgUWhNynZP,read,CLAUDE.md
agentsight,5a807cf1531df4be,toolu_01SEcfyq1BS6M3xn8toUpBqS,mutation,CLAUDE.md
agentsight,5a807cf1531df4be,toolu_01RDxwGrCNAyb2dMeDbqq9fj,read,CLAUDE.md
ActPlane,5dad50be0b015a5f,toolu_017qFsqhL3bZb7Hyrh52XYiM,read,AGENTS.md
ActPlane,5dad50be0b015a5f,toolu_01UtHwSKxwGSjt5Gr9JE12uC,read,AGENTS.md
agentsight,21311f8a0524e640,call_V41uziQkcYTUbyboDCerTFUX,read,SKILL.md
agentsight,21311f8a0524e640,call_0PkbX9anRi3QSjaY6jg4O7Hs,read,SKILL.md
agentsight,b4dead09b4e56fed,call_qccZ6N7mAT9F1Yz6j3PpoJzz,read,SKILL.md
academic-writing-skills,a375c96bdf3cb250,toolu_01WHN9h91TCTR8LP3kjrHJSy,read,SKILL.md
academic-writing-skills,a375c96bdf3cb250,toolu_01NmF7wGxE3cfMLGPREZ4GBy,read,SKILL.md
academic-writing-skills,a375c96bdf3cb250,toolu_01MDrvprTpGpNgVoiVPiqi5x,read,SKILL.md
academic-writing-skills,a375c96bdf3cb250,toolu_01SWYcbvJsxEEbgEDzNPxY6G,read,SKILL.md
ActPlane,5b9589dded265035,toolu_01N79p4HNAsDBiUAVGJd5U3S,read,AGENTS.md
ActPlane,5b9589dded265035,toolu_01SXQSTwCbK9BWS6DaB2rv8R,read,AGENTS.md
agentsight,5171700dcff872b0,call_Xy2RkNVBqwpaiTi5EBi6Y01l,read,SKILL.md
agentsight,5171700dcff872b0,call_wYhvWz7An7l6yGRyOZVQPDGN,read,SKILL.md
agentsight,5171700dcff872b0,call_XaHWd0U77cPlSg9qRo0Oi74p,read,SKILL.md
agentsight,5171700dcff872b0,call_BeqRI96O8GacHdLCiqdtuTiY,read,SKILL.md
agentsight,2625e5e688706b9b,call_UIr9zJmZxYKoBFvDNW5pMTSp,read,SKILL.md
agentsight,2625e5e688706b9b,call_JzkQHqz0TCWtYrIGzWMavCON,read,SKILL.md
agentsight,2625e5e688706b9b,call_vCCFzqrAvQAxyHJQLB4BAIhh,read,SKILL.md
ActPlane,edc102cfba6ce0a3,toolu_01YLZ3ojCCkRJDaFgisLR54Y,read,CLAUDE.md
ActPlane,edc102cfba6ce0a3,toolu_01RxTATp7onFFyR9fCwvNPAY,read,CLAUDE.md
ActPlane,edc102cfba6ce0a3,toolu_011se3hVe7UgXZN9aYaMWkgB,read,CLAUDE.md
ActPlane,51ef3b53b007be9d,toolu_013icFvmbX5BpEU8UJH1XV4N,read,CLAUDE.md
ActPlane,51ef3b53b007be9d,toolu_01L1QMhU4NeWuWmiSikMTje6,mutation,CLAUDE.md
ActPlane,51ef3b53b007be9d,toolu_01SHKKib1BTqK2XKYcBYA86Z,read,CLAUDE.md
ActPlane,f3ec354b091cfc99,toolu_01PWDgpggPGEB5cSUAzn7mnh,read,CLAUDE.md
agentsight,1eeec47ba92e6c21,call_zIfkH6rT0zCa4NwBDAUHUD3X,read,SKILL.md
agentsight,1eeec47ba92e6c21,call_io7Jn8Mn7j9Cn1Ssvcv6E1sQ,read,SKILL.md
