project,vendor,native_root_session_id,source_stream_id,source_call_id,event_id,status,kind,files,following_actions,next_event_id,following_effect,following_status,high_confidence,source_kind
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_017cs35cyfLM2Gv2jiZVMSzq,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:426,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:427,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_016gdv1kYo2tmnbB4uVGLcup,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:428,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:429,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01HyaiLSdktxZ7sJBuzmrd2e,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:430,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:431,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01619yvfW4JzCmpBipuoqvHP,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:433,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:434,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Qq7HxWKujprnLnmr4qnPR1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:434,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:435,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01C2eDcsgRyx3fsP32SysTsj,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:436,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:437,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Fuotm9WVrif5WPdgwBEKht,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:441,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:442,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01EeKRE4tPzdSsKQWeKvdYgm,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:442,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:443,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01EUSpMWdUojimqDXK7JT1uW,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:444,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:445,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Bw1E666JxBFUgdKfYTi94f,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:445,ok,read,CLAUDE.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_0162XDf4k1XyrRY7StDSH47h,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:447,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:448,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_011xRm4zUg3R2BUrfUwjVzLK,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:448,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:449,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01RgR77afBB9vc1kfXKgHLP3,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:451,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:452,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01JSYSZ6rxcVhtK4umasgJcg,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:452,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:453,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_015Tk92z2EnqAMJs96bgWxCb,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:455,observed,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:456,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01K2Vb1Cz6KH4Lxa4L9RuBS3,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:456,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:457,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01GQS5NvVSw46xGcogpcQET4,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:459,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:460,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_016CbEr9uGgbtZSbYnVTbTwa,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:460,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:461,read,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Byt9849FcowybA7f9LLmTo,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:461,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:462,process,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_012hnDZiqk97oYz216Mnvwhn,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:464,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:465,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_018BbqCLKNEdBYXtoPtTKMr7,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:466,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:467,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_015cWSLEuLiBCdnZXq8kLnmz,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:470,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:471,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01AFNEo1Mv7rLQJgqgD2N5cU,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:472,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:473,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Mt1UYTjk4ASW2UzSdJGf1a,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:476,ok,read,AGENTS.md;CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:477,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01T8uFCb37Wz39ySUD38AQCM,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:477,ok,read,AGENTS.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01VqEUw4uutenCxBDgJHU93r,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:481,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:482,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_011S7UonGpCeCWDkQrsHcecH,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:486,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:487,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Xqe39Vto9iRy5gjUaYpGuj,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:490,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:491,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_016SXaxw9UXtCJf1zjZPxToZ,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:494,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:495,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01E5RuZZ1YyzVFZQmAZjC2me,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:498,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:499,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01B38abvfmPPrZ9J27XAcbwu,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:521,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:522,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_019MqJQfdKGPo7vW3nxGmxH9,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:546,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:547,process,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Nx9DKr666tZrsg4M9kmxSk,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:555,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:556,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01BneJizFnJ85kEQvjGTwVcZ,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:559,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:560,read,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01JX2wjnASfddD5DAKShdngh,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:560,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:561,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_017DdBbkFqob4YzfxMeyajzY,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:563,ok,read,AGENTS.md;CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:564,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01HQX6NSeqWBTHyHAG1jSvUF,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:564,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:565,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01FiFcqrW2y35juq5JuDXirw,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:569,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:570,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Vg7uareTgj1LEipDgZJrZ1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:574,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:575,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Mqn1UA7fJkZkvJ9NeB5sHW,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:579,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:580,read,fail,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_013NNYXVJo1hL7sCiTXGKvN8,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:585,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:586,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_015ycC3AZmFjeWYzXG4aXyhy,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:586,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:587,read,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_017XtH5rCKshKFWqKAd8uxwq,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:587,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:588,process,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Pc4sSAXJtVJaPumNoatKGc,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:597,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:598,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_017fNQp4vYoxpwC8xDNpkZuH,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:598,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:599,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01BHSEZEgzjxeUUUgAAVpi7V,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:599,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:600,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01B2cv2tCnCz4MqERczYcuga,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:600,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:601,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01KRdbc5AgL5n8x56B9umPV3,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:603,ok,read,AGENTS.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01DqbuASyoKyQZBReGYquD5A,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:611,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:612,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01EPv8isVViPpa1viDov1aSf,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:614,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:615,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01SsMCTnFALakwiPnuFRfg9t,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:619,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:620,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01EsH1A8eHDaNexEKTYwZLzC,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:620,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:621,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01AC5F8owm7wQaHJJbGCjDCr,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:623,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:624,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_014D9AAC6Ke4u6PaXHqCEGEF,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:624,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:625,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Uq52Lf4PrHr2Cwfg9am9WX,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:625,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:626,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_012o3f8puMonjdv7D52dWyQp,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:626,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:627,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01MCcgjSngQzZ57E6Qn46ABu,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:630,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:631,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01KQ72YkoYc1HupY81cR42uU,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:631,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:632,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01GkT5KpCUHQzs1jXX5mXJ3s,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:632,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:633,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_015s6gVjiawRNdASmGVbJfDE,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:633,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:634,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01TTiX6EqkfrmtktCsGDzpnC,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:638,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:639,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01KZqLn2KbXmM4UCtSuhW5GA,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:639,ok,read,CLAUDE.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01Sr8FtmJFCP6CGqPWFPsjkU,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:640,ok,read,AGENTS.md;CLAUDE.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01EA5nWt68wvqyA1EYkDa4LY,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:675,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:676,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01SsZoyA49WQa4aHudH39Pat,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:677,ok,read,AGENTS.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01SmVJq4yH4DbahNeDB6qhWb,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:678,ok,read,AGENTS.md,0,,,,True,read
ActPlane,codex,codex:019e6cc9-a740-7983-b0b2-a7e9bdebd47c,13993d527973abe0,call_qUonOOJ1Aiy3MGxUWJzB1LUg,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:15,fail,read,SKILL.md,1,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:16,read,fail,True,read
ActPlane,codex,codex:019e6cc9-a740-7983-b0b2-a7e9bdebd47c,13993d527973abe0,call_kSFwVOkU3Np3BrdUmldU4SMO,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:16,fail,read,SKILL.md,1,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:17,read,ok,True,read
ActPlane,codex,codex:019e6cc9-a740-7983-b0b2-a7e9bdebd47c,13993d527973abe0,call_Dq8C49bxi4tG9cm4fvip13MC,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:22,ok,read,SKILL.md,1,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:23,read,ok,True,read
ActPlane,codex,codex:019e6cc9-a740-7983-b0b2-a7e9bdebd47c,13993d527973abe0,call_HQMlTDlM7IMkG5KxdFHYEiBk,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:23,ok,read,SKILL.md,1,codex:rollout-2026-05-27T21-13-35-019e6cc9-a740-7983-b0b2-a7e9bdebd47c:24,read,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,5a58463fdccb02e4,toolu_01QsC7H5p76Z3TAuLHyu1xJ2,claude:agent-a5f7d7e6067eb63df:0,ok,read,CLAUDE.md,1,claude:agent-a5f7d7e6067eb63df:1,read,ok,True,read
