project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
bpf-developer-tutorial,a192f642f3ee,17,18,1,1,71501,3,False,3,32028,2,10,1,1,1,1.0,1.0,2,0,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,18,19,1,2,38601165,242,False,20,62752,19,2,1,4,1,0.0,1.0,0,14,0,0,5,0,0,0,0,1,0
bpf-developer-tutorial,a192f642f3ee,19,20,2,1,142639,94,False,18,47285,17,23,1,2,1,0.0,1.0,4,8,0,0,5,0,0,1,0,0,0
bpf-developer-tutorial,a192f642f3ee,20,21,1,3,2998625,83,False,15,61333,14,12,1,6,1,0.3333333333333333,1.0,6,0,0,0,8,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,21,22,3,2,4315849,20,False,7,85272,6,10,1,1,1,1.0,1.0,2,4,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,22,23,2,1,53286,6,False,6,172801,5,15,2,1,1,1.0,1.0,4,1,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,23,24,1,1,1903362,210,False,15,139167,14,5,2,9,3,0.2222222222222222,0.3333333333333333,0,0,0,0,14,0,0,1,0,2,0
bpf-developer-tutorial,a192f642f3ee,24,25,1,1,7882,116,False,8,154279,7,12,4,11,2,0.18181818181818182,0.5,0,4,0,0,3,0,0,1,0,0,0
bpf-developer-tutorial,a192f642f3ee,25,26,1,1,115397236,35,False,14,106440,13,20,3,2,1,0.0,1.0,4,7,0,0,2,0,0,0,1,0,0
bpf-developer-tutorial,a192f642f3ee,26,27,1,1,50270,19,False,16,128397,15,13,2,2,1,0.0,1.0,7,5,0,0,3,0,0,0,1,0,0
