Type: file_events
Showing nodes accounting for 606, 82.23% of 737 total
Dropped 682 nodes (cum <= 3)
      flat  flat%   sum%        cum   cum%
         0     0% 82.23%          5  0.68%  operation:continue_refinement
         0     0% 82.23%          4  0.54%  operation:copy_paper_versions
         0     0% 82.23%          5  0.68%  operation:correct_report_logic
         0     0% 82.23%          4  0.54%  operation:create_figures
         0     0% 82.23%          3  0.41%  operation:delegate_experiments
         0     0% 82.23%         21  2.85%  operation:design_inventory
         0     0% 82.23%          3  0.41%  operation:develop_cost_rationale
         0     0% 82.23%         91 12.35%  operation:develop_manuscript
         0     0% 82.23%         58  7.87%  operation:develop_paper
         0     0% 82.23%         39  5.29%  operation:develop_research_paper
         0     0% 82.23%          5  0.68%  operation:diagnose_execution
         0     0% 82.23%          5  0.68%  operation:discover_label_evidence
         0     0% 82.23%          4  0.54%  operation:estimate_workload
         0     0% 82.23%         18  2.44%  operation:evaluate_label_quality
         0     0% 82.23%         10  1.36%  operation:explain_paper
         0     0% 82.23%          9  1.22%  operation:find_benchmark_command
         0     0% 82.23%          5  0.68%  operation:finish_refinement
         0     0% 82.23%          3  0.41%  operation:fix_cross_references
         0     0% 82.23%         10  1.36%  operation:fix_section_consistency
         0     0% 82.23%         11  1.49%  operation:generate_profile_graph
         0     0% 82.23%          4  0.54%  operation:identify_framing
         0     0% 82.23%         11  1.49%  operation:improve_presentation
         0     0% 82.23%          6  0.81%  operation:improve_profile_graph
         0     0% 82.23%          4  0.54%  operation:inspect_action_transfer
         0     0% 82.23%          9  1.22%  operation:inspect_documentation
         0     0% 82.23%          3  0.41%  operation:inspect_evidence
         0     0% 82.23%          3  0.41%  operation:inspect_experiment
         0     0% 82.23%         33  4.48%  operation:inspect_experiment_logs
         0     0% 82.23%          3  0.41%  operation:inspect_field_suitability
         0     0% 82.23%          7  0.95%  operation:inspect_graph_support
         0     0% 82.23%         23  3.12%  operation:inspect_implementation
         0     0% 82.23%          6  0.81%  operation:inspect_incoming_changes
         0     0% 82.23%          3  0.41%  operation:inspect_label_derivation
         0     0% 82.23%          3  0.41%  operation:inspect_mapping_evidence
         0     0% 82.23%          8  1.09%  operation:inspect_merge_state
         0     0% 82.23%          4  0.54%  operation:inspect_narrative
         0     0% 82.23%          8  1.09%  operation:inspect_paper
         0     0% 82.23%          6  0.81%  operation:inspect_parsers
         0     0% 82.23%          3  0.41%  operation:inspect_policy_transfer
         0     0% 82.23%          8  1.09%  operation:inspect_profiler_logic
         0     0% 82.23%          7  0.95%  operation:inspect_profiling_setup
         0     0% 82.23%          5  0.68%  operation:inspect_recurrence_evaluator
         0     0% 82.23%          3  0.41%  operation:inspect_results
         0     0% 82.23%          4  0.54%  operation:inspect_review_context
         0     0% 82.23%          4  0.54%  operation:inspect_tag_compaction
         0     0% 82.23%         12  1.63%  operation:inspect_workflow
         0     0% 82.23%         16  2.17%  operation:integrate_paper_versions
         0     0% 82.23%          4  0.54%  operation:integrate_review
         0     0% 82.23%         14  1.90%  operation:inventory_artifacts
         0     0% 82.23%          7  0.95%  operation:inventory_citations
         0     0% 82.23%         34  4.61%  operation:inventory_sessions
         0     0% 82.23%         34  4.61%  operation:investigate_consistency
         0     0% 82.23%          3  0.41%  operation:launch_experiments
         0     0% 82.23%         15  2.04%  operation:locate_paper_versions
         0     0% 82.23%         21  2.85%  operation:maintain_paper_assets
         0     0% 82.23%         25  3.39%  operation:maintain_repository
         0     0% 82.23%          4  0.54%  operation:measure_label_agreement
         0     0% 82.23%          8  1.09%  operation:normalize_terminology
         0     0% 82.23%          4  0.54%  operation:plan_paper_structure
         0     0% 82.23%          3  0.41%  operation:polish_prose
         0     0% 82.23%          4  0.54%  operation:prepare_refinement
         0     0% 82.23%          5  0.68%  operation:read_research_context
         0     0% 82.23%          5  0.68%  operation:recover_editing
         0     0% 82.23%        162 21.98%  operation:refine_paper
         0     0% 82.23%         21  2.85%  operation:refine_paper_presentation
         0     0% 82.23%          4  0.54%  operation:refine_prose
         0     0% 82.23%          9  1.22%  operation:refine_reports
         0     0% 82.23%          6  0.81%  operation:repair_citations
         0     0% 82.23%          4  0.54%  operation:repair_references
         0     0% 82.23%          4  0.54%  operation:repair_rendering
         0     0% 82.23%         12  1.63%  operation:resolve_findings
         0     0% 82.23%          3  0.41%  operation:restructure_opening
         0     0% 82.23%          3  0.41%  operation:retrieve_next_action
         0     0% 82.23%          4  0.54%  operation:review_condensation
         0     0% 82.23%         71  9.63%  operation:review_evidence
         0     0% 82.23%         16  2.17%  operation:review_framing
         0     0% 82.23%          4  0.54%  operation:review_graph_design
         0     0% 82.23%         24  3.26%  operation:review_implementation
         0     0% 82.23%          5  0.68%  operation:review_language
         0     0% 82.23%         13  1.76%  operation:review_paper
         0     0% 82.23%         11  1.49%  operation:review_requirements
         0     0% 82.23%          4  0.54%  operation:review_research_context
         0     0% 82.23%          4  0.54%  operation:review_stack_layout
         0     0% 82.23%          4  0.54%  operation:revise_evaluation_presentation
         0     0% 82.23%          9  1.22%  operation:revise_opening
         0     0% 82.23%          3  0.41%  operation:revise_paper
         0     0% 82.23%          3  0.41%  operation:revise_sentences
         0     0% 82.23%          4  0.54%  operation:rewrite_design
         0     0% 82.23%         12  1.63%  operation:search_comparisons
         0     0% 82.23%         34  4.61%  operation:search_tagger_evidence
         0     0% 82.23%          7  0.95%  operation:simplify_manuscript
         0     0% 82.23%          5  0.68%  operation:standardize_naming
         0     0% 82.23%          3  0.41%  operation:start_refinement
         0     0% 82.23%         18  2.44%  operation:survey_quality_evidence
         0     0% 82.23%         12  1.63%  operation:synchronize_terminology
         0     0% 82.23%         36  4.88%  operation:trace_provenance
         0     0% 82.23%         12  1.63%  operation:update_translations
         0     0% 82.23%          8  1.09%  operation:validate_graph_controls
         0     0% 82.23%          8  1.09%  operation:validate_metric_claim
         0     0% 82.23%          5  0.68%  operation:verify_branch_sync
         0     0% 82.23%          4  0.54%  operation:verify_condensation
         0     0% 82.23%          4  0.54%  operation:verify_evaluation_inputs
         0     0% 82.23%         10  1.36%  operation:verify_evidence
         0     0% 82.23%          7  0.95%  operation:verify_paper
         0     0% 82.23%         10  1.36%  operation:verify_prior_merge
         0     0% 82.23%          8  1.09%  tool_evidence:bash:tool:00000
         0     0% 82.23%         17  2.31%  tool_evidence:bash:tool:00001
         0     0% 82.23%         12  1.63%  tool_evidence:bash:tool:00002
         0     0% 82.23%         12  1.63%  tool_evidence:bash:tool:00003
         0     0% 82.23%          9  1.22%  tool_evidence:bash:tool:00004
         0     0% 82.23%         15  2.04%  tool_evidence:bash:tool:00005
         0     0% 82.23%         12  1.63%  tool_evidence:bash:tool:00006
         0     0% 82.23%          8  1.09%  tool_evidence:bash:tool:00007
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00008
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00009
         0     0% 82.23%          8  1.09%  tool_evidence:bash:tool:00010
         0     0% 82.23%         11  1.49%  tool_evidence:bash:tool:00011
         0     0% 82.23%          6  0.81%  tool_evidence:bash:tool:00012
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00013
         0     0% 82.23%          7  0.95%  tool_evidence:bash:tool:00014
         0     0% 82.23%          6  0.81%  tool_evidence:bash:tool:00015
         0     0% 82.23%          9  1.22%  tool_evidence:bash:tool:00016
         0     0% 82.23%         11  1.49%  tool_evidence:bash:tool:00017
         0     0% 82.23%         13  1.76%  tool_evidence:bash:tool:00018
         0     0% 82.23%          9  1.22%  tool_evidence:bash:tool:00019
         0     0% 82.23%         10  1.36%  tool_evidence:bash:tool:00020
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00021
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00022
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00023
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00024
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00025
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00026
         0     0% 82.23%          6  0.81%  tool_evidence:bash:tool:00027
         0     0% 82.23%          6  0.81%  tool_evidence:bash:tool:00028
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00029
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00033
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00036
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00037
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00038
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00041
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00043
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00045
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00063
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00139
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00168
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00178
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00185
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00186
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00188
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00236
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00252
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00254
         0     0% 82.23%          6  0.81%  tool_evidence:bash:tool:00357
         0     0% 82.23%         10  1.36%  tool_evidence:bash:tool:00471
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00568
         0     0% 82.23%          3  0.41%  tool_evidence:bash:tool:00733
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00737
