status_basis,project,action_mode,artifact_type,actions,share_within_project_mode,project_mode_total
ok_plus_observed,ActPlane,write,config,1489,0.14446492674881148,10307
ok_plus_observed,ActPlane,write,other,653,0.06335500145532162,10307
ok_plus_observed,bpf-developer-tutorial,read,paper/docs,276,0.5564516129032258,496
ok_plus_observed,bpf-developer-tutorial,read,code,146,0.29435483870967744,496
ok_plus_observed,bpf-developer-tutorial,read,test,17,0.034274193548387094,496
ok_plus_observed,bpf-developer-tutorial,read,config,50,0.10080645161290322,496
ok_plus_observed,bpf-developer-tutorial,read,other,7,0.014112903225806451,496
ok_plus_observed,bpf-developer-tutorial,write,paper/docs,307,0.8898550724637682,345
ok_plus_observed,bpf-developer-tutorial,write,code,27,0.0782608695652174,345
ok_plus_observed,bpf-developer-tutorial,write,test,0,0.0,345
ok_plus_observed,bpf-developer-tutorial,write,config,11,0.03188405797101449,345
ok_plus_observed,bpf-developer-tutorial,write,other,0,0.0,345
ok_plus_observed,eunomia.dev,read,paper/docs,727,0.33829688227082366,2149
ok_plus_observed,eunomia.dev,read,code,1018,0.473708701721731,2149
ok_plus_observed,eunomia.dev,read,test,147,0.06840390879478828,2149
ok_plus_observed,eunomia.dev,read,config,243,0.11307584923220103,2149
ok_plus_observed,eunomia.dev,read,other,14,0.006514657980456026,2149
ok_plus_observed,eunomia.dev,write,paper/docs,754,0.5993640699523053,1258
ok_plus_observed,eunomia.dev,write,code,309,0.24562798092209856,1258
ok_plus_observed,eunomia.dev,write,test,89,0.07074721780604133,1258
ok_plus_observed,eunomia.dev,write,config,84,0.06677265500794913,1258
ok_plus_observed,eunomia.dev,write,other,22,0.017488076311605722,1258
ok_plus_observed,agentskill-observability-paper,read,paper/docs,241,0.9958677685950413,242
ok_plus_observed,agentskill-observability-paper,read,code,0,0.0,242
ok_plus_observed,agentskill-observability-paper,read,test,0,0.0,242
ok_plus_observed,agentskill-observability-paper,read,config,1,0.004132231404958678,242
ok_plus_observed,agentskill-observability-paper,read,other,0,0.0,242
ok_plus_observed,agentskill-observability-paper,write,paper/docs,196,1.0,196
ok_plus_observed,agentskill-observability-paper,write,code,0,0.0,196
ok_plus_observed,agentskill-observability-paper,write,test,0,0.0,196
ok_plus_observed,agentskill-observability-paper,write,config,0,0.0,196
ok_plus_observed,agentskill-observability-paper,write,other,0,0.0,196
ok_plus_observed,academic-writing-skills,read,paper/docs,184,0.8846153846153846,208
ok_plus_observed,academic-writing-skills,read,code,16,0.07692307692307693,208
ok_plus_observed,academic-writing-skills,read,test,0,0.0,208
ok_plus_observed,academic-writing-skills,read,config,7,0.03365384615384615,208
ok_plus_observed,academic-writing-skills,read,other,1,0.004807692307692308,208
ok_plus_observed,academic-writing-skills,write,paper/docs,244,0.9682539682539683,252
ok_plus_observed,academic-writing-skills,write,code,7,0.027777777777777776,252
ok_plus_observed,academic-writing-skills,write,test,0,0.0,252
ok_plus_observed,academic-writing-skills,write,config,0,0.0,252
ok_plus_observed,academic-writing-skills,write,other,1,0.003968253968253968,252
ok_plus_observed,ALL_POOLED,read,paper/docs,18849,0.4346793349168646,43363
ok_plus_observed,ALL_POOLED,read,code,18739,0.43214261005926713,43363
ok_plus_observed,ALL_POOLED,read,test,916,0.02112399972326638,43363
ok_plus_observed,ALL_POOLED,read,config,1925,0.04439268500795609,43363
ok_plus_observed,ALL_POOLED,read,other,2934,0.06766137029264581,43363
ok_plus_observed,ALL_POOLED,write,paper/docs,13653,0.5482692153240704,24902
ok_plus_observed,ALL_POOLED,write,code,7982,0.3205365030921211,24902
ok_plus_observed,ALL_POOLED,write,test,601,0.02413460766203518,24902
ok_plus_observed,ALL_POOLED,write,config,1692,0.06794634969078789,24902
ok_plus_observed,ALL_POOLED,write,other,974,0.039113324230985465,24902
