project,worktree_id,session_id,source_stream_id,prompt_index,module_anchor,pairing_method,pair_key,test_paths,code_paths,order,first_test_event_index,first_code_event_index,test_artifacts,code_artifacts,test_mutation_episodes,code_mutation_episodes
agentsight,b5bc34dabe6a,codex:019f4e0a-4dcc-74f1-8660-ffcb102ce0a2,173bbb05583656a7,228,script,basename_pair,source_native_task_stack_eval.py,script/test_source_native_task_stack_eval.py,script/source_native_task_stack_eval.py,tied_same_tool_event,96055,96055,1,1,2,2
agentsight,b5bc34dabe6a,codex:019f4e0a-4dcc-74f1-8660-ffcb102ce0a2,173bbb05583656a7,249,script,basename_pair,agentcap_task_aggregation_case.py,script/test_agentcap_task_aggregation_case.py,script/agentcap_task_aggregation_case.py,tied_same_tool_event,97010,97010,1,1,2,2
agentsight,b5bc34dabe6a,codex:019f4e0a-4dcc-74f1-8660-ffcb102ce0a2,173bbb05583656a7,267,agentpprof,same_event_module_fallback,,agentpprof/tests/profile_spec_cli.rs,agentpprof/src/main.rs,tied_same_tool_event,97151,97151,1,1,1,1
agentsight,b5bc34dabe6a,codex:019f4e0a-4dcc-74f1-8660-ffcb102ce0a2,173bbb05583656a7,271,script,basename_pair,rq3_recursive_operation_segmentation_eval.py,script/test_rq3_recursive_operation_segmentation_eval.py,script/rq3_recursive_operation_segmentation_eval.py,code_first,97503,97501,1,1,2,4
agentsight,b5bc34dabe6a,codex:019f4e0a-4dcc-74f1-8660-ffcb102ce0a2,7dea63fdee615ced,161,script,basename_pair,hintbench_profile_localization_eval.py,script/test_hintbench_profile_localization_eval.py,script/hintbench_profile_localization_eval.py,code_first,62883,62813,1,1,3,17
agentsight,b5bc34dabe6a,codex:019f7e15-4172-7991-a03c-9c36dd5000bf,13ea38fc832b387d,1,frontend,basename_pair,agentflamesvg.ts,frontend/src/utils/agentflameSvg.test.ts,frontend/src/utils/agentflameSvg.ts,code_first,89809,89640,1,1,2,5
agentsight,b5bc34dabe6a,codex:019f7e15-4172-7991-a03c-9c36dd5000bf,13ea38fc832b387d,1,frontend,same_event_module_fallback,,frontend/scripts/agentflameSvg.test.cjs,frontend/src/components/AgentFlameGraph.tsx,tied_same_tool_event,89861,89861,1,1,1,1
agentsight,e58fce112c6e,claude:047ce1aa-9d25-4596-9aaa-f3562206109b,4c056fe6aa03a9ef,68,repo-root,basename_pair,btree.py,test_btree.py,btree.py,tied_same_tool_event,17509,17509,1,1,1,1
agentsight,e58fce112c6e,claude:5db7e4bd-3d95-46c0-8827-40cef1cf9f44,85b7887c56a2c7a7,1,repo-root,basename_pair,btree.py,test_btree.py,btree.py,code_first,17487,17485,1,1,1,1
agentsight,e58fce112c6e,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,ddfec2b8cbdc2087,99,bpf,same_event_module_fallback,,bpf/test_codex_offsets.c,bpf/codex_offsets.h,tied_same_tool_event,81098,81098,1,1,1,1
agentsight,e58fce112c6e,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,ddfec2b8cbdc2087,100,bpf,same_event_module_fallback,,bpf/test_codex_offsets.c,bpf/codex_offsets.h;bpf/sslsniff.c,tied_same_tool_event,81217,81217,1,2,1,2
agentsight,e58fce112c6e,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,ddfec2b8cbdc2087,108,bpf,same_event_module_fallback,,bpf/test_codex_offsets.c,bpf/codex_offsets.h,tied_same_tool_event,84244,84244,1,1,1,1
