variant,rank,behavior_key,total_weight,distinct_prompt_tags,top_prompt,top_prompt_weight,top_prompt_share_pct,ambiguous_weight,ambiguous_share_pct,distinct_prompt_delta_vs_raw,ambiguous_share_delta_vs_raw_pct_points,top_prompt_splits
raw,1,process:git;effect:read;status:ok,17028,146,refactor,5625,33.034,11403,66.966,0,0.0,refactor=5625; review=3879; design=868; test=781; analyze=685; research=571; docs=365; explain=291
alias_only,5,process:tool:tool;effect:process;status:ok,13242,88,refactor,6338,47.863,6904,52.137,-9,0.0,refactor=6338; review=1869; design=1448; analyze=797; test=615; docs=280; benchmark=251; ignored=206
profile_guarded_candidate_applied,5,process:tool:tool;effect:process;status:ok,13242,78,refactor,6341,47.886,6901,52.114,-19,-0.023,refactor=6341; review=1871; design=1448; analyze=799; test=674; docs=280; benchmark=251; ignored=206
r209_conservative_display,5,process:tool:tool;effect:process;status:ok,13242,88,refactor,6338,47.863,6904,52.137,-9,0.0,refactor=6338; review=1869; design=1448; analyze=797; test=615; docs=280; benchmark=251; ignored=206
raw,6,process:find;effect:read;status:ok,7729,131,refactor,2827,36.577,4902,63.423,0,0.0,refactor=2827; review=1336; design=789; analyze=632; test=359; research=209; benchmark=145; designcodex=118
alias_only,6,process:find;effect:read;status:ok,7729,121,refactor,2827,36.577,4902,63.423,-10,0.0,refactor=2827; review=1336; design=831; analyze=632; test=360; research=209; benchmark=154; docs=151
profile_guarded_candidate_applied,6,process:find;effect:read;status:ok,7729,108,refactor,2831,36.628,4898,63.372,-23,-0.051,refactor=2831; review=1355; design=955; analyze=645; test=446; research=226; benchmark=154; docs=151
r209_conservative_display,6,process:find;effect:read;status:ok,7729,121,refactor,2827,36.577,4902,63.423,-10,0.0,refactor=2827; review=1336; design=831; analyze=632; test=360; research=209; benchmark=154; docs=151
raw,7,process:nl;effect:read;status:ok,7437,75,review,2959,39.788,4478,60.212,0,0.0,review=2959; refactor=2517; design=326; docs=208; test=138; research=120; benchmark=112; reviewbu=110
alias_only,7,process:nl;effect:read;status:ok,7437,69,review,2959,39.788,4478,60.212,-6,0.0,review=2959; refactor=2517; design=422; docs=259; test=138; research=120; benchmark=112; reviewbu=110
profile_guarded_candidate_applied,7,process:nl;effect:read;status:ok,7437,60,review,3080,41.415,4357,58.585,-15,-1.627,review=3080; refactor=2518; design=464; docs=283; test=158; research=120; benchmark=112; analyze=83
r209_conservative_display,7,process:nl;effect:read;status:ok,7437,69,review,2959,39.788,4478,60.212,-6,0.0,review=2959; refactor=2517; design=422; docs=259; test=138; research=120; benchmark=112; reviewbu=110
raw,8,process:tool:tool;effect:process;status:observed,8138,58,refactor,4289,52.703,3849,47.297,0,0.0,refactor=4289; design=928; analyze=798; benchmark=600; test=521; review=251; debug=122; docs=96
alias_only,8,process:tool:tool;effect:process;status:observed,8138,53,refactor,4289,52.703,3849,47.297,-5,0.0,refactor=4289; design=928; analyze=798; benchmark=600; test=521; review=251; docs=154; debug=122
profile_guarded_candidate_applied,8,process:tool:tool;effect:process;status:observed,8138,47,refactor,4295,52.777,3843,47.223,-11,-0.074,refactor=4295; design=928; analyze=805; benchmark=600; test=543; review=251; docs=154; debug=122
r209_conservative_display,8,process:tool:tool;effect:process;status:observed,8138,53,refactor,4289,52.703,3849,47.297,-5,0.0,refactor=4289; design=928; analyze=798; benchmark=600; test=521; review=251; docs=154; debug=122
raw,9,process:python3;effect:process;status:ok,4528,83,refactor,1830,40.415,2698,59.585,0,0.0,refactor=1830; analyze=773; review=403; test=227; research=204; design=164; docs=107; commitlog=74
alias_only,9,process:python3;effect:process;status:ok,4528,72,refactor,1830,40.415,2698,59.585,-11,0.0,refactor=1830; analyze=776; review=403; test=227; research=204; docs=174; design=164; commitlog=74
profile_guarded_candidate_applied,9,process:python3;effect:process;status:ok,4528,63,refactor,1847,40.791,2681,59.209,-20,-0.376,refactor=1847; analyze=797; review=404; test=267; research=206; docs=174; design=164; commitlog=74
r209_conservative_display,9,process:python3;effect:process;status:ok,4528,72,refactor,1830,40.415,2698,59.585,-11,0.0,refactor=1830; analyze=776; review=403; test=227; research=204; docs=174; design=164; commitlog=74
raw,10,process:tool:read;effect:process;status:ok,3181,30,refactor,1717,53.977,1464,46.023,0,0.0,refactor=1717; review=565; test=206; design=124; docs=105; listfiles=52; workspace=48; build=43
alias_only,10,process:tool:read;effect:process;status:ok,3181,30,refactor,1717,53.977,1464,46.023,0,0.0,refactor=1717; review=565; test=206; design=124; docs=105; listfiles=52; workspace=48; build=43
profile_guarded_candidate_applied,10,process:tool:read;effect:process;status:ok,3181,29,refactor,1717,53.977,1464,46.023,-1,0.0,refactor=1717; review=567; test=206; design=124; docs=105; listfiles=52; workspace=48; build=43
r209_conservative_display,10,process:tool:read;effect:process;status:ok,3181,30,refactor,1717,53.977,1464,46.023,0,0.0,refactor=1717; review=565; test=206; design=124; docs=105; listfiles=52; workspace=48; build=43
raw,11,process:jq;effect:read;status:ok,1959,30,refactor,664,33.895,1295,66.105,0,0.0,refactor=664; review=520; analyze=237; test=185; design=85; research=52; benchmark=42; compare=39
alias_only,11,process:jq;effect:read;status:ok,1959,30,refactor,664,33.895,1295,66.105,0,0.0,refactor=664; review=520; analyze=237; test=185; design=85; research=52; benchmark=42; compare=39
profile_guarded_candidate_applied,11,process:jq;effect:read;status:ok,1959,27,refactor,665,33.946,1294,66.054,-3,-0.051,refactor=665; review=520; analyze=237; test=185; design=89; research=57; benchmark=42; compare=39
r209_conservative_display,11,process:jq;effect:read;status:ok,1959,30,refactor,664,33.895,1295,66.105,0,0.0,refactor=664; review=520; analyze=237; test=185; design=85; research=52; benchmark=42; compare=39
raw,12,process:tool:plan;effect:process;status:observed,2158,52,refactor,912,42.261,1246,57.739,0,0.0,refactor=912; design=218; review=218; research=151; analyze=132; benchmark=93; test=85; explain=76
alias_only,12,process:tool:plan;effect:process;status:observed,2158,47,refactor,912,42.261,1246,57.739,-5,0.0,refactor=912; design=221; review=218; research=151; analyze=132; benchmark=93; test=85; explain=76
profile_guarded_candidate_applied,12,process:tool:plan;effect:process;status:observed,2158,41,refactor,914,42.354,1244,57.646,-11,-0.093,refactor=914; design=228; review=218; research=151; analyze=132; test=96; benchmark=93; explain=76
r209_conservative_display,12,process:tool:plan;effect:process;status:observed,2158,47,refactor,912,42.261,1246,57.739,-5,0.0,refactor=912; design=221; review=218; research=151; analyze=132; benchmark=93; test=85; explain=76
raw,13,process:tail;effect:read;status:ok,2233,32,analyze,993,44.469,1240,55.531,0,0.0,analyze=993; refactor=375; design=340; test=213; docs=78; review=71; benchmark=52; compare=30
alias_only,13,process:tail;effect:read;status:ok,2233,30,analyze,993,44.469,1240,55.531,-2,0.0,analyze=993; refactor=375; design=340; test=213; docs=81; review=71; benchmark=52; compare=30
profile_guarded_candidate_applied,13,process:tail;effect:read;status:ok,2233,29,analyze,993,44.469,1240,55.531,-3,0.0,analyze=993; refactor=376; design=340; test=213; docs=81; review=71; benchmark=52; compare=30
r209_conservative_display,13,process:tail;effect:read;status:ok,2233,30,analyze,993,44.469,1240,55.531,-2,0.0,analyze=993; refactor=375; design=340; test=213; docs=81; review=71; benchmark=52; compare=30
raw,14,process:wc;effect:read;status:ok,2322,54,refactor,1091,46.985,1231,53.015,0,0.0,refactor=1091; review=579; design=70; docx=64; test=56; codexcheck=54; research=48; docs=42
alias_only,14,process:wc;effect:read;status:ok,2322,51,refactor,1091,46.985,1231,53.015,-3,0.0,refactor=1091; review=579; design=70; docx=64; test=56; codexcheck=54; research=48; docs=46
profile_guarded_candidate_applied,14,process:wc;effect:read;status:ok,2322,47,refactor,1093,47.071,1229,52.929,-7,-0.086,refactor=1093; review=584; design=104; test=70; docx=64; codexcheck=54; research=48; docs=46
r209_conservative_display,14,process:wc;effect:read;status:ok,2322,51,refactor,1091,46.985,1231,53.015,-3,0.0,refactor=1091; review=579; design=70; docx=64; test=56; codexcheck=54; research=48; docs=46
raw,15,process:cd;effect:process;status:ok,1637,25,refactor,417,25.473,1220,74.527,0,0.0,refactor=417; review=356; setup=172; test=152; lint=120; docs=118; build=92; serveevents=72
alias_only,15,process:cd;effect:process;status:ok,1637,25,refactor,417,25.473,1220,74.527,0,0.0,refactor=417; review=356; setup=172; test=152; lint=120; docs=118; build=92; serveevents=72
profile_guarded_candidate_applied,15,process:cd;effect:process;status:ok,1637,25,refactor,417,25.473,1220,74.527,0,0.0,refactor=417; review=356; setup=172; test=152; lint=120; docs=118; build=92; serveevents=72
r209_conservative_display,15,process:cd;effect:process;status:ok,1637,25,refactor,417,25.473,1220,74.527,0,0.0,refactor=417; review=356; setup=172; test=152; lint=120; docs=118; build=92; serveevents=72
raw,16,process:ls;effect:read;status:ok,2002,94,refactor,794,39.66,1208,60.34,0,0.0,refactor=794; review=259; design=207; test=128; analyze=103; docs=74; benchmark=55; research=43
alias_only,16,process:ls;effect:read;status:ok,2002,85,refactor,794,39.66,1208,60.34,-9,0.0,refactor=794; review=259; design=207; test=129; analyze=103; docs=99; benchmark=56; research=43
profile_guarded_candidate_applied,16,process:ls;effect:read;status:ok,2002,76,refactor,798,39.86,1204,60.14,-18,-0.2,refactor=798; review=262; design=207; test=150; analyze=103; docs=99; benchmark=56; research=45
r209_conservative_display,16,process:ls;effect:read;status:ok,2002,85,refactor,794,39.66,1208,60.34,-9,0.0,refactor=794; review=259; design=207; test=129; analyze=103; docs=99; benchmark=56; research=43
