protocol,task,dataset,query_family,objective,metric,direction,train_tasks,selected_policy,selected_train_mean,selected_target_value,selected_target_rank,best_visible_policy,best_visible_value,default_value,width_value,fixed_value,flat_value,selected_exact_best,selected_within_tolerance,selected_delta_vs_best,selected_delta_vs_default,selected_delta_vs_width,selected_delta_vs_fixed,selected_delta_vs_flat,selected_beats_default,selected_beats_width,selected_beats_fixed,selected_beats_flat,default_within_tolerance
leave_task,satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.0271,0.0852,6,fixed_session:query_aware,0.0037,0.0112,0.6366,0.0037,1.0,False,False,-0.0815,-0.074,0.5514,-0.0815,0.9148,False,True,False,True,True
leave_task,satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,2,dataset_native:query_aware,1.0,38.0,16.0,56.0,1.0,False,True,0.0,37.0,15.0,55.0,0.0,True,True,True,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,4,dataset_native:query_aware,1.0,0.2841,0.0,0.0455,1.0,False,True,0.0,0.7159,1.0,0.9545,0.0,True,True,True,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:width,0.5961,1.0,5,dataset_native:query_aware,1.0,1.0,0.2841,0.9318,0.0,False,True,0.0,0.0,0.7159,0.0682,1.0,False,True,True,True,True
leave_task,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.764,0.448,0.444,0.0,True,True,0.0,0.764,0.448,0.444,0.0,True,True,True,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,5,dataset_native:query_aware,0.47,0.0797,6,operation_stack:query_aware,0.0886,0.0886,0.0687,0.0799,0.0594,False,True,-0.0089,-0.0089,0.011,-0.0002,0.0203,False,True,False,True,True
leave_task,agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,5,flat:query_aware,0.3921,0.1121,2,raw_action_stack:width,0.1123,0.0067,0.1096,0.023,0.1121,False,True,-0.0002,0.1054,0.0025,0.0891,0.0,True,True,True,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,5,operation_stack:query_aware,0.4536,0.4382,1,operation_stack:query_aware,0.4382,0.4382,0.3307,0.4062,0.0,True,True,0.0,0.0,0.1075,0.032,0.4382,False,True,True,True,True
leave_task,agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.044,0.0007,2,operation_stack:query_aware,0.0007,0.0007,0.0821,0.0017,1.0,False,True,0.0,0.0,0.0814,0.001,0.9993,False,True,True,True,True
leave_task,agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,186.0,10.0,326.0,1.0,True,True,0.0,185.0,9.0,325.0,0.0,True,True,True,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,0.002,0.3446,0.008,1.0,True,True,0.0,0.998,0.6554,0.992,0.0,True,True,True,False,False
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:width,0.7336,0.3127,10,operation_stack:visible_risk,0.4223,0.4044,0.3486,0.3606,0.0,False,False,-0.1096,-0.0917,-0.0359,-0.0479,0.3127,False,False,False,True,True
leave_task,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3485,0.3904,0.3006,0.0,True,True,0.0,0.3485,0.3904,0.3006,0.0,True,True,True,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,5,dataset_native:query_aware,0.4705,0.0772,8,operation_stack:query_aware,0.0875,0.0875,0.0863,0.0788,0.0728,False,True,-0.0103,-0.0103,-0.0091,-0.0016,0.0044,False,False,False,True,True
leave_task,agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,5,flat:query_aware,0.3874,0.1357,2,raw_action_stack:width,0.1419,0.0316,0.1325,0.022,0.1357,False,True,-0.0062,0.1041,0.0032,0.1137,0.0,True,True,True,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,5,operation_stack:query_aware,0.4706,0.3533,1,operation_stack:query_aware,0.3533,0.3533,0.3438,0.3302,0.0,True,True,0.0,0.0,0.0095,0.0231,0.3533,False,True,True,True,True
leave_task,agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.0439,0.0011,1,operation_stack:visible_risk,0.0011,0.0051,0.0948,0.0013,1.0,True,True,0.0,0.004,0.0937,0.0002,0.9989,True,True,True,True,True
leave_task,agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,157.0,8.0,272.0,1.0,True,True,0.0,156.0,7.0,271.0,0.0,True,True,True,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,0.0183,0.3813,0.0114,1.0,True,True,0.0,0.9817,0.6187,0.9886,0.0,True,True,True,False,False
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:width,0.7308,0.3265,8,operation_stack:visible_risk,0.3744,0.3311,0.3721,0.2854,0.0,False,False,-0.0479,-0.0046,-0.0456,0.0411,0.3265,False,False,True,True,False
leave_task,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3206,0.3461,0.2568,0.0,True,True,0.0,0.3206,0.3461,0.2568,0.0,True,True,True,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,higher,5,dataset_native:query_aware,0.4464,0.1977,8,fixed_session:query_aware,0.2345,0.2254,0.2217,0.2345,0.1905,False,False,-0.0368,-0.0277,-0.024,-0.0368,0.0072,False,False,False,True,True
leave_task,osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,higher,5,raw_action_stack:width,0.3511,0.305,7,flat:query_aware,0.32,0.2469,0.297,0.0624,0.32,False,True,-0.015,0.0581,0.008,0.2426,-0.015,True,True,True,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,budget30_operation_recall,budget30_recall,higher,5,operation_stack:query_aware,0.4818,0.2971,6,operation_stack:width,0.4241,0.2971,0.4241,0.3508,0.0,False,False,-0.127,0.0,-0.127,-0.0537,0.2971,False,False,False,True,False
leave_task,osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.0432,0.0045,2,fixed_session:visible_risk,0.004,0.1311,0.1331,0.005,1.0,False,True,-0.0005,0.1266,0.1286,0.0005,0.9955,True,True,True,True,False
leave_task,osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,3,dataset_native:visible_risk,1.0,62.0,4.0,107.0,1.0,False,True,0.0,61.0,3.0,106.0,0.0,True,True,True,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,0.2418,0.3115,0.0205,1.0,True,True,0.0,0.7582,0.6885,0.9795,0.0,True,True,True,False,False
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:visible_risk,0.7147,0.3689,6,dataset_native:query_aware,0.5451,0.2459,0.2705,0.2336,0.0,False,False,-0.1762,0.123,0.0984,0.1353,0.3689,True,True,True,True,False
leave_task,osworld_group_start,osworld-human,human-boundary,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3406,0.2781,0.2031,0.0,True,True,0.0,0.3406,0.2781,0.2031,0.0,True,True,True,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,higher,4,dataset_native:query_aware,0.2786,0.7989,5,operation_stack:query_aware,0.8808,0.8808,0.7653,0.8672,0.6914,False,False,-0.0819,-0.0819,0.0336,-0.0683,0.1075,False,True,False,True,True
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,higher,4,flat:query_aware,0.2053,0.8175,4,dataset_native:query_aware,0.8175,0.7593,0.6819,0.367,0.8175,False,True,0.0,0.0582,0.1356,0.4505,0.0,True,True,True,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,budget30_operation_recall,budget30_recall,higher,4,dataset_native:query_aware,0.503,0.3452,6,operation_stack:query_aware,0.3988,0.3988,0.3532,0.3611,0.0,False,False,-0.0536,-0.0536,-0.008,-0.0159,0.3452,False,False,False,True,True
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,lower,4,fixed_session:query_aware,0.0029,0.0412,3,raw_action_stack:visible_risk,0.0014,0.2058,0.2058,0.0412,1.0,False,False,-0.0398,0.1646,0.1646,0.0,0.9588,True,True,False,True,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,lower,4,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,3.0,4.0,10.0,1.0,True,True,0.0,2.0,3.0,9.0,0.0,True,True,True,False,True
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_top5_session_recall,top5_positive_session_recall,higher,4,flat:query_aware,1.0,1.0,4,dataset_native:query_aware,1.0,0.9412,0.8824,0.2353,1.0,False,True,0.0,0.0588,0.1176,0.7647,0.0,True,True,True,False,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_recall,budget30_positive_session_recall,higher,4,dataset_native:query_aware,0.572,0.4118,6,operation_stack:visible_risk,0.8824,0.5294,0.4118,0.4118,0.0,False,False,-0.4706,-0.1176,0.0,0.0,0.4118,False,False,False,True,False
leave_dataset,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_work,budget30_session_work,lower,4,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3448,0.3448,0.3448,0.0,True,True,0.0,0.3448,0.3448,0.3448,0.0,True,True,True,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,higher,4,dataset_native:query_aware,0.2786,0.5166,2,fixed_session:width,1.0,0.3979,0.3661,0.4606,0.2771,False,False,-0.4834,0.1187,0.1505,0.056,0.2395,True,True,True,True,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,higher,4,flat:query_aware,0.2053,0.4339,6,fixed_session:width,0.8129,0.1494,0.4061,0.0,0.4339,False,False,-0.379,0.2845,0.0278,0.4339,0.0,True,True,True,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_operation_recall,budget30_recall,higher,4,dataset_native:query_aware,0.503,0.0,8,fixed_session:width,1.0,0.3812,0.3069,0.0,0.0,False,False,-1.0,-0.3812,-0.3069,0.0,0.0,False,False,False,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,lower,4,fixed_session:query_aware,0.0029,0.3471,7,operation_stack:query_aware,0.0645,0.0645,0.2058,0.3471,1.0,False,False,-0.2826,-0.2826,-0.1413,0.0,0.6529,False,False,False,True,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,lower,4,flat:query_aware,1.0,1.0,4,dataset_native:query_aware,1.0,17.0,2.0,7.0,1.0,False,True,0.0,16.0,1.0,6.0,0.0,True,True,True,False,False
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_top5_session_recall,top5_positive_session_recall,higher,4,flat:query_aware,1.0,1.0,5,dataset_native:query_aware,1.0,1.0,1.0,0.0,1.0,False,True,0.0,0.0,0.0,1.0,0.0,False,False,True,False,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_recall,budget30_positive_session_recall,higher,4,dataset_native:query_aware,0.572,0.0,8,fixed_session:width,1.0,1.0,1.0,0.0,0.0,False,False,-1.0,-1.0,-1.0,0.0,0.0,False,False,False,False,True
leave_dataset,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_work,budget30_session_work,lower,4,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.8966,0.3103,0.4828,0.0,True,True,0.0,0.8966,0.3103,0.4828,0.0,True,True,True,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,higher,5,fixed_session:width,0.3988,0.0797,15,dataset_native:query_aware,0.7598,0.4875,0.1003,0.5059,0.1452,False,False,-0.6801,-0.4078,-0.0206,-0.4262,-0.0655,False,False,False,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,higher,5,raw_action_stack:width,0.3682,0.2195,9,operation_stack:query_aware,0.4065,0.4065,0.0,0.1047,0.2535,False,False,-0.187,-0.187,0.2195,0.1148,-0.034,False,True,True,False,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,budget30_operation_recall,budget30_recall,higher,5,fixed_session:width,0.4073,0.0,12,dataset_native:query_aware,1.0,0.8376,0.1125,0.865,0.0,False,False,-1.0,-0.8376,-0.1125,-0.865,0.0,False,False,False,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.0271,0.0852,6,fixed_session:query_aware,0.0037,0.0112,0.6366,0.0037,1.0,False,False,-0.0815,-0.074,0.5514,-0.0815,0.9148,False,True,False,True,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,2,dataset_native:query_aware,1.0,38.0,16.0,56.0,1.0,False,True,0.0,37.0,15.0,55.0,0.0,True,True,True,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,4,dataset_native:query_aware,1.0,0.2841,0.0,0.0455,1.0,False,True,0.0,0.7159,1.0,0.9545,0.0,True,True,True,False,False
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:width,0.5961,1.0,5,dataset_native:query_aware,1.0,1.0,0.2841,0.9318,0.0,False,True,0.0,0.0,0.7159,0.0682,1.0,False,True,True,True,True
leave_dataset,satraj_unsafe,satraj-os-safety,safety,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.764,0.448,0.444,0.0,True,True,0.0,0.764,0.448,0.444,0.0,True,True,True,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,4,dataset_native:query_aware,0.5683,0.0797,6,operation_stack:query_aware,0.0886,0.0886,0.0687,0.0799,0.0594,False,True,-0.0089,-0.0089,0.011,-0.0002,0.0203,False,True,False,True,True
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,4,flat:query_aware,0.4562,0.1121,2,raw_action_stack:width,0.1123,0.0067,0.1096,0.023,0.1121,False,True,-0.0002,0.1054,0.0025,0.0891,0.0,True,True,True,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,4,operation_stack:query_aware,0.4787,0.4382,1,operation_stack:query_aware,0.4382,0.4382,0.3307,0.4062,0.0,True,True,0.0,0.0,0.1075,0.032,0.4382,False,True,True,True,True
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,4,operation_stack:visible_risk,0.0547,0.0007,2,operation_stack:query_aware,0.0007,0.0007,0.0821,0.0017,1.0,False,True,0.0,0.0,0.0814,0.001,0.9993,False,True,True,True,True
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,4,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,186.0,10.0,326.0,1.0,True,True,0.0,185.0,9.0,325.0,0.0,True,True,True,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,4,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,0.002,0.3446,0.008,1.0,True,True,0.0,0.998,0.6554,0.992,0.0,True,True,True,False,False
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,4,raw_action_stack:width,0.8354,0.3127,10,operation_stack:visible_risk,0.4223,0.4044,0.3486,0.3606,0.0,False,False,-0.1096,-0.0917,-0.0359,-0.0479,0.3127,False,False,False,True,True
leave_dataset,agentnet_incorrect_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,4,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3485,0.3904,0.3006,0.0,True,True,0.0,0.3485,0.3904,0.3006,0.0,True,True,True,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,4,dataset_native:query_aware,0.5683,0.0772,8,operation_stack:query_aware,0.0875,0.0875,0.0863,0.0788,0.0728,False,True,-0.0103,-0.0103,-0.0091,-0.0016,0.0044,False,False,False,True,True
leave_dataset,agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,4,flat:query_aware,0.4562,0.1357,2,raw_action_stack:width,0.1419,0.0316,0.1325,0.022,0.1357,False,True,-0.0062,0.1041,0.0032,0.1137,0.0,True,True,True,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,budget30_operation_recall,budget30_recall,higher,4,operation_stack:query_aware,0.4787,0.3533,1,operation_stack:query_aware,0.3533,0.3533,0.3438,0.3302,0.0,True,True,0.0,0.0,0.0095,0.0231,0.3533,False,True,True,True,True
leave_dataset,agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,4,operation_stack:visible_risk,0.0547,0.0011,1,operation_stack:visible_risk,0.0011,0.0051,0.0948,0.0013,1.0,True,True,0.0,0.004,0.0937,0.0002,0.9989,True,True,True,True,True
leave_dataset,agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,4,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,157.0,8.0,272.0,1.0,True,True,0.0,156.0,7.0,271.0,0.0,True,True,True,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_top5_session_recall,top5_positive_session_recall,higher,4,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,0.0183,0.3813,0.0114,1.0,True,True,0.0,0.9817,0.6187,0.9886,0.0,True,True,True,False,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_recall,budget30_positive_session_recall,higher,4,raw_action_stack:width,0.8354,0.3265,8,operation_stack:visible_risk,0.3744,0.3311,0.3721,0.2854,0.0,False,False,-0.0479,-0.0046,-0.0456,0.0411,0.3265,False,False,True,True,False
leave_dataset,agentnet_redundant_step,agentnet,step-quality,sequence_budget30_session_work,budget30_session_work,lower,4,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3206,0.3461,0.2568,0.0,True,True,0.0,0.3206,0.3461,0.2568,0.0,True,True,True,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,higher,5,dataset_native:query_aware,0.4464,0.1977,8,fixed_session:query_aware,0.2345,0.2254,0.2217,0.2345,0.1905,False,False,-0.0368,-0.0277,-0.024,-0.0368,0.0072,False,False,False,True,True
leave_dataset,osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,higher,5,raw_action_stack:width,0.3511,0.305,7,flat:query_aware,0.32,0.2469,0.297,0.0624,0.32,False,True,-0.015,0.0581,0.008,0.2426,-0.015,True,True,True,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,budget30_operation_recall,budget30_recall,higher,5,operation_stack:query_aware,0.4818,0.2971,6,operation_stack:width,0.4241,0.2971,0.4241,0.3508,0.0,False,False,-0.127,0.0,-0.127,-0.0537,0.2971,False,False,False,True,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.0432,0.0045,2,fixed_session:visible_risk,0.004,0.1311,0.1331,0.005,1.0,False,True,-0.0005,0.1266,0.1286,0.0005,0.9955,True,True,True,True,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,3,dataset_native:visible_risk,1.0,62.0,4.0,107.0,1.0,False,True,0.0,61.0,3.0,106.0,0.0,True,True,True,False,False
leave_dataset,osworld_group_start,osworld-human,human-boundary,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,0.2418,0.3115,0.0205,1.0,True,True,0.0,0.7582,0.6885,0.9795,0.0,True,True,True,False,False
