process,total_weight,top_prompt,top_prompt_weight,top_prompt_share_pct,distinct_prompt_tags,top_prompt_splits
date,59,refactor,27,45.763,7,refactor=27; review=19; ignored=6; backup=2; branding=2; design=2; analyze=1
node,57,review,17,29.825,10,review=17; trace=12; test=9; metrics=5; branding=5; login=2; docs=2; merge=2; refactor=2; feedback=1
cp,56,refactor,14,25.0,9,refactor=14; analysis=12; review=8; docs=6; feedback=6; testcodex=4; test=2; analyze=2; tag=2
sqlite3,56,review,21,37.5,13,review=21; test=14; report=4; trace=3; analyze=2; backup=2; analysis=2; research=2; docgen=2; extract=1; tag=1; feedback=1
agentsight-userflow,56,analysis,42,75.0,3,analysis=42; design=12; debug=2
gcc,56,refactor,40,71.429,6,refactor=40; debug=7; review=4; constraints=2; research=2; docs=1
observer,54,design,30,55.556,6,design=30; refactor=15; compare=3; review=3; test=2; analyze=1
profiling,54,refactor,24,44.444,5,refactor=24; review=13; design=12; test=4; analyze=1
bpfrejit_corpus_apps_katran,52,refactor,11,21.154,10,refactor=11; test=11; design=8; research=6; review=5; configyaml=4; build=3; bin=2; analyze=1; compare=1
test_mode_native-loader-smoke,50,refactor,40,80.0,3,refactor=40; validate=8; review=2
timeout_3600,50,refactor,31,62.0,4,refactor=31; review=16; test=2; verify=1
opencode,49,docwrite,14,28.571,6,docwrite=14; test=13; docs=10; perfstrace=10; refactor=1; review=1
micro_stage2.yaml,48,refactor,34,70.833,3,refactor=34; benchmark=12; analyze=2
pstree,46,refactor,22,47.826,6,refactor=22; test=18; compare=2; review=2; commit=1; testcodex=1
file,44,review,17,38.636,11,review=17; refactor=10; design=4; research=3; backup=2; analysis=2; docwrite=2; merge=1; analyzesess=1; benchmark=1; compare=1
openai_api_key_dummy,42,analyze,42,100.0,1,analyze=42
30,42,refactor,34,80.952,4,refactor=34; analysis=4; analyze=2; review=2
llvm-nm,42,design,30,71.429,7,design=30; refactor=5; benchmark=2; review=2; analyze=1; graphrefine=1; report=1
llama-server,41,analyze,25,60.976,4,analyze=25; testcodexrun=12; tag=2; testcodexcod=2
180s,41,review,37,90.244,2,review=37; test=4
xelatex,40,analyze,32,80.0,4,analyze=32; analyzesess=6; design=1; review=1
60s,40,research,36,90.0,3,research=36; test=2; trace=2
check-examples.sh,40,explain,26,65.0,2,explain=26; research=14
3s,40,design,14,35.0,4,design=14; refactor=14; review=6; testcodex=6
pdfinfo,38,analyze,11,28.947,6,analyze=11; review=10; docs=10; coverpage=4; research=2; analyzesess=1
pythonpath_agentflame,38,tag,30,78.947,2,tag=30; analyze=8
strings,38,review,23,60.526,6,review=23; docs=8; test=4; feedback=1; refactor=1; testcodex=1
native_asm_to_handcraft_bpf_cf.py,38,refactor,38,100.0,1,refactor=38
true,37,test,10,27.027,20,test=10; design=3; refactor=3; analyze=2; todo=2; trace=2; docgen=2; docs=1; perfstrace=1; doc=1; mapinline=1; review=1
systemctl,37,cleanup,8,21.622,11,cleanup=8; analyze=7; refactor=3; gcutoff=3; review=3; network=3; push=3; syncdir=2; test=2; trace=2; ossmaint=1
5,36,refactor,17,47.222,5,refactor=17; review=13; blog=2; question=2; test=2
cmp,36,research,14,38.889,6,research=14; review=9; foldersetup=6; testcodex=4; refactor=2; trace=1
ss,35,review,19,54.286,7,review=19; analyze=9; test=3; agentsight=1; network=1; preview=1; push=1
agentsight_real_claude_smoke_1,34,review,26,76.471,3,review=26; feedback=6; refactor=2
6s,34,review,28,82.353,2,review=28; refactor=6
unknown,33,refactor,12,36.364,8,refactor=12; review=10; test=4; commit=2; docs=2; cisetup=1; meta=1; research=1
pkill,31,review,11,35.484,9,review=11; design=6; refactor=4; metrics=3; trace=2; storageanayl=2; doc=1; feedback=1; merge=1
gdb,30,research,14,46.667,3,research=14; review=14; refactor=2
setsid,30,trace,10,33.333,5,trace=10; review=8; network=5; push=5; test=2
chmod,28,docupdate,8,28.571,9,docupdate=8; research=7; refactor=3; review=2; analysis=2; bin=2; explain=2; syncsync=1; testrewrite=1
lsof,28,diskfull,6,21.429,10,diskfull=6; network=5; push=5; testlog=3; deployed=2; review=2; trace=2; commit=1; test=1; testcodex=1
pahole,28,design,24,85.714,2,design=24; refactor=4
bpfrejit_bench_passes_lea,28,refactor,24,85.714,5,refactor=24; compare=1; graphrefine=1; report=1; test=1
progdir_cat,28,refactor,28,100.0,1,refactor=28
mktemp,27,review,21,77.778,5,review=21; commit=2; design=2; branching=1; refactor=1
read,26,docs,16,61.538,4,docs=16; plan=6; design=2; install=2
bench_flow_5tuple_rss_hash,26,refactor,26,100.0,1,refactor=26
xxd,26,refactor,13,50.0,7,refactor=13; review=5; match=3; test=2; debug=1; research=1; trace=1
int,26,test,9,34.615,3,test=9; trace=9; review=8
touch,25,refactor,18,72.0,3,refactor=18; test=6; tag=1
diff,24,refactor,13,54.167,4,refactor=13; review=9; debug=1; research=1
yunwei37,24,review,12,50.0,3,review=12; test=8; metrics=4
20s,24,design,14,58.333,6,design=14; review=4; feedback=2; install=2; test=1; trace=1
body_cat,24,review,16,66.667,2,review=16; branding=8
ruby,24,branding,13,54.167,7,branding=13; design=4; refactor=3; npmpr=1; setup=1; commit=1; install=1
agentsight_real_claude_tool_smoke_1,24,review,15,62.5,3,review=15; feedback=5; refactor=4
agentsight_real_gemini_smoke_1,24,refactor,18,75.0,3,refactor=18; feedback=3; review=3
tmpdir_real_cat,24,test,24,100.0,1,test=24
latest_find,24,refactor,16,66.667,3,refactor=16; test=6; review=2
nm,24,refactor,20,83.333,3,refactor=20; review=3; research=1
katran_live_host_jit_date_+_y_m_d_h_m_s,24,research,24,100.0,1,research=24
chromium,24,review,14,58.333,3,review=14; trace=9; test=1
install,23,refactor,9,39.13,5,refactor=9; design=6; review=4; cleanup=2; gcutoff=2
pdftotext,22,coverpage,10,45.455,4,coverpage=10; research=5; docs=4; review=3
monitor,22,design,10,45.455,5,design=10; refactor=5; review=3; test=3; analyze=1
bpfrejit_bench_passes_default,22,refactor,16,72.727,5,refactor=16; graphrefine=2; report=2; review=1; test=1
actplane_rebuild_bpf_1,22,refactor,8,36.364,7,refactor=8; design=7; diffpatch=2; inspect=2; review=1; testcodex=1; testrewrite=1
npx,21,review,7,33.333,5,review=7; refactor=6; tag=5; analyze=2; test=1
rmdir,21,refactor,11,52.381,4,refactor=11; review=8; syncdir=1; build=1
head_lines_git,20,design,16,80.0,2,design=16; review=4
ldd,20,review,6,30.0,6,review=6; refactor=5; test=5; docwrite=2; debug=1; merge=1
timeout_1800,20,refactor,18,90.0,2,refactor=18; debug=2
agentsight_sync_vendor_1,20,review,14,70.0,5,review=14; test=2; trace=2; build=1; comment=1
id,18,test,6,33.333,9,test=6; review=3; analyze=2; eval=2; research=1; commit=1; debug=1; merge=1; trace=1
gemini,18,review,5,27.778,7,review=5; docs=3; perfstrace=3; refactor=2; research=2; test=2; feedback=1
bench_bitmap_popcount_scan,18,refactor,15,83.333,3,refactor=15; test=2; debug=1
bpfrejit_bench_passes_noop_const_prop,18,refactor,17,94.444,2,refactor=17; debug=1
bpfrejit_bench_passes_noop_map_inline_const_prop_dce_rotate_cond_select_extract_endian_fusion_lea_ccmp_bulk_memory_prefetch_wide_mem_bounds_check_merge_skb_load_bytes_spec_noop_const_prop,18,refactor,18,100.0,1,refactor=18
balancer_ingress,18,foldersetup,9,50.0,2,foldersetup=9; research=9
uname,17,refactor,4,23.529,8,refactor=4; compare=2; research=2; review=2; docs=2; enable=2; test=2; testcodex=1
prod,16,refactor,8,50.0,2,refactor=8; review=8
findmnt,16,diskfull,16,100.0,1,diskfull=16
task_smoke_new_date,16,docs,16,100.0,1,docs=16
helpers_bpf_map_lookup_elem_bpf_map_update_elem_bpf_map_delete_elem_bpf_probe_read_compat_bpf_ktime_get_ns_bpf_trace_printk_bpf_get_prandom_u32_bpf_get_smp_processor_id_bpf_skb_store_bytes_bpf_l3_csum_replace_bpf_l4_csum_replace_bpf_tail_call_bpf_clone_redirect_bpf_get_current_pid_tgid_bpf_get_current_uid_gid_bpf_get_current_comm_bpf_get_cgroup_classid_bpf_skb_vlan_push_bpf_skb_vlan_pop_bpf_skb_get_tunnel_key_bpf_skb_set_tunnel_key_bpf_redirect_bpf_get_route_realm_bpf_perf_event_output_bpf_skb_load_bytes_bpf_get_stackid_bpf_csum_diff_bpf_skb_get_tunnel_opt_bpf_skb_set_tunnel_opt_bpf_skb_change_proto_bpf_skb_change_type_bpf_skb_under_cgroup_bpf_get_hash_recalc_bpf_get_current_task_bpf_current_task_under_cgroup_bpf_skb_change_tail_bpf_skb_pull_data_bpf_csum_update_bpf_set_hash_invalid_bpf_get_numa_node_id_bpf_skb_change_head_bpf_xdp_adjust_head_bpf_probe_read_compat_str_bpf_get_socket_cookie_bpf_get_socket_uid_bpf_set_hash_bpf_skb_adjust_room_bpf_redirect_map_bpf_xdp_adjust_meta_bpf_xdp_adjust_tail_bpf_get_stack_bpf_fib_lookup_bpf_get_current_cgroup_id_bpf_sk_lookup_udp_bpf_sk_release_bpf_skc_lookup_tcp_bpf_jiffies64_bpf_sk_assign_bpf_redirect_neigh_bpf_redirect_peer_bpf_probe_read_user_bpf_probe_read_kernel_bpf_probe_read_user_str_bpf_probe_read_kernel_str_bpf_ktime_get_boot_ns_bpf_ringbuf_reserve_bpf_ringbuf_submit_bpf_xdp_get_buff_len_bpf_xdp_load_bytes_bpf_xdp_store_bytes_bpf_user_rnd_u32_bpf_xdp_fib_lookup_bpf_skb_fib_lookup_bpf_xdp_redirect_map_bpf_tc_skc_lookup_tcp_bpf_xdp_skc_lookup_tcp_bpf_tc_sk_lookup_udp_bpf_xdp_sk_lookup_udp_bpf_sock_addr_sk_lookup_udp_memset_memcpy_memmove,16,design,16,100.0,1,design=16
bpfrejit_image_build_1,16,refactor,8,50.0,4,refactor=8; explain=4; graphrefine=2; report=2
clang++,16,refactor,16,100.0,1,refactor=16
timeout_7200,16,refactor,16,100.0,1,refactor=16
old_ss,16,refactor,7,43.75,4,refactor=7; merge=5; review=3; debug=1
4s,16,review,16,100.0,1,review=16
policy-corpus.sh,16,refactor,5,31.25,7,refactor=5; review=3; design=2; diffpatch=2; inspect=2; test=1; testcodex=1
30s,15,review,6,40.0,4,review=6; docs=3; perfstrace=3; refactor=3
90s,15,review,6,40.0,4,review=6; research=4; docgen=4; refactor=1
readlink,15,ignored,3,20.0,8,ignored=3; refactor=3; update=3; docwrite=2; network=1; push=1; review=1; test=1
llama-cli,14,design,8,57.143,3,design=8; testcodexrun=4; testcodexcod=2
cc,14,refactor,6,42.857,3,refactor=6; review=4; testcodex=4
agentsight-latest-smoke,14,review,14,100.0,1,review=14
clang-format,14,review,8,57.143,2,review=8; refactor=6
comm,14,refactor,9,64.286,2,refactor=9; review=5
pdftoppm,14,research,14,100.0,1,research=14
pktgen,14,review,7,50.0,2,review=7; test=7
rsync,13,refactor,7,53.846,2,refactor=7; review=6
hf,12,design,12,100.0,1,design=12
ai-agent-trace-backups,12,backup,8,66.667,2,backup=8; review=4
rust_current_rg,12,review,12,100.0,1,review=12
task_ls,12,analyze,6,50.0,2,analyze=6; design=6
smoke_new_20260304_223156,12,docs,12,100.0,1,docs=12
while,12,refactor,8,66.667,4,refactor=8; analyze=2; review=1; test=1
next_telemetry_disabled_1,12,refactor,8,66.667,2,refactor=8; deployed=4
x86_kvm_corpus_20260524_071652_551718,12,design,12,100.0,1,design=12
native_asm_to_handcraft.py,12,refactor,11,91.667,2,refactor=11; explain=1
bench_siphash_rotate64_mixer_handcraft,12,refactor,8,66.667,3,refactor=8; test=3; kinsn=1
bench_packet_toeplitz_rss_hash,12,refactor,12,100.0,1,refactor=12
llvm_kinsn_programs_date_+_y_m_d_h_m_s,12,refactor,12,100.0,1,refactor=12
bpfopt-katran-debug.vo4oxz,12,mapinline,6,50.0,2,mapinline=6; refactor=6
rustc,11,refactor,8,72.727,4,refactor=8; cisetup=1; meta=1; design=1
8,10,refactor,3,30.0,5,refactor=3; review=3; docs=2; commit=1; design=1
12,10,commit,6,60.0,2,commit=6; design=4
strace,10,review,7,70.0,3,review=7; design=2; feedback=1
swebench_example_20260304_233348,10,analyze,6,60.0,2,analyze=6; testdocs=4
otelcol-ebpf-profiler__profiling.baseline.log,10,design,8,80.0,3,design=8; analyze=1; test=1
x86_kvm_corpus_20260524_213823_386885,10,analyze,5,50.0,2,analyze=5; test=5
bench_bitmap_popcount_scan_bitmap_popcount_scan_handcraft_trace_event_type_switch_dispatch_trace_event_type_switch_dispatch_handcraft_siphash_rotate64_mixer_siphash_rotate64_mixer_handcraft_packed_header_bitfield_decode_packed_header_bitfield_decode_handcraft_packet_toeplitz_rss_hash_packet_toeplitz_rss_hash_handcraft,10,refactor,10,100.0,1,refactor=10
bench_cgroup_skb_hash_chain,10,refactor,10,100.0,1,refactor=10
x86_kvm_corpus_20260524_200649_820430,10,refactor,5,50.0,2,refactor=5; review=5
x86_kvm_corpus_20260525_035337_555709,10,refactor,5,50.0,2,refactor=5; test=5
samples_3,10,test,5,50.0,2,test=5; trace=5
bpfopt_loader-b789dc3587b8352a,10,review,3,30.0,6,review=3; mapinline=2; refactor=2; debug=1; research=1; test=1
chown,10,review,6,60.0,3,review=6; feedback=3; research=1
sslsniff,10,review,6,60.0,2,review=6; refactor=4
dist,9,feedback,3,33.333,4,feedback=3; review=3; tag=2; branding=1
ldconfig,9,refactor,6,66.667,4,refactor=6; review=1; test=1; design=1
rust_backtrace_1,8,analyze,2,25.0,5,analyze=2; network=2; push=2; mapinline=1; refactor=1
f_find,8,backup,8,100.0,1,backup=8
names_agentsight,8,branding,7,87.5,2,branding=7; design=1
journalctl,8,diskfull,2,25.0,4,diskfull=2; cleanup=2; cleanups=2; review=2
dockerd,8,cleanup,4,50.0,3,cleanup=4; gcutoff=3; review=1
container_agentsight-openclaw-attach-,8,docs,4,50.0,2,docs=4; perfstrace=4
agentsight_real_cli_smoke_1,8,research,8,100.0,1,research=8
process_new,8,trace,4,50.0,3,trace=4; codex=2; docs=2
swebench_fallback_model_haiku,8,docs,8,100.0,1,docs=8
bench_bitmap_popcount_scan_handcraft_trace_event_type_switch_dispatch_handcraft_siphash_rotate64_mixer_handcraft_packed_header_bitfield_decode_handcraft_packet_toeplitz_rss_hash_handcraft,8,refactor,7,87.5,2,refactor=7; analysis=1
fuzz_rounds_1,8,analyze,4,50.0,2,analyze=4; refactor=4
cilium__agent.baseline.log,8,design,8,100.0,1,design=8
opts_-dskip_debug_1_-denable_ipv4_1_-denable_ipv6_1_-denable_routing_1_-dpolicy_verdict_notify_1_-dmonitor_aggregation_3_-dct_report_flags_0x0002_-denable_host_firewall_1_-denable_srv6_1_-denable_l7_lb_1_-denable_masquerade_ipv4_1_-denable_ip_masq_agent_ipv4_1_-denable_masquerade_ipv6_1_-denable_ip_masq_agent_ipv6_1_-denable_nodeport_1_-denable_nodeport_acceleration_1_-denable_dsr_icmp_errors_1_-denable_dsr_1_-denable_dsr_byuser_1_-denable_bandwidth_manager_1_-denable_egress_gateway_1_-denable_vtep_1_-denable_host_routing_1_-denable_cluster_aware_addressing_1_-denable_inter_cluster_snat_1_-denable_nat_46x64_1_-denable_nat_46x64_gateway_1_-dencap_ifindex_1_-dtunnel_mode_1_-dlb_selection_per_service_1_-dlb_selection_maglev_2_-dlb_selection_random_1_-denable_ipsec_1,8,design,8,100.0,1,design=8
bench_siphash_rotate64_mixer_siphash_rotate64_mixer_handcraft,8,refactor,7,87.5,2,refactor=7; kinsn=1
bench_payload_prefix_memcmp_scan,8,refactor,8,100.0,1,refactor=8
bpfbench-handcraft-build,8,refactor,8,100.0,1,refactor=8
bpfbench-micro-native-bpfabi,8,refactor,8,100.0,1,refactor=8
bpfopt,8,refactor,2,25.0,5,refactor=2; research=2; review=2; foldersetup=1; test=1
lc_all_c,8,refactor,8,100.0,1,refactor=8
llvm-min-tblgen,8,refactor,8,100.0,1,refactor=8
pkg-config,8,refactor,7,87.5,2,refactor=7; design=1
tmp_asm_mktemp,8,refactor,8,100.0,1,refactor=8
truncate,8,refactor,3,37.5,5,refactor=3; testcodex=2; commit=1; setup=1; test=1
