rank,weight,share_pct,session,prompt,process,effect,stack,short_stack
11,860,0.468,refactor,design,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:observed,agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:observed
12,814,0.443,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:vendor/linux-framework;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:vendor/linux-framework;status:ok
13,795,0.433,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:module/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:module/x86;status:ok
14,742,0.404,analyze,analyze,tool:tool,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/tool;effect:process;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/tool;effect:process;status:ok
15,722,0.393,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok
16,688,0.374,analyze,analyze,tool:tool,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/tool;effect:process;status:observed,agent:codex;session:analyze;prompt:analyze;call:tool/tool;effect:process;status:observed
17,683,0.372,review,review,git,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:git;effect:read;status:ok
18,675,0.367,refactor,refactor,python3,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;status:ok
19,667,0.363,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok
20,634,0.345,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:tests/unittest;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:tests/unittest;status:ok
21,633,0.345,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:tests/unittest;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:tests/unittest;status:ok
22,633,0.345,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:vendor/linux-framework;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:vendor/linux-framework;status:ok
23,600,0.327,refactor,benchmark,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:observed,agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:observed
24,556,0.303,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok
25,555,0.302,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:bpfopt/crates;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:bpfopt/crates;status:ok
26,528,0.287,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:native-sim/x86;status:ok
27,514,0.28,design,review,git,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:git;effect:read;status:ok
28,511,0.278,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/src;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/src;status:ok
29,487,0.265,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:analysis/native_asm_to_handcraft.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:analysis/native_asm_to_handcraft.py;status:ok
30,441,0.24,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:module/include;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:module/include;status:ok
31,436,0.237,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;status:ok
32,427,0.232,refactor,design,sed,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok
33,418,0.228,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:analysis/native_asm_to_handcraft.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:analysis/native_asm_to_handcraft.py;status:ok
34,412,0.224,refactor,test,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:test;call:tool/tool;effect:process;status:observed,agent:codex;session:refactor;prompt:test;call:tool/tool;effect:process;status:observed
35,408,0.222,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok
36,398,0.217,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok
37,397,0.216,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/include;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/include;status:ok
38,393,0.214,refactor,refactor,find,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:micro/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:micro/results;status:ok
39,383,0.208,design,review,sed,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:tests/w1_oracle;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:tests/w1_oracle;status:ok
40,378,0.206,refactor,design,sed,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:vendor/bpf;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:vendor/bpf;status:ok
41,367,0.2,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:runner/src;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:runner/src;status:ok
42,361,0.197,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:llvm-backend/llvm;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:llvm-backend/llvm;status:ok
43,351,0.191,refactor,refactor,jq,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:jq;effect:read;path:micro/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:jq;effect:read;path:micro/results;status:ok
44,332,0.181,design,review,make,process,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:make;effect:process;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:make;effect:process;status:ok
45,332,0.181,refactor,benchmark,sed,read,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok
46,331,0.18,refactor,refactor,grep,read,project:agentsight;agent:claude-subagent;session:refactor;prompt:refactor;call:tool/shell;process:grep;effect:read;path:collector/src;status:ok,agent:claude-subagent;session:refactor;prompt:refactor;call:tool/shell;process:grep;effect:read;path:collector/src;status:ok
47,331,0.18,refactor,test,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:test;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:test;call:tool/tool;effect:process;status:ok
48,327,0.178,refactor,design,rg,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:vendor/bpf;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:vendor/bpf;status:ok
49,320,0.174,refactor,benchmark,sed,read,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok
50,319,0.174,refactor,refactor,find,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok
51,310,0.169,refactor,design,sed,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:native-sim/x86;status:ok
52,302,0.164,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:bpfopt/crates;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:bpfopt/crates;status:ok
53,300,0.163,research,research,git,read,project:agentsight;agent:codex;session:research;prompt:research;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:research;prompt:research;call:tool/shell;process:git;effect:read;status:ok
54,300,0.163,review,refactor,git,read,project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:review;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok
55,295,0.161,design,design,git,read,project:agentsight;agent:codex;session:design;prompt:design;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:design;prompt:design;call:tool/shell;process:git;effect:read;status:ok
56,295,0.161,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:analysis/native_asm_to_handcraft_bpf_cf.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:analysis/native_asm_to_handcraft_bpf_cf.py;status:ok
57,281,0.153,analyze,analyze,git,read,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:git;effect:read;status:ok
58,280,0.152,design,review,rg,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/research_plan.md;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/research_plan.md;status:ok
59,268,0.146,research,research,sed,read,project:agentsight;agent:codex;session:research;prompt:research;call:tool/shell;process:sed;effect:read;path:crates/bpfix;status:ok,agent:codex;session:research;prompt:research;call:tool/shell;process:sed;effect:read;path:crates/bpfix;status:ok
60,267,0.145,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:bpfopt/shim;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:bpfopt/shim;status:ok
61,264,0.144,analyze,analyze,nvidia-smi,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:nvidia-smi;effect:process;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:nvidia-smi;effect:process;status:ok
62,262,0.143,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:module/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:module/x86;status:ok
63,259,0.141,design,review,tool:tool,process,project:agentsight;agent:codex;session:design;prompt:review;call:tool/tool;effect:process;status:ok,agent:codex;session:design;prompt:review;call:tool/tool;effect:process;status:ok
64,249,0.136,review,refactor,rg,read,project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok,agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok
65,248,0.135,refactor,benchmark,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:ok
66,246,0.134,refactor,refactor,nl,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:module/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:module/x86;status:ok
67,245,0.133,refactor,design,rg,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok
68,240,0.131,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:analysis/native_asm_to_handcraft_bpf_cf.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:analysis/native_asm_to_handcraft_bpf_cf.py;status:ok
69,237,0.129,refactor,refactor,jq,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:jq;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:jq;effect:read;path:corpus/results;status:ok
70,234,0.127,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/results;status:ok
71,231,0.126,refactor,refactor,python3,write,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:write;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:write;status:ok
72,230,0.125,design,review,rg,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/experiment-plans/osdi-evaluation.md;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/experiment-plans/osdi-evaluation.md;status:ok
73,230,0.125,refactor,design,sed,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:bpfopt/shim;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:sed;effect:read;path:bpfopt/shim;status:ok
74,227,0.124,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:llvm-backend/llvm;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:llvm-backend/llvm;status:ok
75,225,0.122,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:llvm-backend/llvm;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:llvm-backend/llvm;status:ok
76,223,0.121,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:module/include;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:module/include;status:ok
77,220,0.12,refactor,refactor,nl,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:native-sim/libnativeloader;status:ok
78,220,0.12,review,review,nl,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:nl;effect:read;path:collector/src/framework;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:nl;effect:read;path:collector/src/framework;status:ok
79,215,0.117,refactor,refactor,ps,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:ps;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:ps;effect:process;status:ok
80,212,0.115,refactor,refactor,python3,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;path:analysis/native_asm_to_handcraft.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;path:analysis/native_asm_to_handcraft.py;status:ok
81,211,0.115,analyze,analyze,tail,read,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:tail;effect:read;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:tail;effect:read;status:ok
82,209,0.114,refactor,design,rg,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok
83,209,0.114,refactor,design,rg,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:native-sim/x86;status:ok
84,206,0.112,refactor,ignored,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:ignored;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:ignored;call:tool/tool;effect:process;status:ok
85,206,0.112,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:docs/micro-bench-status.md;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:docs/micro-bench-status.md;status:ok
86,206,0.112,refactor,refactor,samples_1,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:samples_1;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:samples_1;effect:process;status:ok
87,204,0.111,review,review,cargo,test,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:cargo;effect:test;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:cargo;effect:test;status:ok
88,200,0.109,design,review,sed,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:docs/paper/sections;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:docs/paper/sections;status:ok
89,198,0.108,refactor,refactor,for,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:for;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:for;effect:process;status:ok
90,195,0.106,refactor,benchmark,rg,read,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok
91,195,0.106,research,research,cargo,test,project:agentsight;agent:codex;session:research;prompt:research;call:tool/shell;process:cargo;effect:test;status:ok,agent:codex;session:research;prompt:research;call:tool/shell;process:cargo;effect:test;status:ok
92,192,0.105,refactor,refactor,cargo,test,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:cargo;effect:test;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:cargo;effect:test;status:ok
93,191,0.104,analyze,analyze,find,read,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:find;effect:read;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:find;effect:read;status:ok
94,189,0.103,refactor,design,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:fail,agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:fail
95,187,0.102,refactor,refactor,cargo,test,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:cargo;effect:test;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:cargo;effect:test;path:native-sim/x86;status:ok
96,187,0.102,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:corpus/results;status:ok
97,185,0.101,analyze,analyze,ps,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:ps;effect:process;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:ps;effect:process;status:ok
98,185,0.101,refactor,test,tail,read,project:agentsight;agent:codex;session:refactor;prompt:test;call:tool/shell;process:tail;effect:read;path://tmp;status:ok,agent:codex;session:refactor;prompt:test;call:tool/shell;process:tail;effect:read;path://tmp;status:ok
99,182,0.099,research,refactor,git,read,project:agentsight;agent:codex;session:research;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:research;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok
100,181,0.099,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:runner/include;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:runner/include;status:ok
101,180,0.098,design,review,jq,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:jq;effect:read;path:results/phase1;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:jq;effect:read;path:results/phase1;status:ok
102,179,0.097,research,explain,git,read,project:agentsight;agent:codex;session:research;prompt:explain;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:research;prompt:explain;call:tool/shell;process:git;effect:read;status:ok
103,178,0.097,refactor,design,tail,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:tail;effect:read;path://tmp;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:tail;effect:read;path://tmp;status:ok
104,176,0.096,design,refactor,cargo,test,project:agentsight;agent:codex;session:design;prompt:refactor;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok,agent:codex;session:design;prompt:refactor;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok
105,176,0.096,refactor,benchmark,rg,read,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:native-sim/x86;status:ok
106,174,0.095,design,review,nl,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:nl;effect:read;path:collector/src/framework;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:nl;effect:read;path:collector/src/framework;status:ok
107,174,0.095,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:bpfopt/shim;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:bpfopt/shim;status:ok
108,173,0.094,review,review,cargo,test,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok
109,172,0.094,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:micro/programs;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:micro/programs;status:ok
110,171,0.093,refactor,refactor,find,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;status:ok
111,170,0.093,refactor,refactor,tool:plan,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/plan;effect:process;status:observed,agent:codex;session:refactor;prompt:refactor;call:tool/plan;effect:process;status:observed
112,170,0.093,review,review,sed,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:sed;effect:read;path:collector/src/framework;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:sed;effect:read;path:collector/src/framework;status:ok
