task,dataset,stack_kind,policy,policy_kind,source_task,source_dataset,groups,ap,delta_ap_vs_width,top5_lift,delta_top5_lift_vs_width,first_positive_work,delta_first_positive_work_vs_width
satraj_unsafe,satraj-os-safety,coarse,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,22,0.1931,0.0936,2.2936,1.955,0.1575,-0.6686
satraj_unsafe,satraj-os-safety,coarse,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,22,0.6084,0.5089,2.2936,1.955,0.038,-0.7881
satraj_unsafe,satraj-os-safety,coarse,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,22,0.1337,0.0342,1.4374,1.0988,0.1473,-0.6788
satraj_unsafe,satraj-os-safety,coarse,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,22,0.0973,-0.0022,0.3386,0.0,0.8261,0.0
satraj_unsafe,satraj-os-safety,coarse,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,22,0.2129,0.1134,2.2936,1.955,0.1326,-0.6935
agentnet_incorrect_step,agentnet,semantic,width,baseline,,,289,0.0687,0.0,1.1075,0.0,0.0821,0.0
agentnet_incorrect_step,agentnet,semantic,global_equal,global_equal_weight,,global-visible-feature-bank,289,0.0992,0.0305,2.3752,1.2677,0.0135,-0.0686
agentnet_incorrect_step,agentnet,semantic,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,289,0.0775,0.0088,2.4324,1.3249,0.0035,-0.0786
agentnet_incorrect_step,agentnet,semantic,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,289,0.0831,0.0144,1.2709,0.1634,0.001,-0.0811
agentnet_incorrect_step,agentnet,semantic,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,289,0.0941,0.0254,2.8639,1.7564,0.0135,-0.0686
agentnet_incorrect_step,agentnet,semantic,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,289,0.0999,0.0312,3.8861,2.7786,0.0001,-0.082
agentnet_incorrect_step,agentnet,semantic,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,289,0.0768,0.0081,2.4324,1.3249,0.0035,-0.0786
agentnet_incorrect_step,agentnet,semantic,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,289,0.0694,0.0007,1.1031,-0.0044,0.0821,0.0
agentnet_incorrect_step,agentnet,coarse,width,baseline,,,43,0.065,0.0,1.1017,0.0,0.133,0.0
agentnet_incorrect_step,agentnet,coarse,global_equal,global_equal_weight,,global-visible-feature-bank,43,0.0867,0.0217,1.8974,0.7957,0.0317,-0.1013
agentnet_incorrect_step,agentnet,coarse,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,43,0.064,-0.001,1.1049,0.0032,0.0088,-0.1242
agentnet_incorrect_step,agentnet,coarse,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,43,0.0757,0.0107,1.5244,0.4227,0.0175,-0.1155
agentnet_incorrect_step,agentnet,coarse,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,43,0.0809,0.0159,1.9972,0.8955,0.0317,-0.1013
agentnet_incorrect_step,agentnet,coarse,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,43,0.0842,0.0192,2.7005,1.5988,0.0109,-0.1221
agentnet_incorrect_step,agentnet,coarse,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,43,0.0637,-0.0013,1.1049,0.0032,0.0088,-0.1242
agentnet_incorrect_step,agentnet,coarse,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,43,0.0778,0.0128,1.3138,0.2121,0.0317,-0.1013
agentnet_redundant_step,agentnet,semantic,width,baseline,,,260,0.0863,0.0,1.1159,0.0,0.0948,0.0
agentnet_redundant_step,agentnet,semantic,global_equal,global_equal_weight,,global-visible-feature-bank,260,0.0942,0.0079,1.3163,0.2004,0.0197,-0.0751
agentnet_redundant_step,agentnet,semantic,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,260,0.0902,0.0039,1.9838,0.8679,0.0051,-0.0897
agentnet_redundant_step,agentnet,semantic,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,260,0.087,0.0007,1.0365,-0.0794,0.0014,-0.0934
agentnet_redundant_step,agentnet,semantic,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,260,0.0886,0.0023,1.5571,0.4412,0.0197,-0.0751
agentnet_redundant_step,agentnet,semantic,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,260,0.0976,0.0113,3.1694,2.0535,0.0002,-0.0946
agentnet_redundant_step,agentnet,semantic,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,260,0.0894,0.0031,1.9838,0.8679,0.0051,-0.0897
agentnet_redundant_step,agentnet,semantic,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,260,0.087,0.0007,1.167,0.0511,0.0949,0.0001
agentnet_redundant_step,agentnet,coarse,width,baseline,,,42,0.0773,0.0,1.101,0.0,0.1738,0.0
agentnet_redundant_step,agentnet,coarse,global_equal,global_equal_weight,,global-visible-feature-bank,42,0.0854,0.0081,1.3277,0.2267,0.0463,-0.1275
agentnet_redundant_step,agentnet,coarse,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,42,0.0768,-0.0005,1.0275,-0.0735,0.0129,-0.1609
agentnet_redundant_step,agentnet,coarse,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,42,0.0843,0.007,1.5234,0.4224,0.0166,-0.1572
agentnet_redundant_step,agentnet,coarse,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,42,0.0797,0.0024,1.3746,0.2736,0.0463,-0.1275
agentnet_redundant_step,agentnet,coarse,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,42,0.0874,0.0101,1.683,0.582,0.0159,-0.1579
agentnet_redundant_step,agentnet,coarse,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,42,0.0768,-0.0005,1.0275,-0.0735,0.0129,-0.1609
agentnet_redundant_step,agentnet,coarse,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,42,0.0793,0.002,0.8317,-0.2693,0.0478,-0.126
osworld_group_start,osworld-human,semantic,width,baseline,,,173,0.2218,0.0,1.0417,0.0,0.1331,0.0
osworld_group_start,osworld-human,semantic,global_equal,global_equal_weight,,global-visible-feature-bank,173,0.2045,-0.0173,0.0905,-0.9512,0.0274,-0.1057
osworld_group_start,osworld-human,semantic,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,173,0.2136,-0.0082,1.0923,0.0506,0.1331,0.0
osworld_group_start,osworld-human,semantic,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,173,0.2246,0.0028,0.951,-0.0907,0.1311,-0.002
osworld_group_start,osworld-human,semantic,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,173,0.2219,0.0001,1.0569,0.0152,0.0045,-0.1286
osworld_group_start,osworld-human,semantic,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,173,0.2245,0.0027,0.951,-0.0907,0.1311,-0.002
osworld_group_start,osworld-human,semantic,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,173,0.2154,-0.0064,1.0923,0.0506,0.1331,0.0
osworld_group_start,osworld-human,semantic,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,173,0.2051,-0.0167,0.0,-1.0417,0.0294,-0.1037
osworld_group_start,osworld-human,coarse,width,baseline,,,32,0.1945,0.0,1.062,0.0,0.4024,0.0
osworld_group_start,osworld-human,coarse,global_equal,global_equal_weight,,global-visible-feature-bank,32,0.2073,0.0128,1.0541,-0.0079,0.0145,-0.3879
osworld_group_start,osworld-human,coarse,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,32,0.2072,0.0127,1.1216,0.0596,0.0446,-0.3578
osworld_group_start,osworld-human,coarse,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,32,0.1859,-0.0086,0.9161,-0.1459,0.4024,0.0
osworld_group_start,osworld-human,coarse,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,32,0.1897,-0.0048,0.9328,-0.1292,0.0145,-0.3879
osworld_group_start,osworld-human,coarse,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,32,0.1863,-0.0082,0.9101,-0.1519,0.4024,0.0
osworld_group_start,osworld-human,coarse,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,32,0.2101,0.0156,1.1234,0.0614,0.1995,-0.2029
osworld_group_start,osworld-human,coarse,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,32,0.1988,0.0043,1.0383,-0.0237,0.0763,-0.3261
