task,dataset,stack_kind,policy,policy_kind,dropped_feature,groups,ap,delta_ap_vs_width,delta_ap_vs_all_features,top5_lift,delta_top5_lift_vs_all_features,first_positive_work,delta_first_positive_work_vs_all_features
agentreward_side_effect,agent-reward-bench,semantic,drop_failure,drop_one,failure,40,0.3947,0.0286,0.0,0.7831,0.0,0.0645,0.0
agentreward_side_effect,agent-reward-bench,semantic,drop_navigation,drop_one,navigation,40,0.3948,0.0287,0.0001,0.7831,0.0,0.0645,0.0
agentreward_side_effect,agent-reward-bench,semantic,drop_finish-phase,drop_one,finish-phase,40,0.3982,0.0321,0.0035,0.7831,0.0,0.0645,0.0
agentreward_side_effect,agent-reward-bench,coarse,width,baseline,,16,0.3909,0.0,-0.0343,0.8618,-0.3763,0.3539,0.2606
agentreward_side_effect,agent-reward-bench,coarse,all_features,all,,16,0.4252,0.0343,0.0,1.2381,0.0,0.0933,0.0
agentreward_side_effect,agent-reward-bench,coarse,drop_write-action,drop_one,write-action,16,0.3498,-0.0411,-0.0754,1.4122,0.1741,0.0933,0.0
agentreward_side_effect,agent-reward-bench,coarse,drop_input-phase,drop_one,input-phase,16,0.4295,0.0386,0.0043,1.2381,0.0,0.0933,0.0
agentreward_side_effect,agent-reward-bench,coarse,drop_failure,drop_one,failure,16,0.4252,0.0343,0.0,1.2381,0.0,0.0933,0.0
agentreward_side_effect,agent-reward-bench,coarse,drop_navigation,drop_one,navigation,16,0.4261,0.0352,0.0009,1.2381,0.0,0.0933,0.0
agentreward_side_effect,agent-reward-bench,coarse,drop_finish-phase,drop_one,finish-phase,16,0.4252,0.0343,0.0,1.2381,0.0,0.0933,0.0
satraj_unsafe,satraj-os-safety,semantic,width,baseline,,142,0.1,0.0,-0.3772,0.0,-6.2384,0.6366,0.6254
satraj_unsafe,satraj-os-safety,semantic,all_features,all,,142,0.4772,0.3772,0.0,6.2384,0.0,0.0112,0.0
satraj_unsafe,satraj-os-safety,semantic,drop_risky-env,drop_one,risky-env,142,0.4772,0.3772,0.0,6.2384,0.0,0.0112,0.0
satraj_unsafe,satraj-os-safety,semantic,drop_write-action,drop_one,write-action,142,0.4846,0.3846,0.0074,6.2384,0.0,0.0112,0.0
satraj_unsafe,satraj-os-safety,semantic,drop_input-phase,drop_one,input-phase,142,0.4753,0.3753,-0.0019,6.2384,0.0,0.0112,0.0
satraj_unsafe,satraj-os-safety,semantic,drop_success,drop_one,success,142,0.209,0.109,-0.2682,1.6512,-4.5872,0.0716,0.0604
satraj_unsafe,satraj-os-safety,semantic,drop_loop-like,drop_one,loop-like,142,0.6506,0.5506,0.1734,6.8891,0.6507,0.0112,0.0
satraj_unsafe,satraj-os-safety,coarse,width,baseline,,22,0.0995,0.0,-0.5086,0.3386,-1.955,0.8261,0.7881
satraj_unsafe,satraj-os-safety,coarse,all_features,all,,22,0.6081,0.5086,0.0,2.2936,0.0,0.038,0.0
satraj_unsafe,satraj-os-safety,coarse,drop_risky-env,drop_one,risky-env,22,0.6081,0.5086,0.0,2.2936,0.0,0.038,0.0
satraj_unsafe,satraj-os-safety,coarse,drop_write-action,drop_one,write-action,22,0.6084,0.5089,0.0003,2.2936,0.0,0.038,0.0
satraj_unsafe,satraj-os-safety,coarse,drop_input-phase,drop_one,input-phase,22,0.6081,0.5086,0.0,2.2936,0.0,0.038,0.0
satraj_unsafe,satraj-os-safety,coarse,drop_success,drop_one,success,22,0.2133,0.1138,-0.3948,2.2936,0.0,0.1326,0.0946
satraj_unsafe,satraj-os-safety,coarse,drop_loop-like,drop_one,loop-like,22,0.6086,0.5091,0.0005,2.2936,0.0,0.038,0.0
agentnet_incorrect_step,agentnet,semantic,width,baseline,,289,0.0687,0.0,-0.016,1.1075,-2.501,0.0821,0.082
agentnet_incorrect_step,agentnet,semantic,all_features,all,,289,0.0847,0.016,0.0,3.6085,0.0,0.0001,0.0
agentnet_incorrect_step,agentnet,semantic,drop_failure,drop_one,failure,289,0.0933,0.0246,0.0086,2.4424,-1.1661,0.0016,0.0015
agentnet_incorrect_step,agentnet,semantic,drop_loop-like,drop_one,loop-like,289,0.0766,0.0079,-0.0081,2.8066,-0.8019,0.0007,0.0006
agentnet_incorrect_step,agentnet,semantic,drop_risky-env,drop_one,risky-env,289,0.0867,0.018,0.002,1.4859,-2.1226,0.001,0.0009
agentnet_incorrect_step,agentnet,semantic,drop_input-phase,drop_one,input-phase,289,0.0808,0.0121,-0.0039,3.6085,0.0,0.0006,0.0005
agentnet_incorrect_step,agentnet,coarse,width,baseline,,43,0.065,0.0,-0.012,1.1017,-1.1263,0.133,0.1207
agentnet_incorrect_step,agentnet,coarse,all_features,all,,43,0.077,0.012,0.0,2.228,0.0,0.0123,0.0
agentnet_incorrect_step,agentnet,coarse,drop_failure,drop_one,failure,43,0.0876,0.0226,0.0106,2.0742,-0.1538,0.0098,-0.0025
agentnet_incorrect_step,agentnet,coarse,drop_loop-like,drop_one,loop-like,43,0.0731,0.0081,-0.0039,2.228,0.0,0.0123,0.0
agentnet_incorrect_step,agentnet,coarse,drop_risky-env,drop_one,risky-env,43,0.0734,0.0084,-0.0036,1.7438,-0.4842,0.034,0.0217
agentnet_incorrect_step,agentnet,coarse,drop_input-phase,drop_one,input-phase,43,0.0746,0.0096,-0.0024,0.1545,-2.0735,0.0112,-0.0011
agentnet_redundant_step,agentnet,semantic,width,baseline,,260,0.0863,0.0,-0.0011,1.1159,-0.8679,0.0948,0.0897
agentnet_redundant_step,agentnet,semantic,all_features,all,,260,0.0874,0.0011,0.0,1.9838,0.0,0.0051,0.0
agentnet_redundant_step,agentnet,semantic,drop_loop-like,drop_one,loop-like,260,0.0822,-0.0041,-0.0052,1.0529,-0.9309,0.009,0.0039
agentnet_redundant_step,agentnet,semantic,drop_failure,drop_one,failure,260,0.0866,0.0003,-0.0008,1.4133,-0.5705,0.0605,0.0554
agentnet_redundant_step,agentnet,semantic,drop_navigation,drop_one,navigation,260,0.0888,0.0025,0.0014,2.0809,0.0971,0.0051,0.0
agentnet_redundant_step,agentnet,coarse,width,baseline,,42,0.0773,0.0,0.0001,1.101,0.0425,0.1738,0.1275
agentnet_redundant_step,agentnet,coarse,all_features,all,,42,0.0772,-0.0001,0.0,1.0585,0.0,0.0463,0.0
agentnet_redundant_step,agentnet,coarse,drop_loop-like,drop_one,loop-like,42,0.0779,0.0006,0.0007,1.0672,0.0087,0.0129,-0.0334
agentnet_redundant_step,agentnet,coarse,drop_failure,drop_one,failure,42,0.0772,-0.0001,0.0,1.0585,0.0,0.0463,0.0
agentnet_redundant_step,agentnet,coarse,drop_navigation,drop_one,navigation,42,0.0751,-0.0022,-0.0021,1.1461,0.0876,0.0463,0.0
osworld_group_start,osworld-human,semantic,width,baseline,,173,0.2218,0.0,0.0004,1.0417,0.1277,0.1331,0.002
osworld_group_start,osworld-human,semantic,all_features,all,,173,0.2214,-0.0004,0.0,0.914,0.0,0.1311,0.0
osworld_group_start,osworld-human,semantic,drop_input-phase,drop_one,input-phase,173,0.2078,-0.014,-0.0136,0.0,-0.914,0.0294,-0.1017
osworld_group_start,osworld-human,semantic,drop_navigate-phase,drop_one,navigate-phase,173,0.2222,0.0004,0.0008,0.951,0.037,0.1311,0.0
osworld_group_start,osworld-human,semantic,drop_write-action,drop_one,write-action,173,0.2217,-0.0001,0.0003,1.0417,0.1277,0.1331,0.002
osworld_group_start,osworld-human,semantic,drop_navigation,drop_one,navigation,173,0.2222,0.0004,0.0008,0.951,0.037,0.1311,0.0
osworld_group_start,osworld-human,semantic,drop_finish-phase,drop_one,finish-phase,173,0.2214,-0.0004,0.0,0.914,0.0,0.1311,0.0
osworld_group_start,osworld-human,coarse,width,baseline,,32,0.1945,0.0,0.0085,1.062,0.1459,0.4024,0.0
osworld_group_start,osworld-human,coarse,all_features,all,,32,0.186,-0.0085,0.0,0.9161,0.0,0.4024,0.0
osworld_group_start,osworld-human,coarse,drop_input-phase,drop_one,input-phase,32,0.2085,0.014,0.0225,1.1524,0.2363,0.0763,-0.3261
osworld_group_start,osworld-human,coarse,drop_navigate-phase,drop_one,navigate-phase,32,0.186,-0.0085,0.0,0.9161,0.0,0.4024,0.0
osworld_group_start,osworld-human,coarse,drop_write-action,drop_one,write-action,32,0.1841,-0.0104,-0.0019,0.9161,0.0,0.4024,0.0
osworld_group_start,osworld-human,coarse,drop_navigation,drop_one,navigation,32,0.186,-0.0085,0.0,0.9161,0.0,0.4024,0.0
osworld_group_start,osworld-human,coarse,drop_finish-phase,drop_one,finish-phase,32,0.186,-0.0085,0.0,0.9161,0.0,0.4024,0.0
