agent,session_id_hash,session_tag,prompt_index,prompt_tag,start_ts_ms,end_ts_ms,duration_ms,duration_s,tool_events,llm_events,end_source,span_stack
codex,d8b5065370c9,analyze,20,treeify,1781404200584,1781404372632,172048,172.048,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:treeify;span:prompt
codex,d8b5065370c9,analyze,21,analyze,1781404372632,1781404392351,19719,19.719,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,22,analyze,1781404392351,1781404442033,49682,49.682,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,23,analyze,1781404442033,1781404460744,18711,18.711,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,24,docs,1781404460744,1781404885820,425076,425.076,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:docs;span:prompt
codex,d8b5065370c9,analyze,25,analyze,1781404885820,1781404993653,107833,107.833,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,26,prompt,1781404993653,1781405998012,1004359,1004.359,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:prompt;span:prompt
codex,d8b5065370c9,analyze,27,analyze,1781405998012,1781406023077,25065,25.065,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,28,design,1781406023077,1781425821986,19798909,19798.909,553,736,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:design;span:prompt
codex,d8b5065370c9,analyze,29,trace,1781425821986,1781426012609,190623,190.623,19,14,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:trace;span:prompt
codex,d8b5065370c9,analyze,30,branching,1781426012609,1781426417994,405385,405.385,55,50,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:branching;span:prompt
codex,d8b5065370c9,analyze,31,refactor,1781426417994,1781426507674,89680,89.68,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:refactor;span:prompt
codex,d8b5065370c9,analyze,32,analyze,1781426507674,1781426992113,484439,484.439,11,8,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,33,analyzesess,1781426992113,1781428876145,1884032,1884.032,134,173,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyzesess;span:prompt
codex,d8b5065370c9,analyze,34,review,1781428876145,1781429045217,169072,169.072,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:review;span:prompt
codex,d8b5065370c9,analyze,35,analyze,1781429045217,1781429169155,123938,123.938,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,36,research,1781429169155,1781429196350,27195,27.195,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:research;span:prompt
codex,d8b5065370c9,analyze,37,tag,1781429196350,1781461653848,32457498,32457.498,163,191,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:tag;span:prompt
codex,d8b5065370c9,analyze,38,analyze,1781461653848,1781461690981,37133,37.133,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,39,analyze,1781461690981,1781461737053,46072,46.072,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,40,tag,1781461737053,1781461883751,146698,146.698,29,39,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:tag;span:prompt
codex,d8b5065370c9,analyze,41,analyze,1781461883751,1781469150537,7266786,7266.786,214,296,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,42,tag,1781469150537,1781469221185,70648,70.648,9,13,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:tag;span:prompt
codex,d8b5065370c9,analyze,43,evaluate,1781469221185,1781469552598,331413,331.413,5,9,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:evaluate;span:prompt
codex,d8b5065370c9,analyze,44,analyze,1781469552598,1781518741579,49188981,49188.981,466,566,session_last_event,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,e55fa3a968fa,review,0,review,1781518637367,1781518737500,100133,100.133,26,18,session_last_event,project:agentsight;agent:codex;session:review;prompt:review;span:prompt
codex,0ac39cc00b99,design,0,diskcheck,1781332435683,1781333835805,1400122,1400.122,2,9,next_prompt,project:agentsight;agent:codex;session:design;prompt:diskcheck;span:prompt
codex,0ac39cc00b99,design,1,design,1781333835805,1781334347625,511820,511.82,88,34,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,2,build,1781334347625,1781334471287,123662,123.662,20,18,next_prompt,project:agentsight;agent:codex;session:design;prompt:build;span:prompt
codex,0ac39cc00b99,design,3,refactor,1781334471287,1781334548148,76861,76.861,12,11,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,4,designdoc,1781334548148,1781334742131,193983,193.983,18,17,next_prompt,project:agentsight;agent:codex;session:design;prompt:designdoc;span:prompt
codex,0ac39cc00b99,design,5,design,1781334742131,1781334764726,22595,22.595,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,6,intro,1781334764726,1781335164994,400268,400.268,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:intro;span:prompt
codex,0ac39cc00b99,design,7,design,1781335164994,1781335258373,93379,93.379,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,8,research,1781335258373,1781335439668,181295,181.295,10,10,next_prompt,project:agentsight;agent:codex;session:design;prompt:research;span:prompt
codex,0ac39cc00b99,design,9,design,1781335439668,1781335537709,98041,98.041,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,10,docs,1781335537709,1781335550731,13022,13.022,2,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:docs;span:prompt
codex,0ac39cc00b99,design,11,docupdate,1781335550731,1781335584530,33799,33.799,8,10,next_prompt,project:agentsight;agent:codex;session:design;prompt:docupdate;span:prompt
codex,0ac39cc00b99,design,12,refactor,1781335584530,1781375703298,40118768,40118.768,1036,683,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,13,designdoc,1781375703298,1781376013644,310346,310.346,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:designdoc;span:prompt
codex,0ac39cc00b99,design,14,design,1781376013644,1781376441063,427419,427.419,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,15,design,1781376441063,1781379286810,2845747,2845.747,340,206,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,16,usecase,1781379286810,1781379359045,72235,72.235,12,6,next_prompt,project:agentsight;agent:codex;session:design;prompt:usecase;span:prompt
codex,0ac39cc00b99,design,17,requirements,1781379359045,1781380997765,1638720,1638.72,4,6,next_prompt,project:agentsight;agent:codex;session:design;prompt:requirements;span:prompt
codex,0ac39cc00b99,design,18,evaluate,1781380997765,1781382738911,1741146,1741.146,92,65,next_prompt,project:agentsight;agent:codex;session:design;prompt:evaluate;span:prompt
codex,0ac39cc00b99,design,19,docrewrite,1781382738911,1781384798411,2059500,2059.5,50,33,next_prompt,project:agentsight;agent:codex;session:design;prompt:docrewrite;span:prompt
codex,0ac39cc00b99,design,20,docgen,1781384798411,1781384831628,33217,33.217,4,6,next_prompt,project:agentsight;agent:codex;session:design;prompt:docgen;span:prompt
codex,0ac39cc00b99,design,21,design,1781384831628,1781386122880,1291252,1291.252,10,12,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,22,refactor,1781386122880,1781386250650,127770,127.77,0,5,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,23,policy,1781386250650,1781392584034,6333384,6333.384,0,5,next_prompt,project:agentsight;agent:codex;session:design;prompt:policy;span:prompt
codex,0ac39cc00b99,design,24,refactor,1781392584034,1781392665188,81154,81.154,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,25,design,1781392665188,1781392817991,152803,152.803,0,5,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,26,refactor,1781392817991,1781392859441,41450,41.45,20,11,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,27,evalplan,1781392859441,1781397982984,5123543,5123.543,80,63,next_prompt,project:agentsight;agent:codex;session:design;prompt:evalplan;span:prompt
codex,0ac39cc00b99,design,28,design,1781397982984,1781397996909,13925,13.925,8,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,29,design,1781397996909,1781398182267,185358,185.358,10,12,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,30,policygen,1781398182267,1781398311086,128819,128.819,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:policygen;span:prompt
codex,0ac39cc00b99,design,31,design,1781398311086,1781398382986,71900,71.9,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,32,design,1781398382986,1781398516833,133847,133.847,16,14,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,33,diversify,1781398516833,1781401632180,3115347,3115.347,28,34,next_prompt,project:agentsight;agent:codex;session:design;prompt:diversify;span:prompt
codex,0ac39cc00b99,design,34,review,1781401632180,1781402738259,1106079,1106.079,134,118,next_prompt,project:agentsight;agent:codex;session:design;prompt:review;span:prompt
codex,0ac39cc00b99,design,35,docs,1781402738259,1781402912402,174143,174.143,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:docs;span:prompt
codex,0ac39cc00b99,design,36,evaluate,1781402912402,1781403591085,678683,678.683,8,6,next_prompt,project:agentsight;agent:codex;session:design;prompt:evaluate;span:prompt
codex,0ac39cc00b99,design,37,build,1781403591085,1781406504102,2913017,2913.017,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:build;span:prompt
codex,0ac39cc00b99,design,38,refactor,1781406504102,1781406699058,194956,194.956,4,6,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,39,refactor,1781406699058,1781407694345,995287,995.287,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,40,refactor,1781407694345,1781407927151,232806,232.806,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:refactor;span:prompt
codex,0ac39cc00b99,design,41,checkpoint,1781407927151,1781409910538,1983387,1983.387,92,69,next_prompt,project:agentsight;agent:codex;session:design;prompt:checkpoint;span:prompt
codex,0ac39cc00b99,design,42,research,1781409910538,1781410849802,939264,939.264,0,4,next_prompt,project:agentsight;agent:codex;session:design;prompt:research;span:prompt
codex,0ac39cc00b99,design,43,review,1781410849802,1781417205121,6355319,6355.319,444,292,next_prompt,project:agentsight;agent:codex;session:design;prompt:review;span:prompt
codex,0ac39cc00b99,design,44,design,1781417205121,1781425429224,8224103,8224.103,82,135,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,45,design,1781425429224,1781482877339,57448115,57448.115,1136,1612,next_prompt,project:agentsight;agent:codex;session:design;prompt:design;span:prompt
codex,0ac39cc00b99,design,46,review,1781482877339,1781518597121,35719782,35719.782,5548,2879,session_last_event,project:agentsight;agent:codex;session:design;prompt:review;span:prompt
codex,84d4944ec496,research,0,review,1781325495770,1781328501828,3006058,3006.058,13,17,next_prompt,project:agentsight;agent:codex;session:research;prompt:review;span:prompt
codex,84d4944ec496,research,1,research,1781328501828,1781329409485,907657,907.657,0,4,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,2,research,1781329409485,1781329901274,491789,491.789,32,35,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,3,research,1781329901274,1781329964404,63130,63.13,3,5,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,4,eval,1781329964404,1781331504853,1540449,1540.449,11,9,next_prompt,project:agentsight;agent:codex;session:research;prompt:eval;span:prompt
codex,84d4944ec496,research,5,commit,1781331504853,1781331627726,122873,122.873,18,20,next_prompt,project:agentsight;agent:codex;session:research;prompt:commit;span:prompt
codex,84d4944ec496,research,6,bpfixtest,1781331627726,1781331647439,19713,19.713,0,3,next_prompt,project:agentsight;agent:codex;session:research;prompt:bpfixtest;span:prompt
codex,84d4944ec496,research,7,design,1781331647439,1781332237785,590346,590.346,0,4,next_prompt,project:agentsight;agent:codex;session:research;prompt:design;span:prompt
codex,84d4944ec496,research,8,benchmark,1781332237785,1781332371669,133884,133.884,0,4,next_prompt,project:agentsight;agent:codex;session:research;prompt:benchmark;span:prompt
codex,84d4944ec496,research,9,benchfix,1781332371669,1781334126681,1755012,1755.012,13,12,next_prompt,project:agentsight;agent:codex;session:research;prompt:benchfix;span:prompt
codex,84d4944ec496,research,10,refactor,1781334126681,1781334608839,482158,482.158,50,51,next_prompt,project:agentsight;agent:codex;session:research;prompt:refactor;span:prompt
codex,84d4944ec496,research,11,research,1781334608839,1781334640207,31368,31.368,7,7,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,12,docs,1781334640207,1781334834210,194003,194.003,18,21,next_prompt,project:agentsight;agent:codex;session:research;prompt:docs;span:prompt
codex,84d4944ec496,research,13,review,1781334834210,1781334961458,127248,127.248,0,3,next_prompt,project:agentsight;agent:codex;session:research;prompt:review;span:prompt
codex,84d4944ec496,research,14,research,1781334961458,1781335124822,163364,163.364,0,3,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,15,docupdate,1781335124822,1781336609152,1484330,1484.33,23,30,next_prompt,project:agentsight;agent:codex;session:research;prompt:docupdate;span:prompt
codex,84d4944ec496,research,16,research,1781336609152,1781374974406,38365254,38365.254,220,330,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,17,design,1781374974406,1781375063012,88606,88.606,2,6,next_prompt,project:agentsight;agent:codex;session:research;prompt:design;span:prompt
codex,84d4944ec496,research,18,test,1781375063012,1781376394509,1331497,1331.497,1,5,next_prompt,project:agentsight;agent:codex;session:research;prompt:test;span:prompt
codex,84d4944ec496,research,19,design,1781376394509,1781377321884,927375,927.375,0,4,next_prompt,project:agentsight;agent:codex;session:research;prompt:design;span:prompt
codex,84d4944ec496,research,20,prooflife,1781377321884,1781379050059,1728175,1728.175,0,4,next_prompt,project:agentsight;agent:codex;session:research;prompt:prooflife;span:prompt
codex,84d4944ec496,research,21,challenge,1781379050059,1781379181683,131624,131.624,0,3,next_prompt,project:agentsight;agent:codex;session:research;prompt:challenge;span:prompt
codex,84d4944ec496,research,22,test,1781379181683,1781382439862,3258179,3258.179,24,24,next_prompt,project:agentsight;agent:codex;session:research;prompt:test;span:prompt
codex,84d4944ec496,research,23,review,1781382439862,1781385082235,2642373,2642.373,6,11,next_prompt,project:agentsight;agent:codex;session:research;prompt:review;span:prompt
codex,84d4944ec496,research,24,review,1781385082235,1781393048481,7966246,7966.246,26,23,next_prompt,project:agentsight;agent:codex;session:research;prompt:review;span:prompt
codex,84d4944ec496,research,25,capture,1781393048481,1781401027870,7979389,7979.389,258,339,next_prompt,project:agentsight;agent:codex;session:research;prompt:capture;span:prompt
codex,84d4944ec496,research,26,explain,1781401027870,1781407493847,6465977,6465.977,965,1197,next_prompt,project:agentsight;agent:codex;session:research;prompt:explain;span:prompt
codex,84d4944ec496,research,27,benchmark,1781407493847,1781407634914,141067,141.067,17,12,next_prompt,project:agentsight;agent:codex;session:research;prompt:benchmark;span:prompt
codex,84d4944ec496,research,28,research,1781407634914,1781417193819,9558905,9558.905,925,1113,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,29,research,1781417193819,1781426010260,8816441,8816.441,526,859,next_prompt,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,84d4944ec496,research,30,review,1781426010260,1781428590637,2580377,2580.377,3,8,next_prompt,project:agentsight;agent:codex;session:research;prompt:review;span:prompt
codex,84d4944ec496,research,31,refactor,1781428590637,1781493418875,64828238,64828.238,1388,2061,next_prompt,project:agentsight;agent:codex;session:research;prompt:refactor;span:prompt
codex,84d4944ec496,research,32,commitlog,1781493418875,1781512876957,19458082,19458.082,1162,1638,next_prompt,project:agentsight;agent:codex;session:research;prompt:commitlog;span:prompt
codex,84d4944ec496,research,33,research,1781512876957,1781518526951,5649994,5649.994,449,655,session_last_event,project:agentsight;agent:codex;session:research;prompt:research;span:prompt
codex,9d659187e512,analyze,0,trace,1781517051318,1781517051319,1,0.001,0,9,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:trace;span:prompt
codex,9d659187e512,analyze,1,impact,1781517051319,1781517051320,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:impact;span:prompt
codex,9d659187e512,analyze,2,optimize,1781517051319,1781517051320,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:optimize;span:prompt
codex,9d659187e512,analyze,3,research,1781517051320,1781517051322,2,0.002,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:research;span:prompt
codex,9d659187e512,analyze,4,evaluate,1781517051320,1781517051322,2,0.002,0,28,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:evaluate;span:prompt
codex,9d659187e512,analyze,5,analyze,1781517051322,1781517051323,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,6,analyze,1781517051322,1781517051323,1,0.001,0,12,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,7,analyze,1781517051323,1781517051324,1,0.001,0,1646,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,8,design,1781517051323,1781517051324,1,0.001,0,4,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:design;span:prompt
codex,9d659187e512,analyze,9,test,1781517051323,1781517051324,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:test;span:prompt
codex,9d659187e512,analyze,10,analyze,1781517051323,1781517051324,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,11,trace,1781517051324,1781517051326,2,0.002,0,52,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:trace;span:prompt
codex,9d659187e512,analyze,12,analyze,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,13,check,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:check;span:prompt
codex,9d659187e512,analyze,14,design,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:design;span:prompt
codex,9d659187e512,analyze,15,test,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:test;span:prompt
codex,9d659187e512,analyze,16,validate,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:validate;span:prompt
codex,9d659187e512,analyze,17,analyze,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,18,example,1781517051326,1781517051327,1,0.001,0,4,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:example;span:prompt
codex,9d659187e512,analyze,19,analyze,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,20,treeify,1781517051326,1781517051327,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:treeify;span:prompt
codex,9d659187e512,analyze,21,analyze,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,22,analyze,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,23,analyze,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,24,docs,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:docs;span:prompt
codex,9d659187e512,analyze,25,analyze,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,26,prompt,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:prompt;span:prompt
codex,9d659187e512,analyze,27,analyze,1781517051327,1781517051338,11,0.011,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,28,design,1781517051327,1781517051338,11,0.011,0,423,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:design;span:prompt
codex,9d659187e512,analyze,29,trace,1781517051338,1781517051339,1,0.001,0,8,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:trace;span:prompt
codex,9d659187e512,analyze,30,branching,1781517051339,1781517051340,1,0.001,0,30,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:branching;span:prompt
codex,9d659187e512,analyze,31,refactor,1781517051339,1781517051340,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:refactor;span:prompt
codex,9d659187e512,analyze,32,analyze,1781517051339,1781517051340,1,0.001,0,6,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,33,analyzesess,1781517051340,1781517051342,2,0.002,0,106,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyzesess;span:prompt
codex,9d659187e512,analyze,34,review,1781517051342,1781517051344,2,0.002,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:review;span:prompt
codex,9d659187e512,analyze,35,analyze,1781517051342,1781517051344,2,0.002,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,36,research,1781517051342,1781517051344,2,0.002,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:research;span:prompt
codex,9d659187e512,analyze,37,tag,1781517051342,1781517051344,2,0.002,0,119,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:tag;span:prompt
codex,9d659187e512,analyze,38,analyze,1781517051344,1781517051345,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,39,analyze,1781517051344,1781517051345,1,0.001,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,40,tag,1781517051344,1781517051345,1,0.001,0,22,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:tag;span:prompt
codex,9d659187e512,analyze,41,analyze,1781517051345,1781517051348,3,0.003,0,158,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,9d659187e512,analyze,42,tag,1781517051348,1781517051919,571,0.571,0,7,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:tag;span:prompt
codex,9d659187e512,analyze,43,evaluate,1781517051348,1781517051919,571,0.571,0,6,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:evaluate;span:prompt
