project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
bpf-developer-tutorial,a192f642f3ee,2,3,1,1,207861,11,False,6,21179,5,9,1,2,1,1.0,1.0,3,1,0,0,1,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,3,4,1,1,337572,35,True,,,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,4,5,1,1,208536,13,True,,,0,11,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,5,6,1,1,632541,24,False,5,58724,4,1,1,2,1,0.0,0.0,0,0,4,0,0,0,0,1,0,0,0
bpf-developer-tutorial,a192f642f3ee,6,7,1,4,40149390,43,True,,,0,4,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,7,8,4,1,40535,4,False,3,8999,2,18,3,2,1,1.0,1.0,2,0,0,0,0,0,1,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,8,9,1,1,169389,4,True,,,0,2,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,9,10,1,1,1149823,10,False,9,76653,8,0,0,2,1,,,0,0,7,0,1,0,0,0,0,1,0
bpf-developer-tutorial,a192f642f3ee,10,11,1,4,437720,86,False,84,618617,83,10,1,2,1,1.0,1.0,19,17,8,1,38,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,11,12,4,1,82433,6,False,3,17906,2,21,4,2,1,1.0,1.0,2,0,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,12,13,1,1,209889,8,False,5,50943,4,2,1,2,1,1.0,1.0,2,2,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,13,14,1,1,55261,2,False,2,6057,1,4,1,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,14,15,1,1,168579,28,True,,,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,15,16,1,1,31918,18,True,,,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,16,17,1,1,1957894,13,False,11,104875,10,2,1,2,1,0.0,1.0,0,9,0,0,1,0,0,0,0,1,0
bpf-developer-tutorial,a192f642f3ee,17,18,1,1,71501,3,False,3,32028,2,10,1,1,1,1.0,1.0,2,0,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,18,19,1,2,38601165,242,False,20,62752,19,2,1,4,1,0.0,1.0,0,14,0,0,5,0,0,0,0,1,0
bpf-developer-tutorial,a192f642f3ee,19,20,2,1,142639,94,False,18,47285,17,23,1,2,1,0.0,1.0,4,8,0,0,5,0,0,1,0,0,0
bpf-developer-tutorial,a192f642f3ee,20,21,1,3,2998625,83,False,15,61333,14,12,1,6,1,0.3333333333333333,1.0,6,0,0,0,8,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,21,22,3,2,4315849,20,False,7,85272,6,10,1,1,1,1.0,1.0,2,4,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,22,23,2,1,53286,6,False,6,172801,5,15,2,1,1,1.0,1.0,4,1,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,23,24,1,2,1903362,210,False,15,139167,14,5,2,9,3,0.2222222222222222,0.3333333333333333,0,0,0,0,14,0,0,3,0,0,0
bpf-developer-tutorial,a192f642f3ee,24,25,2,8,7882,116,False,8,154279,7,19,5,11,2,0.18181818181818182,1.0,0,4,0,0,3,0,0,1,0,0,0
bpf-developer-tutorial,a192f642f3ee,25,26,8,1,115397236,35,False,14,106440,13,20,4,2,1,0.0,1.0,4,7,0,0,2,0,0,0,0,1,0
bpf-developer-tutorial,a192f642f3ee,26,27,1,1,50270,19,False,16,128397,15,13,2,2,1,0.0,1.0,7,5,0,0,3,0,0,0,0,1,0
bpf-developer-tutorial,a192f642f3ee,27,28,1,1,10760553,118,False,30,115730,29,14,2,8,1,0.0,1.0,7,14,1,0,7,0,0,0,0,1,0
bpf-developer-tutorial,b447bbe99f61,0,1,3,4,257988,83,True,,,0,21,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,b447bbe99f61,1,2,4,1,9697441,1,True,,,0,29,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,b447bbe99f61,2,3,1,1,48875,32,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,0,1,1,1,32475932,35,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,1,2,1,6,88630345,348,True,,,0,12,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,2,3,6,1,6456064962,2521,False,26,66736,25,74,5,6,2,0.0,1.0,1,9,0,0,15,0,0,0,0,0,1
eunomia.dev,30e8a01e495d,3,4,1,1,591844,1080,True,,,0,152,6,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,4,5,1,2,61210927,927,True,,,0,100,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,5,6,2,1,61309320,185,True,,,0,77,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,6,7,1,1,103557029,97,False,33,93871,32,10,3,1,1,0.0,1.0,0,16,0,0,16,0,0,0,1,0,0
eunomia.dev,30e8a01e495d,7,8,1,1,83228608,29,True,,,0,20,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,8,9,1,1,332062954,379,False,51,193331,50,10,3,1,1,0.0,1.0,1,5,13,0,31,0,0,0,0,1,0
eunomia.dev,30e8a01e495d,9,10,1,3,2167811341,398,False,64,209863,63,59,5,3,1,0.0,1.0,6,18,5,4,30,0,0,0,0,3,0
eunomia.dev,30e8a01e495d,10,11,3,29,1288443762,4183,False,76,1234763,75,45,7,36,8,0.08333333333333333,0.5,5,15,0,0,55,0,0,0,0,1,0
agentskill-observability-paper,4cfc7c676cf9,0,1,30,6,168716,102,False,16,267252,15,20,2,6,1,0.3333333333333333,1.0,3,2,0,0,10,1,0,0,0,0,0
academic-writing-skills,4725c74bf420,0,1,1,1,34377,3,True,,,0,14,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,1,2,1,1,216602285,36,False,20,137505,19,0,0,3,1,,,0,0,14,2,3,0,0,1,0,0,0
academic-writing-skills,4725c74bf420,2,3,1,1,59677142,9,False,6,92629,5,14,3,3,2,0.3333333333333333,1.0,1,4,0,0,0,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,3,4,1,1,8164043,2,True,,,0,4,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,4,5,1,1,65588,2,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,5,6,1,1,179529,21,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,6,7,1,1,74533,4,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,7,8,1,1,5324394,7,True,,,0,2,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,8,9,1,1,2105369351,12,True,,,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,9,10,1,5,132168,97,True,,,0,11,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
academic-writing-skills,4725c74bf420,10,11,5,2,78798458,249,False,24,1582232,23,77,3,12,2,0.4166666666666667,1.0,8,5,0,1,9,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,11,12,2,1,110560499,65,False,9,396048,8,34,6,5,1,0.8,1.0,1,2,0,0,5,0,0,0,0,1,0
academic-writing-skills,4725c74bf420,12,13,1,1,40488819,102,False,11,188059,10,8,1,10,1,0.5,1.0,4,0,0,0,6,1,0,0,0,0,0
academic-writing-skills,4725c74bf420,13,14,1,1,101337052,16,False,9,3940612,8,14,2,2,1,1.0,1.0,3,1,0,0,4,1,0,0,0,0,0
