task,max_depth,average_precision_value,average_precision_vs_depth4,ndcg_value,ndcg_vs_depth4,top5_precision_value,top5_precision_vs_depth4,top5_recall_value,top5_recall_vs_depth4,top5_f1_value,top5_f1_vs_depth4,top5_work_value,top5_work_vs_depth4,budget30_recall_value,budget30_recall_vs_depth4,budget30_f1_value,budget30_f1_vs_depth4,work_to_first_positive_value,work_to_first_positive_vs_depth4,groups_value,groups_vs_depth4
agentreward_looping,1,0.8046887380824578,-0.103854,0.9424381971336483,0.300848,0.691358024691358,-0.308642,1.0,0.736111,0.8175182481751825,0.399936,1.0,0.817558,0.0,-0.380952,0.0,-0.534819,0.31550068587105623,0.274348,2.0,-13.0
agentreward_looping,2,0.8814779418915971,-0.027064,0.8718580386303756,0.230268,0.691358024691358,-0.308642,1.0,0.736111,0.8175182481751825,0.399936,1.0,0.817558,0.27976190476190477,-0.10119,0.43251533742331294,-0.102304,0.2030178326474623,0.161866,4.0,-11.0
agentreward_looping,3,0.8726583366550843,-0.035884,0.7320833279952509,0.090494,0.8813559322033898,-0.118644,0.5158730158730159,0.251984,0.6508135168961202,0.233231,0.4046639231824417,0.222222,0.373015873015873,-0.007937,0.5379113018597997,0.003092,0.0823045267489712,0.041152,8.0,-7.0
agentreward_looping,4,0.9085422401444418,0.0,0.6415897611147818,0.0,1.0,0.0,0.2638888888888889,0.0,0.4175824175824176,0.0,0.18244170096021947,0.0,0.38095238095238093,0.0,0.5348189415041782,0.0,0.0411522633744856,0.0,15.0,0.0
agentreward_looping,5,0.8897439316466572,-0.018798,0.6169668000179914,-0.024623,1.0,0.0,0.2261904761904762,-0.037698,0.36893203883495146,-0.04865,0.15637860082304528,-0.026063,0.38492063492063494,0.003968,0.538888888888889,0.00407,0.03566529492455418,-0.005487,28.0,13.0
agentreward_side_effect,1,0.40480961923847697,-0.006132,1.0,0.577258,0.27709190672153633,0.018099,1.0,0.643564,0.4339419978517723,0.133942,1.0,0.618656,0.0,0.0,0.0,0.0,0.6844993141289437,0.303155,2.0,-13.0
agentreward_side_effect,2,0.2950392801758661,-0.115902,0.6294753863706894,0.206733,0.27709190672153633,0.018099,1.0,0.643564,0.4339419978517723,0.133942,1.0,0.618656,0.0,0.0,0.0,0.0,0.49382716049382713,0.112483,4.0,-11.0
agentreward_side_effect,3,0.4320385884742321,0.021097,0.6294753863706894,0.206733,0.3720073664825046,0.113015,1.0,0.643564,0.5422818791946309,0.242282,0.7448559670781894,0.363512,0.6435643564356436,0.643564,0.6280193236714975,0.628019,0.35665294924554186,-0.024691,8.0,-7.0
agentreward_side_effect,4,0.41094171837835497,0.0,0.4227420001211896,0.0,0.2589928057553957,0.0,0.3564356435643564,0.0,0.29999999999999993,0.0,0.3813443072702332,0.0,0.0,0.0,0.0,0.0,0.3813443072702332,0.0,15.0,0.0
agentreward_side_effect,5,0.39613201643557505,-0.01481,0.3246564760665977,-0.098086,0.0,-0.258993,0.0,-0.356436,0.0,-0.3,0.07544581618655692,-0.305898,0.10891089108910891,0.108911,0.10476190476190476,0.104762,0.13580246913580246,-0.245542,28.0,13.0
osworld_group_start,1,0.19253814618053025,-0.003379,1.0,0.135362,0.19047619047619047,0.008228,1.0,0.596859,0.32,0.068981,1.0,0.578659,0.0,-0.240838,0.0,-0.190476,0.4894041386187983,0.439043,2.0,-14.0
osworld_group_start,2,0.1790779013242497,-0.01684,0.8494072778212756,-0.015231,0.19047619047619047,0.008228,1.0,0.596859,0.32,0.068981,1.0,0.578659,0.1518324607329843,-0.089005,0.14285714285714285,-0.047619,0.2144103714784343,0.164049,4.0,-12.0
osworld_group_start,3,0.19597715805278582,6e-05,0.9374926802316758,0.072854,0.19927404718693284,0.017026,0.7185863874345549,0.315445,0.3120204603580562,0.061002,0.6868611318873099,0.26552,0.3075916230366492,0.066754,0.24251805985552116,0.052042,0.1974569932685116,0.147095,8.0,-8.0
osworld_group_start,4,0.19591752181188896,0.0,0.8646383417679281,0.0,0.18224852071005918,0.0,0.4031413612565445,0.0,0.25101874490627546,0.0,0.42134131139366743,0.0,0.24083769633507854,0.0,0.19047619047619047,0.0,0.05036150585888806,0.0,16.0,0.0
osworld_group_start,5,0.20239480787630335,0.006477,0.8349352646009142,-0.029703,0.23508137432188064,0.052833,0.17015706806282724,-0.232984,0.1974183750949127,-0.0536,0.13787085514834205,-0.28347,0.27225130890052357,0.031414,0.212461695607763,0.021986,0.04363001745200698,-0.006731,32.0,16.0
satraj_unsafe,1,0.14515752625437572,-0.281644,0.6309297535714575,0.105757,0.14515752625437572,-0.625561,1.0,0.551447,0.25351538618300384,-0.313558,1.0,0.915519,0.0,-0.945338,0.0,-0.621564,1.0,0.977363,2.0,-10.0
satraj_unsafe,2,0.13055858048478122,-0.296243,0.6801667028680461,0.154994,0.14515752625437572,-0.625561,1.0,0.551447,0.25351538618300384,-0.313558,1.0,0.915519,0.409967845659164,-0.53537,0.2802197802197802,-0.341345,0.7204200700116686,0.697783,4.0,-8.0
satraj_unsafe,3,0.4058315240154324,-0.02097,0.761259134368333,0.236086,0.16686674669867949,-0.603851,0.8938906752411575,0.445338,0.2812341932220537,-0.285839,0.7775962660443407,0.693116,0.3665594855305466,-0.578778,0.43059490084985835,-0.19097,0.05274212368728121,0.030105,7.0,-5.0
satraj_unsafe,4,0.4268018402882712,0.0,0.5251726894389452,0.0,0.7707182320441989,0.0,0.44855305466237944,0.0,0.5670731707317074,0.0,0.08448074679113185,0.0,0.9453376205787781,0.0,0.6215644820295982,0.0,0.02263710618436406,0.0,12.0,0.0
satraj_unsafe,5,0.644541153252184,0.217739,0.5179322356052334,-0.00724,0.6875,-0.083218,0.1945337620578778,-0.254019,0.30325814536340856,-0.263815,0.041073512252042005,-0.043407,0.9035369774919614,-0.041801,0.5997865528281751,-0.021778,0.005134189031505251,-0.017503,24.0,12.0
