task,dataset,query_family,view,max_depth,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,groups_to_50pct_recall,work_to_50pct_recall
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_5,5,visible_risk,False,729,504,0.691358024691358,28,24,0.8360191361616652,0.5550212852391387,0.6727272727272727,0.07341269841269842,0.13237924865831843,0.07544581618655692,0.36507936507936506,0.5125348189415041,0.2935528120713306,0.015089163237311385,14,0.41838134430727025
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_5,5,query_aware,False,729,504,0.691358024691358,28,24,0.8897439316466572,0.6169668000179914,1.0,0.2261904761904762,0.36893203883495146,0.15637860082304528,0.38492063492063494,0.538888888888889,0.2962962962962963,0.03566529492455418,20,0.3868312757201646
agentreward_looping,agent-reward-bench,failure-looping,induced_depth_5,5,oracle_upper_bound,True,729,504,0.691358024691358,28,24,0.930640538341989,0.9469753186032815,0.9493670886075949,0.44642857142857145,0.6072874493927126,0.32510288065843623,0.4027777777777778,0.564673157162726,0.29492455418381347,0.19204389574759945,7,0.3786008230452675
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_1,1,width,False,729,202,0.27709190672153633,2,1,0.40480961923847697,1.0,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.0,0.6844993141289437,1,0.6844993141289437
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_1,1,visible_risk,False,729,202,0.27709190672153633,2,1,0.27709190672153633,0.6309297535714574,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.0,1.0,2,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_1,1,query_aware,False,729,202,0.27709190672153633,2,1,0.40480961923847697,1.0,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.0,0.6844993141289437,1,0.6844993141289437
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_1,1,oracle_upper_bound,True,729,202,0.27709190672153633,2,1,0.40480961923847697,1.0,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.0,0.6844993141289437,1,0.6844993141289437
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_2,2,width,False,729,202,0.27709190672153633,4,2,0.3528353094821312,0.8779772706664527,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.2030178326474623,0.3813443072702332,2,0.6844993141289437
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_2,2,visible_risk,False,729,202,0.27709190672153633,4,2,0.2496136033356422,0.5781033033000695,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.11248285322359397,0.49382716049382713,4,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_2,2,query_aware,False,729,202,0.27709190672153633,4,2,0.2950392801758661,0.6294753863706894,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.11248285322359397,0.49382716049382713,3,0.7969821673525377
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_2,2,oracle_upper_bound,True,729,202,0.27709190672153633,4,2,0.5228558456458636,1.0,0.27709190672153633,1.0,0.4339419978517723,1.0,0.0,0.0,0.2030178326474623,0.30315500685871055,1,0.30315500685871055
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_3,3,width,False,729,202,0.27709190672153633,8,2,0.4994940343211014,0.8779772706664527,0.3441226575809199,1.0,0.5120405576679341,0.8052126200274349,0.3564356435643564,0.3469879518072289,0.29218106995884774,0.29218106995884774,2,0.47050754458161864
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_3,3,visible_risk,False,729,202,0.27709190672153633,8,2,0.2572906787354899,0.43898863533322635,0.17142857142857143,0.3564356435643564,0.23151125401929262,0.5761316872427984,0.0,0.0,0.2839506172839506,0.4458161865569273,8,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_3,3,query_aware,False,729,202,0.27709190672153633,8,2,0.4320385884742321,0.6294753863706894,0.3720073664825046,1.0,0.5422818791946309,0.7448559670781894,0.6435643564356436,0.6280193236714975,0.2908093278463649,0.35665294924554186,3,0.5349794238683128
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_3,3,oracle_upper_bound,True,729,202,0.27709190672153633,8,2,0.8534768928787922,1.0,0.3840304182509506,1.0,0.554945054945055,0.7215363511659808,0.6435643564356436,0.6190476190476191,0.299039780521262,0.17832647462277093,1,0.17832647462277093
