task,dataset,query_family,view,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top1_precision,top1_recall,top1_f1,top1_work,top3_precision,top3_recall,top3_f1,top3_work,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,work_to_first_high_lift,groups_to_50pct_recall,work_to_50pct_recall
agentreward_looping,agent-reward-bench,failure-looping,operation_stack,visible_risk,False,729,504,0.6914,40,21,0.8408,0.5787,0.7234,0.0675,0.1234,0.0645,0.8415,0.1369,0.2355,0.1125,0.8276,0.1429,0.2437,0.1193,0.3651,0.5097,0.299,0.0645,,13,0.4129
agentreward_looping,agent-reward-bench,failure-looping,operation_stack,query_aware,False,729,504,0.6914,40,21,0.8808,0.9687,0.9067,0.2698,0.4159,0.2058,0.8947,0.5397,0.6733,0.417,0.9111,0.6508,0.7593,0.4938,0.3988,0.5568,0.299,0.2058,,3,0.417
agentreward_looping,agent-reward-bench,failure-looping,operation_stack,oracle_upper_bound,True,729,504,0.6914,40,21,0.9428,0.8752,1.0,0.1508,0.2621,0.1043,0.9453,0.4802,0.6368,0.3512,0.9554,0.5952,0.7335,0.4307,0.4325,0.6039,0.299,0.1043,,4,0.3909
agentreward_looping,agent-reward-bench,failure-looping,label_drilldown,width,True,729,504,0.6914,28,13,0.9076,0.9543,1.0,0.5972,0.7478,0.4129,0.7949,0.7381,0.7654,0.642,0.7594,0.8016,0.7799,0.7298,0.2063,0.2881,0.299,0.4129,,1,0.4129
agentreward_looping,agent-reward-bench,failure-looping,label_drilldown,visible_risk,True,729,504,0.6914,28,13,0.9185,0.5214,1.0,0.1409,0.247,0.0974,0.8276,0.1429,0.2437,0.1193,0.8828,0.2242,0.3576,0.1756,0.3036,0.4238,0.299,0.0974,,8,0.62
agentreward_looping,agent-reward-bench,failure-looping,label_drilldown,query_aware,True,729,504,0.6914,28,13,0.9488,0.9232,1.0,0.5972,0.7478,0.4129,0.9111,0.6508,0.7593,0.4938,0.8744,0.6766,0.7629,0.535,0.3294,0.4598,0.299,0.4129,,1,0.4129
agentreward_looping,agent-reward-bench,failure-looping,label_drilldown,oracle_upper_bound,True,729,504,0.6914,28,13,1.0,1.0,1.0,0.5972,0.7478,0.4129,1.0,0.8016,0.8899,0.5542,1.0,0.8988,0.9467,0.6214,0.4028,0.5623,0.299,0.4129,,1,0.4129
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat,width,False,729,202,0.2771,1,1,0.2771,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat,visible_risk,False,729,202,0.2771,1,1,0.2771,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat,query_aware,False,729,202,0.2771,1,1,0.2771,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat,oracle_upper_bound,True,729,202,0.2771,1,1,0.2771,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.2771,1.0,0.4339,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session,width,False,729,202,0.2771,29,2,1.0,1.0,1.0,0.505,0.6711,0.1399,0.8596,1.0,0.9245,0.3224,0.6847,1.0,0.8129,0.4047,1.0,0.9619,0.299,0.1399,0.1399,1,0.1399
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session,visible_risk,False,729,202,0.2771,29,2,0.2509,0.2913,0.0,0.0,0.0,0.0412,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.1948,0.0,0.0,0.299,0.7078,0.7078,16,0.7078
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session,query_aware,False,729,202,0.2771,29,2,0.4606,0.3696,0.0,0.0,0.0,0.0412,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.1948,0.0,0.0,0.299,0.3471,0.3471,7,0.3471
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session,oracle_upper_bound,True,729,202,0.2771,29,2,1.0,1.0,1.0,0.505,0.6711,0.1399,0.9573,1.0,0.9782,0.2894,0.8279,1.0,0.9058,0.3347,1.0,0.9619,0.299,0.1399,0.1399,1,0.1399
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native,width,False,729,202,0.2771,4,1,0.5166,1.0,0.5166,1.0,0.6813,0.5364,0.301,1.0,0.4628,0.9204,0.2771,1.0,0.4339,1.0,0.0,0.0,0.2812,0.5364,0.5364,1,0.5364
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native,visible_risk,False,729,202,0.2771,4,1,0.3855,0.6309,0.0,0.0,0.0,0.1824,0.301,1.0,0.4628,0.9204,0.2771,1.0,0.4339,1.0,0.0,0.0,0.262,0.7188,0.7188,2,0.7188
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native,query_aware,False,729,202,0.2771,4,1,0.5166,1.0,0.5166,1.0,0.6813,0.5364,0.3471,1.0,0.5153,0.7984,0.2771,1.0,0.4339,1.0,0.0,0.0,0.262,0.5364,0.5364,1,0.5364
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native,oracle_upper_bound,True,729,202,0.2771,4,1,0.5166,1.0,0.5166,1.0,0.6813,0.5364,0.3389,1.0,0.5063,0.8176,0.2771,1.0,0.4339,1.0,0.0,0.0,0.2812,0.5364,0.5364,1,0.5364
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack,width,False,729,202,0.2771,14,6,0.2752,0.9854,0.2683,0.599,0.3706,0.6187,0.2919,0.8614,0.4361,0.8176,0.3056,0.9802,0.4659,0.8889,0.3812,0.3675,0.2977,0.6187,0.8176,1,0.6187
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack,visible_risk,False,729,202,0.2771,14,6,0.3067,0.4649,0.0,0.0,0.0,0.0014,0.363,0.2624,0.3046,0.2003,0.3889,0.3812,0.385,0.2716,0.3812,0.3667,0.299,0.1509,0.2003,10,0.9575
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack,query_aware,False,729,202,0.2771,14,6,0.3273,0.5639,0.211,0.1139,0.1479,0.1495,0.3481,0.2327,0.2789,0.1852,0.44,0.3812,0.4085,0.2401,0.3812,0.3684,0.2963,0.1495,0.1852,6,0.8587
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack,oracle_upper_bound,True,729,202,0.2771,14,6,0.4931,0.6935,0.96,0.1188,0.2115,0.0343,0.3418,0.8663,0.4902,0.7023,0.339,0.8861,0.4904,0.7243,0.401,0.3951,0.2853,0.0343,0.0343,3,0.7023
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack,width,False,729,202,0.2771,40,9,0.3661,0.8264,0.26,0.1931,0.2216,0.2058,0.3612,0.599,0.4507,0.4595,0.2926,0.6634,0.4061,0.6283,0.3069,0.2952,0.299,0.2058,0.3525,2,0.3525
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack,visible_risk,False,729,202,0.2771,40,9,0.3107,0.4281,0.2766,0.0644,0.1044,0.0645,0.1585,0.0644,0.0915,0.1125,0.1494,0.0644,0.09,0.1193,0.302,0.2905,0.299,0.0645,0.1605,26,0.797
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack,query_aware,False,729,202,0.2771,40,9,0.3979,0.4445,0.2766,0.0644,0.1044,0.0645,0.2396,0.1139,0.1544,0.1317,0.217,0.1139,0.1494,0.1454,0.3812,0.3667,0.299,0.0645,0.1317,17,0.4458
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack,oracle_upper_bound,True,729,202,0.2771,40,9,0.8087,0.7124,1.0,0.1485,0.2586,0.0412,1.0,0.2673,0.4219,0.0741,0.8415,0.6832,0.7541,0.225,0.7426,0.7143,0.299,0.0412,0.0412,4,0.2209
agentreward_side_effect,agent-reward-bench,failure-side-effect,label_drilldown,width,True,729,202,0.2771,30,9,0.2466,0.6587,0.0,0.0,0.0,0.4033,0.1826,0.4059,0.2519,0.6159,0.2309,0.599,0.3333,0.7188,0.599,0.5762,0.299,0.5158,0.5158,4,0.6694
agentreward_side_effect,agent-reward-bench,failure-side-effect,label_drilldown,visible_risk,True,729,202,0.2771,30,9,0.2823,0.433,0.0,0.0,0.0,0.1001,0.1494,0.0644,0.09,0.1193,0.408,0.2525,0.3119,0.1715,0.495,0.4762,0.299,0.118,0.118,19,0.797
agentreward_side_effect,agent-reward-bench,failure-side-effect,label_drilldown,query_aware,True,729,202,0.2771,30,9,0.3141,0.424,0.0,0.0,0.0,0.1001,0.1313,0.0644,0.0864,0.1358,0.2091,0.1139,0.1474,0.1509,0.5842,0.5619,0.299,0.1358,0.1358,14,0.7558
agentreward_side_effect,agent-reward-bench,failure-side-effect,label_drilldown,oracle_upper_bound,True,729,202,0.2771,30,9,1.0,1.0,1.0,0.4059,0.5775,0.1125,1.0,0.7475,0.8555,0.2071,1.0,0.8911,0.9424,0.2469,1.0,0.9619,0.299,0.1125,0.1125,2,0.166
satraj_unsafe,satraj-os-safety,safety,flat,width,False,4285,622,0.1452,1,1,0.1452,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.0,0.0,0.0,1.0,,1,1.0
satraj_unsafe,satraj-os-safety,safety,flat,visible_risk,False,4285,622,0.1452,1,1,0.1452,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.0,0.0,0.0,1.0,,1,1.0
satraj_unsafe,satraj-os-safety,safety,flat,query_aware,False,4285,622,0.1452,1,1,0.1452,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.0,0.0,0.0,1.0,,1,1.0
satraj_unsafe,satraj-os-safety,safety,flat,oracle_upper_bound,True,4285,622,0.1452,1,1,0.1452,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.1452,1.0,0.2535,1.0,0.0,0.0,0.0,1.0,,1,1.0
satraj_unsafe,satraj-os-safety,safety,fixed_session,width,False,4285,622,0.1452,250,88,0.0797,0.4719,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.035,0.0,0.0,0.2999,0.4721,0.4721,170,0.912
satraj_unsafe,satraj-os-safety,safety,fixed_session,visible_risk,False,4285,622,0.1452,250,88,0.086,0.4788,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0341,0.0193,0.0126,0.2999,0.0775,0.0775,190,0.884
satraj_unsafe,satraj-os-safety,safety,fixed_session,query_aware,False,4285,622,0.1452,250,88,0.5059,0.7354,1.0,0.0257,0.0502,0.0037,1.0,0.0547,0.1037,0.0079,0.5455,0.0579,0.1047,0.0154,0.865,0.5642,0.2999,0.0037,0.0037,56,0.1615
satraj_unsafe,satraj-os-safety,safety,fixed_session,oracle_upper_bound,True,4285,622,0.1452,250,88,1.0,1.0,1.0,0.0402,0.0773,0.0058,1.0,0.1077,0.1945,0.0156,1.0,0.1672,0.2865,0.0243,1.0,0.6523,0.2999,0.0058,0.0058,21,0.0744
satraj_unsafe,satraj-os-safety,safety,dataset_native,width,False,4285,622,0.1452,5,2,0.1125,0.5007,0.0,0.0,0.0,0.2866,0.0,0.0,0.0,0.8126,0.1452,1.0,0.2535,1.0,0.0,0.0,0.2866,0.9106,0.9106,4,0.9106
satraj_unsafe,satraj-os-safety,safety,dataset_native,visible_risk,False,4285,622,0.1452,5,2,0.1125,0.5007,0.0,0.0,0.0,0.2866,0.0,0.0,0.0,0.8126,0.1452,1.0,0.2535,1.0,0.0,0.0,0.2866,0.9106,0.9106,4,0.9106
satraj_unsafe,satraj-os-safety,safety,dataset_native,query_aware,False,4285,622,0.1452,5,2,0.7598,1.0,0.7452,0.5032,0.6008,0.098,0.3063,1.0,0.4689,0.474,0.1452,1.0,0.2535,1.0,1.0,0.873,0.1874,0.098,0.098,1,0.098
satraj_unsafe,satraj-os-safety,safety,dataset_native,oracle_upper_bound,True,4285,622,0.1452,5,2,0.7906,0.9971,0.8068,0.4968,0.6149,0.0894,0.3229,1.0,0.4882,0.4495,0.1452,1.0,0.2535,1.0,1.0,0.873,0.1874,0.0894,0.0894,2,0.1874
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,width,False,4285,622,0.1452,24,12,0.1181,0.6554,0.0033,0.0129,0.0052,0.5704,0.0933,0.4871,0.1567,0.7575,0.1283,0.7605,0.2195,0.8607,0.783,0.5107,0.2999,0.5704,0.6936,5,0.8607
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,visible_risk,False,4285,622,0.1452,24,12,0.1013,0.3479,0.0164,0.0064,0.0092,0.0569,0.015,0.0145,0.0147,0.1405,0.0137,0.0145,0.0141,0.1529,0.4871,0.3181,0.2994,0.0569,0.8035,19,0.9897
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,query_aware,False,4285,622,0.1452,24,12,0.5988,0.681,0.8525,0.1672,0.2796,0.0285,0.4858,0.4405,0.4621,0.1316,0.3302,0.4486,0.3804,0.1972,0.5209,0.3398,0.2999,0.0285,0.0285,8,0.3286
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,oracle_upper_bound,True,4285,622,0.1452,24,12,0.7387,0.7496,0.8384,0.2669,0.4049,0.0462,0.8442,0.4357,0.5748,0.0749,0.6667,0.9325,0.7775,0.203,0.9807,0.6401,0.2996,0.0462,0.0462,5,0.203
satraj_unsafe,satraj-os-safety,safety,operation_stack,width,False,4285,622,0.1452,142,31,0.1003,0.5007,0.0,0.0,0.0,0.1083,0.0,0.0,0.0,0.3195,0.0,0.0,0.0,0.5181,0.1125,0.0734,0.2999,0.6366,0.6366,16,0.7379
satraj_unsafe,satraj-os-safety,safety,operation_stack,visible_risk,False,4285,622,0.1452,142,31,0.0909,0.321,0.0,0.0,0.0,0.0338,0.0,0.0,0.0,0.0688,0.0,0.0,0.0,0.0793,0.0804,0.0524,0.2999,0.0852,0.119,103,0.8894
satraj_unsafe,satraj-os-safety,safety,operation_stack,query_aware,False,4285,622,0.1452,142,31,0.4875,0.653,1.0,0.0772,0.1433,0.0112,1.0,0.2074,0.3435,0.0301,0.9056,0.2621,0.4065,0.042,0.8376,0.5464,0.2999,0.0112,0.0112,38,0.2282
satraj_unsafe,satraj-os-safety,safety,operation_stack,oracle_upper_bound,True,4285,622,0.1452,142,31,0.9992,0.9994,1.0,0.1576,0.2722,0.0229,1.0,0.381,0.5518,0.0553,1.0,0.5434,0.7042,0.0789,1.0,0.6523,0.2999,0.0229,0.0229,5,0.0789
satraj_unsafe,satraj-os-safety,safety,label_drilldown,width,True,4285,622,0.1452,108,24,0.098,0.517,0.0,0.0,0.0,0.1211,0.0,0.0,0.0,0.3461,0.0,0.0,0.0,0.5636,0.1415,0.0923,0.2999,0.6989,0.6989,14,0.7697
satraj_unsafe,satraj-os-safety,safety,label_drilldown,visible_risk,True,4285,622,0.1452,108,24,0.0896,0.3258,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0226,0.0579,0.0378,0.2999,0.2924,0.2924,89,0.9333
satraj_unsafe,satraj-os-safety,safety,label_drilldown,query_aware,True,4285,622,0.1452,108,24,0.4913,0.6477,1.0,0.0723,0.1349,0.0105,1.0,0.209,0.3457,0.0303,0.9432,0.2669,0.416,0.0411,0.8457,0.5517,0.2999,0.0105,0.0105,27,0.2079
satraj_unsafe,satraj-os-safety,safety,label_drilldown,oracle_upper_bound,True,4285,622,0.1452,108,24,1.0,1.0,1.0,0.1576,0.2722,0.0229,1.0,0.3939,0.5652,0.0572,1.0,0.5579,0.7162,0.081,1.0,0.6523,0.2999,0.0229,0.0229,5,0.081
agentnet_incorrect_step,agentnet,step-quality,flat,width,False,14718,874,0.0594,1,1,0.0594,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_incorrect_step,agentnet,step-quality,flat,visible_risk,False,14718,874,0.0594,1,1,0.0594,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_incorrect_step,agentnet,step-quality,flat,query_aware,False,14718,874,0.0594,1,1,0.0594,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_incorrect_step,agentnet,step-quality,flat,oracle_upper_bound,True,14718,874,0.0594,1,1,0.0594,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0594,1.0,0.1121,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session,width,False,14718,874,0.0594,835,502,0.0598,0.84,0.0,0.0,0.0,0.004,0.0486,0.008,0.0138,0.0098,0.0617,0.016,0.0254,0.0154,0.2929,0.0968,0.3,0.0069,0.0069,290,0.488
agentnet_incorrect_step,agentnet,step-quality,fixed_session,visible_risk,False,14718,874,0.0594,835,502,0.0834,0.8182,0.0,0.0,0.0,0.0007,0.1522,0.008,0.0152,0.0031,0.1341,0.0126,0.023,0.0056,0.405,0.1339,0.2999,0.0022,0.0022,326,0.3902
agentnet_incorrect_step,agentnet,step-quality,fixed_session,query_aware,False,14718,874,0.0594,835,502,0.0799,0.7929,0.0,0.0,0.0,0.0007,0.1522,0.008,0.0152,0.0031,0.1341,0.0126,0.023,0.0056,0.4062,0.1342,0.3,0.0017,0.0017,326,0.3876
agentnet_incorrect_step,agentnet,step-quality,fixed_session,oracle_upper_bound,True,14718,874,0.0594,835,502,0.1647,0.9701,0.375,0.0069,0.0135,0.0011,0.3333,0.0172,0.0326,0.0031,0.3188,0.0252,0.0467,0.0047,0.6659,0.2201,0.2999,0.0011,0.0011,164,0.1961
agentnet_incorrect_step,agentnet,step-quality,dataset_native,width,False,14718,874,0.0594,65,54,0.0533,0.9229,0.0629,0.0721,0.0672,0.0681,0.0354,0.1178,0.0544,0.1979,0.0419,0.2059,0.0697,0.2915,0.2208,0.073,0.2999,0.0681,0.7318,12,0.5593
agentnet_incorrect_step,agentnet,step-quality,dataset_native,visible_risk,False,14718,874,0.0594,65,54,0.0812,0.6038,0.0,0.0,0.0,0.0007,0.1297,0.0469,0.0689,0.0215,0.1012,0.0492,0.0662,0.0289,0.4119,0.1362,0.2997,0.0019,0.0215,30,0.4095
agentnet_incorrect_step,agentnet,step-quality,dataset_native,query_aware,False,14718,874,0.0594,65,54,0.0797,0.5766,0.0241,0.0023,0.0042,0.0056,0.0165,0.0023,0.004,0.0082,0.0149,0.0023,0.004,0.0091,0.4199,0.1388,0.2999,0.0056,0.0308,34,0.4202
agentnet_incorrect_step,agentnet,step-quality,dataset_native,oracle_upper_bound,True,14718,874,0.0594,65,54,0.0936,0.8757,0.1389,0.0458,0.0688,0.0196,0.141,0.1224,0.131,0.0516,0.1127,0.1957,0.143,0.1031,0.4542,0.1501,0.3,0.0196,0.0196,15,0.3674
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,width,False,14718,874,0.0594,25,12,0.0655,0.9885,0.0658,0.6934,0.1203,0.6254,0.0654,0.8467,0.1214,0.7689,0.0601,0.8661,0.1123,0.8565,0.2437,0.0805,0.3,0.6254,0.7104,1,0.6254
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,visible_risk,False,14718,874,0.0594,25,12,0.0673,0.3003,0.0,0.0,0.0,0.001,0.082,0.0114,0.0201,0.0083,0.0548,0.0343,0.0422,0.0372,0.2838,0.0959,0.2922,0.0041,0.0041,19,0.9152
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,query_aware,False,14718,874,0.0594,25,12,0.066,0.2841,0.0,0.0,0.0,0.001,0.082,0.0114,0.0201,0.0083,0.0521,0.0114,0.0188,0.013,0.2838,0.0959,0.2922,0.0041,0.0041,21,0.9392
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,oracle_upper_bound,True,14718,874,0.0594,25,12,0.067,0.9921,0.0658,0.6934,0.1203,0.6254,0.0695,0.8352,0.1284,0.7135,0.071,0.9222,0.1319,0.771,0.3021,0.1004,0.2981,0.6254,0.7104,1,0.6254
agentnet_incorrect_step,agentnet,step-quality,operation_stack,width,False,14718,874,0.0594,289,101,0.0687,0.9578,0.0869,0.1201,0.1009,0.0821,0.0623,0.2208,0.0972,0.2106,0.0658,0.3284,0.1096,0.2965,0.3307,0.1093,0.3,0.0821,0.4338,10,0.4588
agentnet_incorrect_step,agentnet,step-quality,operation_stack,visible_risk,False,14718,874,0.0594,289,101,0.0884,0.3561,0.0,0.0,0.0,0.0003,0.0909,0.0011,0.0023,0.0007,0.125,0.0046,0.0088,0.0022,0.4005,0.1324,0.3,0.0007,0.0007,162,0.3673
agentnet_incorrect_step,agentnet,step-quality,operation_stack,query_aware,False,14718,874,0.0594,289,101,0.0886,0.3594,0.0,0.0,0.0,0.0003,0.0909,0.0011,0.0023,0.0007,0.1429,0.0034,0.0067,0.0014,0.4382,0.1448,0.3,0.0007,0.0007,186,0.3857
agentnet_incorrect_step,agentnet,step-quality,operation_stack,oracle_upper_bound,True,14718,874,0.0594,289,101,0.148,0.5619,0.6667,0.0046,0.0091,0.0004,0.5833,0.008,0.0158,0.0008,0.4516,0.0481,0.0869,0.0063,0.5652,0.1868,0.3,0.0004,0.0004,33,0.3131
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,width,True,14718,874,0.0594,287,83,0.0351,0.3949,0.0,0.0,0.0,0.0765,0.0,0.0,0.0,0.2001,0.0,0.0,0.0,0.2829,0.0,0.0,0.3,0.6326,0.6326,71,0.8357
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,visible_risk,True,14718,874,0.0594,287,83,0.0911,0.378,1.0,0.0023,0.0046,0.0001,0.1786,0.0057,0.0111,0.0019,0.3404,0.0183,0.0347,0.0032,0.4119,0.1361,0.3,0.0001,0.0001,192,0.4307
