project,source_kind,action_bin,signal_rows,unique_event_ids,unique_sessions
agentsight,instruction_read,40,45,40,15
agentsight,instruction_read,41,21,20,7
agentsight,instruction_read,42,4,3,2
agentsight,instruction_read,43,3,2,1
agentsight,instruction_read,44,9,6,4
agentsight,instruction_read,45,24,21,11
agentsight,instruction_read,46,3,2,2
agentsight,instruction_read,47,5,5,4
agentsight,instruction_read,48,12,9,4
agentsight,instruction_read,49,13,10,6
agentsight,instruction_read,50,1,1,1
agentsight,instruction_read,51,9,9,5
agentsight,instruction_read,52,21,19,8
agentsight,instruction_read,53,9,9,2
agentsight,instruction_read,54,9,7,2
agentsight,instruction_read,55,6,4,2
agentsight,instruction_read,56,3,2,1
agentsight,instruction_read,57,6,4,2
agentsight,instruction_read,58,0,0,0
agentsight,instruction_read,59,3,3,1
agentsight,instruction_mutation,0,0,0,0
agentsight,instruction_mutation,1,0,0,0
agentsight,instruction_mutation,2,1,1,1
agentsight,instruction_mutation,3,0,0,0
agentsight,instruction_mutation,4,2,2,1
agentsight,instruction_mutation,5,3,3,1
agentsight,instruction_mutation,6,0,0,0
agentsight,instruction_mutation,7,5,5,2
agentsight,instruction_mutation,8,7,7,2
agentsight,instruction_mutation,9,0,0,0
agentsight,instruction_mutation,10,0,0,0
agentsight,instruction_mutation,11,0,0,0
agentsight,instruction_mutation,12,0,0,0
agentsight,instruction_mutation,13,0,0,0
agentsight,instruction_mutation,14,0,0,0
agentsight,instruction_mutation,15,0,0,0
agentsight,instruction_mutation,16,0,0,0
agentsight,instruction_mutation,17,1,1,1
agentsight,instruction_mutation,18,0,0,0
agentsight,instruction_mutation,19,55,41,3
agentsight,instruction_mutation,20,2,2,1
agentsight,instruction_mutation,21,20,20,3
agentsight,instruction_mutation,22,0,0,0
agentsight,instruction_mutation,23,0,0,0
agentsight,instruction_mutation,24,0,0,0
agentsight,instruction_mutation,25,0,0,0
agentsight,instruction_mutation,26,0,0,0
agentsight,instruction_mutation,27,0,0,0
agentsight,instruction_mutation,28,0,0,0
agentsight,instruction_mutation,29,0,0,0
agentsight,instruction_mutation,30,0,0,0
agentsight,instruction_mutation,31,0,0,0
agentsight,instruction_mutation,32,0,0,0
agentsight,instruction_mutation,33,0,0,0
agentsight,instruction_mutation,34,3,3,1
agentsight,instruction_mutation,35,0,0,0
agentsight,instruction_mutation,36,0,0,0
agentsight,instruction_mutation,37,0,0,0
agentsight,instruction_mutation,38,0,0,0
agentsight,instruction_mutation,39,0,0,0
agentsight,instruction_mutation,40,1,1,1
agentsight,instruction_mutation,41,2,2,1
agentsight,instruction_mutation,42,0,0,0
agentsight,instruction_mutation,43,0,0,0
agentsight,instruction_mutation,44,0,0,0
agentsight,instruction_mutation,45,2,2,1
agentsight,instruction_mutation,46,0,0,0
agentsight,instruction_mutation,47,0,0,0
agentsight,instruction_mutation,48,2,2,1
agentsight,instruction_mutation,49,1,1,1
agentsight,instruction_mutation,50,0,0,0
agentsight,instruction_mutation,51,1,1,1
agentsight,instruction_mutation,52,1,1,1
agentsight,instruction_mutation,53,1,1,1
agentsight,instruction_mutation,54,0,0,0
agentsight,instruction_mutation,55,0,0,0
agentsight,instruction_mutation,56,0,0,0
agentsight,instruction_mutation,57,0,0,0
agentsight,instruction_mutation,58,0,0,0
agentsight,instruction_mutation,59,3,3,1
ActPlane,skill_tool,0,0,0,0
ActPlane,skill_tool,1,0,0,0
ActPlane,skill_tool,2,0,0,0
ActPlane,skill_tool,3,0,0,0
ActPlane,skill_tool,4,1,1,1
ActPlane,skill_tool,5,1,1,1
ActPlane,skill_tool,6,0,0,0
ActPlane,skill_tool,7,0,0,0
ActPlane,skill_tool,8,7,7,6
ActPlane,skill_tool,9,0,0,0
ActPlane,skill_tool,10,0,0,0
ActPlane,skill_tool,11,0,0,0
ActPlane,skill_tool,12,0,0,0
ActPlane,skill_tool,13,0,0,0
ActPlane,skill_tool,14,0,0,0
ActPlane,skill_tool,15,0,0,0
ActPlane,skill_tool,16,0,0,0
ActPlane,skill_tool,17,0,0,0
ActPlane,skill_tool,18,0,0,0
ActPlane,skill_tool,19,0,0,0
ActPlane,skill_tool,20,0,0,0
ActPlane,skill_tool,21,0,0,0
ActPlane,skill_tool,22,0,0,0
ActPlane,skill_tool,23,0,0,0
ActPlane,skill_tool,24,0,0,0
ActPlane,skill_tool,25,0,0,0
ActPlane,skill_tool,26,0,0,0
ActPlane,skill_tool,27,0,0,0
ActPlane,skill_tool,28,0,0,0
ActPlane,skill_tool,29,0,0,0
ActPlane,skill_tool,30,0,0,0
ActPlane,skill_tool,31,0,0,0
ActPlane,skill_tool,32,0,0,0
ActPlane,skill_tool,33,0,0,0
ActPlane,skill_tool,34,0,0,0
ActPlane,skill_tool,35,0,0,0
ActPlane,skill_tool,36,0,0,0
ActPlane,skill_tool,37,0,0,0
ActPlane,skill_tool,38,0,0,0
ActPlane,skill_tool,39,0,0,0
ActPlane,skill_tool,40,0,0,0
ActPlane,skill_tool,41,0,0,0
ActPlane,skill_tool,42,0,0,0
ActPlane,skill_tool,43,0,0,0
ActPlane,skill_tool,44,0,0,0
ActPlane,skill_tool,45,0,0,0
ActPlane,skill_tool,46,0,0,0
ActPlane,skill_tool,47,0,0,0
ActPlane,skill_tool,48,2,2,1
ActPlane,skill_tool,49,9,9,5
ActPlane,skill_tool,50,1,1,1
ActPlane,skill_tool,51,0,0,0
ActPlane,skill_tool,52,0,0,0
ActPlane,skill_tool,53,0,0,0
ActPlane,skill_tool,54,0,0,0
ActPlane,skill_tool,55,0,0,0
ActPlane,skill_tool,56,0,0,0
ActPlane,skill_tool,57,1,1,1
ActPlane,skill_tool,58,0,0,0
ActPlane,skill_tool,59,1,1,1
ActPlane,instruction_read,0,2,1,1
ActPlane,instruction_read,1,74,65,3
ActPlane,instruction_read,2,211,207,50
ActPlane,instruction_read,3,5,5,1
ActPlane,instruction_read,4,15,15,8
ActPlane,instruction_read,5,15,13,3
ActPlane,instruction_read,6,1,1,1
ActPlane,instruction_read,7,9,9,3
ActPlane,instruction_read,8,5,5,2
ActPlane,instruction_read,9,15,11,1
ActPlane,instruction_read,10,3,2,2
ActPlane,instruction_read,11,0,0,0
ActPlane,instruction_read,12,0,0,0
ActPlane,instruction_read,13,0,0,0
ActPlane,instruction_read,14,0,0,0
ActPlane,instruction_read,15,0,0,0
ActPlane,instruction_read,16,0,0,0
ActPlane,instruction_read,17,22,22,9
ActPlane,instruction_read,18,40,39,15
ActPlane,instruction_read,19,0,0,0
ActPlane,instruction_read,20,0,0,0
ActPlane,instruction_read,21,0,0,0
ActPlane,instruction_read,22,0,0,0
ActPlane,instruction_read,23,18,11,3
ActPlane,instruction_read,24,0,0,0
ActPlane,instruction_read,25,0,0,0
ActPlane,instruction_read,26,0,0,0
ActPlane,instruction_read,27,4,4,1
ActPlane,instruction_read,28,0,0,0
ActPlane,instruction_read,29,0,0,0
ActPlane,instruction_read,30,0,0,0
ActPlane,instruction_read,31,0,0,0
ActPlane,instruction_read,32,4,4,1
ActPlane,instruction_read,33,0,0,0
ActPlane,instruction_read,34,0,0,0
ActPlane,instruction_read,35,33,32,6
ActPlane,instruction_read,36,19,9,1
ActPlane,instruction_read,37,0,0,0
ActPlane,instruction_read,38,0,0,0
ActPlane,instruction_read,39,0,0,0
ActPlane,instruction_read,40,10,9,2
ActPlane,instruction_read,41,0,0,0
ActPlane,instruction_read,42,0,0,0
ActPlane,instruction_read,43,0,0,0
ActPlane,instruction_read,44,1,1,1
ActPlane,instruction_read,45,0,0,0
ActPlane,instruction_read,46,1,1,1
ActPlane,instruction_read,47,2,1,1
ActPlane,instruction_read,48,11,8,1
ActPlane,instruction_read,49,12,12,2
ActPlane,instruction_read,50,0,0,0
ActPlane,instruction_read,51,0,0,0
ActPlane,instruction_read,52,4,3,1
ActPlane,instruction_read,53,2,2,2
ActPlane,instruction_read,54,0,0,0
ActPlane,instruction_read,55,0,0,0
ActPlane,instruction_read,56,6,5,2
ActPlane,instruction_read,57,10,10,2
ActPlane,instruction_read,58,10,10,2
ActPlane,instruction_read,59,3,3,3
ActPlane,instruction_mutation,0,0,0,0
ActPlane,instruction_mutation,1,0,0,0
ActPlane,instruction_mutation,2,0,0,0
ActPlane,instruction_mutation,3,2,2,1
ActPlane,instruction_mutation,4,2,2,1
ActPlane,instruction_mutation,5,13,13,2
ActPlane,instruction_mutation,6,0,0,0
ActPlane,instruction_mutation,7,1,1,1
ActPlane,instruction_mutation,8,3,3,1
ActPlane,instruction_mutation,9,4,3,1
ActPlane,instruction_mutation,10,0,0,0
ActPlane,instruction_mutation,11,0,0,0
ActPlane,instruction_mutation,12,0,0,0
ActPlane,instruction_mutation,13,0,0,0
ActPlane,instruction_mutation,14,0,0,0
ActPlane,instruction_mutation,15,0,0,0
ActPlane,instruction_mutation,16,0,0,0
ActPlane,instruction_mutation,17,0,0,0
ActPlane,instruction_mutation,18,0,0,0
ActPlane,instruction_mutation,19,0,0,0
ActPlane,instruction_mutation,20,0,0,0
ActPlane,instruction_mutation,21,0,0,0
ActPlane,instruction_mutation,22,0,0,0
ActPlane,instruction_mutation,23,0,0,0
ActPlane,instruction_mutation,24,0,0,0
ActPlane,instruction_mutation,25,0,0,0
ActPlane,instruction_mutation,26,0,0,0
ActPlane,instruction_mutation,27,0,0,0
ActPlane,instruction_mutation,28,0,0,0
ActPlane,instruction_mutation,29,0,0,0
ActPlane,instruction_mutation,30,0,0,0
ActPlane,instruction_mutation,31,0,0,0
ActPlane,instruction_mutation,32,1,1,1
ActPlane,instruction_mutation,33,0,0,0
ActPlane,instruction_mutation,34,0,0,0
ActPlane,instruction_mutation,35,0,0,0
ActPlane,instruction_mutation,36,0,0,0
ActPlane,instruction_mutation,37,0,0,0
ActPlane,instruction_mutation,38,0,0,0
ActPlane,instruction_mutation,39,0,0,0
ActPlane,instruction_mutation,40,15,13,2
ActPlane,instruction_mutation,41,0,0,0
ActPlane,instruction_mutation,42,0,0,0
ActPlane,instruction_mutation,43,0,0,0
ActPlane,instruction_mutation,44,0,0,0
ActPlane,instruction_mutation,45,0,0,0
ActPlane,instruction_mutation,46,0,0,0
ActPlane,instruction_mutation,47,0,0,0
ActPlane,instruction_mutation,48,2,1,1
ActPlane,instruction_mutation,49,11,11,2
ActPlane,instruction_mutation,50,0,0,0
ActPlane,instruction_mutation,51,0,0,0
ActPlane,instruction_mutation,52,0,0,0
ActPlane,instruction_mutation,53,1,1,1
ActPlane,instruction_mutation,54,0,0,0
ActPlane,instruction_mutation,55,0,0,0
ActPlane,instruction_mutation,56,2,2,1
ActPlane,instruction_mutation,57,3,3,1
ActPlane,instruction_mutation,58,2,2,1
ActPlane,instruction_mutation,59,0,0,0
bpf-developer-tutorial,skill_tool,0,0,0,0
bpf-developer-tutorial,skill_tool,1,0,0,0
bpf-developer-tutorial,skill_tool,2,0,0,0
bpf-developer-tutorial,skill_tool,3,0,0,0
bpf-developer-tutorial,skill_tool,4,0,0,0
bpf-developer-tutorial,skill_tool,5,0,0,0
bpf-developer-tutorial,skill_tool,6,0,0,0
bpf-developer-tutorial,skill_tool,7,0,0,0
bpf-developer-tutorial,skill_tool,8,0,0,0
bpf-developer-tutorial,skill_tool,9,0,0,0
bpf-developer-tutorial,skill_tool,10,0,0,0
bpf-developer-tutorial,skill_tool,11,0,0,0
bpf-developer-tutorial,skill_tool,12,0,0,0
bpf-developer-tutorial,skill_tool,13,0,0,0
bpf-developer-tutorial,skill_tool,14,0,0,0
bpf-developer-tutorial,skill_tool,15,0,0,0
bpf-developer-tutorial,skill_tool,16,0,0,0
bpf-developer-tutorial,skill_tool,17,0,0,0
bpf-developer-tutorial,skill_tool,18,0,0,0
bpf-developer-tutorial,skill_tool,19,0,0,0
bpf-developer-tutorial,skill_tool,20,0,0,0
bpf-developer-tutorial,skill_tool,21,0,0,0
bpf-developer-tutorial,skill_tool,22,0,0,0
bpf-developer-tutorial,skill_tool,23,0,0,0
bpf-developer-tutorial,skill_tool,24,0,0,0
bpf-developer-tutorial,skill_tool,25,0,0,0
bpf-developer-tutorial,skill_tool,26,0,0,0
bpf-developer-tutorial,skill_tool,27,0,0,0
bpf-developer-tutorial,skill_tool,28,0,0,0
bpf-developer-tutorial,skill_tool,29,0,0,0
bpf-developer-tutorial,skill_tool,30,0,0,0
bpf-developer-tutorial,skill_tool,31,0,0,0
bpf-developer-tutorial,skill_tool,32,0,0,0
bpf-developer-tutorial,skill_tool,33,0,0,0
bpf-developer-tutorial,skill_tool,34,0,0,0
bpf-developer-tutorial,skill_tool,35,0,0,0
bpf-developer-tutorial,skill_tool,36,0,0,0
bpf-developer-tutorial,skill_tool,37,0,0,0
bpf-developer-tutorial,skill_tool,38,0,0,0
bpf-developer-tutorial,skill_tool,39,0,0,0
bpf-developer-tutorial,skill_tool,40,0,0,0
bpf-developer-tutorial,skill_tool,41,0,0,0
bpf-developer-tutorial,skill_tool,42,0,0,0
bpf-developer-tutorial,skill_tool,43,0,0,0
bpf-developer-tutorial,skill_tool,44,1,1,1
bpf-developer-tutorial,skill_tool,45,0,0,0
bpf-developer-tutorial,skill_tool,46,0,0,0
bpf-developer-tutorial,skill_tool,47,0,0,0
bpf-developer-tutorial,skill_tool,48,1,1,1
bpf-developer-tutorial,skill_tool,49,1,1,1
bpf-developer-tutorial,skill_tool,50,0,0,0
bpf-developer-tutorial,skill_tool,51,0,0,0
bpf-developer-tutorial,skill_tool,52,0,0,0
bpf-developer-tutorial,skill_tool,53,0,0,0
bpf-developer-tutorial,skill_tool,54,0,0,0
bpf-developer-tutorial,skill_tool,55,0,0,0
bpf-developer-tutorial,skill_tool,56,0,0,0
bpf-developer-tutorial,skill_tool,57,0,0,0
bpf-developer-tutorial,skill_tool,58,0,0,0
bpf-developer-tutorial,skill_tool,59,0,0,0
bpf-developer-tutorial,instruction_read,0,0,0,0
bpf-developer-tutorial,instruction_read,1,0,0,0
bpf-developer-tutorial,instruction_read,2,0,0,0
bpf-developer-tutorial,instruction_read,3,0,0,0
bpf-developer-tutorial,instruction_read,4,0,0,0
bpf-developer-tutorial,instruction_read,5,0,0,0
bpf-developer-tutorial,instruction_read,6,0,0,0
bpf-developer-tutorial,instruction_read,7,0,0,0
bpf-developer-tutorial,instruction_read,8,0,0,0
bpf-developer-tutorial,instruction_read,9,0,0,0
bpf-developer-tutorial,instruction_read,10,0,0,0
bpf-developer-tutorial,instruction_read,11,0,0,0
bpf-developer-tutorial,instruction_read,12,0,0,0
bpf-developer-tutorial,instruction_read,13,0,0,0
bpf-developer-tutorial,instruction_read,14,0,0,0
bpf-developer-tutorial,instruction_read,15,0,0,0
bpf-developer-tutorial,instruction_read,16,0,0,0
bpf-developer-tutorial,instruction_read,17,0,0,0
bpf-developer-tutorial,instruction_read,18,0,0,0
bpf-developer-tutorial,instruction_read,19,0,0,0
bpf-developer-tutorial,instruction_read,20,0,0,0
bpf-developer-tutorial,instruction_read,21,0,0,0
bpf-developer-tutorial,instruction_read,22,0,0,0
bpf-developer-tutorial,instruction_read,23,0,0,0
bpf-developer-tutorial,instruction_read,24,0,0,0
bpf-developer-tutorial,instruction_read,25,0,0,0
bpf-developer-tutorial,instruction_read,26,0,0,0
bpf-developer-tutorial,instruction_read,27,0,0,0
bpf-developer-tutorial,instruction_read,28,0,0,0
bpf-developer-tutorial,instruction_read,29,0,0,0
bpf-developer-tutorial,instruction_read,30,0,0,0
bpf-developer-tutorial,instruction_read,31,0,0,0
bpf-developer-tutorial,instruction_read,32,0,0,0
bpf-developer-tutorial,instruction_read,33,0,0,0
bpf-developer-tutorial,instruction_read,34,0,0,0
bpf-developer-tutorial,instruction_read,35,0,0,0
bpf-developer-tutorial,instruction_read,36,0,0,0
bpf-developer-tutorial,instruction_read,37,0,0,0
bpf-developer-tutorial,instruction_read,38,2,1,1
bpf-developer-tutorial,instruction_read,39,0,0,0
bpf-developer-tutorial,instruction_read,40,0,0,0
bpf-developer-tutorial,instruction_read,41,0,0,0
bpf-developer-tutorial,instruction_read,42,0,0,0
bpf-developer-tutorial,instruction_read,43,0,0,0
bpf-developer-tutorial,instruction_read,44,0,0,0
bpf-developer-tutorial,instruction_read,45,2,2,1
bpf-developer-tutorial,instruction_read,46,2,2,1
bpf-developer-tutorial,instruction_read,47,0,0,0
bpf-developer-tutorial,instruction_read,48,0,0,0
bpf-developer-tutorial,instruction_read,49,1,1,1
bpf-developer-tutorial,instruction_read,50,0,0,0
bpf-developer-tutorial,instruction_read,51,0,0,0
bpf-developer-tutorial,instruction_read,52,0,0,0
bpf-developer-tutorial,instruction_read,53,0,0,0
bpf-developer-tutorial,instruction_read,54,0,0,0
bpf-developer-tutorial,instruction_read,55,0,0,0
bpf-developer-tutorial,instruction_read,56,0,0,0
bpf-developer-tutorial,instruction_read,57,0,0,0
bpf-developer-tutorial,instruction_read,58,0,0,0
bpf-developer-tutorial,instruction_read,59,2,2,1
bpf-developer-tutorial,instruction_mutation,0,0,0,0
bpf-developer-tutorial,instruction_mutation,1,0,0,0
bpf-developer-tutorial,instruction_mutation,2,0,0,0
bpf-developer-tutorial,instruction_mutation,3,0,0,0
bpf-developer-tutorial,instruction_mutation,4,0,0,0
bpf-developer-tutorial,instruction_mutation,5,0,0,0
bpf-developer-tutorial,instruction_mutation,6,0,0,0
bpf-developer-tutorial,instruction_mutation,7,0,0,0
bpf-developer-tutorial,instruction_mutation,8,0,0,0
bpf-developer-tutorial,instruction_mutation,9,0,0,0
bpf-developer-tutorial,instruction_mutation,10,0,0,0
bpf-developer-tutorial,instruction_mutation,11,0,0,0
bpf-developer-tutorial,instruction_mutation,12,0,0,0
bpf-developer-tutorial,instruction_mutation,13,0,0,0
bpf-developer-tutorial,instruction_mutation,14,0,0,0
bpf-developer-tutorial,instruction_mutation,15,0,0,0
bpf-developer-tutorial,instruction_mutation,16,0,0,0
bpf-developer-tutorial,instruction_mutation,17,0,0,0
bpf-developer-tutorial,instruction_mutation,18,0,0,0
bpf-developer-tutorial,instruction_mutation,19,0,0,0
bpf-developer-tutorial,instruction_mutation,20,0,0,0
bpf-developer-tutorial,instruction_mutation,21,0,0,0
bpf-developer-tutorial,instruction_mutation,22,0,0,0
bpf-developer-tutorial,instruction_mutation,23,0,0,0
bpf-developer-tutorial,instruction_mutation,24,0,0,0
bpf-developer-tutorial,instruction_mutation,25,0,0,0
bpf-developer-tutorial,instruction_mutation,26,0,0,0
bpf-developer-tutorial,instruction_mutation,27,0,0,0
bpf-developer-tutorial,instruction_mutation,28,0,0,0
bpf-developer-tutorial,instruction_mutation,29,0,0,0
bpf-developer-tutorial,instruction_mutation,30,0,0,0
bpf-developer-tutorial,instruction_mutation,31,0,0,0
bpf-developer-tutorial,instruction_mutation,32,0,0,0
bpf-developer-tutorial,instruction_mutation,33,0,0,0
bpf-developer-tutorial,instruction_mutation,34,0,0,0
bpf-developer-tutorial,instruction_mutation,35,0,0,0
bpf-developer-tutorial,instruction_mutation,36,0,0,0
bpf-developer-tutorial,instruction_mutation,37,0,0,0
bpf-developer-tutorial,instruction_mutation,38,0,0,0
bpf-developer-tutorial,instruction_mutation,39,0,0,0
bpf-developer-tutorial,instruction_mutation,40,0,0,0
bpf-developer-tutorial,instruction_mutation,41,0,0,0
bpf-developer-tutorial,instruction_mutation,42,0,0,0
bpf-developer-tutorial,instruction_mutation,43,0,0,0
bpf-developer-tutorial,instruction_mutation,44,0,0,0
bpf-developer-tutorial,instruction_mutation,45,2,2,1
bpf-developer-tutorial,instruction_mutation,46,1,1,1
bpf-developer-tutorial,instruction_mutation,47,0,0,0
bpf-developer-tutorial,instruction_mutation,48,0,0,0
bpf-developer-tutorial,instruction_mutation,49,0,0,0
bpf-developer-tutorial,instruction_mutation,50,0,0,0
bpf-developer-tutorial,instruction_mutation,51,0,0,0
bpf-developer-tutorial,instruction_mutation,52,0,0,0
bpf-developer-tutorial,instruction_mutation,53,0,0,0
bpf-developer-tutorial,instruction_mutation,54,0,0,0
bpf-developer-tutorial,instruction_mutation,55,0,0,0
bpf-developer-tutorial,instruction_mutation,56,0,0,0
bpf-developer-tutorial,instruction_mutation,57,0,0,0
bpf-developer-tutorial,instruction_mutation,58,0,0,0
bpf-developer-tutorial,instruction_mutation,59,0,0,0
eunomia.dev,skill_tool,0,0,0,0
eunomia.dev,skill_tool,1,0,0,0
eunomia.dev,skill_tool,2,0,0,0
eunomia.dev,skill_tool,3,0,0,0
eunomia.dev,skill_tool,4,0,0,0
eunomia.dev,skill_tool,5,0,0,0
eunomia.dev,skill_tool,6,0,0,0
eunomia.dev,skill_tool,7,0,0,0
eunomia.dev,skill_tool,8,0,0,0
eunomia.dev,skill_tool,9,0,0,0
eunomia.dev,skill_tool,10,0,0,0
eunomia.dev,skill_tool,11,0,0,0
eunomia.dev,skill_tool,12,0,0,0
eunomia.dev,skill_tool,13,0,0,0
eunomia.dev,skill_tool,14,0,0,0
eunomia.dev,skill_tool,15,0,0,0
eunomia.dev,skill_tool,16,0,0,0
eunomia.dev,skill_tool,17,0,0,0
eunomia.dev,skill_tool,18,0,0,0
eunomia.dev,skill_tool,19,0,0,0
eunomia.dev,skill_tool,20,0,0,0
eunomia.dev,skill_tool,21,0,0,0
eunomia.dev,skill_tool,22,0,0,0
eunomia.dev,skill_tool,23,0,0,0
eunomia.dev,skill_tool,24,0,0,0
eunomia.dev,skill_tool,25,0,0,0
eunomia.dev,skill_tool,26,0,0,0
eunomia.dev,skill_tool,27,0,0,0
eunomia.dev,skill_tool,28,0,0,0
eunomia.dev,skill_tool,29,0,0,0
eunomia.dev,skill_tool,30,0,0,0
eunomia.dev,skill_tool,31,0,0,0
eunomia.dev,skill_tool,32,0,0,0
eunomia.dev,skill_tool,33,0,0,0
eunomia.dev,skill_tool,34,0,0,0
eunomia.dev,skill_tool,35,0,0,0
eunomia.dev,skill_tool,36,0,0,0
eunomia.dev,skill_tool,37,0,0,0
eunomia.dev,skill_tool,38,0,0,0
eunomia.dev,skill_tool,39,0,0,0
eunomia.dev,skill_tool,40,0,0,0
eunomia.dev,skill_tool,41,0,0,0
eunomia.dev,skill_tool,42,0,0,0
eunomia.dev,skill_tool,43,0,0,0
eunomia.dev,skill_tool,44,0,0,0
eunomia.dev,skill_tool,45,0,0,0
eunomia.dev,skill_tool,46,0,0,0
eunomia.dev,skill_tool,47,0,0,0
eunomia.dev,skill_tool,48,0,0,0
eunomia.dev,skill_tool,49,0,0,0
eunomia.dev,skill_tool,50,0,0,0
eunomia.dev,skill_tool,51,0,0,0
eunomia.dev,skill_tool,52,0,0,0
eunomia.dev,skill_tool,53,0,0,0
eunomia.dev,skill_tool,54,0,0,0
eunomia.dev,skill_tool,55,0,0,0
eunomia.dev,skill_tool,56,0,0,0
eunomia.dev,skill_tool,57,0,0,0
eunomia.dev,skill_tool,58,0,0,0
eunomia.dev,skill_tool,59,0,0,0
eunomia.dev,instruction_read,0,0,0,0
eunomia.dev,instruction_read,1,1,1,1
eunomia.dev,instruction_read,2,0,0,0
eunomia.dev,instruction_read,3,0,0,0
eunomia.dev,instruction_read,4,0,0,0
eunomia.dev,instruction_read,5,0,0,0
eunomia.dev,instruction_read,6,2,1,1
eunomia.dev,instruction_read,7,0,0,0
eunomia.dev,instruction_read,8,0,0,0
eunomia.dev,instruction_read,9,2,2,1
eunomia.dev,instruction_read,10,0,0,0
eunomia.dev,instruction_read,11,0,0,0
eunomia.dev,instruction_read,12,0,0,0
eunomia.dev,instruction_read,13,0,0,0
eunomia.dev,instruction_read,14,0,0,0
eunomia.dev,instruction_read,15,0,0,0
eunomia.dev,instruction_read,16,0,0,0
eunomia.dev,instruction_read,17,0,0,0
eunomia.dev,instruction_read,18,0,0,0
eunomia.dev,instruction_read,19,0,0,0
eunomia.dev,instruction_read,20,0,0,0
eunomia.dev,instruction_read,21,0,0,0
eunomia.dev,instruction_read,22,0,0,0
eunomia.dev,instruction_read,23,0,0,0
eunomia.dev,instruction_read,24,1,1,1
