project,vendor,source_kind,status,signal_rows,unique_event_ids,unique_sessions,source_call_id_present,source_call_id_missing,first_ts_ms,last_ts_ms
bpf-developer-tutorial,ALL,instruction_read,observed,0,0,0,0,0,,
bpf-developer-tutorial,ALL,instruction_read,fail,0,0,0,0,0,,
bpf-developer-tutorial,ALL,instruction_mutation,ok,3,3,1,3,0,1784508834731,1784510722092
bpf-developer-tutorial,ALL,instruction_mutation,observed,0,0,0,0,0,,
bpf-developer-tutorial,ALL,instruction_mutation,fail,0,0,0,0,0,,
bpf-developer-tutorial,claude,skill_tool,ok,3,3,3,3,0,1784508313335,1784682066699
bpf-developer-tutorial,claude,skill_tool,observed,0,0,0,0,0,,
bpf-developer-tutorial,claude,skill_tool,fail,0,0,0,0,0,,
bpf-developer-tutorial,claude,instruction_read,ok,5,5,2,5,0,1784508787629,1784693477753
bpf-developer-tutorial,claude,instruction_read,observed,0,0,0,0,0,,
bpf-developer-tutorial,claude,instruction_read,fail,0,0,0,0,0,,
bpf-developer-tutorial,claude,instruction_mutation,ok,3,3,1,3,0,1784508834731,1784510722092
bpf-developer-tutorial,claude,instruction_mutation,observed,0,0,0,0,0,,
bpf-developer-tutorial,claude,instruction_mutation,fail,0,0,0,0,0,,
bpf-developer-tutorial,codex,skill_tool,ok,0,0,0,0,0,,
bpf-developer-tutorial,codex,skill_tool,observed,0,0,0,0,0,,
bpf-developer-tutorial,codex,skill_tool,fail,0,0,0,0,0,,
bpf-developer-tutorial,codex,instruction_read,ok,2,1,1,2,0,1784506677604,1784506677604
bpf-developer-tutorial,codex,instruction_read,observed,0,0,0,0,0,,
bpf-developer-tutorial,codex,instruction_read,fail,0,0,0,0,0,,
bpf-developer-tutorial,codex,instruction_mutation,ok,0,0,0,0,0,,
bpf-developer-tutorial,codex,instruction_mutation,observed,0,0,0,0,0,,
bpf-developer-tutorial,codex,instruction_mutation,fail,0,0,0,0,0,,
bpf-developer-tutorial,gemini,skill_tool,ok,0,0,0,0,0,,
bpf-developer-tutorial,gemini,skill_tool,observed,0,0,0,0,0,,
bpf-developer-tutorial,gemini,skill_tool,fail,0,0,0,0,0,,
bpf-developer-tutorial,gemini,instruction_read,ok,2,2,1,2,0,1784706669177,1784706678108
bpf-developer-tutorial,gemini,instruction_read,observed,0,0,0,0,0,,
bpf-developer-tutorial,gemini,instruction_read,fail,0,0,0,0,0,,
bpf-developer-tutorial,gemini,instruction_mutation,ok,0,0,0,0,0,,
bpf-developer-tutorial,gemini,instruction_mutation,observed,0,0,0,0,0,,
bpf-developer-tutorial,gemini,instruction_mutation,fail,0,0,0,0,0,,
eunomia.dev,ALL,skill_tool,ok,0,0,0,0,0,,
eunomia.dev,ALL,skill_tool,observed,0,0,0,0,0,,
eunomia.dev,ALL,skill_tool,fail,0,0,0,0,0,,
eunomia.dev,ALL,instruction_read,ok,162,92,11,162,0,1772950168452,1784671163448
eunomia.dev,ALL,instruction_read,observed,0,0,0,0,0,,
eunomia.dev,ALL,instruction_read,fail,0,0,0,0,0,,
eunomia.dev,ALL,instruction_mutation,ok,63,43,4,63,0,1779432830203,1784682745478
eunomia.dev,ALL,instruction_mutation,observed,6,5,2,6,0,1779595615855,1782451146879
eunomia.dev,ALL,instruction_mutation,fail,0,0,0,0,0,,
eunomia.dev,codex,skill_tool,ok,0,0,0,0,0,,
eunomia.dev,codex,skill_tool,observed,0,0,0,0,0,,
eunomia.dev,codex,skill_tool,fail,0,0,0,0,0,,
eunomia.dev,codex,instruction_read,ok,162,92,11,162,0,1772950168452,1784671163448
eunomia.dev,codex,instruction_read,observed,0,0,0,0,0,,
eunomia.dev,codex,instruction_read,fail,0,0,0,0,0,,
eunomia.dev,codex,instruction_mutation,ok,63,43,4,63,0,1779432830203,1784682745478
eunomia.dev,codex,instruction_mutation,observed,6,5,2,6,0,1779595615855,1782451146879
eunomia.dev,codex,instruction_mutation,fail,0,0,0,0,0,,
agentskill-observability-paper,ALL,skill_tool,ok,13,13,12,13,0,1783829899342,1783839627348
agentskill-observability-paper,ALL,skill_tool,observed,0,0,0,0,0,,
agentskill-observability-paper,ALL,skill_tool,fail,0,0,0,0,0,,
agentskill-observability-paper,ALL,instruction_read,ok,1,1,1,1,0,1783841342023,1783841342023
agentskill-observability-paper,ALL,instruction_read,observed,0,0,0,0,0,,
agentskill-observability-paper,ALL,instruction_read,fail,0,0,0,0,0,,
agentskill-observability-paper,ALL,instruction_mutation,ok,0,0,0,0,0,,
agentskill-observability-paper,ALL,instruction_mutation,observed,0,0,0,0,0,,
agentskill-observability-paper,ALL,instruction_mutation,fail,0,0,0,0,0,,
agentskill-observability-paper,claude,skill_tool,ok,13,13,12,13,0,1783829899342,1783839627348
agentskill-observability-paper,claude,skill_tool,observed,0,0,0,0,0,,
agentskill-observability-paper,claude,skill_tool,fail,0,0,0,0,0,,
agentskill-observability-paper,claude,instruction_read,ok,1,1,1,1,0,1783841342023,1783841342023
agentskill-observability-paper,claude,instruction_read,observed,0,0,0,0,0,,
agentskill-observability-paper,claude,instruction_read,fail,0,0,0,0,0,,
agentskill-observability-paper,claude,instruction_mutation,ok,0,0,0,0,0,,
agentskill-observability-paper,claude,instruction_mutation,observed,0,0,0,0,0,,
agentskill-observability-paper,claude,instruction_mutation,fail,0,0,0,0,0,,
academic-writing-skills,ALL,skill_tool,ok,0,0,0,0,0,,
academic-writing-skills,ALL,skill_tool,observed,0,0,0,0,0,,
academic-writing-skills,ALL,skill_tool,fail,0,0,0,0,0,,
academic-writing-skills,ALL,instruction_read,ok,139,105,18,139,0,1781367150060,1784170697607
academic-writing-skills,ALL,instruction_read,observed,1,1,1,1,0,1781584029873,1781584029873
academic-writing-skills,ALL,instruction_read,fail,0,0,0,0,0,,
academic-writing-skills,ALL,instruction_mutation,ok,144,144,7,144,0,1781367263202,1784170756340
academic-writing-skills,ALL,instruction_mutation,observed,1,1,1,1,0,1781367271503,1781367271503
academic-writing-skills,ALL,instruction_mutation,fail,0,0,0,0,0,,
academic-writing-skills,claude,skill_tool,ok,0,0,0,0,0,,
academic-writing-skills,claude,skill_tool,observed,0,0,0,0,0,,
academic-writing-skills,claude,skill_tool,fail,0,0,0,0,0,,
academic-writing-skills,claude,instruction_read,ok,139,105,18,139,0,1781367150060,1784170697607
academic-writing-skills,claude,instruction_read,observed,1,1,1,1,0,1781584029873,1781584029873
academic-writing-skills,claude,instruction_read,fail,0,0,0,0,0,,
academic-writing-skills,claude,instruction_mutation,ok,144,144,7,144,0,1781367263202,1784170756340
academic-writing-skills,claude,instruction_mutation,observed,1,1,1,1,0,1781367271503,1781367271503
academic-writing-skills,claude,instruction_mutation,fail,0,0,0,0,0,,
