project,worktree_id,module,action_units,read_units,mutation_units,resolved_calls,sessions,first_event_index,last_event_index,first_ts_ms,last_ts_ms
ActPlane,3dae89cd06ae,openai__openai-agents-python,1,0,1,1,1,3286,3286,1779995952125,1779995952125
ActPlane,3dae89cd06ae,openclaw__openclaw,1,0,1,1,1,3283,3283,1779995907823,1779995907823
ActPlane,3dae89cd06ae,policies,21,13,8,20,6,595,39754,1779575570524,1781057931637
ActPlane,3dae89cd06ae,policy,15,6,9,15,5,3462,5082,1780005561341,1780117261178
ActPlane,3dae89cd06ae,repo-root-files,849,655,194,749,82,2,65687,1779512202876,1784363982153
ActPlane,3dae89cd06ae,results,2,2,0,2,1,39488,39733,1781025471707,1781057632864
ActPlane,3dae89cd06ae,ruvnet__ruflo,1,1,0,1,1,1917,1917,1779961795160,1779961795160
ActPlane,3dae89cd06ae,ryoppippi__ccusage,1,1,0,1,1,2105,2105,1779965777993,1779965777993
ActPlane,3dae89cd06ae,script,318,193,125,310,28,430,65226,1779571544905,1784355409743
ActPlane,3dae89cd06ae,scripts,1,1,0,1,1,39747,39747,1781057876887,1781057876887
ActPlane,3dae89cd06ae,sections,109,108,1,68,9,33950,57161,1780864867208,1782251075405
ActPlane,3dae89cd06ae,src,5,0,5,3,3,3506,40350,1780010029953,1781072826392
ActPlane,3dae89cd06ae,test,50,44,6,46,9,10762,64038,1780339773421,1784323284434
ActPlane,3dae89cd06ae,vmlinux,24,24,0,21,5,72,57068,1779517239059,1782181791213
ActPlane,3dae89cd06ae,xpzouying__xiaohongshu-mcp,1,1,0,1,1,2086,2086,1779965575718,1779965575718
ActPlane,8cdcec3acc9e,bpf,23,5,18,23,1,5768,5845,1780169242516,1780169542695
ActPlane,8cdcec3acc9e,collector,20,4,16,20,1,5771,5850,1780169244420,1780169555537
ActPlane,8cdcec3acc9e,docs,22,9,13,22,1,5775,5884,1780169252373,1780169688363
ActPlane,8cdcec3acc9e,policies,2,1,1,2,1,5858,5863,1780169588044,1780169597586
ActPlane,8cdcec3acc9e,policy,2,1,1,2,1,5857,5861,1780169587162,1780169594711
ActPlane,8cdcec3acc9e,repo-root-files,9,2,7,9,1,5773,5820,1780169250603,1780169460150
ActPlane,8cdcec3acc9e,script,8,4,4,8,1,5774,5887,1780169251066,1780169696892
academic-writing-skills,4725c74bf420,docs,12,9,3,12,5,1,443,1781367141380,1783905139485
academic-writing-skills,4725c74bf420,paper-writing-style,1,1,0,1,1,446,446,1783905180938,1783905180938
academic-writing-skills,4725c74bf420,repo-root-files,12,10,2,12,8,0,388,1781367137782,1783902242096
academic-writing-skills,4725c74bf420,skills,432,185,247,385,14,4,655,1781367150060,1784170756340
academic-writing-skills,4725c74bf420,tech-blog-writer,1,1,0,1,1,446,446,1783905180938,1783905180938
academic-writing-skills,4725c74bf420,third_party,96,96,0,77,6,144,419,1783764053847,1783902433137
agentsight,b5bc34dabe6a,.agentsight,1772,1740,32,1004,125,82668,126027,1783832978731,1784703806809
agentsight,b5bc34dabe6a,.github,2,2,0,2,2,118728,118798,1784528686090,1784529135726
agentsight,b5bc34dabe6a,225s,1,0,1,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,227s,1,0,1,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,249s,2,0,2,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,418s,1,0,1,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,524s,1,0,1,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,624s,1,0,1,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,700s,1,0,1,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,793s,2,0,2,1,1,77884,77884,1783584894172,1783584894172
agentsight,b5bc34dabe6a,adapter,1,1,0,1,1,93419,93419,1783994733329,1783994733329
agentsight,b5bc34dabe6a,agent-session,54,16,38,49,1,109256,125515,1784166228147,1784684298691
agentsight,b5bc34dabe6a,agentflame,1,1,0,1,1,97437,97437,1784034926740,1784034926740
agentsight,b5bc34dabe6a,agentpprof,1268,967,301,965,93,40604,126198,1782015725314,1784705113483
agentsight,b5bc34dabe6a,collector,6,6,0,5,2,97401,118532,1784034499992,1784527275105
agentsight,b5bc34dabe6a,docs,18456,13925,4531,12409,474,40551,126472,1782015351634,1784708537912
agentsight,b5bc34dabe6a,frontend,81,55,26,37,3,118438,118963,1784526843401,1784530868454
agentsight,b5bc34dabe6a,frontend-preview,5,1,4,2,1,118617,118707,1784527876238,1784528600680
agentsight,b5bc34dabe6a,github.com,1,1,0,1,1,100117,100117,1784069157306,1784069157306
agentsight,b5bc34dabe6a,references,1,1,0,1,1,120724,120724,1784554581546,1784554581546
agentsight,b5bc34dabe6a,repo-root-files,232,213,19,198,67,41700,125537,1782104890778,1784684440441
agentsight,b5bc34dabe6a,script,3001,2467,534,2342,183,70465,126461,1783382448375,1784708402529
agentsight,b5bc34dabe6a,scripts,4,4,0,3,3,89242,123924,1783941708843,1784601788495
agentsight,b5bc34dabe6a,skills,4,4,0,3,2,89940,119398,1783952288334,1784536018107
agentsight,b5bc34dabe6a,tmp,1,1,0,1,1,115695,115695,1784295442343,1784295442343
agentsight,e58fce112c6e,.agentsight,164,161,3,150,10,21370,125036,1781431744136,1784628839748
agentsight,e58fce112c6e,.artifacts,131,109,22,84,4,95248,112144,1784020537150,1784244388660
agentsight,e58fce112c6e,.github,153,119,34,145,36,1365,119605,1779893304583,1784537843611
agentsight,e58fce112c6e,2700,1,1,0,1,1,90866,90866,1783965242463,1783965242463
agentsight,e58fce112c6e,agent-session,442,371,71,401,52,32366,113475,1781651488201,1784254361150
agentsight,e58fce112c6e,agentflame,264,170,94,235,10,21211,31852,1781430330986,1781641124625
agentsight,e58fce112c6e,agentpprof,754,541,213,677,25,31524,117658,1781634282871,1784516561200
agentsight,e58fce112c6e,agentprof,12,3,9,5,1,46302,46330,1783048129029,1783048884979
agentsight,e58fce112c6e,bpf,862,651,211,667,40,5,113629,1772761756264,1784255647289
agentsight,e58fce112c6e,collector,12242,9634,2608,9908,242,5,117228,1772761756264,1784507808210
agentsight,e58fce112c6e,data,1,1,0,1,1,125838,125838,1784692785534,1784692785534
agentsight,e58fce112c6e,docs,14606,11271,3335,10290,278,4,118433,1772761756095,1784526798517
agentsight,e58fce112c6e,fingerprint,1,1,0,1,1,111291,111291,1784189072537,1784189072537
agentsight,e58fce112c6e,frontend,877,717,160,700,43,5,119801,1772761756264,1784539522478
agentsight,e58fce112c6e,package,122,96,26,89,14,104966,107720,1784117509456,1784156480756
agentsight,e58fce112c6e,process_ext,1,1,0,1,1,18620,18620,1781083726387,1781083726387
agentsight,e58fce112c6e,python,1,1,0,1,1,105243,105243,1784118285183,1784118285183
agentsight,e58fce112c6e,repo-root-files,834,703,131,652,94,0,118431,1772761744423,1784526779300
agentsight,e58fce112c6e,script,212,138,74,185,29,5,120062,1772761756264,1784543496443
agentsight,e58fce112c6e,sinks,1,1,0,1,1,14570,14570,1780615099413,1780615099413
agentsight,e58fce112c6e,skills,640,430,210,485,35,40106,117241,1781930299766,1784509382272
agentsight,e58fce112c6e,skills-example,30,20,10,30,2,44715,45421,1782269987964,1782449052017
agentsight,e58fce112c6e,src,143,131,12,83,8,8714,108402,1780525462874,1784161995082
agentsight,e58fce112c6e,tests,1,1,0,1,1,112841,112841,1784249672962,1784249672962
agentsight,e58fce112c6e,view,1,1,0,1,1,14570,14570,1780615099413,1780615099413
agentsight,e58fce112c6e,vis-gallery,39,33,6,22,4,106798,108763,1784128294569,1784163433543
agentsight,f2407a7d66d5,agent-session,6,6,0,5,2,117299,117662,1784511835181,1784516592676
agentsight,f2407a7d66d5,agentvis,34,33,1,24,5,117299,119561,1784511835181,1784537514185
agentsight,f2407a7d66d5,docs,177,173,4,93,13,117275,126207,1784511254222,1784705197233
agentskill-observability-paper,4cfc7c676cf9,docs,461,265,196,461,33,6,989,1783829855067,1783842124390
agentskill-observability-paper,4cfc7c676cf9,repo-root-files,2,2,0,2,2,7,946,1783829857011,1783841342023
bpf-developer-tutorial,a192f642f3ee,.agents,13,9,4,13,3,1193,1547,1784506604795,1784693477753
bpf-developer-tutorial,a192f642f3ee,.github,18,15,3,18,5,437,1200,1784364334490,1784506682504
bpf-developer-tutorial,a192f642f3ee,repo-root-files,33,29,4,21,5,22,1199,1772858905794,1784506677604
bpf-developer-tutorial,a192f642f3ee,scripts,20,20,0,20,12,0,1546,1768125090460,1784693476844
bpf-developer-tutorial,a192f642f3ee,src,937,603,334,834,45,1,1806,1768125090460,1784695567024
bpf-developer-tutorial,a192f642f3ee,third_party,2,2,0,1,1,591,591,1784408368665,1784408368665
bpf-developer-tutorial,b447bbe99f61,src,108,108,0,65,7,1619,1807,1784694534479,1784695615735
bpf-developer-tutorial,d325e701d7b6,.agents,2,2,0,2,1,1863,1864,1784706669177,1784706678108
bpf-developer-tutorial,d325e701d7b6,src,15,15,0,15,1,1848,1862,1784706576719,1784706657702
eunomia.dev,30e8a01e495d,.agents,137,100,37,69,4,7731,9460,1784415403593,1784671163448
eunomia.dev,30e8a01e495d,.claude,79,59,20,46,4,7079,7667,1784244119360,1784414591470
eunomia.dev,30e8a01e495d,.github,108,66,42,99,9,654,9281,1779422859267,1784493842016
eunomia.dev,30e8a01e495d,actplane,7,7,0,5,1,5642,5650,1782448983084,1782449010918
eunomia.dev,30e8a01e495d,agents,4,2,2,2,1,7686,7689,1784414759639,1784414768662
eunomia.dev,30e8a01e495d,app,1607,1288,319,1298,27,15,8765,1772861233870,1784436607509
eunomia.dev,30e8a01e495d,cuda-exp,21,17,4,12,2,8767,8842,1784436615713,1784437170560
eunomia.dev,30e8a01e495d,docs,619,484,135,390,18,191,8765,1772950112604,1784436607509
eunomia.dev,30e8a01e495d,draft,102,61,41,102,1,4927,5066,1779662310140,1779665446563
eunomia.dev,30e8a01e495d,material,10,10,0,10,3,178,379,1772950103129,1772950289767
eunomia.dev,30e8a01e495d,others,1,1,0,1,1,7174,7174,1784408390995,1784408390995
eunomia.dev,30e8a01e495d,repo-root-files,125,65,60,110,14,278,9262,1772950168452,1784493487530
eunomia.dev,30e8a01e495d,site,1,1,0,1,1,475,475,1779406892688,1779406892688
eunomia.dev,30e8a01e495d,test,84,62,22,76,7,242,6072,1772950148023,1783751081568
eunomia.dev,da5c4a85644b,.agents,1,0,1,1,1,9587,9587,1784682745478,1784682745478
