task,dataset,query_family,policy,view,ranker,unit_depth,unit_kind,claim_role,subtask_eligible,true_subtask_oracle,operations,positives,groups,oracle_units,positive_oracle_units,top5_unit_work,top5_positive_unit_recall,top5_positive_unit_f1,budget30_unit_work,budget30_positive_unit_recall,budget30_positive_unit_f1,budget30_unit_efficiency,budget30_spillover_operation_fraction,budget30_positive_session_without_unit_hit,groups_to_25pct_positive_units,groups_to_50pct_positive_units,operation_work_to_50pct_positive_units,operation_work_to_first_positive_unit,positive_units_median_group_fragmentation,positive_groups_median_units_per_group
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,504,40,155,78,0.7355,0.7179,0.5833,0.3742,0.5769,0.6618,1.5418,0.1835,0,1,3,0.4595,0.2058,1.0,2.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,504,40,155,78,0.3355,0.6282,0.7538,0.2839,0.5513,0.7049,1.942,0.078,0,1,2,0.3128,0.2058,1.0,2.0
agentreward_looping,agent-reward-bench,failure-looping,flat:width,flat,width,agentreward_turn,turn,middle_unit_proxy,False,False,729,504,1,576,474,1.0,1.0,0.9029,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,576.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,504,29,576,474,0.2604,0.2532,0.3846,0.3785,0.384,0.526,1.0145,0.1651,0,5,10,0.3992,0.0412,1.0,30.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,504,4,576,474,1.0,1.0,0.9029,0.3316,0.3671,0.5233,1.107,0.089,0,1,3,0.4636,0.1824,1.0,134.5
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,504,14,576,474,0.1319,0.1139,0.1964,0.2674,0.2321,0.3503,0.868,0.3964,0,8,8,0.7737,0.037,1.0,19.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,agentreward_turn,turn,middle_unit_proxy,False,False,729,504,40,576,474,0.6667,0.7089,0.7832,0.3472,0.3586,0.5045,1.0329,0.1835,0,1,4,0.5638,0.2058,1.0,13.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,504,40,576,474,0.6128,0.6772,0.7763,0.3594,0.4008,0.558,1.1154,0.078,0,1,3,0.417,0.2058,1.0,13.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,flat,width,session,session,session_anchor,False,False,729,202,1,29,2,1.0,1.0,0.129,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,29.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,session,session,session_anchor,False,False,729,202,29,29,2,0.1724,0.0,0.0,0.4828,0.0,0.0,0.0,1.0,0,7,7,0.3471,0.3471,1.0,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,session,session,session_anchor,False,False,729,202,4,29,2,1.0,1.0,0.129,0.3793,0.0,0.0,0.0,1.0,0,1,1,0.5364,0.5364,1.0,9.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,session,session,session_anchor,False,False,729,202,14,29,2,0.8966,1.0,0.1429,0.8966,1.0,0.1429,1.1154,0.6435,0,1,1,0.1495,0.1495,6.0,7.5
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,session,session,session_anchor,False,False,729,202,40,29,2,0.6552,1.0,0.1905,0.3103,1.0,0.3636,3.2222,0.7156,0,1,1,0.2058,0.2058,9.0,3.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,session,session,session_anchor,False,False,729,202,40,29,2,0.6207,1.0,0.2,0.8966,1.0,0.1429,1.1154,0.6468,0,1,1,0.0645,0.0645,9.0,3.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,flat,width,operation,operation,operation_anchor,True,False,729,202,1,729,202,1.0,1.0,0.4339,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,729.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,operation,operation,operation_anchor,True,False,729,202,29,729,202,0.1948,0.0,0.0,0.299,0.0,0.0,0.0,1.0,0,7,7,0.3471,0.3471,1.0,101.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,operation,operation,operation_anchor,True,False,729,202,4,729,202,1.0,1.0,0.4339,0.262,0.0,0.0,0.0,1.0,0,1,1,0.5364,0.5364,1.0,391.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,operation,operation,operation_anchor,True,False,729,202,14,729,202,0.2401,0.3812,0.4085,0.2963,0.3812,0.3684,1.2865,0.6435,0,4,6,0.8587,0.1495,1.0,30.5
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,operation,operation,operation_anchor,True,False,729,202,40,729,202,0.6283,0.6634,0.4061,0.299,0.3069,0.2952,1.0264,0.7156,0,2,2,0.3525,0.2058,1.0,20.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,operation,operation,operation_anchor,True,False,729,202,40,729,202,0.1454,0.1139,0.1494,0.299,0.3812,0.3667,1.2747,0.6468,0,12,17,0.4458,0.0645,1.0,20.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,flat,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,202,1,29,2,1.0,1.0,0.129,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,29.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,202,29,29,2,0.1724,0.0,0.0,0.4828,0.0,0.0,0.0,1.0,0,7,7,0.3471,0.3471,1.0,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,202,4,29,2,1.0,1.0,0.129,0.3793,0.0,0.0,0.0,1.0,0,1,1,0.5364,0.5364,1.0,9.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,202,14,29,2,0.8966,1.0,0.1429,0.8966,1.0,0.1429,1.1154,0.6435,0,1,1,0.1495,0.1495,6.0,7.5
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,202,40,29,2,0.6552,1.0,0.1905,0.3103,1.0,0.3636,3.2222,0.7156,0,1,1,0.2058,0.2058,9.0,3.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,202,40,29,2,0.6207,1.0,0.2,0.8966,1.0,0.1429,1.1154,0.6468,0,1,1,0.0645,0.0645,9.0,3.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,flat,width,agentreward_turn,turn,middle_unit_proxy,False,False,729,202,1,576,60,1.0,1.0,0.1887,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,576.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,202,29,576,60,0.2465,0.0,0.0,0.3698,0.0,0.0,0.0,1.0,0,7,7,0.3471,0.3471,1.0,30.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,202,4,576,60,1.0,1.0,0.1887,0.3316,0.0,0.0,0.0,1.0,0,1,1,0.5364,0.5364,1.0,249.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,202,14,576,60,0.2535,0.8,0.466,0.3247,0.8,0.3887,2.4642,0.6435,0,1,3,0.1852,0.1495,2.0,28.5
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,agentreward_turn,turn,middle_unit_proxy,False,False,729,202,40,576,60,0.6667,1.0,0.2703,0.3472,0.7333,0.3385,2.112,0.7156,0,1,1,0.2058,0.2058,3.0,19.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,agentreward_turn,turn,middle_unit_proxy,False,False,729,202,40,576,60,0.1753,0.3,0.2236,0.3281,0.8,0.3855,2.4381,0.6468,0,3,10,0.1838,0.0645,3.0,19.0
satraj_unsafe,satraj-os-safety,safety,flat:width,flat,width,session,session,session_anchor,False,False,4285,622,1,250,88,1.0,1.0,0.5207,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,250.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,session,session,session_anchor,False,False,4285,622,250,250,88,0.02,0.0455,0.086,0.444,0.9318,0.8241,2.0987,0.5813,0,26,59,0.1713,0.0037,1.0,1.0
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,session,session,session_anchor,False,False,4285,622,5,250,88,1.0,1.0,0.5207,0.4,1.0,0.9362,2.5,0.2254,0,1,2,0.1874,0.098,1.0,50.0
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,session,session,session_anchor,False,False,4285,622,24,250,88,0.744,1.0,0.6423,0.924,1.0,0.5517,1.0823,0.7479,0,1,1,0.0285,0.0285,2.0,32.5
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,session,session,session_anchor,False,False,4285,622,142,250,88,0.48,0.0,0.0,0.448,0.2841,0.25,0.6341,0.9455,0,9,11,0.6695,0.6366,2.0,4.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,session,session,session_anchor,False,False,4285,622,142,250,88,0.116,0.2841,0.4274,0.764,1.0,0.6308,1.3089,0.5946,0,2,13,0.1183,0.0112,2.0,4.0
satraj_unsafe,satraj-os-safety,safety,flat:width,flat,width,operation,operation,operation_anchor,True,True,4285,622,1,4285,622,1.0,1.0,0.2535,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,4285.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,operation,operation,operation_anchor,True,True,4285,622,250,4285,622,0.0154,0.0579,0.1047,0.2999,0.865,0.5642,2.8843,0.5813,0,30,56,0.1615,0.0037,1.0,4.5
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,operation,operation,operation_anchor,True,True,4285,622,5,4285,622,1.0,1.0,0.2535,0.1874,1.0,0.873,5.3362,0.2254,0,1,1,0.098,0.098,1.0,401.5
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,operation,operation,operation_anchor,True,True,4285,622,24,4285,622,0.1972,0.4486,0.3804,0.2999,0.5209,0.3398,1.737,0.7479,0,2,8,0.3286,0.0285,1.0,76.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,operation,operation,operation_anchor,True,True,4285,622,142,4285,622,0.5181,0.0,0.0,0.2999,0.1125,0.0734,0.3753,0.9455,0,11,16,0.7379,0.6366,1.0,11.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,operation,operation,operation_anchor,True,True,4285,622,142,4285,622,0.042,0.2621,0.4065,0.2999,0.8376,0.5464,2.7932,0.5946,0,4,38,0.2282,0.0112,1.0,11.0
satraj_unsafe,satraj-os-safety,safety,flat:width,flat,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,4285,622,1,250,88,1.0,1.0,0.5207,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,250.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,4285,622,250,250,88,0.02,0.0455,0.086,0.444,0.9318,0.8241,2.0987,0.5813,0,26,59,0.1713,0.0037,1.0,1.0
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,4285,622,5,250,88,1.0,1.0,0.5207,0.4,1.0,0.9362,2.5,0.2254,0,1,2,0.1874,0.098,1.0,50.0
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,4285,622,24,250,88,0.744,1.0,0.6423,0.924,1.0,0.5517,1.0823,0.7479,0,1,1,0.0285,0.0285,2.0,32.5
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,4285,622,142,250,88,0.48,0.0,0.0,0.448,0.2841,0.25,0.6341,0.9455,0,9,11,0.6695,0.6366,2.0,4.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,4285,622,142,250,88,0.116,0.2841,0.4274,0.764,1.0,0.6308,1.3089,0.5946,0,2,13,0.1183,0.0112,2.0,4.0
satraj_unsafe,satraj-os-safety,safety,flat:width,flat,width,satraj_step,step,operation_equivalent_control,True,False,4285,622,1,4285,622,1.0,1.0,0.2535,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,4285.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,satraj_step,step,operation_equivalent_control,True,False,4285,622,250,4285,622,0.0154,0.0579,0.1047,0.2999,0.865,0.5642,2.8843,0.5813,0,30,56,0.1615,0.0037,1.0,4.5
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,satraj_step,step,operation_equivalent_control,True,False,4285,622,5,4285,622,1.0,1.0,0.2535,0.1874,1.0,0.873,5.3362,0.2254,0,1,1,0.098,0.098,1.0,401.5
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,satraj_step,step,operation_equivalent_control,True,False,4285,622,24,4285,622,0.1972,0.4486,0.3804,0.2999,0.5209,0.3398,1.737,0.7479,0,2,8,0.3286,0.0285,1.0,76.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,satraj_step,step,operation_equivalent_control,True,False,4285,622,142,4285,622,0.5181,0.0,0.0,0.2999,0.1125,0.0734,0.3753,0.9455,0,11,16,0.7379,0.6366,1.0,11.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,satraj_step,step,operation_equivalent_control,True,False,4285,622,142,4285,622,0.042,0.2621,0.4065,0.2999,0.8376,0.5464,2.7932,0.5946,0,4,38,0.2282,0.0112,1.0,11.0
agentnet_incorrect_step,agentnet,step-quality,flat:width,flat,width,session,session,session_anchor,False,False,14718,874,1,835,502,1.0,1.0,0.7509,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,835.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,session,session,session_anchor,False,False,14718,874,835,835,502,0.006,0.008,0.0158,0.3006,0.3606,0.4807,1.1995,0.9196,0,182,352,0.4111,0.0017,1.0,1.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,session,session,session_anchor,False,False,14718,874,65,835,502,0.0287,0.004,0.0076,0.3341,0.4163,0.5352,1.246,0.9169,0,21,34,0.4202,0.0056,1.0,11.5
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,raw_action_stack,query_aware,session,session,session_anchor,False,False,14718,874,25,835,502,0.0743,0.0618,0.1099,1.0,1.0,0.7509,1.0,0.9423,0,12,13,0.1612,0.001,5.0,185.5
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,operation_stack,width,session,session,session_anchor,False,False,14718,874,289,835,502,0.3904,0.3805,0.4614,0.3904,0.3805,0.4614,0.9745,0.9345,0,3,7,0.37,0.0821,5.0,17.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,session,session,session_anchor,False,False,14718,874,289,835,502,0.0024,0.002,0.004,0.3485,0.4084,0.517,1.1718,0.9133,0,81,186,0.3857,0.0007,5.0,17.0
agentnet_incorrect_step,agentnet,step-quality,flat:width,flat,width,operation,operation,operation_anchor,True,True,14718,874,1,14718,874,1.0,1.0,0.1121,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,14718.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,operation,operation,operation_anchor,True,True,14718,874,835,14718,874,0.0056,0.0126,0.023,0.3,0.4062,0.1342,1.3541,0.9196,0,168,326,0.3876,0.0017,1.0,18.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,operation,operation,operation_anchor,True,True,14718,874,65,14718,874,0.0091,0.0023,0.004,0.2999,0.4199,0.1388,1.4001,0.9169,0,21,34,0.4202,0.0056,1.0,181.0
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,raw_action_stack,query_aware,operation,operation,operation_anchor,True,True,14718,874,25,14718,874,0.013,0.0114,0.0188,0.2922,0.2838,0.0959,0.9712,0.9423,328,14,21,0.9392,0.0041,1.0,410.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,operation_stack,width,operation,operation,operation_anchor,True,True,14718,874,289,14718,874,0.2965,0.3284,0.1096,0.3,0.3307,0.1093,1.1023,0.9345,16,4,10,0.4588,0.0821,1.0,43.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,operation,operation,operation_anchor,True,True,14718,874,289,14718,874,0.0014,0.0034,0.0067,0.3,0.4382,0.1448,1.4608,0.9133,2,124,186,0.3857,0.0007,1.0,43.0
agentnet_incorrect_step,agentnet,step-quality,flat:width,flat,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,14718,874,1,2524,853,1.0,1.0,0.5052,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,2524.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,14718,874,835,2524,853,0.0107,0.0129,0.025,0.3645,0.3974,0.3824,1.0903,0.9196,0,172,330,0.3922,0.0017,1.0,3.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,14718,874,65,2524,853,0.0111,0.0023,0.0045,0.3859,0.4127,0.3853,1.0694,0.9169,0,21,34,0.4202,0.0056,1.0,30.5
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,raw_action_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,14718,874,25,2524,853,0.0424,0.0117,0.0208,0.6303,0.2732,0.1907,0.4333,0.9423,328,19,21,0.9392,0.0041,1.0,240.5
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,operation_stack,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,14718,874,289,2524,853,0.3728,0.3365,0.32,0.3736,0.3388,0.3218,0.9068,0.9345,16,4,10,0.4588,0.0821,1.0,23.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,14718,874,289,2524,853,0.0032,0.0035,0.007,0.4041,0.4302,0.3919,1.0646,0.9133,2,125,186,0.3857,0.0007,1.0,23.0
agentnet_incorrect_step,agentnet,step-quality,flat:width,flat,width,agentnet_step,step,operation_equivalent_control,True,False,14718,874,1,14718,874,1.0,1.0,0.1121,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,14718.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,agentnet_step,step,operation_equivalent_control,True,False,14718,874,835,14718,874,0.0056,0.0126,0.023,0.3,0.4062,0.1342,1.3541,0.9196,0,168,326,0.3876,0.0017,1.0,18.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,agentnet_step,step,operation_equivalent_control,True,False,14718,874,65,14718,874,0.0091,0.0023,0.004,0.2999,0.4199,0.1388,1.4001,0.9169,0,21,34,0.4202,0.0056,1.0,181.0
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,raw_action_stack,query_aware,agentnet_step,step,operation_equivalent_control,True,False,14718,874,25,14718,874,0.013,0.0114,0.0188,0.2922,0.2838,0.0959,0.9712,0.9423,328,14,21,0.9392,0.0041,1.0,410.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,operation_stack,width,agentnet_step,step,operation_equivalent_control,True,False,14718,874,289,14718,874,0.2965,0.3284,0.1096,0.3,0.3307,0.1093,1.1023,0.9345,16,4,10,0.4588,0.0821,1.0,43.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,agentnet_step,step,operation_equivalent_control,True,False,14718,874,289,14718,874,0.0014,0.0034,0.0067,0.3,0.4382,0.1448,1.4608,0.9133,2,124,186,0.3857,0.0007,1.0,43.0
agentnet_redundant_step,agentnet,step-quality,flat:width,flat,width,session,session,session_anchor,False,False,10067,733,1,549,438,1.0,1.0,0.8875,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,549.0
agentnet_redundant_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,session,session,session_anchor,False,False,10067,733,549,549,438,0.0091,0.0114,0.0226,0.2568,0.2854,0.4318,1.1112,0.9199,0,123,292,0.5043,0.0013,1.0,1.0
agentnet_redundant_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,session,session,session_anchor,False,False,10067,733,57,549,438,0.0546,0.0525,0.0983,0.3005,0.3265,0.4743,1.0863,0.9198,0,13,21,0.5108,0.0016,1.0,7.5
