left,right,metric,direction,task_depth_rows,improved_rows,worse_rows,tied_rows,median_delta,mean_delta
operation_stack:query_aware,dataset_native:query_aware,top5_unit_work,lower,24,24,0,0,-0.3375,-0.3882
operation_stack:query_aware,dataset_native:query_aware,top5_positive_unit_recall,higher,24,3,19,2,-0.1698,-0.2806
operation_stack:query_aware,dataset_native:query_aware,budget30_positive_unit_recall,higher,24,18,4,2,0.0261,0.1604
operation_stack:query_aware,dataset_native:query_aware,budget30_positive_unit_f1,higher,24,18,6,0,0.0141,0.0392
operation_stack:query_aware,dataset_native:query_aware,budget30_unit_efficiency,higher,24,16,8,0,0.0607,0.0539
operation_stack:query_aware,dataset_native:query_aware,groups_to_25pct_positive_units,lower,24,2,15,7,2.0,19.5417
operation_stack:query_aware,dataset_native:query_aware,groups_to_50pct_positive_units,lower,24,2,18,4,26.5,58.2083
operation_stack:query_aware,dataset_native:query_aware,operation_work_to_50pct_positive_units,lower,24,20,4,0,-0.0406,-0.1184
operation_stack:query_aware,dataset_native:query_aware,positive_groups_median_units_per_group,lower,24,22,2,0,-51.25,-101.5417
operation_stack:query_aware,dataset_native:query_aware,budget30_positive_session_without_unit_hit,lower,24,0,9,15,0.0,5.2083
operation_stack:query_aware,raw_action_stack:query_aware,top5_unit_work,lower,24,20,4,0,-0.1045,-0.1055
operation_stack:query_aware,raw_action_stack:query_aware,top5_positive_unit_recall,higher,24,4,18,2,-0.0685,-0.0786
operation_stack:query_aware,raw_action_stack:query_aware,budget30_positive_unit_recall,higher,24,10,8,6,0.0,-0.0182
operation_stack:query_aware,raw_action_stack:query_aware,budget30_positive_unit_f1,higher,24,14,8,2,0.0419,0.0257
operation_stack:query_aware,raw_action_stack:query_aware,budget30_unit_efficiency,higher,24,18,4,2,0.237,0.3083
operation_stack:query_aware,raw_action_stack:query_aware,groups_to_25pct_positive_units,lower,24,4,17,3,2.0,20.25
operation_stack:query_aware,raw_action_stack:query_aware,groups_to_50pct_positive_units,lower,24,4,18,2,21.0,60.5833
operation_stack:query_aware,raw_action_stack:query_aware,operation_work_to_50pct_positive_units,lower,24,17,7,0,-0.1533,-0.1611
operation_stack:query_aware,raw_action_stack:query_aware,positive_groups_median_units_per_group,lower,24,24,0,0,-41.75,-99.8542
operation_stack:query_aware,raw_action_stack:query_aware,budget30_positive_session_without_unit_hit,lower,24,11,0,13,0.0,-77.5833
operation_stack:query_aware,operation_stack:width,top5_unit_work,lower,24,23,0,1,-0.3126,-0.2744
operation_stack:query_aware,operation_stack:width,top5_positive_unit_recall,higher,24,5,16,3,-0.1463,-0.1457
operation_stack:query_aware,operation_stack:width,budget30_positive_unit_recall,higher,24,18,4,2,0.0439,0.1415
operation_stack:query_aware,operation_stack:width,budget30_positive_unit_f1,higher,24,19,5,0,0.0503,0.0789
operation_stack:query_aware,operation_stack:width,budget30_unit_efficiency,higher,24,19,5,0,0.1775,0.2045
operation_stack:query_aware,operation_stack:width,groups_to_25pct_positive_units,lower,24,6,10,8,0.0,22.5417
operation_stack:query_aware,operation_stack:width,groups_to_50pct_positive_units,lower,24,4,17,3,18.5,62.1667
operation_stack:query_aware,operation_stack:width,operation_work_to_50pct_positive_units,lower,24,16,8,0,-0.073,-0.1151
operation_stack:query_aware,operation_stack:width,positive_groups_median_units_per_group,lower,24,0,0,24,0.0,0.0
operation_stack:query_aware,operation_stack:width,budget30_positive_session_without_unit_hit,lower,24,6,3,15,0.0,0.5417
