task,dataset,query_family,unit_depth,unit_kind,claim_role,subtask_eligible,positive_oracle_units,best_budget30_unit_policy,best_budget30_positive_unit_f1,operation_stack_budget30_positive_unit_recall,operation_stack_budget30_positive_unit_f1,operation_stack_groups_to_50pct_positive_units,operation_stack_budget30_spillover,operation_stack_depth_gap_sessions,fixed_session_budget30_positive_unit_recall,raw_action_budget30_positive_unit_recall,positive_groups_median_units_per_group,action
satraj_unsafe,satraj-os-safety,safety,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,88,dataset_native:query_aware,0.9362,1.0,0.6308,13,0.5946,0,0.9318,1.0,4.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
satraj_unsafe,satraj-os-safety,safety,satraj_step,step,operation_equivalent_control,True,622,dataset_native:query_aware,0.873,0.8376,0.5464,38,0.5946,0,0.865,0.5209,11.0,Preserve baseline counterpoint; operation-stack is an explanation view here.
agentnet_incorrect_step,agentnet,step-quality,session,session,session_anchor,False,502,raw_action_stack:query_aware,0.7509,0.4084,0.517,186,0.9133,0,0.3606,1.0,17.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_incorrect_step,agentnet,step-quality,operation,operation,operation_anchor,True,874,operation_stack:query_aware,0.1448,0.4382,0.1448,186,0.9133,2,0.4062,0.2838,43.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_incorrect_step,agentnet,step-quality,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,853,operation_stack:query_aware,0.3919,0.4302,0.3919,186,0.9133,2,0.3974,0.2732,23.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_incorrect_step,agentnet,step-quality,agentnet_step,step,operation_equivalent_control,True,874,operation_stack:query_aware,0.1448,0.4382,0.1448,186,0.9133,2,0.4062,0.2838,43.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_redundant_step,agentnet,step-quality,session,session,session_anchor,False,438,raw_action_stack:query_aware,0.8746,0.3539,0.5049,157,0.9142,0,0.2854,0.9635,11.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_redundant_step,agentnet,step-quality,operation,operation,operation_anchor,True,733,operation_stack:query_aware,0.138,0.3533,0.138,157,0.9142,10,0.3302,0.2619,29.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_redundant_step,agentnet,step-quality,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,727,operation_stack:query_aware,0.3587,0.3535,0.3587,157,0.9142,10,0.3315,0.2641,18.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentnet_redundant_step,agentnet,step-quality,agentnet_step,step,operation_equivalent_control,True,733,operation_stack:query_aware,0.138,0.3533,0.138,157,0.9142,10,0.3302,0.2619,29.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
osworld_group_start,osworld-human,human-boundary,session,session,session_anchor,False,244,raw_action_stack:query_aware,0.8986,0.418,0.5779,11,0.8113,0,0.2336,0.8893,6.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
osworld_group_start,osworld-human,human-boundary,operation,operation,operation_anchor,True,764,operation_stack:width,0.3294,0.2971,0.2308,62,0.8113,42,0.3508,0.4149,10.0,Raw action has higher unit recall; use operation-stack to reduce broad action groups.
osworld_group_start,osworld-human,human-boundary,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,764,operation_stack:width,0.4702,0.2971,0.3373,62,0.8113,42,0.3508,0.4149,8.5,Raw action has higher unit recall; use operation-stack to reduce broad action groups.
osworld_group_start,osworld-human,human-boundary,osworld_human_group,human_group,true_subtask_segment,True,764,raw_action_stack:query_aware,0.6943,0.5,0.6035,3,0.8113,5,0.3508,0.6806,9.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
