task,dataset,baseline,metric,metric_family,direction,operation_stack_query_aware,baseline_value,delta_default_minus_baseline,advantage,result
agentreward_side_effect,agent-reward-bench,flat_width,budget30_recall,recall@30% work,higher,0.3812,0.0,0.3812,0.3812,win
osworld_group_start,osworld-human,flat_width,budget30_recall,recall@30% work,higher,0.2971,0.0,0.2971,0.2971,win
satraj_unsafe,satraj-os-safety,flat_width,budget30_recall,recall@30% work,higher,0.8376,0.0,0.8376,0.8376,win
agentnet_incorrect_step,agentnet,flat_width,budget30_f1,F1@30% work,higher,0.1448,0.0,0.1448,0.1448,win
agentnet_redundant_step,agentnet,flat_width,budget30_f1,F1@30% work,higher,0.138,0.0,0.138,0.138,win
agentreward_looping,agent-reward-bench,flat_width,budget30_f1,F1@30% work,higher,0.5568,0.0,0.5568,0.5568,win
agentreward_side_effect,agent-reward-bench,flat_width,budget30_f1,F1@30% work,higher,0.3667,0.0,0.3667,0.3667,win
osworld_group_start,osworld-human,flat_width,budget30_f1,F1@30% work,higher,0.2308,0.0,0.2308,0.2308,win
satraj_unsafe,satraj-os-safety,flat_width,budget30_f1,F1@30% work,higher,0.5464,0.0,0.5464,0.5464,win
agentnet_incorrect_step,agentnet,flat_width,top5_work,top-5 inspected work,lower,0.0014,1.0,-0.9986,0.9986,win
agentnet_redundant_step,agentnet,flat_width,top5_work,top-5 inspected work,lower,0.0089,1.0,-0.9911,0.9911,win
agentreward_looping,agent-reward-bench,flat_width,top5_work,top-5 inspected work,lower,0.4938,1.0,-0.5062,0.5062,win
agentreward_side_effect,agent-reward-bench,flat_width,top5_work,top-5 inspected work,lower,0.1454,1.0,-0.8546,0.8546,win
osworld_group_start,osworld-human,flat_width,top5_work,top-5 inspected work,lower,0.4074,1.0,-0.5926,0.5926,win
satraj_unsafe,satraj-os-safety,flat_width,top5_work,top-5 inspected work,lower,0.042,1.0,-0.958,0.958,win
agentnet_incorrect_step,agentnet,flat_width,work_to_first_positive,work-to-first-positive,lower,0.0007,1.0,-0.9993,0.9993,win
agentnet_redundant_step,agentnet,flat_width,work_to_first_positive,work-to-first-positive,lower,0.0051,1.0,-0.9949,0.9949,win
agentreward_looping,agent-reward-bench,flat_width,work_to_first_positive,work-to-first-positive,lower,0.2058,1.0,-0.7942,0.7942,win
agentreward_side_effect,agent-reward-bench,flat_width,work_to_first_positive,work-to-first-positive,lower,0.0645,1.0,-0.9355,0.9355,win
osworld_group_start,osworld-human,flat_width,work_to_first_positive,work-to-first-positive,lower,0.1311,1.0,-0.8689,0.8689,win
satraj_unsafe,satraj-os-safety,flat_width,work_to_first_positive,work-to-first-positive,lower,0.0112,1.0,-0.9888,0.9888,win
agentnet_incorrect_step,agentnet,flat_width,groups,group fragmentation,lower,289.0,1.0,288.0,-288.0,loss
agentnet_redundant_step,agentnet,flat_width,groups,group fragmentation,lower,260.0,1.0,259.0,-259.0,loss
agentreward_looping,agent-reward-bench,flat_width,groups,group fragmentation,lower,40.0,1.0,39.0,-39.0,loss
agentreward_side_effect,agent-reward-bench,flat_width,groups,group fragmentation,lower,40.0,1.0,39.0,-39.0,loss
osworld_group_start,osworld-human,flat_width,groups,group fragmentation,lower,173.0,1.0,172.0,-172.0,loss
satraj_unsafe,satraj-os-safety,flat_width,groups,group fragmentation,lower,142.0,1.0,141.0,-141.0,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.0886,0.0799,0.0087,0.0087,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.0875,0.0788,0.0087,0.0087,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.8808,0.8672,0.0136,0.0136,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.3979,0.4606,-0.0627,-0.0627,loss
osworld_group_start,osworld-human,fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.2254,0.2345,-0.0091,-0.0091,loss
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.4875,0.5059,-0.0184,-0.0184,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,ndcg,nDCG,higher,0.3594,0.7929,-0.4335,-0.4335,loss
agentnet_redundant_step,agentnet,fixed_session_query_aware,ndcg,nDCG,higher,0.4055,0.8341,-0.4286,-0.4286,loss
agentreward_looping,agent-reward-bench,fixed_session_query_aware,ndcg,nDCG,higher,0.9687,0.8528,0.1159,0.1159,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,ndcg,nDCG,higher,0.4445,0.3696,0.0749,0.0749,win
osworld_group_start,osworld-human,fixed_session_query_aware,ndcg,nDCG,higher,0.7954,0.5246,0.2708,0.2708,win
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,ndcg,nDCG,higher,0.653,0.7354,-0.0824,-0.0824,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,top5_precision,precision@5,higher,0.1429,0.1341,0.0088,0.0088,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,top5_precision,precision@5,higher,0.1444,0.1034,0.041,0.041,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,top5_precision,precision@5,higher,0.9111,0.8,0.1111,0.1111,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,top5_precision,precision@5,higher,0.217,0.0,0.217,0.217,win
osworld_group_start,osworld-human,fixed_session_query_aware,top5_precision,precision@5,higher,0.1812,0.3768,-0.1956,-0.1956,loss
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,top5_precision,precision@5,higher,0.9056,0.5455,0.3601,0.3601,win
agentnet_incorrect_step,agentnet,fixed_session_query_aware,top5_recall,recall@5,higher,0.0034,0.0126,-0.0092,-0.0092,loss
agentnet_redundant_step,agentnet,fixed_session_query_aware,top5_recall,recall@5,higher,0.0177,0.0123,0.0054,0.0054,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,top5_recall,recall@5,higher,0.6508,0.2381,0.4127,0.4127,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,top5_recall,recall@5,higher,0.1139,0.0,0.1139,0.1139,win
osworld_group_start,osworld-human,fixed_session_query_aware,top5_recall,recall@5,higher,0.3874,0.034,0.3534,0.3534,win
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,top5_recall,recall@5,higher,0.2621,0.0579,0.2042,0.2042,win
agentnet_incorrect_step,agentnet,fixed_session_query_aware,top5_f1,F1@5,higher,0.0067,0.023,-0.0163,-0.0163,loss
agentnet_redundant_step,agentnet,fixed_session_query_aware,top5_f1,F1@5,higher,0.0316,0.022,0.0096,0.0096,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,top5_f1,F1@5,higher,0.7593,0.367,0.3923,0.3923,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,top5_f1,F1@5,higher,0.1494,0.0,0.1494,0.1494,win
osworld_group_start,osworld-human,fixed_session_query_aware,top5_f1,F1@5,higher,0.2469,0.0624,0.1845,0.1845,win
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,top5_f1,F1@5,higher,0.4065,0.1047,0.3018,0.3018,win
agentnet_incorrect_step,agentnet,fixed_session_query_aware,budget30_recall,recall@30% work,higher,0.4382,0.4062,0.032,0.032,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,budget30_recall,recall@30% work,higher,0.3533,0.3302,0.0231,0.0231,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,budget30_recall,recall@30% work,higher,0.3988,0.3611,0.0377,0.0377,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,budget30_recall,recall@30% work,higher,0.3812,0.0,0.3812,0.3812,win
osworld_group_start,osworld-human,fixed_session_query_aware,budget30_recall,recall@30% work,higher,0.2971,0.3508,-0.0537,-0.0537,loss
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,budget30_recall,recall@30% work,higher,0.8376,0.865,-0.0274,-0.0274,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,budget30_f1,F1@30% work,higher,0.1448,0.1342,0.0106,0.0106,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,budget30_f1,F1@30% work,higher,0.138,0.129,0.009,0.009,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,budget30_f1,F1@30% work,higher,0.5568,0.5042,0.0526,0.0526,win
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,budget30_f1,F1@30% work,higher,0.3667,0.0,0.3667,0.3667,win
osworld_group_start,osworld-human,fixed_session_query_aware,budget30_f1,F1@30% work,higher,0.2308,0.2725,-0.0417,-0.0417,loss
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,budget30_f1,F1@30% work,higher,0.5464,0.5642,-0.0178,-0.0178,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,top5_work,top-5 inspected work,lower,0.0014,0.0056,-0.0042,0.0042,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,top5_work,top-5 inspected work,lower,0.0089,0.0086,0.0003,-0.0003,loss
agentreward_looping,agent-reward-bench,fixed_session_query_aware,top5_work,top-5 inspected work,lower,0.4938,0.2058,0.288,-0.288,loss
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,top5_work,top-5 inspected work,lower,0.1454,0.1948,-0.0494,0.0494,win
osworld_group_start,osworld-human,fixed_session_query_aware,top5_work,top-5 inspected work,lower,0.4074,0.0172,0.3902,-0.3902,loss
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,top5_work,top-5 inspected work,lower,0.042,0.0154,0.0266,-0.0266,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0007,0.0017,-0.001,0.001,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0051,0.0013,0.0038,-0.0038,loss
agentreward_looping,agent-reward-bench,fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,0.2058,0.0412,0.1646,-0.1646,loss
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0645,0.3471,-0.2826,0.2826,win
osworld_group_start,osworld-human,fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,0.1311,0.005,0.1261,-0.1261,loss
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0112,0.0037,0.0075,-0.0075,loss
agentnet_incorrect_step,agentnet,fixed_session_query_aware,groups,group fragmentation,lower,289.0,835.0,-546.0,546.0,win
agentnet_redundant_step,agentnet,fixed_session_query_aware,groups,group fragmentation,lower,260.0,549.0,-289.0,289.0,win
agentreward_looping,agent-reward-bench,fixed_session_query_aware,groups,group fragmentation,lower,40.0,29.0,11.0,-11.0,loss
agentreward_side_effect,agent-reward-bench,fixed_session_query_aware,groups,group fragmentation,lower,40.0,29.0,11.0,-11.0,loss
osworld_group_start,osworld-human,fixed_session_query_aware,groups,group fragmentation,lower,173.0,320.0,-147.0,147.0,win
satraj_unsafe,satraj-os-safety,fixed_session_query_aware,groups,group fragmentation,lower,142.0,250.0,-108.0,108.0,win
agentnet_incorrect_step,agentnet,dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.0886,0.0797,0.0089,0.0089,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.0875,0.0772,0.0103,0.0103,win
agentreward_looping,agent-reward-bench,dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.8808,0.7989,0.0819,0.0819,win
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.3979,0.5166,-0.1187,-0.1187,loss
osworld_group_start,osworld-human,dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.2254,0.1977,0.0277,0.0277,win
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.4875,0.7598,-0.2723,-0.2723,loss
agentnet_incorrect_step,agentnet,dataset_native_query_aware,ndcg,nDCG,higher,0.3594,0.5766,-0.2172,-0.2172,loss
agentnet_redundant_step,agentnet,dataset_native_query_aware,ndcg,nDCG,higher,0.4055,0.6261,-0.2206,-0.2206,loss
agentreward_looping,agent-reward-bench,dataset_native_query_aware,ndcg,nDCG,higher,0.9687,0.8114,0.1573,0.1573,win
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,ndcg,nDCG,higher,0.4445,1.0,-0.5555,-0.5555,loss
osworld_group_start,osworld-human,dataset_native_query_aware,ndcg,nDCG,higher,0.7954,0.6776,0.1178,0.1178,win
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,ndcg,nDCG,higher,0.653,1.0,-0.347,-0.347,loss
agentnet_incorrect_step,agentnet,dataset_native_query_aware,top5_precision,precision@5,higher,0.1429,0.0149,0.128,0.128,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,top5_precision,precision@5,higher,0.1444,0.0847,0.0597,0.0597,win
agentreward_looping,agent-reward-bench,dataset_native_query_aware,top5_precision,precision@5,higher,0.9111,0.6914,0.2197,0.2197,win
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,top5_precision,precision@5,higher,0.217,0.2771,-0.0601,-0.0601,loss
osworld_group_start,osworld-human,dataset_native_query_aware,top5_precision,precision@5,higher,0.1812,0.1973,-0.0161,-0.0161,loss
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,top5_precision,precision@5,higher,0.9056,0.1452,0.7604,0.7604,win
agentnet_incorrect_step,agentnet,dataset_native_query_aware,top5_recall,recall@5,higher,0.0034,0.0023,0.0011,0.0011,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,top5_recall,recall@5,higher,0.0177,0.0423,-0.0246,-0.0246,loss
agentreward_looping,agent-reward-bench,dataset_native_query_aware,top5_recall,recall@5,higher,0.6508,1.0,-0.3492,-0.3492,loss
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,top5_recall,recall@5,higher,0.1139,1.0,-0.8861,-0.8861,loss
osworld_group_start,osworld-human,dataset_native_query_aware,top5_recall,recall@5,higher,0.3874,0.733,-0.3456,-0.3456,loss
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,top5_recall,recall@5,higher,0.2621,1.0,-0.7379,-0.7379,loss
agentnet_incorrect_step,agentnet,dataset_native_query_aware,top5_f1,F1@5,higher,0.0067,0.004,0.0027,0.0027,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,top5_f1,F1@5,higher,0.0316,0.0564,-0.0248,-0.0248,loss
agentreward_looping,agent-reward-bench,dataset_native_query_aware,top5_f1,F1@5,higher,0.7593,0.8175,-0.0582,-0.0582,loss
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,top5_f1,F1@5,higher,0.1494,0.4339,-0.2845,-0.2845,loss
osworld_group_start,osworld-human,dataset_native_query_aware,top5_f1,F1@5,higher,0.2469,0.3109,-0.064,-0.064,loss
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,top5_f1,F1@5,higher,0.4065,0.2535,0.153,0.153,win
agentnet_incorrect_step,agentnet,dataset_native_query_aware,budget30_recall,recall@30% work,higher,0.4382,0.4199,0.0183,0.0183,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,budget30_recall,recall@30% work,higher,0.3533,0.3302,0.0231,0.0231,win
agentreward_looping,agent-reward-bench,dataset_native_query_aware,budget30_recall,recall@30% work,higher,0.3988,0.3452,0.0536,0.0536,win
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,budget30_recall,recall@30% work,higher,0.3812,0.0,0.3812,0.3812,win
osworld_group_start,osworld-human,dataset_native_query_aware,budget30_recall,recall@30% work,higher,0.2971,0.2618,0.0353,0.0353,win
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,budget30_recall,recall@30% work,higher,0.8376,1.0,-0.1624,-0.1624,loss
agentnet_incorrect_step,agentnet,dataset_native_query_aware,budget30_f1,F1@30% work,higher,0.1448,0.1388,0.006,0.006,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,budget30_f1,F1@30% work,higher,0.138,0.1291,0.0089,0.0089,win
agentreward_looping,agent-reward-bench,dataset_native_query_aware,budget30_f1,F1@30% work,higher,0.5568,0.5007,0.0561,0.0561,win
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,budget30_f1,F1@30% work,higher,0.3667,0.0,0.3667,0.3667,win
osworld_group_start,osworld-human,dataset_native_query_aware,budget30_f1,F1@30% work,higher,0.2308,0.205,0.0258,0.0258,win
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,budget30_f1,F1@30% work,higher,0.5464,0.873,-0.3266,-0.3266,loss
agentnet_incorrect_step,agentnet,dataset_native_query_aware,top5_work,top-5 inspected work,lower,0.0014,0.0091,-0.0077,0.0077,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,top5_work,top-5 inspected work,lower,0.0089,0.0364,-0.0275,0.0275,win
agentreward_looping,agent-reward-bench,dataset_native_query_aware,top5_work,top-5 inspected work,lower,0.4938,1.0,-0.5062,0.5062,win
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,top5_work,top-5 inspected work,lower,0.1454,1.0,-0.8546,0.8546,win
osworld_group_start,osworld-human,dataset_native_query_aware,top5_work,top-5 inspected work,lower,0.4074,0.7078,-0.3004,0.3004,win
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,top5_work,top-5 inspected work,lower,0.042,1.0,-0.958,0.958,win
agentnet_incorrect_step,agentnet,dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0007,0.0056,-0.0049,0.0049,win
agentnet_redundant_step,agentnet,dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0051,0.0016,0.0035,-0.0035,loss
agentreward_looping,agent-reward-bench,dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,0.2058,0.1824,0.0234,-0.0234,loss
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0645,0.5364,-0.4719,0.4719,win
osworld_group_start,osworld-human,dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,0.1311,0.0184,0.1127,-0.1127,loss
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0112,0.098,-0.0868,0.0868,win
agentnet_incorrect_step,agentnet,dataset_native_query_aware,groups,group fragmentation,lower,289.0,65.0,224.0,-224.0,loss
agentnet_redundant_step,agentnet,dataset_native_query_aware,groups,group fragmentation,lower,260.0,57.0,203.0,-203.0,loss
agentreward_looping,agent-reward-bench,dataset_native_query_aware,groups,group fragmentation,lower,40.0,4.0,36.0,-36.0,loss
agentreward_side_effect,agent-reward-bench,dataset_native_query_aware,groups,group fragmentation,lower,40.0,4.0,36.0,-36.0,loss
osworld_group_start,osworld-human,dataset_native_query_aware,groups,group fragmentation,lower,173.0,10.0,163.0,-163.0,loss
satraj_unsafe,satraj-os-safety,dataset_native_query_aware,groups,group fragmentation,lower,142.0,5.0,137.0,-137.0,loss
agentnet_incorrect_step,agentnet,raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.0886,0.066,0.0226,0.0226,win
agentnet_redundant_step,agentnet,raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.0875,0.0817,0.0058,0.0058,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.8808,0.7512,0.1296,0.1296,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.3979,0.3273,0.0706,0.0706,win
osworld_group_start,osworld-human,raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.2254,0.2214,0.004,0.004,win
satraj_unsafe,satraj-os-safety,raw_action_query_aware,average_precision,AP/AUPRC-style ranking,higher,0.4875,0.5988,-0.1113,-0.1113,loss
agentnet_incorrect_step,agentnet,raw_action_query_aware,ndcg,nDCG,higher,0.3594,0.2841,0.0753,0.0753,win
agentnet_redundant_step,agentnet,raw_action_query_aware,ndcg,nDCG,higher,0.4055,0.3405,0.065,0.065,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,ndcg,nDCG,higher,0.9687,0.4385,0.5302,0.5302,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,ndcg,nDCG,higher,0.4445,0.5639,-0.1194,-0.1194,loss
osworld_group_start,osworld-human,raw_action_query_aware,ndcg,nDCG,higher,0.7954,0.7821,0.0133,0.0133,win
satraj_unsafe,satraj-os-safety,raw_action_query_aware,ndcg,nDCG,higher,0.653,0.681,-0.028,-0.028,loss
agentnet_incorrect_step,agentnet,raw_action_query_aware,top5_precision,precision@5,higher,0.1429,0.0521,0.0908,0.0908,win
agentnet_redundant_step,agentnet,raw_action_query_aware,top5_precision,precision@5,higher,0.1444,0.0759,0.0685,0.0685,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,top5_precision,precision@5,higher,0.9111,0.7105,0.2006,0.2006,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,top5_precision,precision@5,higher,0.217,0.44,-0.223,-0.223,loss
osworld_group_start,osworld-human,raw_action_query_aware,top5_precision,precision@5,higher,0.1812,0.1725,0.0087,0.0087,win
satraj_unsafe,satraj-os-safety,raw_action_query_aware,top5_precision,precision@5,higher,0.9056,0.3302,0.5754,0.5754,win
agentnet_incorrect_step,agentnet,raw_action_query_aware,top5_recall,recall@5,higher,0.0034,0.0114,-0.008,-0.008,loss
agentnet_redundant_step,agentnet,raw_action_query_aware,top5_recall,recall@5,higher,0.0177,0.0859,-0.0682,-0.0682,loss
agentreward_looping,agent-reward-bench,raw_action_query_aware,top5_recall,recall@5,higher,0.6508,0.1071,0.5437,0.5437,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,top5_recall,recall@5,higher,0.1139,0.3812,-0.2673,-0.2673,loss
osworld_group_start,osworld-human,raw_action_query_aware,top5_recall,recall@5,higher,0.3874,0.4725,-0.0851,-0.0851,loss
satraj_unsafe,satraj-os-safety,raw_action_query_aware,top5_recall,recall@5,higher,0.2621,0.4486,-0.1865,-0.1865,loss
agentnet_incorrect_step,agentnet,raw_action_query_aware,top5_f1,F1@5,higher,0.0067,0.0188,-0.0121,-0.0121,loss
agentnet_redundant_step,agentnet,raw_action_query_aware,top5_f1,F1@5,higher,0.0316,0.0806,-0.049,-0.049,loss
agentreward_looping,agent-reward-bench,raw_action_query_aware,top5_f1,F1@5,higher,0.7593,0.1862,0.5731,0.5731,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,top5_f1,F1@5,higher,0.1494,0.4085,-0.2591,-0.2591,loss
osworld_group_start,osworld-human,raw_action_query_aware,top5_f1,F1@5,higher,0.2469,0.2527,-0.0058,-0.0058,loss
satraj_unsafe,satraj-os-safety,raw_action_query_aware,top5_f1,F1@5,higher,0.4065,0.3804,0.0261,0.0261,win
agentnet_incorrect_step,agentnet,raw_action_query_aware,budget30_recall,recall@30% work,higher,0.4382,0.2838,0.1544,0.1544,win
agentnet_redundant_step,agentnet,raw_action_query_aware,budget30_recall,recall@30% work,higher,0.3533,0.2619,0.0914,0.0914,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,budget30_recall,recall@30% work,higher,0.3988,0.2024,0.1964,0.1964,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,budget30_recall,recall@30% work,higher,0.3812,0.3812,0.0,0.0,tie
osworld_group_start,osworld-human,raw_action_query_aware,budget30_recall,recall@30% work,higher,0.2971,0.4149,-0.1178,-0.1178,loss
