run_id,key,actual,expected,status,source,paper_token
R339,csv_budget30_session_recall_wins_vs_fixed,6,6,pass,R339 default-sequence-comparisons.csv,6/6
R339,csv_budget30_session_work_wins_vs_raw_action,5,5,pass,R339 default-sequence-comparisons.csv,5/6
R340,overall,pass,pass,pass,R340 summary,pass
R340,tasks,6,6,pass,R340 claim_summary,6
R340,visible_policies,15,15,pass,R340 claim_summary,15
R340,objectives,8,8,pass,R340 claim_summary,8
R340,total_decisions,96,96,pass,R340 claim_summary,96
R340,exact_best_decisions,31,31,pass,R340 claim_summary,31
R340,within_tolerance_decisions,62,62,pass,R340 claim_summary,62
R340,selected_beats_width,72,72,pass,R340 claim_summary,72
R340,selected_beats_fixed,69,69,pass,R340 claim_summary,69
R340,selected_beats_flat,41,41,pass,R340 claim_summary,41
R340,operation_stack_selected,16,16,pass,R340 claim_summary,16
R340,leave_task_decisions,48,48,pass,R340 claim_summary.leave_task,48
R340,leave_task_within_tolerance,32,32,pass,R340 claim_summary.leave_task,32
R340,leave_dataset_decisions,48,48,pass,R340 claim_summary.leave_dataset,48
R340,leave_dataset_within_tolerance,30,30,pass,R340 claim_summary.leave_dataset,30
R340,decision_rows,96,96,pass,R340 transfer-decisions.csv,96
R340,objective_rows,16,16,pass,R340 objective-transfer-summary.csv,16
R340,selected_policy_visible_rows,96,96,pass,R340 transfer-decisions.csv + R320 policy-scores.csv,96/96
R340,best_policy_visible_rows,96,96,pass,R340 transfer-decisions.csv + R320 policy-scores.csv,96/96
R340,selected_policy_no_oracle_or_label_drilldown,96,96,pass,R340 transfer-decisions.csv,96/96
R340,best_policy_no_oracle_or_label_drilldown,96,96,pass,R340 transfer-decisions.csv,96/96
R340,leave_task_excludes_target_task,96,96,pass,R340 transfer-decisions.csv,96/96
R340,leave_dataset_excludes_target_dataset,96,96,pass,R340 transfer-decisions.csv + R320 policy-scores.csv,96/96
