doc,key,source,tokens,status,lines
zh_main,R333 headline,R333,0.3900 / 0.390,pass,"68,399,451,483,517,588,706"
zh_main,R337 headline,R337,0.2000 / 16.0 / 50.0,pass,"72,482,591,710"
zh_main,R339 headline,R339,0.4669 / 0.9103 / 0.3467,pass,"73,483,592,711"
zh_main,R340 headline,R340,R340 / 62/96 / 72/96 / 69/96,pass,"74,484,485,492,578,593,606,712"
zh_main,R341 headline,R341,R341 / 36/36 / 27/36 / 34/96,pass,"75,81,82,485,488,491,493,578"
zh_main,R342 headline,R342,R342 / 12/12 / 9/12 / 0.8267,pass,"76,486,579,595"
zh_main,R344 headline,R344,R344 / 30 / 16 / nDCG,pass,"55,61,62,65,66,67,68,69"
zh_main,R345 headline,R345,R345 / 6 / 11/36 / 25/36,pass,"3,16,17,18,30,50,54,55"
zh_main,R346 headline,R346,R346 / 30 / 5/6 / 1.6508,pass,"59,60,61,63,65,66,67,68"
zh_main,R347 headline,R347,R347 / 5 / 6/6 / 5/6 / 4/6,pass,"12,22,46,48,49,50,59,60"
zh_main,R348 headline,R348,R348 / 36 / 27/36 / 0.1447,pass,"71,75,78,81,82,339,348,355"
zh_main,R349 headline,R349,R349 / 60 / 35/60 / 7/60 / 2/42,pass,"73,82,87,180,278,483,492,493"
zh_main,R350 headline,R350,R350 / 6/6 / 4/6 / 27/36 / 35/60,pass,"59,60,61,64,66,68,70,71"
en_main,R320 headline,R320,0.0937 / 9.37 / 285.0 / 157.5,pass,"45,48,126,377,379,397,406,589"
en_main,R333 headline,R333,0.3900 / 0.390,pass,"70,378,397,464,592"
en_main,R337 headline,R337,0.2000 / 16.0 / 50.0,pass,"89,90,91,577,579,836,837"
en_main,R339 headline,R339,0.4669 / 0.9103 / 0.3467,pass,"94,95,96,593,594,595,839,840"
en_main,R340 headline,R340,R340 / 62 of 96 / 72 of 96 / 69 of 96,pass,"139,597,659,841,941"
en_main,R341 headline,R341,R341 / 36 of 36 / 27 of 36 / 34 of 96,pass,"104,105,106,149,607,627,650,674"
en_main,R342 headline,R342,R342 / 12/12 / 9/12 / 0.8267,pass,"109,112,113,613,614,617,619,943"
en_main,R344 headline,R344,R344 / 30 / 16 / nDCG,pass,"69,76,90,93,95,101,115,116"
en_main,R345 headline,R345,R345 / 6 / 11/36 / 25/36,pass,"42,47,51,52,56,75,76,77"
en_main,R346 headline,R346,R346 / 30 / 5/6 / 1.6508,pass,"69,76,93,95,115,123,124,125"
en_main,R347 headline,R347,R347 / 5 / 6/6 / 5/6 / 4/6,pass,"39,40,42,47,48,51,70,71"
en_main,R348 headline,R348,R348 / 36 / 27/36 / 0.1447,pass,"104,105,119,120,133,134,135,136"
en_main,R349 headline,R349,R349 / 60 / 35 of 60 / 7 of 60 / 2 of 42,pass,"139,140,141,149,150,312,591,659"
en_main,R350 headline,R350,R350 / 6 of 6 / 4 of 6 / 27 of 36 / 35 of 60,pass,"56,105,145,147,148,149,151,321"
zh_claim_setup,two abstractions,C2,两个核心抽象 / operation stack,pass,"7,23,25,80,83,84,85,87"
zh_claim_setup,R337 result,R337,R337 / 0.2000 / 16.0,pass,"35,36,118,120"
zh_claim_setup,R339 result,R339,R339 / 0.4669 / 0.9103,pass,"36,37,120,121,263"
zh_claim_setup,R340 result,R340,R340 / 62/96 / 72/96 / 69/96,pass,"37,38,45,121,122,129"
zh_claim_setup,R341 result,R341,R341 / 36/36 / 27/36 / 34/96,pass,"38,41,44,46,122,125,128,130"
zh_claim_setup,R342 result,R342,R342 / 12/12 / 9/12 / 0.8267,pass,"39,123"
zh_claim_setup,R344 result,R344,R344 / 30 / 16 / nDCG,pass,"22,23,24,26,28,31,32,34"
zh_claim_setup,R345 result,R345,R345 / 6 / 11/36 / 25/36,pass,"3,22,23,24,25,26,27,28"
zh_claim_setup,R346 result,R346,R346 / 30 / 5/6 / 1.6508,pass,"22,23,26,28,31,32,34,35"
zh_claim_setup,R347 result,R347,R347 / 5 / 6/6 / 5/6 / 4/6,pass,"3,22,23,24,25,26,27,28"
zh_claim_setup,R348 result,R348,R348 / 36 / 27/36 / 0.1447,pass,"24,25,34,35,38,41,44,45"
zh_claim_setup,R349 result,R349,R349 / 60 / 35/60 / 7/60 / 2/42,pass,"23,28,36,45,46,75,108,109"
zh_claim_setup,R350 result,R350,R350 / 6/6 / 4/6 / 27/36 / 35/60,pass,"26,33,34,35,38,39,40,41"
evaluation,R320:datasets,R320 totals,4,pass,"12,13,14,15,41,45,47,53"
evaluation,R320:tasks,R320 totals,6,pass,"3,4,12,13,15,32,41,42"
evaluation,R320:operations,R320 totals,"34,539",pass,"15,137,159,293,325,390,397,399"
evaluation,R320:positives,R320 totals,"3,699",pass,"15,159,400,403,407,410,421,500"
evaluation,R320:policies,R320 totals,144,pass,"15,107,158,325,405,410,420,426"
evaluation,R320:operation_stack_top5_work_median,R320 policy-scores.csv,0.0937,pass,"15,103,105,111,216,259,325,410"
evaluation,R320:flat_top5_work_median,R320 policy-scores.csv,1.0,pass,"15,205,217,325,389,392,406,410"
evaluation,R320:operation_stack_groups_median,R320 policy-scores.csv,157.5,pass,"15,163,325,410,511"
evaluation,R320:fixed_session_groups_median,R320 policy-scores.csv,285.0,pass,"15,163,325,410,511"
evaluation,R320:top5_recall_wins_vs_fixed,R320 policy-scores.csv,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R320:ap_wins_vs_width,R320 policy-scores.csv,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R333:operation_stack:query_aware_budget30_median_recall,R333 policy-curve-summary.csv,0.3900,pass,"219,325,420"
evaluation,R333:flat:width_budget30_median_recall,R333 policy-curve-summary.csv,0.0000,pass,"325,420"
evaluation,R333:fixed_session:query_aware_budget30_median_recall,R333 policy-curve-summary.csv,0.3559,pass,"325,420"
evaluation,R333:dataset_native:query_aware_budget30_median_recall,R333 policy-curve-summary.csv,0.3377,pass,"325,420"
evaluation,R333:raw_action_stack:query_aware_budget30_median_recall,R333 policy-curve-summary.csv,0.3325,pass,"325,420"
evaluation,R337:target25_tasks_reached,R337 summary,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R337:target25_median_work,R337 summary,0.2000,pass,"204,325,424"
evaluation,R337:target25_median_groups,R337 summary,16.0,pass,"204,325,424"
evaluation,R337:target10_tasks_reached,R337 summary,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R337:target10_median_groups,R337 summary,12.5,pass,"208,424"
evaluation,R337:target50_tasks_reached,R337 summary,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R337:flat_target25_median_work,R337 summary,1.0000,pass,"205,217,325,424"
evaluation,R337:fixed_target25_median_groups,R337 summary,50.0,pass,"206,325,424"
evaluation,R337:fixed_target10_median_groups,R337 summary,37.5,pass,"208,424"
evaluation,R337:default_vs_flat_target25_work_wins,R337 summary,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R337:default_vs_fixed_target25_group_wins,R337 summary,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R337:default_vs_fixed_target10_group_wins,R337 summary,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R337:target25_csv_median_work,R337 policy-target-summary.csv,0.2000,pass,"204,325,424"
evaluation,R337:target25_csv_group_wins_vs_fixed,R337 default-target-comparisons.csv,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R339:overall,R339 summary,pass,pass,"14,15,51,148,269,401,402,405"
evaluation,R339:datasets,R339 summary,4,pass,"12,13,14,15,41,45,47,53"
evaluation,R339:tasks,R339 summary,6,pass,"3,4,12,13,15,32,41,42"
evaluation,R339:policies_scored,R339 summary,144,pass,"15,107,158,325,405,410,420,426"
evaluation,R339:hidden_labels_used_only_for_scoring,R339 summary,hidden labels only for scoring,pass,"426,434"
evaluation,R339:top5_median_operation_work,R339 claim_summary.top5,0.0937,pass,"15,103,105,111,216,259,325,410"
evaluation,R339:top5_median_positive_session_recall,R339 claim_summary.top5,0.2629,pass,"217,426"
evaluation,R339:top5_fixed_positive_session_recall,R339 claim_summary.top5,0.0160,pass,"218,426"
evaluation,R339:top5_flat_operation_work,R339 claim_summary.top5,1.0000,pass,"205,217,325,424"
evaluation,R339:budget30_median_positive_operation_recall,R339 claim_summary.budget30,0.3900,pass,"219,325,420"
evaluation,R339:budget30_median_positive_session_recall,R339 claim_summary.budget30,0.4669,pass,"220,325,426"
evaluation,R339:budget30_median_session_work,R339 claim_summary.budget30,0.3467,pass,"221,325,426"
evaluation,R339:budget30_fixed_positive_session_recall,R339 claim_summary.budget30,0.3230,pass,"221,325,426"
evaluation,R339:budget30_raw_action_positive_session_recall,R339 claim_summary.budget30,0.5147,pass,"223,325,426"
evaluation,R339:budget30_raw_action_session_work,R339 claim_summary.budget30,0.9103,pass,"223,325,426"
evaluation,R339:top5_operation_work_lt_flat_tasks,R339 claim_summary.paired_checks,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R339:budget30_session_recall_gt_fixed_tasks,R339 claim_summary.paired_checks,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R339:budget30_session_work_lt_raw_action_tasks,R339 claim_summary.paired_checks,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R339:csv_default_median_top5_operation_work,R339 policy-sequence-summary.csv,0.0937,pass,"15,103,105,111,216,259,325,410"
evaluation,R339:csv_default_median_top5_positive_session_recall,R339 policy-sequence-summary.csv,0.2629,pass,"217,426"
evaluation,R339:csv_default_median_budget30_positive_operation_recall,R339 policy-sequence-summary.csv,0.3900,pass,"219,325,420"
evaluation,R339:csv_default_median_budget30_positive_session_recall,R339 policy-sequence-summary.csv,0.4669,pass,"220,325,426"
evaluation,R339:csv_default_median_budget30_session_work,R339 policy-sequence-summary.csv,0.3467,pass,"221,325,426"
evaluation,R339:csv_budget30_session_recall_wins_vs_fixed,R339 default-sequence-comparisons.csv,6/6,pass,"15,85,99,100,101,103,105,106"
evaluation,R339:csv_budget30_session_work_wins_vs_raw_action,R339 default-sequence-comparisons.csv,5/6,pass,"15,53,54,71,99,103,105,109"
evaluation,R340:overall,R340 summary,pass,pass,"14,15,51,148,269,401,402,405"
evaluation,R340:tasks,R340 claim_summary,6,pass,"3,4,12,13,15,32,41,42"
evaluation,R340:visible_policies,R340 claim_summary,15,pass,"12,13,15,163,193,325,378,382"
evaluation,R340:objectives,R340 claim_summary,8,pass,"12,13,14,15,32,33,73,85"
evaluation,R340:total_decisions,R340 claim_summary,96,pass,"109,123,125,229,230,231,232,233"
evaluation,R340:exact_best_decisions,R340 claim_summary,31,pass,"112,140,142,146,148,151,173,230"
evaluation,R340:within_tolerance_decisions,R340 claim_summary,62,pass,"13,217,230,325,403,426,427,471"
evaluation,R340:selected_beats_width,R340 claim_summary,72,pass,"12,231,325,351,362,378,390,411"
evaluation,R340:selected_beats_fixed,R340 claim_summary,69,pass,"15,159,220,231,325,353,368,380"
evaluation,R340:selected_beats_flat,R340 claim_summary,41,pass,"13,100,106,232,239,325,354,368"
evaluation,R340:operation_stack_selected,R340 claim_summary,16,pass,"13,101,109,113,204,218,233,325"
evaluation,R340:leave_task_decisions,R340 claim_summary.leave_task,48,pass,"106,107,108,109,110,247,248,254"
evaluation,R340:leave_task_within_tolerance,R340 claim_summary.leave_task,32,pass,"12,14,15,36,40,43,44,47"
evaluation,R340:leave_dataset_decisions,R340 claim_summary.leave_dataset,48,pass,"106,107,108,109,110,247,248,254"
evaluation,R340:leave_dataset_within_tolerance,R340 claim_summary.leave_dataset,30,pass,"12,15,39,50,79,91,99,101"
evaluation,R340:decision_rows,R340 transfer-decisions.csv,96,pass,"109,123,125,229,230,231,232,233"
evaluation,R340:objective_rows,R340 objective-transfer-summary.csv,16,pass,"13,101,109,113,204,218,233,325"
evaluation,R340:selected_policy_visible_rows,R340 transfer-decisions.csv + R320 policy-scores.csv,96/96,pass,"237,238"
evaluation,R340:best_policy_visible_rows,R340 transfer-decisions.csv + R320 policy-scores.csv,96/96,pass,"237,238"
evaluation,R340:selected_policy_no_oracle_or_label_drilldown,R340 transfer-decisions.csv,96/96,pass,"237,238"
evaluation,R340:best_policy_no_oracle_or_label_drilldown,R340 transfer-decisions.csv,96/96,pass,"237,238"
evaluation,R340:leave_task_excludes_target_task,R340 transfer-decisions.csv,96/96,pass,"237,238"
evaluation,R340:leave_dataset_excludes_target_dataset,R340 transfer-decisions.csv + R320 policy-scores.csv,96/96,pass,"237,238"
evaluation,R341:overall,R341 CSV-derived invariants,R341,pass,"100,106,239,325,425,428,432,435"
evaluation,R341:tasks,R341 objective-mechanism-attribution.csv,6 tasks,pass,"100,106,325,428,432,435"
evaluation,R341:objective_rows,R341 objective-mechanism-attribution.csv,36 objective rows,pass,"100,106,325,428,432,435"
evaluation,R341:objective_best_policy_visible_rows,R341 objective-mechanism-attribution.csv + R320 policy-scores.csv,36/36 best policies visible,pass,428
evaluation,R341:objective_best_policy_non_oracle_rows,R341 objective-mechanism-attribution.csv,36/36 best policies non-oracle,pass,428
evaluation,R341:actionable_objective_rows,R341 objective-mechanism-attribution.csv,36/36 objective rows have optimization actions,pass,"325,428"
evaluation,R341:nondefault_best_objective_rows,R341 objective-mechanism-attribution.csv,27/36 best visible policies are non-default,pass,"325,428"
evaluation,R341:transfer_decisions,R341 transfer-error-attribution.csv,96 transfer decisions,pass,428
evaluation,R341:transfer_misses,R341 transfer-error-attribution.csv,34/96 transfer decisions,pass,428
evaluation,R341:transfer_misses_with_view_change,R341 transfer-error-attribution.csv,32/34 misses change view,pass,428
evaluation,R341:transfer_misses_with_ranker_change,R341 transfer-error-attribution.csv,26/34 change ranker,pass,428
evaluation,R341:high_regret_transfer_misses,R341 transfer-error-attribution.csv,29/34 high-regret misses,pass,"325,428"
evaluation,R341:stack_depth_tradeoff_tasks,R341 objective-mechanism-attribution.csv,stack-depth signals on 6/6,pass,428
evaluation,R341:transfer_policy_signal_tasks,R341 objective-mechanism-attribution.csv,transfer-policy signals on 6/6,pass,428
evaluation,R341:critical_rank_feature_tasks,R341 objective-mechanism-attribution.csv,critical features on 4/6,pass,428
evaluation,R341:misleading_feature_tasks,R341 objective-mechanism-attribution.csv,misleading features on 2/6,pass,428
evaluation,R341:tasks_with_three_or_more_mechanism_labels,R341 objective-mechanism-attribution.csv,three or more mechanism labels on 6/6,pass,428
evaluation,R342:overall,R342 upstream-source-derived invariants,R342,pass,"12,78,322,325,327,425,429,430"
evaluation,R342:tasks,R342 source_paths -> R324 report/summary/specs/Rust JSON,6 tasks,pass,"325,429,430,519"
evaluation,R342:profile_spec_variants,R342 source_paths -> R324 report/summary/specs/Rust JSON,12 profile-spec variants,pass,"429,519"
evaluation,R342:composition_variants,R342 source_paths -> R324 profile specs,12/12 compose,pass,429
evaluation,R342:prompt_session_free_variants,R342 source_paths -> R324 Rust JSON,12/12 prompt/session-free,pass,429
evaluation,R342:rule_score_rank_policy_variants,R342 source_paths -> R324 Rust JSON,rank_mode=rule-score,pass,"429,519"
evaluation,R342:ap_improves_vs_width_variants,R342 source_paths -> R324 summary,9/12 variants,pass,"429,519"
evaluation,R342:top5_lift_improves_vs_width_variants,R342 source_paths -> R324 summary,8/12,pass,429
evaluation,R342:first_positive_work_improves_vs_width_variants,R342 source_paths -> R324 summary,10/12,pass,"429,519"
evaluation,R342:tasks_with_ap_improvement_any_depth,R342 source_paths -> R324 summary,5/6,pass,325
evaluation,R342:tasks_with_first_positive_improvement_any_depth,R342 source_paths -> R324 summary,6/6,pass,"325,429,519"
evaluation,R342:tasks_where_coarse_reduces_groups,R342 source_paths -> R324 summary,6/6 tasks,pass,"325,429,519"
evaluation,R342:median_coarse_group_reduction,R342 source_paths -> R324 summary,0.8267,pass,"429,519"
evaluation,R342:tasks_where_depth_choice_changes_objective,R342 source_paths -> R324 summary,3/6 tasks,pass,429
evaluation,R342:best_ap_semantic_depth_tasks,R342 source_paths -> R324 summary,semantic 4 / coarse 2,pass,"429,519"
evaluation,R342:best_ap_coarse_depth_tasks,R342 source_paths -> R324 summary,semantic 4 / coarse 2,pass,"429,519"
evaluation,R342:committed_variant_csv_matches_sources,R342 CSV compared with upstream-derived rows,12/12,pass,"12,322,429,430,519"
evaluation,R342:committed_task_csv_matches_sources,R342 CSV compared with upstream-derived rows,6/6,pass,"325,429,519"
evaluation,R344:overall,R344 report summary,R344,pass,"88,99,100,325,425,431,432,512"
evaluation,R344:tasks,R344 report summary,6 tasks,pass,"100,325,431,432"
evaluation,R344:metric_comparisons,R344 report summary,50 baseline-metric comparisons,pass,"325,431,512"
evaluation,R344:task_metric_delta_rows,R344 report summary,300 task-metric deltas,pass,431
evaluation,R344:support_verdicts,R344 report summary,30 support verdicts,pass,"431,512"
evaluation,R344:counterpoint_verdicts,R344 report summary,16 counterpoints,pass,"431,512"
evaluation,R344:mixed_or_weak_verdicts,R344 report summary,4 mixed/weak,pass,"431,512"
evaluation,R344:required_metric_count,R344 report summary,groups,pass,"99,100,325,512"
evaluation,R344:required_groups_metric_present,R344 report summary,groups,pass,"99,100,325,512"
evaluation,R344:metric_summary_rows,R344 metric-summary.csv,50,pass,"325,425,431,512,602"
evaluation,R344:task_delta_rows,R344 task-metric-deltas.csv,300,pass,"325,431"
evaluation,R344:summary_support_verdicts,R344 metric-summary.csv,30 support verdicts,pass,"431,512"
evaluation,R344:summary_counterpoint_verdicts,R344 metric-summary.csv,16 counterpoints,pass,"431,512"
evaluation,R344:summary_mixed_or_weak_verdicts,R344 metric-summary.csv,4 mixed/weak,pass,"431,512"
evaluation,R344:required_metric_groups_in_summary,R344 metric-summary.csv,groups,pass,"99,100,325,512"
evaluation,R344:flat_ap_wins,R344 metric-summary.csv,flat AP 6/6,pass,99
evaluation,R344:flat_budget30_recall_wins,R344 metric-summary.csv,budget30 recall 6/6,pass,99
evaluation,R344:flat_work_to_first_positive_wins,R344 metric-summary.csv,work-to-first-positive 6/6,pass,99
evaluation,R344:fixed_session_top5_f1_wins,R344 metric-summary.csv,top-5 F1 5/6,pass,99
evaluation,R344:fixed_session_group_wins,R344 metric-summary.csv,groups 4/6,pass,99
evaluation,R344:width_ap_wins,R344 metric-summary.csv,width AP 6/6,pass,99
evaluation,R344:width_budget30_recall_wins,R344 metric-summary.csv,budget30 recall 5/6,pass,99
evaluation,R344:flat_ndcg_losses,R344 metric-summary.csv,nDCG,pass,"325,431,512,590"
evaluation,R344:flat_top5_recall_losses,R344 metric-summary.csv,top-k recall,pass,"325,431,512"
evaluation,R345:overall,R345 report summary,R345,pass,"15,100,101,102,325,425,432,433"
evaluation,R345:tasks,R345 report summary,6 tasks,pass,"15,100,101,325,432,433"
evaluation,R345:datasets,R345 report summary,4 datasets,pass,"15,101,432,433"
evaluation,R345:lens_count,R345 report summary,6 diagnostic lenses,pass,"101,325,432"
evaluation,R345:objective_rows,R345 report summary,36 objective rows,pass,"100,101,325,432"
evaluation,R345:task_cards,R345 report summary,6/6 actionable task cards,pass,101
evaluation,R345:actionable_task_cards,R345 report summary,6/6 actionable task cards,pass,101
evaluation,R345:distinct_optimization_actions,R345 report summary,5 distinct optimization actions,pass,101
evaluation,R345:default_operation_stack_best_objectives,R345 report summary,9/36 default operation-stack,pass,101
evaluation,R345:operation_stack_family_best_objectives,R345 report summary,11/36 operation-stack family,pass,101
evaluation,R345:non_operation_stack_best_objectives,R345 report summary,25/36 counterpoints,pass,101
evaluation,R345:tasks_with_three_or_more_best_views,R345 report summary,6/6 tasks need at least three best views,pass,"100,101,325,432"
evaluation,R345:min_distinct_best_views_per_task,R345 report summary,3 best views,pass,101
evaluation,R345:max_distinct_best_views_per_task,R345 report summary,4 best views,pass,101
evaluation,R345:counterpoint_rows,R345 report summary,46 counterpoint rows,pass,"101,432"
evaluation,R345:r344_support_verdicts,R345 report summary,30 support,pass,101
evaluation,R345:r344_counterpoint_verdicts,R345 report summary,16 counterpoints,pass,101
evaluation,R345:r344_mixed_or_weak_verdicts,R345 report summary,4 mixed/weak,pass,101
evaluation,R345:lens_summary_rows,R345 diagnostic-lens-summary.csv,6 diagnostic lenses,pass,"101,325,432"
evaluation,R345:task_lens_card_rows,R345 task-lens-cards.csv,6 tasks,pass,"15,100,101,325,432,433"
evaluation,R345:counterpoint_ledger_rows,R345 counterpoint-ledger.csv,46 counterpoint rows,pass,"101,432"
evaluation,R346:overall,R346 report summary,R346,pass,"102,103,110,254,325,425,433,434"
evaluation,R346:tasks,R346 report summary,6 tasks,pass,"103,325,433,434,437"
evaluation,R346:datasets,R346 report summary,4 datasets,pass,"103,433,434,437"
evaluation,R346:case_groups,R346 report summary,30 case groups,pass,"103,325,433"
evaluation,R346:top_groups_per_task,R346 report summary,top-5,pass,"102,103,325,433,434,437"
evaluation,R346:tasks_with_top1_positive,R346 report summary,5/6 top-1,pass,"103,325"
evaluation,R346:tasks_with_positive_in_top5,R346 report summary,6/6 top-5,pass,"103,325"
evaluation,R346:median_top5_recall,R346 report summary,0.188,pass,"103,325,433"
evaluation,R346:median_top5_precision,R346 report summary,0.1991,pass,"103,433"
evaluation,R346:median_top5_lift,R346 report summary,1.6508,pass,"103,325,433,434"
evaluation,R346:median_top5_work,R346 report summary,0.0937,pass,"103,325,433,434"
evaluation,R346:median_first_positive_work,R346 report summary,0.0378,pass,"103,433"
evaluation,R346:tasks_with_actionable_case_cards,R346 report summary,6/6 actionable case cards,pass,"103,325"
evaluation,R346:tasks_with_counterpoints,R346 report summary,6/6 counterpoints,pass,103
evaluation,R346:tasks_with_three_or_more_best_views,R346 report summary,6/6 tasks need at least three best views,pass,"103,325"
evaluation,R346:min_distinct_best_views_per_task,R346 report summary,3 best views,pass,103
evaluation,R346:max_distinct_best_views_per_task,R346 report summary,4 best views,pass,103
evaluation,R346:task_case_card_rows,R346 task-diagnostic-case-cards.csv,6 tasks,pass,"103,325,433,434,437"
evaluation,R346:top_stack_evidence_rows,R346 top-stack-evidence.csv,30 case groups,pass,"103,325,433"
evaluation,R347:overall,R347 report summary,R347,pass,"104,105,106,110,254,325,425,434"
evaluation,R347:tasks,R347 report summary,6 tasks,pass,"105,106,325,434,435,437"
evaluation,R347:datasets,R347 report summary,4 datasets,pass,"105,434,435,437"
evaluation,R347:visible_views,R347 report summary,5 visible views,pass,"105,434"
evaluation,R347:view_task_rows,R347 report summary,30 view-task rows,pass,"105,434"
evaluation,R347:top_groups_per_view,R347 report summary,top-5 groups,pass,"105,325,434"
evaluation,R347:operation_stack_top5_positive_tasks,R347 report summary,6/6 top-5 positive tasks,pass,"105,325"
evaluation,R347:operation_stack_top1_positive_tasks,R347 report summary,5/6 top-1 positive tasks,pass,"105,325"
evaluation,R347:operation_stack_median_top5_recall,R347 report summary,0.188,pass,"105,325"
evaluation,R347:operation_stack_median_top5_lift,R347 report summary,1.6508,pass,"105,325,434"
evaluation,R347:operation_stack_median_top5_work,R347 report summary,0.0937,pass,"105,325,434"
evaluation,R347:operation_stack_median_first_positive_work,R347 report summary,0.0378,pass,105
evaluation,R347:wins_vs_flat_top5_work,R347 report summary,6/6 wins vs flat top-5 work,pass,105
evaluation,R347:wins_vs_fixed_top5_recall,R347 report summary,5/6 wins vs fixed-session top-5 recall,pass,105
evaluation,R347:wins_vs_fixed_group_count,R347 report summary,4/6 wins vs fixed-session group count,pass,105
evaluation,R347:tasks_with_counterpoints,R347 report summary,6/6 tasks with counterpoints,pass,105
evaluation,R347:view_case_metric_rows,R347 view-case-metrics.csv,30 view-task rows,pass,"105,434"
evaluation,R347:task_baseline_card_rows,R347 task-baseline-contrast-cards.csv,6 task cards,pass,"105,325"
evaluation,R347:baseline_pair_summary_rows,R347 baseline-pair-summary.csv,24 baseline-pair rows,pass,105
evaluation,R347:top_group_contrast_rows,R347 top-group-contrast.csv,124 top-group rows,pass,105
evaluation,R347:flat_top5_work_wins,R347 baseline-pair-summary.csv,6/6 wins vs flat top-5 work,pass,105
evaluation,R347:fixed_session_top5_recall_wins,R347 baseline-pair-summary.csv,5/6 wins vs fixed-session top-5 recall,pass,105
evaluation,R347:fixed_session_group_wins,R347 baseline-pair-summary.csv,4/6 wins vs fixed-session group count,pass,105
evaluation,R347:fixed_session_first_positive_losses,R347 baseline-pair-summary.csv,fixed-session first-positive counterpoint 4/6,pass,105
evaluation,R347:flat_top5_recall_losses,R347 baseline-pair-summary.csv,flat full-work recall counterpoint 6/6,pass,105
evaluation,R348:overall,R348 report summary,R348,pass,"106,107,108,109,110,247,248,254"
evaluation,R348:tasks,R348 report summary,6 tasks,pass,"106,107,109,325,435,437"
evaluation,R348:datasets,R348 report summary,4 datasets,pass,"107,109,435,437"
evaluation,R348:objective_rows,R348 report summary,36 objective rows,pass,"106,107,325,435,437"
evaluation,R348:nondefault_action_rows,R348 report summary,27/36 non-default action rows,pass,107
evaluation,R348:default_best_rows,R348 report summary,9/36 default-best rows,pass,107
evaluation,R348:visible_non_oracle_best_rows,R348 report summary,36/36 visible non-oracle best rows,pass,"107,437"
evaluation,R348:view_change_rows,R348 report summary,25/36 view-change rows,pass,107
evaluation,R348:operation_stack_tuning_rows,R348 report summary,2/36 operation-stack tuning rows,pass,107
evaluation,R348:non_operation_stack_counterpoint_rows,R348 report summary,25/36 non-operation-stack counterpoints,pass,107
evaluation,R348:tasks_with_nondefault_actions,R348 report summary,6/6 tasks with non-default actions,pass,107
evaluation,R348:tasks_with_three_or_more_action_classes,R348 report summary,6/6 tasks with at least three action classes,pass,107
evaluation,R348:tasks_with_case_counterpoints,R348 report summary,6/6 tasks with case counterpoints,pass,107
evaluation,R348:median_gain_over_default,R348 report summary,0.1447,pass,"107,325,435"
