project,path,audit_reason,assigned_type,ok_plus_observed_actions
ActPlane,docs/corpus-evaluated/rohitg00__agentmemory/repo/plugin/scripts/session-end.mjs,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/rohitg00__agentmemory/repo/src/cli/connect/codex-hooks.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/rohitg00__agentmemory/repo/src/functions/audit.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/rohitg00__agentmemory/repo/src/types.ts,docs_path_with_code_extension,code,4
ActPlane,docs/corpus-evaluated/rohitg00__agentmemory/repo/test/codex-connect-hooks.test.ts,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-evaluated/yusufkaraaslan__Skill_Seekers/repo/scripts/check_translation_sync.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/yusufkaraaslan__Skill_Seekers/repo/scripts/run_tests_fast.sh,docs_path_with_code_extension,code,3
ActPlane,docs/corpus-evaluated/yusufkaraaslan__Skill_Seekers/repo/src/skill_seekers/_version.py,docs_path_with_code_extension,code,3
ActPlane,docs/corpus-evaluated/yusufkaraaslan__Skill_Seekers/repo/tests/conftest.py,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-test/Alishahryar1__free-claude-code/s01_use_uv_run/fixtures/task.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/Alishahryar1__free-claude-code/s01_use_uv_run/fixtures/task.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/19/fixtures/task.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/19/fixtures/task.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/s01_private_vulnerability_reporting/fixtures/bin/gh,bench_or_fixture_path,paper/docs,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/s01_private_vulnerability_reporting/fixtures/public_vulnerability_issue.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/s01_private_vulnerability_reporting/fixtures/public_vulnerability_issue.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/s01_private_vulnerability_reporting/fixtures/task.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/NVIDIA__NemoClaw/s01_private_vulnerability_reporting/fixtures/task.sh,docs_path_with_code_extension,code,1
