project,variant,threshold_value,threshold_unit,worktree_id,artifact_id,artifact_key,episode_ordinal,touch_count,mutation_touch_count,first_touch_event_index,last_touch_event_index,first_touch_ts_ms,last_touch_ts_ms,first_mutation_event_index,last_mutation_event_index,active_mutation_span_actions,active_mutation_span_hours,first_path,last_path
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000824,e58fce112c6eagentsight:a00000824,1,1,1,32137,32137,1781772580168,1781772580168,32137,32137,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000825,e58fce112c6eagentsight:a00000825,1,1,1,32161,32161,1781811385625,1781811385625,32161,32161,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000826,e58fce112c6eagentsight:a00000826,1,6,0,32170,32905,1781811411714,1781816953176,,,,,docs/visexp/r225_prompt_span_duration_baseline.py,docs/visexp/r225_prompt_span_duration_baseline.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000827,e58fce112c6eagentsight:a00000827,1,1,1,32227,32227,1781811825271,1781811825271,32227,32227,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000828,e58fce112c6eagentsight:a00000828,1,2,0,32240,32241,1781811948754,1781811948789,,,,,docs/visexp/out/osdi-gate-review-r226.md,docs/visexp/out/osdi-gate-review-r226.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000829,e58fce112c6eagentsight:a00000829,1,4,0,32289,35785,1781812264834,1781862006326,,,,,docs/visexp/out/fresh-clone-agentpprof-r220/pprof-top-r220.txt,docs/visexp/out/fresh-clone-agentpprof-r220/pprof-top-r220.txt
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000830,e58fce112c6eagentsight:a00000830,1,5,0,32293,35789,1781812296823,1781862023933,,,,,docs/visexp/out/fresh-clone-agentpprof-r220/fresh-clone-agentpprof-r220.md,docs/visexp/out/fresh-clone-agentpprof-r220/fresh-clone-agentpprof-r220.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000831,e58fce112c6eagentsight:a00000831,1,1,1,32330,32330,1781812665304,1781812665304,32330,32330,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000832,e58fce112c6eagentsight:a00000832,1,6,0,32344,36726,1781812717569,1781895973739,,,,,docs/visexp/r220_fresh_clone_agentpprof_smoke.py,docs/visexp/r220_fresh_clone_agentpprof_smoke.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000833,e58fce112c6eagentsight:a00000833,1,3,0,32361,32382,1781812760950,1781812976067,,,,,docs/visexp/out/fresh-clone-agentpprof-r220/profiles/files.folded,docs/visexp/out/fresh-clone-agentpprof-r220/profiles/files.folded
