project,worktree_id,interval_type,start_event_id,end_event_id,start_action_rank,end_action_rank,action_length,duration_ms,distinct_sessions,mutation_rows,mutated_artifacts,failed_attempts,observed_unknown_attempts,ending_co_observed_mutation_rows
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1099,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1128,56543,56621,78,645301,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1128,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1181,56621,56674,53,838473,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1181,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1184,56674,56677,3,3849,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1184,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1185,56677,56678,1,6322,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1185,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1189,56678,56682,4,81847,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1189,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1198,56682,56691,9,82969,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1198,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1229,56691,56777,86,426517,2,0,0,1,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1229,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1235,56777,56783,6,76559,1,1,1,1,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1235,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1240,56783,56788,5,41771,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1240,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1241,56788,56789,1,0,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1241,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1242,56789,56790,1,0,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1242,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1245,56790,56793,3,9065,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1245,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1301,56793,56849,56,1988630,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1301,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1302,56849,56850,1,31,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1302,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1304,56850,56852,2,27168,1,1,1,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1304,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1310,56852,56858,6,58979,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1310,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:83,56858,57171,313,263497028,6,34,6,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:83,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:84,57171,57172,1,0,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:84,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:86,57172,57174,2,11217,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:86,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:87,57174,57175,1,56,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:87,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:101,57175,57197,22,92227,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:101,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:103,57197,57199,2,36348,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:103,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:104,57199,57200,1,44,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:104,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:53,57200,57221,21,142768,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:53,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:55,57221,57223,2,11509,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:55,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:64,57223,57242,19,67242,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:64,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:65,57242,57243,1,0,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:65,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:66,57243,57244,1,134,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:66,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:67,57244,57245,1,9111,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:67,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:68,57245,57246,1,5213,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:68,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:70,57246,57252,6,28570,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:70,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:71,57252,57253,1,6441,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:71,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:74,57253,57263,10,15469,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:74,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:162,57263,57305,42,317897,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:162,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:164,57305,57307,2,16826,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:164,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:165,57307,57308,1,4590,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:165,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:166,57308,57309,1,12099,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:166,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:194,57309,57428,119,549085,3,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:194,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:199,57428,57433,5,94395,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:199,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:200,57433,57434,1,4058,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:200,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:201,57434,57435,1,5841,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:201,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:243,57435,57490,55,2094099,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:243,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:248,57490,57496,6,81620,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:248,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:256,57496,57504,8,91106,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:256,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:257,57504,57505,1,4536,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:257,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:314,57505,57566,61,365112,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:314,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:319,57566,57571,5,40863,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:319,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:358,57571,57617,46,536535,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:358,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:359,57617,57618,1,11084,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:359,codex:rollout-2026-06-25T22-18-09-019f025d-2f40-71f0-9451-3db8a39948ad:50,57618,57737,119,1194551,3,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T22-18-09-019f025d-2f40-71f0-9451-3db8a39948ad:50,claude:6adfbde0-886f-47e3-8f11-f784ecc812e1:5,57737,57776,39,271480,4,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,claude:6adfbde0-886f-47e3-8f11-f784ecc812e1:5,claude:6adfbde0-886f-47e3-8f11-f784ecc812e1:16,57776,57796,20,38189,3,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,claude:6adfbde0-886f-47e3-8f11-f784ecc812e1:16,claude:6adfbde0-886f-47e3-8f11-f784ecc812e1:17,57796,57801,5,2602,2,0,0,0,0,0
