population,distribution,project_or_corpus,vendor_or_stratum,observations,fit_status,n_total,xmin,tail_n,tail_fraction,tail_clusters,power_law_alpha,lognormal_mu,lognormal_sigma,ks_power_law,ks_lognormal,log_likelihood_ratio_pl_minus_ln,vuong_z,vuong_p,vuong_q_bh,cluster_bootstrap_lr_ci95_low,cluster_bootstrap_lr_ci95_high,relative_family_unadjusted,preferred_family,optimizer_success,common_xmin1_power_law_alpha,common_xmin1_lognormal_mu,common_xmin1_lognormal_sigma,common_xmin1_log_likelihood_ratio_pl_minus_ln,common_xmin1_cluster_bootstrap_lr_ci95_low,common_xmin1_cluster_bootstrap_lr_ci95_high,common_xmin1_relative_family_unadjusted
local,shell_burst_length,eunomia.dev,codex,1599,fit,1599,9.0,187,0.11694809255784866,23,2.5898118747255623,0.21273441744190816,1.3840643428458976,0.044009619965159286,0.046830597042585104,-1.8637931277730027,-0.8368421627286986,0.40268129419870813,0.7946861221739603,-6.344333861531632,2.4363586153554286,indistinguishable,indistinguishable,True,1.774689812396404,-0.2697717805556999,1.6078332403036948,-64.64300278054314,-139.95315553167652,2.11375193379992,indistinguishable
public,unit_call_count,ideatrail,default/train,64,fit,64,82.0,50,0.78125,50,4.567923781359401,4.481477585126377,0.311477972167001,0.14931948737821354,0.06672667904343832,-3.273757330310585,-1.5524908032916096,0.12054483155820256,0.41074228999238516,-7.4169411312121785,0.9524566295882881,indistinguishable,indistinguishable,True,1.1950860578709523,4.5834551292087875,0.2623404492460503,-163.6313810126151,-173.26332862672504,-151.92703971887593,lognormal
public,unit_call_count,openswe,openhands/minimax_m25,64,fit,64,38.0,56,0.875,56,2.9031926934839847,4.070025167588652,0.3686479752661357,0.17387286728080742,0.08614119680448307,-10.459555461269057,-2.504267805914566,0.012270511660475577,0.1299869331948536,-18.63656554242732,-2.3524357433404615,lognormal,indistinguishable,True,1.2179228485324411,4.050142498376054,0.3919562384313518,-130.89602491923216,-141.66449734007603,-119.11284302994474,lognormal
public,unit_call_count,openswe,openhands/qwen35_122b,64,fit,64,78.0,55,0.859375,55,5.129738248389232,3.898176042895606,0.4586591498423306,0.06824757488556221,0.0587702092937481,-0.8607610557875693,-0.7856433807830592,0.4320764422333021,0.7946861221739603,-3.030189015864046,1.4031571320150746,indistinguishable,indistinguishable,True,1.1965801381246985,4.544746349793058,0.22625771497479466,-172.61618278008058,-183.9762237001793,-158.52932527383055,lognormal
public,unit_call_count,openswe,sweagent/minimax_m25,64,fit,64,58.0,51,0.796875,51,3.240150582452199,4.355993133129162,0.3837327868957526,0.18711439736972707,0.08979065008535314,-6.123246274946078,-2.3432664605150433,0.01911572546983141,0.1299869331948536,-11.124073307401623,-1.063119728093579,lognormal,indistinguishable,True,1.2040103298097333,4.360731420504157,0.3812493268332308,-136.8646600496594,-147.44444555848193,-125.59779333382728,lognormal
public,unit_call_count,openswe,sweagent/qwen35_122b,64,fit,64,125.0,50,0.78125,50,5.786881318581497,4.971311002326244,0.1757992059453486,0.13579205713513182,0.07994984994520787,-6.296589959842586,-2.0935401316075506,0.03630096550966777,0.17631897533267202,-11.987855816216083,-0.06654841152380604,lognormal,indistinguishable,True,1.182011748189171,4.949445969445391,0.20579014188942787,-183.582901275124,-193.43455291729634,-171.5636513819845,lognormal
public,target_access_count,ideatrail,default/train,2206,fit,2206,1.0,2206,1.0,64,2.473262792686845,-12.453749460431926,3.2312057105061704,0.017411715888842272,0.013542993691717742,-6.342013084267864,-4.639030207513057,3.500478916894194e-06,5.95081415872013e-05,-8.957276099984854,-3.558125390237048,lognormal,lognormal,True,2.473262792686845,-12.453749460431926,3.2312057105061704,-6.342013084267864,-8.957276099984854,-3.558125390237048,lognormal
public,target_access_count,openswe,openhands/minimax_m25,1343,fit,1343,9.0,88,0.06552494415487714,45,3.4653126649815555,0.443474876901984,0.9938178001322531,0.03532570764454135,0.034349092872820064,-0.6232004245679743,-0.8086438052094636,0.4187200601863681,0.7946861221739603,-2.0163906120668407,0.9927784566250464,indistinguishable,indistinguishable,True,1.9516847945037552,-0.41742455962309866,1.3877650371719914,-43.18480806880049,-62.24831583074004,-24.042088244471717,lognormal
public,target_access_count,openswe,openhands/qwen35_122b,1771,fit,1771,1.0,1771,1.0,64,1.8973819688255795,-0.6315904879512833,1.5641059842555605,0.05667470393471452,0.011281450167492157,-47.80929614633864,-4.7078077343532705,2.5039510171043174e-06,5.95081415872013e-05,-68.05711989755766,-28.838864505168544,lognormal,lognormal,True,1.8973819688255795,-0.6315904879512833,1.5641059842555605,-47.80929614633864,-68.05711989755766,-28.838864505168544,lognormal
public,target_access_count,openswe,sweagent/minimax_m25,1538,fit,1538,2.0,737,0.47919375812743825,64,2.0820327038627853,-0.48425667399274513,1.5358429721299232,0.0380713269182833,0.03436583111683733,-15.429144671939628,-2.173374411564471,0.029752149104332357,0.1685955115912167,-27.756410901569648,-1.0993403252042295,lognormal,indistinguishable,True,1.9071165684914697,-0.8292658492634625,1.6339706243952707,-34.584188486603196,-58.200749826361125,-12.154662346569484,lognormal
public,target_access_count,openswe,sweagent/qwen35_122b,3478,fit,3478,17.0,118,0.03392754456584244,53,3.4124216620232315,-2.8287342493641603,1.6318468932205765,0.039750525735682385,0.032476476321998904,-0.1759086681560742,-0.34522815625714226,0.7299228528521499,0.829762269554032,-1.2115470261045502,0.7929673991795653,indistinguishable,indistinguishable,True,1.897116782218074,-1.0984291337894905,1.7553495570979367,-66.69740539623217,-90.64376219643735,-42.12705577933077,lognormal
public,shell_burst_length,openswe,openhands/minimax_m25,725,fit,725,8.0,72,0.0993103448275862,43,3.683312346353078,1.3883303190731904,0.6890426626609075,0.07019377479893729,0.0629922001462957,-1.185171612548571,-0.8760264580892143,0.38101565043172636,0.7946861221739603,-3.873713796631251,1.226095724264394,indistinguishable,indistinguishable,True,1.8006553599367834,0.4263450880466352,1.1115559186945652,-70.76534322367407,-90.49166004142641,-50.99015326953803,lognormal
public,shell_burst_length,openswe,openhands/qwen35_122b,1363,fit,1363,9.0,69,0.05062362435803375,42,5.79844624356147,-17.85993383650373,2.067939420096917,0.037536700678274526,0.03960927532067049,0.01970240548207336,0.3453306007277646,0.7298458439810647,0.829762269554032,-0.0845007371263689,0.13350163723673864,indistinguishable,indistinguishable,True,1.8591991639190069,0.40621012616724067,1.0108304354585047,-139.47737354496454,-175.04380059776148,-103.62551195956287,lognormal
public,shell_burst_length,openswe,sweagent/minimax_m25,759,fit,759,10.0,100,0.13175230566534915,48,2.8498792583457777,-0.5515919314845792,1.431864665025156,0.0497709741516128,0.0688480285493297,-0.5601401116029439,-0.7116403371053074,0.4766875219651855,0.7946861221739603,-2.110727740746256,0.9845088646639542,indistinguishable,indistinguishable,True,1.6560341278965844,0.6627753215318899,1.2900515733029245,-86.02417408642546,-114.56163213432943,-55.566287006269384,lognormal
public,shell_burst_length,openswe,sweagent/qwen35_122b,1273,fit,1273,20.0,76,0.05970149253731343,44,3.2551948676920754,1.0941581927194168,1.0891422906721289,0.05247753546232958,0.07329087235472098,-0.5424157752151548,-0.7648289655572109,0.44437339720935176,0.7946861221739603,-2.026745316711032,0.8715451986579809,indistinguishable,indistinguishable,True,1.6591120773186523,0.32132879766889666,1.545499481500096,-91.3683446420271,-113.9221151635681,-67.84967733075017,lognormal
