corpus,stratum,cluster_id,row_id,tool_calls,shell_calls,shell_share,path_calls,path_transitions,local_path_transitions,same_path_transitions,same_module_only_transitions,cross_module_transitions,path_locality_share,module_return_calls,module_return_call_share,path_instances,reused_path_instances,path_reuse_share,path_read_instances,repeated_path_read_instances,repeat_path_read_share,top_path_share,unique_target_paths,top_path_excess,late_path_reread_delta
openswe,sweagent/minimax_m25,intel__intel-device-plugins-for-kubernetes-761,dc98e150-b8dc-44d8-b5e5-d7f1e2c350ab,75,48,0.64,68,67,59,30,29,8,0.8805970149253731,10,0.14705882352941177,125,68,0.544,95,41,0.43157894736842106,0.32,57,0.3024561403508772,0.5082352941176471
openswe,sweagent/minimax_m25,sage__carbon-6907,f5819e41-69e3-4a72-bfce-1a83d09feca7,77,49,0.6363636363636364,42,41,35,7,28,6,0.8536585365853658,4,0.09523809523809523,45,25,0.5555555555555556,27,10,0.37037037037037035,0.15555555555555556,20,0.10555555555555556,0.5416666666666666
openswe,sweagent/minimax_m25,helm__helm-9536,7abe150e-3850-4eb7-aeee-69981b19a9f7,97,79,0.8144329896907216,55,54,46,20,26,8,0.8518518518518519,7,0.12727272727272726,62,43,0.6935483870967742,33,20,0.6060606060606061,0.4032258064516129,19,0.35059422750424446,-0.55
openswe,sweagent/minimax_m25,vuejs__eslint-plugin-vue-647,949e03f4-00cf-4719-99b1-9030e76efd2f,81,54,0.6666666666666666,60,59,40,29,11,19,0.6779661016949152,18,0.3,73,51,0.6986301369863014,40,24,0.6,0.2191780821917808,22,0.17372353673723534,0.5
openswe,sweagent/minimax_m25,amaranth-lang__amaranth-1519,b7ff103d-3312-46bc-91fe-e9be09ea3cfc,35,21,0.6,27,26,15,12,3,11,0.5769230769230769,8,0.2962962962962963,28,19,0.6785714285714286,16,10,0.625,0.32142857142857145,9,0.21031746031746035,-0.0714285714285714
openswe,sweagent/minimax_m25,helm__helm-7381,eada5160-7dac-4f50-92d3-47a09c410b71,63,45,0.7142857142857143,55,54,29,11,18,25,0.5370370370370371,24,0.43636363636363634,64,45,0.703125,33,18,0.5454545454545454,0.234375,19,0.18174342105263158,0.42045454545454547
openswe,sweagent/minimax_m25,softlayer__softlayer-python-2214,d5d95f91-9fd3-4d2f-8c09-7b232e7e6649,40,26,0.65,28,27,14,8,6,13,0.5185185185185185,12,0.42857142857142855,35,20,0.5714285714285714,25,14,0.56,0.22857142857142856,15,0.16190476190476188,0.19999999999999996
openswe,sweagent/minimax_m25,mailgun__mailgun-go-218,99d49b0e-4ada-4868-a53f-045795b7726e,97,70,0.7216494845360825,62,61,61,38,23,0,1.0,7,0.11290322580645161,84,68,0.8095238095238095,36,23,0.6388888888888888,0.2619047619047619,16,0.19940476190476192,0.29999999999999993
openswe,sweagent/minimax_m25,zulip__zulip-terminal-1374,8dc81886-e98e-4e5a-a338-1b85f920547a,85,53,0.6235294117647059,70,69,48,32,16,21,0.6956521739130435,18,0.2571428571428571,86,68,0.7906976744186046,66,52,0.7878787878787878,0.20930232558139536,18,0.1537467700258398,0.3035714285714286
openswe,sweagent/minimax_m25,godot-rust__godot-rust-970,e610fe73-4865-4275-8fc4-7613d6dbad96,71,45,0.6338028169014085,48,47,25,13,12,22,0.5319148936170213,17,0.3541666666666667,56,35,0.625,38,17,0.4473684210526316,0.21428571428571427,21,0.16666666666666666,0.4421052631578947
openswe,sweagent/minimax_m25,aquasecurity__tfsec-1009,ea5f26b8-87af-472c-a79b-cefd56d78130,76,59,0.7763157894736842,57,56,44,22,22,12,0.7857142857142857,18,0.3157894736842105,101,61,0.6039603960396039,75,35,0.4666666666666667,0.1188118811881188,40,0.09381188118811881,0.33333333333333337
openswe,sweagent/minimax_m25,swc-project__swc-6972,a5b48b9a-5c93-4579-968a-22b1ac39c3b6,130,96,0.7384615384615385,75,74,59,22,37,15,0.7972972972972973,13,0.17333333333333334,91,39,0.42857142857142855,88,37,0.42045454545454547,0.13186813186813187,52,0.11263736263736264,0.16869918699186998
openswe,sweagent/minimax_m25,nats-io__nsc-642,d06f584f-9fe0-4243-a5e3-02260f6a452b,63,44,0.6984126984126984,54,53,39,30,9,14,0.7358490566037735,17,0.3148148148148148,75,51,0.68,63,41,0.6507936507936508,0.38666666666666666,24,0.345,0.3585434173669467
openswe,sweagent/minimax_m25,pallets__jinja-1465,b20b6469-a541-4937-a5cb-931b3636e0e1,75,46,0.6133333333333333,59,58,35,26,9,23,0.603448275862069,20,0.3389830508474576,63,52,0.8253968253968254,31,21,0.6774193548387096,0.36507936507936506,11,0.2741702741702742,0.2941176470588235
openswe,sweagent/minimax_m25,pandas-dev__pandas-58245,627780c9-7677-46f8-aa2c-63349c1c8d08,85,70,0.8235294117647058,31,30,14,12,2,16,0.4666666666666667,12,0.3870967741935484,38,26,0.6842105263157895,24,16,0.6666666666666666,0.3684210526315789,12,0.2850877192982456,0.261904761904762
openswe,sweagent/minimax_m25,fatiando__harmonica-205,c88f89e8-b5cf-4259-9a32-6e95a7931574,75,44,0.5866666666666667,46,45,45,20,25,0,1.0,0,0.0,54,37,0.6851851851851852,33,21,0.6363636363636364,0.2222222222222222,17,0.1633986928104575,0.0888888888888889
openswe,sweagent/minimax_m25,robintail__express-zod-api-270,7f1054c9-24f4-41f9-9709-ddddea1dcf09,107,62,0.5794392523364486,75,74,58,50,8,16,0.7837837837837838,15,0.2,89,70,0.7865168539325843,25,12,0.48,0.39325842696629215,19,0.34062684801892373,-0.35294117647058826
openswe,sweagent/minimax_m25,redocly__redocly-cli-713,389ae2f6-1ce0-441e-a447-65ccf3ef58c2,55,36,0.6545454545454545,42,41,26,13,13,15,0.6341463414634146,14,0.3333333333333333,52,29,0.5576923076923077,32,14,0.4375,0.19230769230769232,23,0.1488294314381271,0.7083333333333334
openswe,sweagent/minimax_m25,katex__katex-1796,fd76912f-6638-433f-bab1-329b4f2f71ec,98,72,0.7346938775510204,76,75,40,31,9,35,0.5333333333333333,38,0.5,122,101,0.8278688524590164,54,35,0.6481481481481481,0.2540983606557377,21,0.2064793130366901,0.7
openswe,sweagent/minimax_m25,cloudspannerecosystem__memefish-197,eb267a7f-1e21-4abc-9551-f8657f9738d0,187,164,0.8770053475935828,168,167,121,99,22,46,0.7245508982035929,53,0.31547619047619047,192,159,0.828125,132,103,0.7803030303030303,0.22916666666666666,33,0.19886363636363635,0.22136222910216719
openswe,sweagent/minimax_m25,yt-project__unyt-109,08c06ddd-1134-47bc-92cf-b558f8218531,82,68,0.8292682926829268,31,30,28,20,8,2,0.9333333333333333,1,0.03225806451612903,36,28,0.7777777777777778,20,16,0.8,0.4444444444444444,8,0.3194444444444444,0.30000000000000004
openswe,sweagent/minimax_m25,inovex__scrumlr.io-1709,51456c70-a7b7-42a3-81bb-ca4496509b15,58,45,0.7758620689655172,32,31,23,6,17,8,0.7419354838709677,6,0.1875,38,24,0.631578947368421,23,10,0.43478260869565216,0.2894736842105263,14,0.2180451127819549,0.8333333333333334
openswe,sweagent/minimax_m25,shepmaster__snafu-222,f594c3a9-b688-47ee-95e9-f1d03fac1e7a,72,50,0.6944444444444444,38,37,20,14,6,17,0.5405405405405406,15,0.39473684210526316,54,28,0.5185185185185185,45,19,0.4222222222222222,0.3148148148148148,26,0.27635327635327633,-0.15897435897435896
openswe,sweagent/minimax_m25,pinojs__pino-501,6316c97a-b44e-4c44-9fcc-7c136772f2ec,65,49,0.7538461538461538,41,40,20,15,5,20,0.5,20,0.4878048780487805,99,54,0.5454545454545454,84,41,0.4880952380952381,0.1414141414141414,45,0.11919191919191918,0.038461538461538436
openswe,sweagent/minimax_m25,laravel__framework-45333,f8d4d5e9-81f3-40d1-aec0-7e7f18dfb295,148,85,0.5743243243243243,121,120,75,63,12,45,0.625,45,0.371900826446281,131,116,0.8854961832061069,47,33,0.7021276595744681,0.4198473282442748,15,0.35318066157760813,0.3223443223443223
openswe,sweagent/minimax_m25,fhir__sushi-645,8484b008-bf7f-4d12-b942-59e9e8073cf6,94,71,0.7553191489361702,62,61,47,33,14,14,0.7704918032786885,12,0.1935483870967742,141,111,0.7872340425531915,49,24,0.4897959183673469,0.15602836879432624,30,0.12269503546099292,0.3846153846153846
openswe,sweagent/minimax_m25,census-instrumentation__opencensus-service-119,27a2316f-77e0-4129-9284-8df232860b1f,69,34,0.4927536231884058,56,55,44,26,18,11,0.8,9,0.16071428571428573,63,46,0.7301587301587301,39,22,0.5641025641025641,0.2222222222222222,17,0.1633986928104575,0.0678733031674208
openswe,sweagent/minimax_m25,vazco__uniforms-725,cbe1f997-6bd6-433f-8035-694a54f29cee,38,22,0.5789473684210527,31,30,18,11,7,12,0.6,11,0.3548387096774194,33,25,0.7575757575757576,19,11,0.5789473684210527,0.3939393939393939,8,0.2689393939393939,-0.1964285714285714
openswe,sweagent/minimax_m25,stfc__psyclone-2508,2429b077-60cb-4f65-8011-612519800ead,91,53,0.5824175824175825,72,71,59,43,16,12,0.8309859154929577,12,0.16666666666666666,82,68,0.8292682926829268,52,40,0.7692307692307693,0.2682926829268293,14,0.19686411149825786,0.022727272727272707
openswe,sweagent/minimax_m25,kamilkisiela__graphql-inspector-94,a4e81434-9a7f-4215-8b26-47f253667c19,79,50,0.6329113924050633,62,61,45,17,28,16,0.7377049180327869,14,0.22580645161290322,64,38,0.59375,40,16,0.4,0.234375,26,0.19591346153846154,0.7619047619047619
openswe,sweagent/minimax_m25,spoonlabs__sorald-816,940be1b7-7dae-4ef7-81c8-77d580be1ecd,126,97,0.7698412698412699,86,85,57,24,33,28,0.6705882352941176,38,0.4418604651162791,173,119,0.6878612716763006,137,87,0.635036496350365,0.09248554913294797,54,0.07396703061442945,0.2839974699557242
