id,project,family,template,expected_answer,path_id,witness_hash,question_spec_sha256
agentsight-C3,agentsight,C,C3,0,cc55bff1031d02de,0027fc8d47ab4824ef5593debd004e452e144df51a9356ac61d5fc69094edeba,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C4,agentsight,C,C4,0,cc55bff1031d02de,0027fc8d47ab4824ef5593debd004e452e144df51a9356ac61d5fc69094edeba,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C5,agentsight,C,C5,2,cc55bff1031d02de,0027fc8d47ab4824ef5593debd004e452e144df51a9356ac61d5fc69094edeba,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-D1,agentsight,D,D1,tracked,cc55bff1031d02de,41f667cec3075ac644c4d8cf7f41116683806883b608edc99a353f4de314cbe6,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-D2,agentsight,D,D2,tracked,c71640dc9851c8ab,f966bc707db5c307ceb8065efd15a959df4530b35ff5691153f8f638bcedc69c,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-D3,agentsight,D,D3,tracked,1eb082f2941ac4cc,feae917d3d5354f66fd7a9795f9d620e157d5acae1e1ba0bed1b9a689529e668,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-D4,agentsight,D,D4,tracked,1ef4b70610d9f469,ee80c10ee3776197c52b4ab9be48035e66ec29df701942612154b4b908412447,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-D5,agentsight,D,D5,absent,7d1f76431994dd71,fff921682170b4a80e1aca64ec12d92617a97840695174330aeb7bad7c62d3da,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-A1,ActPlane,A,A1,104,f6d0292686b9f5fe,1ad9fa2c0cba14eecd8abd01a871446ee634dd333f032cfa266a40212d1dadcb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-A2,ActPlane,A,A2,161,f6d0292686b9f5fe,1ad9fa2c0cba14eecd8abd01a871446ee634dd333f032cfa266a40212d1dadcb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-A3,ActPlane,A,A3,595,f6d0292686b9f5fe,1ad9fa2c0cba14eecd8abd01a871446ee634dd333f032cfa266a40212d1dadcb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-A4,ActPlane,A,A4,3,f6d0292686b9f5fe,1ad9fa2c0cba14eecd8abd01a871446ee634dd333f032cfa266a40212d1dadcb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-A5,ActPlane,A,A5,0,f6d0292686b9f5fe,1ad9fa2c0cba14eecd8abd01a871446ee634dd333f032cfa266a40212d1dadcb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-B1,ActPlane,B,B1,75,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-B2,ActPlane,B,B2,22,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-B3,ActPlane,B,B3,53,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-B4,ActPlane,B,B4,read,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-B5,ActPlane,B,B5,2,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-C1,ActPlane,C,C1,1,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-C2,ActPlane,C,C2,1,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-C3,ActPlane,C,C3,0,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-C4,ActPlane,C,C4,1,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-C5,ActPlane,C,C5,4,f6d0292686b9f5fe,24ff3b550d2e28054e6650d63aba321332cd622700a5afffc80374839bcbd8f1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-D1,ActPlane,D,D1,untracked,f6d0292686b9f5fe,e92d37d2fba28414bdfbabc18858cebbcb797fd3cb4b30153d36f0117ded96c1,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-D2,ActPlane,D,D2,untracked,219c7ef93f51e55d,294884a4fda255d654f6aa4047b4bcfdbabaa56f58e17e68b7dc033b0541d6b3,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-D3,ActPlane,D,D3,untracked,c730f136a10103bd,a4630856fc547cef9cd8ed6c4f82763c8c5bf554b83d90577828fd8da843f692,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-D4,ActPlane,D,D4,untracked,88dfc6442c620b69,dbd383223ef1e9305ff3f94e4bba61c77503316948407f8c71010c59b722cbc4,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
ActPlane-D5,ActPlane,D,D5,absent,929164defd6f007a,bbb165c288447fae1b204d3dd9a821675e0f1b8277bfcbfb9d6060bc18845206,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-A1,bpf-developer-tutorial,A,A1,214,908fe439dd93695a,5038f2355f148ae0644ae8ff1db050eef61eb2a4507380543f901eeb429a15b9,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-A2,bpf-developer-tutorial,A,A2,33,908fe439dd93695a,5038f2355f148ae0644ae8ff1db050eef61eb2a4507380543f901eeb429a15b9,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-A3,bpf-developer-tutorial,A,A3,42,908fe439dd93695a,5038f2355f148ae0644ae8ff1db050eef61eb2a4507380543f901eeb429a15b9,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-A4,bpf-developer-tutorial,A,A4,5,908fe439dd93695a,5038f2355f148ae0644ae8ff1db050eef61eb2a4507380543f901eeb429a15b9,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-A5,bpf-developer-tutorial,A,A5,0,908fe439dd93695a,5038f2355f148ae0644ae8ff1db050eef61eb2a4507380543f901eeb429a15b9,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-B1,bpf-developer-tutorial,B,B1,14,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-B2,bpf-developer-tutorial,B,B2,5,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-B3,bpf-developer-tutorial,B,B3,9,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-B4,bpf-developer-tutorial,B,B4,mutate,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-B5,bpf-developer-tutorial,B,B5,1,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-C1,bpf-developer-tutorial,C,C1,6,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-C2,bpf-developer-tutorial,C,C2,7,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-C3,bpf-developer-tutorial,C,C3,0,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-C4,bpf-developer-tutorial,C,C4,0,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-C5,bpf-developer-tutorial,C,C5,17,908fe439dd93695a,221b8292d54241ef98f4fee1950a153f63426968c7a2faba573158d153ebb57b,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-D1,bpf-developer-tutorial,D,D1,tracked,908fe439dd93695a,b2feedc665c3500b2de0478a75e05394d3aebafaa32609ef491042eb88c7455c,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-D2,bpf-developer-tutorial,D,D2,tracked,1db833f5e665e6c9,6fe418e628d936f754479fcf360c4dfa5905419f01afe8597e726e77912bd16e,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-D3,bpf-developer-tutorial,D,D3,tracked,b6e75397c6716745,1288d748428467f52132e9bf5dc53cc45b64b917ac362bf4d25ee4954c8e79dd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-D4,bpf-developer-tutorial,D,D4,tracked,ea503161e3722876,b8cd6cd0e6724bdf1a3b44b0ad04050ea06315673c475adcd75859f507fbf238,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
bpf-developer-tutorial-D5,bpf-developer-tutorial,D,D5,tracked,38bdd75dada2d0c9,c9a1f0788b339dd4dc1ec78814d3fea0ebea493b07b6ae89539344a38b9da706,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-A1,eunomia.dev,A,A1,225,7a5ba838e8b1764f,2da1204a3e2d522466096325b265552c4d6cae4d2899cace78c6a599603b3888,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-A2,eunomia.dev,A,A2,268,7a5ba838e8b1764f,2da1204a3e2d522466096325b265552c4d6cae4d2899cace78c6a599603b3888,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-A3,eunomia.dev,A,A3,102,7a5ba838e8b1764f,2da1204a3e2d522466096325b265552c4d6cae4d2899cace78c6a599603b3888,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-A4,eunomia.dev,A,A4,4,7a5ba838e8b1764f,2da1204a3e2d522466096325b265552c4d6cae4d2899cace78c6a599603b3888,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-A5,eunomia.dev,A,A5,3,7a5ba838e8b1764f,2da1204a3e2d522466096325b265552c4d6cae4d2899cace78c6a599603b3888,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-B1,eunomia.dev,B,B1,43,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-B2,eunomia.dev,B,B2,32,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-B3,eunomia.dev,B,B3,11,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-B4,eunomia.dev,B,B4,read,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-B5,eunomia.dev,B,B5,2,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-C1,eunomia.dev,C,C1,1,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-C2,eunomia.dev,C,C2,5,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-C3,eunomia.dev,C,C3,1,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-C4,eunomia.dev,C,C4,2,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-C5,eunomia.dev,C,C5,17,7a5ba838e8b1764f,c094d990392b716117e7d96542cadf8747f6c2e5d703142f3ebef8438305eedd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-D1,eunomia.dev,D,D1,tracked,7a5ba838e8b1764f,71331d09b6ab90eed227a9e5d2555e343c4c9654c705c03709ab8f547ba35d19,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-D2,eunomia.dev,D,D2,tracked,47288d06caa3b73c,2a0bdd1061d9f77d3a65484d4ae80716634fb68c41c5b38686ea2175e66483cd,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-D3,eunomia.dev,D,D3,tracked,7d5b0e063f6bcdfb,9a121d8cfa0be12eeb904376bb631f6642e3e6ce463cd80a60bdb5c44f0bfd8f,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-D4,eunomia.dev,D,D4,tracked,eb9a53faaa1fe345,5c9e1b89e53c6bf5a15702b41535c5cd4d9a2051b794760ae4f1767e6573dca8,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
eunomia.dev-D5,eunomia.dev,D,D5,untracked,c7c825e48b7d248c,aecd676d6efecec244c1bdb30d72bac37c95ce6225f97bde11ff519ed8768871,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-A1,agentskill-observability-paper,A,A1,165,d751a6709420e788,03b88c7adfb54b89527cefcb3ab4c74621eb03c57b26ad80d57f1f7ad6f28cdf,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-A2,agentskill-observability-paper,A,A2,234,d751a6709420e788,03b88c7adfb54b89527cefcb3ab4c74621eb03c57b26ad80d57f1f7ad6f28cdf,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-A3,agentskill-observability-paper,A,A3,0,d751a6709420e788,03b88c7adfb54b89527cefcb3ab4c74621eb03c57b26ad80d57f1f7ad6f28cdf,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-A4,agentskill-observability-paper,A,A4,3,d751a6709420e788,03b88c7adfb54b89527cefcb3ab4c74621eb03c57b26ad80d57f1f7ad6f28cdf,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-A5,agentskill-observability-paper,A,A5,0,d751a6709420e788,03b88c7adfb54b89527cefcb3ab4c74621eb03c57b26ad80d57f1f7ad6f28cdf,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-B1,agentskill-observability-paper,B,B1,237,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-B2,agentskill-observability-paper,B,B2,125,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-B3,agentskill-observability-paper,B,B3,112,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-B4,agentskill-observability-paper,B,B4,read,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-B5,agentskill-observability-paper,B,B5,10,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-C1,agentskill-observability-paper,C,C1,8,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-C2,agentskill-observability-paper,C,C2,9,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-C3,agentskill-observability-paper,C,C3,1,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-C4,agentskill-observability-paper,C,C4,11,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-C5,agentskill-observability-paper,C,C5,2,d751a6709420e788,5a4c21583be453e4ce53c8e8d9f1a48d89a919b8bb9ebced997543c81698d9bb,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-D1,agentskill-observability-paper,D,D1,tracked,d751a6709420e788,3a191707139ca872656d05f934a7d2bcf33f42735283f242fec174027d8dedc4,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-D2,agentskill-observability-paper,D,D2,tracked,94e7645bc7b3b826,ca0da462dc9a7e52ddc86ff903e15b092932b16f5fabb0963f539b971cf1e5e4,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-D3,agentskill-observability-paper,D,D3,tracked,79449961faaaee14,d959aa08458013d4d8bf4710afa7acf6d196d138fb7d1b068e03e0fe56d8e10a,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-D4,agentskill-observability-paper,D,D4,tracked,085813b2d5280e57,9a7483f38ace602db0ce1ffc9b07e7fd2d9ba3ef20c35e20df9913ab3995f083,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentskill-observability-paper-D5,agentskill-observability-paper,D,D5,tracked,0d3f0c27fa0e3dde,66ab9c26f6c0acfba30f9f8645c0905e10a9e77251f6fc28b6342a21b336e395,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-A1,academic-writing-skills,A,A1,112,cb30f02762578fe2,a88ac2cb686acab3c09d32f92da2b7aa060acd6509fb4ac27f0e6a7bd341d372,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-A2,academic-writing-skills,A,A2,357,cb30f02762578fe2,a88ac2cb686acab3c09d32f92da2b7aa060acd6509fb4ac27f0e6a7bd341d372,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-A3,academic-writing-skills,A,A3,0,cb30f02762578fe2,a88ac2cb686acab3c09d32f92da2b7aa060acd6509fb4ac27f0e6a7bd341d372,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-A4,academic-writing-skills,A,A4,5,cb30f02762578fe2,a88ac2cb686acab3c09d32f92da2b7aa060acd6509fb4ac27f0e6a7bd341d372,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-A5,academic-writing-skills,A,A5,0,cb30f02762578fe2,a88ac2cb686acab3c09d32f92da2b7aa060acd6509fb4ac27f0e6a7bd341d372,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-B1,academic-writing-skills,B,B1,90,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-B2,academic-writing-skills,B,B2,16,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-B3,academic-writing-skills,B,B3,74,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-B4,academic-writing-skills,B,B4,read,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-B5,academic-writing-skills,B,B5,6,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-C1,academic-writing-skills,C,C1,6,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-C2,academic-writing-skills,C,C2,9,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-C3,academic-writing-skills,C,C3,2,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-C4,academic-writing-skills,C,C4,11,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-C5,academic-writing-skills,C,C5,23,cb30f02762578fe2,aeb52d5d69f811f80a3e3931fb3c625d29eb37037972fdea0d4f4fef27a40806,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
academic-writing-skills-D1,academic-writing-skills,D,D1,tracked,cb30f02762578fe2,2cfb773cfd2b4dff0015b6690af2cc788b592ed82d377742f5fe2885c821dac3,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
