project,vendor,metric,n,positive_share,negative_share,zero_share
ActPlane,codex,tool_shell_share_late_minus_early,51,0.23529411764705882,0.43137254901960786,0.3333333333333333
ActPlane,codex,tool_network_share_late_minus_early,51,0.0,0.0196078431372549,0.9803921568627451
ActPlane,codex,tool_plan_share_late_minus_early,51,0.058823529411764705,0.3137254901960784,0.6274509803921569
ActPlane,codex,tool_subagent_share_late_minus_early,51,0.09803921568627451,0.0392156862745098,0.8627450980392157
ActPlane,codex,tool_tool_share_late_minus_early,51,0.39215686274509803,0.11764705882352941,0.49019607843137253
academic-writing-skills,claude,repeat_read_share_late_minus_early,5,0.4,0.4,0.2
academic-writing-skills,claude,reread_call_share_late_minus_early,5,0.6,0.2,0.2
academic-writing-skills,claude,failure_share_late_minus_early,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
academic-writing-skills,claude,resolved_failure_share_late_minus_early,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
academic-writing-skills,claude,observed_share_late_minus_early,7,0.0,0.14285714285714285,0.8571428571428571
academic-writing-skills,claude,recent_reedit_share_late_minus_early,4,0.25,0.5,0.25
academic-writing-skills,claude,edit_calls_per_path_late_minus_early,3,0.3333333333333333,0.6666666666666666,0.0
academic-writing-skills,claude,paths_per_edit_call_late_minus_early,4,0.0,0.0,1.0
academic-writing-skills,claude,patch_lines_median_late_minus_early,0,,,
academic-writing-skills,claude,edit_share_late_minus_early,7,0.7142857142857143,0.14285714285714285,0.14285714285714285
academic-writing-skills,claude,tool_read_share_late_minus_early,7,0.2857142857142857,0.7142857142857143,0.0
academic-writing-skills,claude,tool_edit_share_late_minus_early,7,0.5714285714285714,0.2857142857142857,0.14285714285714285
academic-writing-skills,claude,tool_shell_share_late_minus_early,7,0.5714285714285714,0.42857142857142855,0.0
academic-writing-skills,claude,tool_network_share_late_minus_early,7,0.0,0.14285714285714285,0.8571428571428571
academic-writing-skills,claude,tool_plan_share_late_minus_early,7,0.0,0.0,1.0
academic-writing-skills,claude,tool_subagent_share_late_minus_early,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
academic-writing-skills,claude,tool_tool_share_late_minus_early,7,0.0,0.2857142857142857,0.7142857142857143
agentsight,claude,repeat_read_share_late_minus_early,28,0.75,0.14285714285714285,0.10714285714285714
agentsight,claude,reread_call_share_late_minus_early,28,0.75,0.14285714285714285,0.10714285714285714
agentsight,claude,failure_share_late_minus_early,35,0.37142857142857144,0.34285714285714286,0.2857142857142857
agentsight,claude,resolved_failure_share_late_minus_early,35,0.37142857142857144,0.34285714285714286,0.2857142857142857
agentsight,claude,observed_share_late_minus_early,35,0.05714285714285714,0.0,0.9428571428571428
agentsight,claude,recent_reedit_share_late_minus_early,13,0.7692307692307693,0.15384615384615385,0.07692307692307693
agentsight,claude,edit_calls_per_path_late_minus_early,12,0.5833333333333334,0.3333333333333333,0.08333333333333333
agentsight,claude,paths_per_edit_call_late_minus_early,13,0.15384615384615385,0.3076923076923077,0.5384615384615384
agentsight,claude,patch_lines_median_late_minus_early,0,,,
agentsight,claude,edit_share_late_minus_early,35,0.5428571428571428,0.14285714285714285,0.3142857142857143
agentsight,claude,tool_read_share_late_minus_early,35,0.2857142857142857,0.5714285714285714,0.14285714285714285
agentsight,claude,tool_edit_share_late_minus_early,35,0.5142857142857142,0.14285714285714285,0.34285714285714286
agentsight,claude,tool_shell_share_late_minus_early,35,0.45714285714285713,0.3142857142857143,0.22857142857142856
agentsight,claude,tool_network_share_late_minus_early,35,0.14285714285714285,0.11428571428571428,0.7428571428571429
agentsight,claude,tool_plan_share_late_minus_early,35,0.0,0.0,1.0
agentsight,claude,tool_subagent_share_late_minus_early,35,0.11428571428571428,0.4,0.4857142857142857
agentsight,claude,tool_tool_share_late_minus_early,35,0.08571428571428572,0.2857142857142857,0.6285714285714286
agentsight,codex,repeat_read_share_late_minus_early,41,0.7804878048780488,0.21951219512195122,0.0
agentsight,codex,reread_call_share_late_minus_early,41,0.8048780487804879,0.1951219512195122,0.0
agentsight,codex,failure_share_late_minus_early,52,0.6730769230769231,0.15384615384615385,0.17307692307692307
agentsight,codex,resolved_failure_share_late_minus_early,52,0.6538461538461539,0.17307692307692307,0.17307692307692307
agentsight,codex,observed_share_late_minus_early,52,0.5576923076923077,0.34615384615384615,0.09615384615384616
agentsight,codex,recent_reedit_share_late_minus_early,23,0.5217391304347826,0.391304347826087,0.08695652173913043
agentsight,codex,edit_calls_per_path_late_minus_early,20,0.55,0.45,0.0
agentsight,codex,paths_per_edit_call_late_minus_early,23,0.17391304347826086,0.6086956521739131,0.21739130434782608
agentsight,codex,patch_lines_median_late_minus_early,23,0.34782608695652173,0.6086956521739131,0.043478260869565216
agentsight,codex,edit_share_late_minus_early,52,0.3269230769230769,0.3076923076923077,0.36538461538461536
agentsight,codex,tool_read_share_late_minus_early,52,0.0,0.0,1.0
agentsight,codex,tool_edit_share_late_minus_early,52,0.3269230769230769,0.3076923076923077,0.36538461538461536
agentsight,codex,tool_shell_share_late_minus_early,52,0.34615384615384615,0.5576923076923077,0.09615384615384616
agentsight,codex,tool_network_share_late_minus_early,52,0.0,0.057692307692307696,0.9423076923076923
agentsight,codex,tool_plan_share_late_minus_early,52,0.1346153846153846,0.2692307692307692,0.5961538461538461
agentsight,codex,tool_subagent_share_late_minus_early,52,0.23076923076923078,0.07692307692307693,0.6923076923076923
agentsight,codex,tool_tool_share_late_minus_early,52,0.5192307692307693,0.1346153846153846,0.34615384615384615
agentskill-observability-paper,claude,repeat_read_share_late_minus_early,4,0.75,0.25,0.0
agentskill-observability-paper,claude,reread_call_share_late_minus_early,4,0.75,0.25,0.0
agentskill-observability-paper,claude,failure_share_late_minus_early,4,0.25,0.5,0.25
agentskill-observability-paper,claude,resolved_failure_share_late_minus_early,4,0.25,0.5,0.25
agentskill-observability-paper,claude,observed_share_late_minus_early,4,0.0,0.0,1.0
agentskill-observability-paper,claude,recent_reedit_share_late_minus_early,4,0.25,0.75,0.0
agentskill-observability-paper,claude,edit_calls_per_path_late_minus_early,4,0.75,0.25,0.0
agentskill-observability-paper,claude,paths_per_edit_call_late_minus_early,4,0.0,0.5,0.5
agentskill-observability-paper,claude,patch_lines_median_late_minus_early,0,,,
agentskill-observability-paper,claude,edit_share_late_minus_early,4,1.0,0.0,0.0
agentskill-observability-paper,claude,tool_read_share_late_minus_early,4,0.5,0.5,0.0
agentskill-observability-paper,claude,tool_edit_share_late_minus_early,4,1.0,0.0,0.0
agentskill-observability-paper,claude,tool_shell_share_late_minus_early,4,0.75,0.25,0.0
agentskill-observability-paper,claude,tool_network_share_late_minus_early,4,0.0,0.75,0.25
agentskill-observability-paper,claude,tool_plan_share_late_minus_early,4,0.0,0.0,1.0
agentskill-observability-paper,claude,tool_subagent_share_late_minus_early,4,0.0,0.75,0.25
agentskill-observability-paper,claude,tool_tool_share_late_minus_early,4,0.25,0.75,0.0
bpf-developer-tutorial,claude,repeat_read_share_late_minus_early,7,1.0,0.0,0.0
bpf-developer-tutorial,claude,reread_call_share_late_minus_early,7,1.0,0.0,0.0
bpf-developer-tutorial,claude,failure_share_late_minus_early,10,0.4,0.2,0.4
bpf-developer-tutorial,claude,resolved_failure_share_late_minus_early,10,0.4,0.2,0.4
bpf-developer-tutorial,claude,observed_share_late_minus_early,10,0.0,0.0,1.0
bpf-developer-tutorial,claude,recent_reedit_share_late_minus_early,5,0.4,0.6,0.0
bpf-developer-tutorial,claude,edit_calls_per_path_late_minus_early,5,0.2,0.8,0.0
bpf-developer-tutorial,claude,paths_per_edit_call_late_minus_early,5,0.0,0.0,1.0
bpf-developer-tutorial,claude,patch_lines_median_late_minus_early,0,,,
bpf-developer-tutorial,claude,edit_share_late_minus_early,10,0.6,0.3,0.1
bpf-developer-tutorial,claude,tool_read_share_late_minus_early,10,0.0,1.0,0.0
bpf-developer-tutorial,claude,tool_edit_share_late_minus_early,10,0.6,0.3,0.1
bpf-developer-tutorial,claude,tool_shell_share_late_minus_early,10,0.8,0.2,0.0
bpf-developer-tutorial,claude,tool_network_share_late_minus_early,10,0.2,0.0,0.8
bpf-developer-tutorial,claude,tool_plan_share_late_minus_early,10,0.0,0.0,1.0
bpf-developer-tutorial,claude,tool_subagent_share_late_minus_early,10,0.0,0.3,0.7
bpf-developer-tutorial,claude,tool_tool_share_late_minus_early,10,0.1,0.1,0.8
bpf-developer-tutorial,codex,repeat_read_share_late_minus_early,3,0.6666666666666666,0.0,0.3333333333333333
bpf-developer-tutorial,codex,reread_call_share_late_minus_early,3,0.6666666666666666,0.0,0.3333333333333333
bpf-developer-tutorial,codex,failure_share_late_minus_early,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
bpf-developer-tutorial,codex,resolved_failure_share_late_minus_early,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
bpf-developer-tutorial,codex,observed_share_late_minus_early,3,1.0,0.0,0.0
bpf-developer-tutorial,codex,recent_reedit_share_late_minus_early,1,1.0,0.0,0.0
bpf-developer-tutorial,codex,edit_calls_per_path_late_minus_early,1,1.0,0.0,0.0
bpf-developer-tutorial,codex,paths_per_edit_call_late_minus_early,1,0.0,1.0,0.0
bpf-developer-tutorial,codex,patch_lines_median_late_minus_early,1,0.0,1.0,0.0
bpf-developer-tutorial,codex,edit_share_late_minus_early,3,0.3333333333333333,0.0,0.6666666666666666
bpf-developer-tutorial,codex,tool_read_share_late_minus_early,3,0.0,0.0,1.0
bpf-developer-tutorial,codex,tool_edit_share_late_minus_early,3,0.3333333333333333,0.0,0.6666666666666666
bpf-developer-tutorial,codex,tool_shell_share_late_minus_early,3,0.0,1.0,0.0
bpf-developer-tutorial,codex,tool_network_share_late_minus_early,3,0.0,0.0,1.0
bpf-developer-tutorial,codex,tool_plan_share_late_minus_early,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
bpf-developer-tutorial,codex,tool_subagent_share_late_minus_early,3,0.0,0.6666666666666666,0.3333333333333333
bpf-developer-tutorial,codex,tool_tool_share_late_minus_early,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
eunomia-dev,claude,repeat_read_share_late_minus_early,5,0.6,0.4,0.0
eunomia-dev,claude,reread_call_share_late_minus_early,5,0.6,0.4,0.0
eunomia-dev,claude,failure_share_late_minus_early,10,0.2,0.5,0.3
eunomia-dev,claude,resolved_failure_share_late_minus_early,10,0.2,0.5,0.3
eunomia-dev,claude,observed_share_late_minus_early,10,0.0,0.1,0.9
eunomia-dev,claude,recent_reedit_share_late_minus_early,5,0.6,0.2,0.2
eunomia-dev,claude,edit_calls_per_path_late_minus_early,4,0.5,0.5,0.0
eunomia-dev,claude,paths_per_edit_call_late_minus_early,5,0.2,0.2,0.6
eunomia-dev,claude,patch_lines_median_late_minus_early,0,,,
eunomia-dev,claude,edit_share_late_minus_early,10,0.5,0.4,0.1
eunomia-dev,claude,tool_read_share_late_minus_early,10,0.2,0.8,0.0
eunomia-dev,claude,tool_edit_share_late_minus_early,10,0.5,0.4,0.1
eunomia-dev,claude,tool_shell_share_late_minus_early,10,0.7,0.3,0.0
eunomia-dev,claude,tool_network_share_late_minus_early,10,0.2,0.3,0.5
eunomia-dev,claude,tool_plan_share_late_minus_early,10,0.0,0.0,1.0
eunomia-dev,claude,tool_subagent_share_late_minus_early,10,0.2,0.5,0.3
eunomia-dev,claude,tool_tool_share_late_minus_early,10,0.1,0.1,0.8
eunomia-dev,codex,repeat_read_share_late_minus_early,18,0.7777777777777778,0.16666666666666666,0.05555555555555555
eunomia-dev,codex,reread_call_share_late_minus_early,18,0.7777777777777778,0.16666666666666666,0.05555555555555555
eunomia-dev,codex,failure_share_late_minus_early,21,0.38095238095238093,0.3333333333333333,0.2857142857142857
eunomia-dev,codex,resolved_failure_share_late_minus_early,21,0.5238095238095238,0.23809523809523808,0.23809523809523808
eunomia-dev,codex,observed_share_late_minus_early,21,0.5714285714285714,0.2857142857142857,0.14285714285714285
eunomia-dev,codex,recent_reedit_share_late_minus_early,6,0.3333333333333333,0.5,0.16666666666666666
eunomia-dev,codex,edit_calls_per_path_late_minus_early,6,0.3333333333333333,0.6666666666666666,0.0
eunomia-dev,codex,paths_per_edit_call_late_minus_early,6,0.16666666666666666,0.3333333333333333,0.5
eunomia-dev,codex,patch_lines_median_late_minus_early,6,0.5,0.5,0.0
eunomia-dev,codex,edit_share_late_minus_early,21,0.09523809523809523,0.19047619047619047,0.7142857142857143
eunomia-dev,codex,tool_read_share_late_minus_early,21,0.0,0.0,1.0
eunomia-dev,codex,tool_edit_share_late_minus_early,21,0.09523809523809523,0.19047619047619047,0.7142857142857143
eunomia-dev,codex,tool_shell_share_late_minus_early,21,0.2857142857142857,0.5714285714285714,0.14285714285714285
eunomia-dev,codex,tool_network_share_late_minus_early,21,0.0,0.047619047619047616,0.9523809523809523
eunomia-dev,codex,tool_plan_share_late_minus_early,21,0.09523809523809523,0.23809523809523808,0.6666666666666666
eunomia-dev,codex,tool_subagent_share_late_minus_early,21,0.23809523809523808,0.09523809523809523,0.6666666666666666
eunomia-dev,codex,tool_tool_share_late_minus_early,21,0.5238095238095238,0.14285714285714285,0.3333333333333333
