project,vendor,n_prefix,metric,n,q25,median,q75,p90,mean,n_units
agentsight,gemini,10,broad_share,2,0.225,0.25,0.275,0.29,0.25,2
agentsight,gemini,10,instruction_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,10,root_readme_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,10,git_strict_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,10,prior_reread_share,2,0.125,0.15000000000000002,0.17500000000000002,0.19,0.15000000000000002,2
agentsight,gemini,10,prior_mutation_reread_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,10,orientation_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,20,narrow_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,20,extended_share,2,0.11126373626373626,0.15109890109890112,0.19093406593406595,0.21483516483516485,0.15109890109890112,2
agentsight,gemini,20,broad_share,2,0.18406593406593408,0.22527472527472528,0.2664835164835165,0.29120879120879123,0.22527472527472528,2
agentsight,gemini,20,instruction_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,20,root_readme_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,20,git_strict_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,20,prior_reread_share,2,0.11126373626373626,0.15109890109890112,0.19093406593406595,0.21483516483516485,0.15109890109890112,2
agentsight,gemini,20,prior_mutation_reread_share,2,0.0,0.0,0.0,0.0,0.0,2
agentsight,gemini,20,orientation_share,2,0.0,0.0,0.0,0.0,0.0,2
agentskill-observability-paper,claude,5,narrow_share,8,0.0,0.0,0.0,0.11999999999999994,0.05,8
agentskill-observability-paper,claude,5,extended_share,8,0.15000000000000002,0.2,0.45,0.6599999999999999,0.3,8
agentskill-observability-paper,claude,5,broad_share,8,0.4,0.5,0.65,0.8,0.525,8
agentskill-observability-paper,claude,5,instruction_share,8,0.0,0.0,0.0,0.0,0.0,8
agentskill-observability-paper,claude,5,root_readme_share,8,0.0,0.0,0.0,0.0,0.0,8
agentskill-observability-paper,claude,5,git_strict_share,8,0.0,0.0,0.0,0.11999999999999994,0.05,8
agentskill-observability-paper,claude,5,prior_reread_share,8,0.0,0.2,0.3,0.6599999999999999,0.25,8
agentskill-observability-paper,claude,5,prior_mutation_reread_share,8,0.0,0.2,0.3,0.6599999999999999,0.25,8
agentskill-observability-paper,claude,5,orientation_share,8,0.0,0.1,0.4,0.45999999999999996,0.2,8
agentskill-observability-paper,claude,10,narrow_share,8,0.0,0.0,0.0,0.05999999999999997,0.025,8
agentskill-observability-paper,claude,10,extended_share,8,0.07500000000000001,0.15000000000000002,0.42500000000000004,0.53,0.23750000000000002,8
agentskill-observability-paper,claude,10,broad_share,8,0.2875,0.4,0.5,0.53,0.39375,8
agentskill-observability-paper,claude,10,instruction_share,8,0.0,0.0,0.0,0.0,0.0,8
agentskill-observability-paper,claude,10,root_readme_share,8,0.0,0.0,0.0,0.0,0.0,8
agentskill-observability-paper,claude,10,git_strict_share,8,0.0,0.0,0.0,0.05999999999999997,0.025,8
agentskill-observability-paper,claude,10,prior_reread_share,8,0.0,0.1,0.42500000000000004,0.53,0.21250000000000002,8
agentskill-observability-paper,claude,10,prior_mutation_reread_share,8,0.0,0.1,0.42500000000000004,0.53,0.21250000000000002,8
agentskill-observability-paper,claude,10,orientation_share,8,0.0,0.15000000000000002,0.2625,0.3,0.14375,8
agentskill-observability-paper,claude,20,narrow_share,8,0.0,0.0,0.0,0.029999999999999985,0.0125,8
agentskill-observability-paper,claude,20,extended_share,8,0.07500000000000001,0.20394736842105263,0.37272727272727274,0.42,0.21727472089314195,8
agentskill-observability-paper,claude,20,broad_share,8,0.25,0.36602870813397126,0.4,0.42,0.33109051036682613,8
agentskill-observability-paper,claude,20,instruction_share,8,0.0,0.0,0.0,0.0,0.0,8
agentskill-observability-paper,claude,20,root_readme_share,8,0.0,0.0,0.0,0.0,0.0,8
agentskill-observability-paper,claude,20,git_strict_share,8,0.0,0.0,0.0,0.029999999999999985,0.0125,8
agentskill-observability-paper,claude,20,prior_reread_share,8,0.0,0.20394736842105263,0.37272727272727274,0.42,0.20477472089314197,8
agentskill-observability-paper,claude,20,prior_mutation_reread_share,8,0.0,0.20394736842105263,0.37272727272727274,0.42,0.20477472089314197,8
agentskill-observability-paper,claude,20,orientation_share,8,0.0,0.125,0.15197368421052632,0.18552631578947365,0.10098684210526315,8
bpf-developer-tutorial,claude,5,narrow_share,31,0.0,0.0,0.0,0.2,0.04032258064516129,31
bpf-developer-tutorial,claude,5,extended_share,31,0.0,0.2,0.5,0.6666666666666666,0.2779569892473118,31
bpf-developer-tutorial,claude,5,broad_share,31,0.0,0.5,0.7333333333333334,1.0,0.43118279569892476,31
bpf-developer-tutorial,claude,5,instruction_share,31,0.0,0.0,0.0,0.0,0.0,31
bpf-developer-tutorial,claude,5,root_readme_share,31,0.0,0.0,0.0,0.0,0.0,31
bpf-developer-tutorial,claude,5,git_strict_share,31,0.0,0.0,0.0,0.2,0.04032258064516129,31
bpf-developer-tutorial,claude,5,prior_reread_share,31,0.0,0.0,0.45,0.6666666666666666,0.23763440860215052,31
bpf-developer-tutorial,claude,5,prior_mutation_reread_share,31,0.0,0.0,0.0,0.4,0.09892473118279571,31
bpf-developer-tutorial,claude,5,orientation_share,31,0.0,0.0,0.0,0.0,0.025806451612903226,31
bpf-developer-tutorial,claude,10,narrow_share,31,0.0,0.0,0.0,0.1,0.024193548387096774,31
bpf-developer-tutorial,claude,10,extended_share,31,0.1,0.2,0.45,0.6666666666666666,0.27634408602150545,31
bpf-developer-tutorial,claude,10,broad_share,31,0.2,0.4,0.6666666666666666,0.9,0.4231182795698925,31
bpf-developer-tutorial,claude,10,instruction_share,31,0.0,0.0,0.0,0.0,0.0,31
bpf-developer-tutorial,claude,10,root_readme_share,31,0.0,0.0,0.0,0.0,0.0,31
bpf-developer-tutorial,claude,10,git_strict_share,31,0.0,0.0,0.0,0.1,0.024193548387096774,31
bpf-developer-tutorial,claude,10,prior_reread_share,31,0.0,0.2,0.45,0.6666666666666666,0.25215053763440864,31
bpf-developer-tutorial,claude,10,prior_mutation_reread_share,31,0.0,0.0,0.13333333333333333,0.3333333333333333,0.09408602150537634,31
bpf-developer-tutorial,claude,10,orientation_share,31,0.0,0.0,0.0,0.1,0.025806451612903222,31
bpf-developer-tutorial,claude,20,narrow_share,31,0.0,0.0,0.0,0.1111111111111111,0.03112765370829887,31
bpf-developer-tutorial,claude,20,extended_share,31,0.12045454545454545,0.2222222222222222,0.3592105263157894,0.5,0.2553940871428138,31
bpf-developer-tutorial,claude,20,broad_share,31,0.2,0.3,0.5,0.8333333333333334,0.3921017013546724,31
bpf-developer-tutorial,claude,20,instruction_share,31,0.0,0.0,0.0,0.0,0.0,31
bpf-developer-tutorial,claude,20,root_readme_share,31,0.0,0.0,0.0,0.0,0.0,31
bpf-developer-tutorial,claude,20,git_strict_share,31,0.0,0.0,0.0,0.1111111111111111,0.03112765370829887,31
bpf-developer-tutorial,claude,20,prior_reread_share,31,0.025,0.2,0.3592105263157894,0.5,0.2242664334345149,31
bpf-developer-tutorial,claude,20,prior_mutation_reread_share,31,0.0,0.0,0.13333333333333333,0.3333333333333333,0.10610948191593352,31
bpf-developer-tutorial,claude,20,orientation_share,31,0.0,0.0,0.05,0.10526315789473684,0.0308901342008303,31
bpf-developer-tutorial,codex,5,narrow_share,3,0.2,0.4,0.4,0.4,0.26666666666666666,3
bpf-developer-tutorial,codex,5,extended_share,3,0.30000000000000004,0.4,0.4,0.4,0.3333333333333333,3
bpf-developer-tutorial,codex,5,broad_share,3,0.30000000000000004,0.4,0.6000000000000001,0.7200000000000001,0.4666666666666666,3
bpf-developer-tutorial,codex,5,instruction_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,5,root_readme_share,3,0.0,0.0,0.1,0.16000000000000003,0.06666666666666667,3
bpf-developer-tutorial,codex,5,git_strict_share,3,0.2,0.4,0.4,0.4,0.26666666666666666,3
bpf-developer-tutorial,codex,5,prior_reread_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,5,prior_mutation_reread_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,5,orientation_share,3,0.2,0.2,0.4,0.52,0.3333333333333333,3
bpf-developer-tutorial,codex,10,narrow_share,3,0.1,0.2,0.25,0.28,0.16666666666666666,3
bpf-developer-tutorial,codex,10,extended_share,3,0.2,0.3,0.35,0.38,0.26666666666666666,3
bpf-developer-tutorial,codex,10,broad_share,3,0.35,0.4,0.45,0.48,0.39999999999999997,3
bpf-developer-tutorial,codex,10,instruction_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,10,root_readme_share,3,0.05,0.1,0.15000000000000002,0.18000000000000002,0.10000000000000002,3
bpf-developer-tutorial,codex,10,git_strict_share,3,0.1,0.2,0.25,0.28,0.16666666666666666,3
bpf-developer-tutorial,codex,10,prior_reread_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,10,prior_mutation_reread_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,10,orientation_share,3,0.2,0.3,0.3,0.3,0.2333333333333333,3
bpf-developer-tutorial,codex,20,narrow_share,3,0.1,0.2,0.325,0.4,0.21666666666666667,3
bpf-developer-tutorial,codex,20,extended_share,3,0.175,0.3,0.375,0.42000000000000004,0.26666666666666666,3
bpf-developer-tutorial,codex,20,broad_share,3,0.35,0.35,0.4,0.43,0.3833333333333333,3
bpf-developer-tutorial,codex,20,instruction_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,20,root_readme_share,3,0.025,0.05,0.07500000000000001,0.09000000000000001,0.05000000000000001,3
bpf-developer-tutorial,codex,20,git_strict_share,3,0.1,0.2,0.325,0.4,0.21666666666666667,3
bpf-developer-tutorial,codex,20,prior_reread_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,20,prior_mutation_reread_share,3,0.0,0.0,0.0,0.0,0.0,3
bpf-developer-tutorial,codex,20,orientation_share,3,0.15,0.25,0.275,0.29,0.20000000000000004,3
bpf-developer-tutorial,gemini,5,narrow_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,extended_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,broad_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,instruction_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,root_readme_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,git_strict_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,prior_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,prior_mutation_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,5,orientation_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,narrow_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,extended_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,broad_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,instruction_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,root_readme_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,git_strict_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,prior_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,prior_mutation_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,10,orientation_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,narrow_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,extended_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,broad_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,instruction_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,root_readme_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,git_strict_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,prior_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,prior_mutation_reread_share,1,0.0,0.0,0.0,0.0,0.0,1
bpf-developer-tutorial,gemini,20,orientation_share,1,0.0,0.0,0.0,0.0,0.0,1
eunomia-dev,claude,5,narrow_share,24,0.0,0.0,0.0,0.2,0.05833333333333334,24
eunomia-dev,claude,5,extended_share,24,0.0,0.1,0.2,0.4,0.16874999999999998,24
eunomia-dev,claude,5,broad_share,24,0.2,0.4,0.6,0.8,0.4291666666666667,24
eunomia-dev,claude,5,instruction_share,24,0.0,0.0,0.0,0.0,0.0,24
eunomia-dev,claude,5,root_readme_share,24,0.0,0.0,0.0,0.0,0.0,24
eunomia-dev,claude,5,git_strict_share,24,0.0,0.0,0.0,0.2,0.05833333333333334,24
eunomia-dev,claude,5,prior_reread_share,24,0.0,0.0,0.2,0.23499999999999996,0.11041666666666666,24
eunomia-dev,claude,5,prior_mutation_reread_share,24,0.0,0.0,0.0,0.0,0.0,24
