project,vendor,path,strict_kind,broad_kind,strict_class,broad_class,reads,writes,accesses,write_read_ratio,written_with_zero_reads,write_revisit_share,h50_eligible_writes
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/auto-research-orchestrator/references/bootstrap-research-project.md,skill,skill,bookkeeping,bookkeeping,21,14,35,0.6666666666666666,False,0.7142857142857143,14
agentsight,codex,skills/agent-interaction-insights/references/report-shapes.md,skill,skill,bookkeeping,bookkeeping,18,16,34,0.8888888888888888,False,0.8125,16
eunomia-dev,codex,.agents/skills/blog-writer/SKILL.md,skill,skill,bookkeeping,bookkeeping,18,16,34,0.8888888888888888,False,0.125,16
eunomia-dev,codex,/home/yunwei37/workspace/eunomia.dev/.agents/skills/blog-writer/SKILL.md,skill,skill,bookkeeping,bookkeeping,18,16,34,0.8888888888888888,False,0.125,16
agentsight,codex,/home/yunwei37/.codex/plugins/cache/openai-curated-remote/github/0.1.8-2841cf9749ae/skills/github/SKILL.md,skill,skill,bookkeeping,bookkeeping,34,0,34,0.0,False,,0
agentsight,codex,docs/tmp/build-and-evaluate/step-0050-20260720T022249-0700/experiment-001/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,15,18,33,1.2,False,0.5555555555555556,18
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/iter-review-critique/references/research-taste.md,skill,skill,bookkeeping,bookkeeping,29,4,33,0.13793103448275862,False,1.0,4
agentsight,codex,/home/yunwei37/.codex/skills/osdi-experiment-design/references/evaluation-rubric.md,skill,skill,bookkeeping,bookkeeping,33,0,33,0.0,False,,0
agentsight,claude,/home/yunwei37/.claude/skills/check-paper-citations/scripts/verify_bib.py,skill,skill,bookkeeping,bookkeeping,10,21,31,2.1,False,0.14285714285714285,21
agentsight,codex,docs/design/papers/agentsight-task-grounded-system-effects-osdi-draft.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,10,20,30,2.0,False,1.0,20
ActPlane,codex,CLAUDE.md,instruction,instruction,bookkeeping,bookkeeping,16,14,30,0.875,False,0.35714285714285715,14
academic-writing-skills,claude,/home/yunwei37/.claude/skills/iter-refine-writing/SKILL.md,skill,skill,bookkeeping,bookkeeping,2,27,29,13.5,False,0.0,12
ActPlane,codex,docs/tmp/cli-ux-artifact-plan.zh.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,16,13,29,0.8125,False,0.6666666666666666,12
agentskill-observability-paper,claude,/home/yunwei37/.claude/skills/iter-refine-ideas/references/system-design-reasoning.md,skill,skill,bookkeeping,bookkeeping,11,17,28,1.5454545454545454,False,0.5294117647058824,17
agentsight,claude,docs/skills/examples/interaction-insights-dashboard.html,skill,skill,bookkeeping,bookkeeping,6,21,27,3.5,False,,0
agentsight,codex,docs/tmp/build-and-evaluate/step-0008-20260714T083320-0700/01-experiment-gate/loop-001-rq3-task-phase-action-reuse/plan.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,18,9,27,0.5,False,0.5555555555555556,9
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/AGENTS.md,instruction,instruction,bookkeeping,bookkeeping,26,1,27,0.038461538461538464,False,1.0,1
agentskill-observability-paper,claude,/home/yunwei37/.claude/skills/rewrite-paper-section/references/abstract-intro-structure.md,skill,skill,bookkeeping,bookkeeping,19,7,26,0.3684210526315789,False,1.0,6
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/iter-review-critique/references/ai-ml-review.md,skill,skill,bookkeeping,bookkeeping,23,3,26,0.13043478260869565,False,0.3333333333333333,3
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/evolve-agent-skills/references/failure-taxonomy.md,skill,skill,bookkeeping,bookkeeping,24,2,26,0.08333333333333333,False,1.0,2
agentsight,codex,docs/tmp/cycle-0001-20260711T164850-0700/01-experiment-gate/loop-rq2-01/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,15,10,25,0.6666666666666666,False,1.0,10
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/evolve-agent-skills/references/evidence-contract.md,skill,skill,bookkeeping,bookkeeping,23,2,25,0.08695652173913043,False,1.0,2
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/iter-review-critique/references/systems-review.md,skill,skill,bookkeeping,bookkeeping,24,1,25,0.041666666666666664,False,0.0,1
agentsight,codex,docs/tmp/cycle-0002-20260712T201943-0700/01-experiment-gate/loop-rq2-agentprocessbench/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,12,12,24,1.0,False,0.9166666666666666,12
eunomia-dev,claude,.claude/skills/blog-writing-style/SKILL.md,skill,skill,bookkeeping,bookkeeping,15,9,24,0.6,False,0.3333333333333333,6
eunomia-dev,claude,/home/yunwei37/workspace/eunomia.dev/.claude/skills/blog-writing-style/SKILL.md,skill,skill,bookkeeping,bookkeeping,15,9,24,0.6,False,0.3333333333333333,6
agentsight,codex,skills/agentsight-system-friction/references/operational-improvement-classes.md,skill,skill,bookkeeping,bookkeeping,16,8,24,0.5,False,0.8571428571428571,7
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/research-experiment-design/references/technique-catalog.md,skill,skill,bookkeeping,bookkeeping,21,3,24,0.14285714285714285,False,1.0,3
eunomia-dev,claude,draft/seo-geo-plan.zh.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,2,21,23,10.5,False,0.047619047619047616,21
agentsight,claude,/home/yunwei37/.claude/skills/check-terminology-infoflow/SKILL.md,skill,skill,bookkeeping,bookkeeping,10,13,23,1.3,False,0.6153846153846154,13
agentsight,codex,docs/design/production-observability/REFACTOR_PLAN.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,12,11,23,0.9166666666666666,False,0.3,10
agentsight,codex,skills/agentsight-system-friction/references/example-patterns.md,skill,skill,bookkeeping,bookkeeping,16,7,23,0.4375,False,0.5,6
agentsight,codex,docs/tmp/cycle-0002-20260712T201943-0700/01-experiment-gate/loop-rq2-toolsafe/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,18,5,23,0.2777777777777778,False,0.8,5
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/iter-review-critique/references/cross-domain-review.md,skill,skill,bookkeeping,bookkeeping,22,1,23,0.045454545454545456,False,0.0,1
agentsight,codex,/home/yunwei37/.codex/skills/audit-paper-consistency/SKILL.md,skill,skill,bookkeeping,bookkeeping,23,0,23,0.0,False,,0
eunomia-dev,claude,/home/yunwei37/workspace/eunomia.dev/draft/seo-geo-plan.zh.md,task_plan_status,task_plan_status,bookkeeping,bookkeeping,1,21,22,21.0,False,0.0,21
ActPlane,claude,/tmp/academic-writing-skills/skills/paper-logic/SKILL.md,skill,skill,bookkeeping,bookkeeping,9,13,22,1.4444444444444444,False,1.0,13
agentsight,codex,docs/tmp/cycle-0002-20260712T201943-0700/01-experiment-gate/loop-rq2-agentnet/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,15,7,22,0.4666666666666667,False,0.7142857142857143,7
agentsight,codex,docs/tmp/cycle-0001-20260711T164850-0700/01-experiment-gate/loop-rq2-00/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,17,5,22,0.29411764705882354,False,1.0,5
agentsight,codex,docs/tmp/build-and-evaluate/step-0036-20260717T041400-0700/01-experiment-gate/experiment-001/experiment-plan.md,experiment_status,experiment_status,bookkeeping,bookkeeping,18,4,22,0.2222222222222222,False,1.0,4
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/evolve-agent-skills/references/promotion-protocol.md,skill,skill,bookkeeping,bookkeeping,21,1,22,0.047619047619047616,False,1.0,1
agentsight,claude,/home/yunwei37/.claude/skills/iter-refine-writing/references/common-pitfalls.md,skill,skill,bookkeeping,bookkeeping,22,0,22,0.0,False,,0
agentsight,codex,/home/yunwei37/workspace/my-paper-work/academic-writing-skills/skills/paper-review/references/whole-paper-review.md,skill,skill,bookkeeping,bookkeeping,22,0,22,0.0,False,,0
academic-writing-skills,claude,skills/auto-research-orchestrator/references/bootstrap-research-project.md,skill,skill,bookkeeping,bookkeeping,5,16,21,3.2,False,0.36363636363636365,11
eunomia-dev,codex,.claude/skills/blog-writer/SKILL.md,skill,skill,bookkeeping,bookkeeping,7,14,21,2.0,False,0.5714285714285714,14
