task,dataset,stack_kind,policy,policy_kind,uses_r325_feedback,drop_features,groups,ap,delta_ap_vs_width,delta_ap_vs_task_weighted,top5_lift,delta_top5_lift_vs_width,first_positive_work,delta_first_positive_work_vs_width,delta_first_positive_work_vs_task_weighted
agentreward_side_effect,agent-reward-bench,semantic,task_equal,task_specific_equal_weight,False,,40,0.3141,-0.052,-0.0806,0.7831,-0.2728,0.0645,-0.1413,0.0
agentreward_side_effect,agent-reward-bench,semantic,global_equal,global_equal_weight,False,,40,0.239,-0.1271,-0.1557,0.4939,-0.562,0.2058,0.0,0.1413
agentreward_side_effect,agent-reward-bench,semantic,r325_repaired,profile_guided_repair,True,,40,0.3947,0.0286,0.0,0.7831,-0.2728,0.0645,-0.1413,0.0
agentreward_side_effect,agent-reward-bench,coarse,width,baseline,False,,16,0.3909,0.0,-0.0343,0.8618,0.0,0.3539,0.0,0.2606
agentreward_side_effect,agent-reward-bench,coarse,task_weighted,task_specific,False,,16,0.4252,0.0343,0.0,1.2381,0.3763,0.0933,-0.2606,0.0
agentreward_side_effect,agent-reward-bench,coarse,task_equal,task_specific_equal_weight,False,,16,0.3601,-0.0308,-0.0651,1.4122,0.5504,0.0933,-0.2606,0.0
agentreward_side_effect,agent-reward-bench,coarse,global_equal,global_equal_weight,False,,16,0.2181,-0.1728,-0.2071,0.0,-0.8618,0.4733,0.1194,0.38
agentreward_side_effect,agent-reward-bench,coarse,r325_repaired,profile_guided_repair,True,,16,0.4252,0.0343,0.0,1.2381,0.3763,0.0933,-0.2606,0.0
satraj_unsafe,satraj-os-safety,semantic,width,baseline,False,,142,0.1,0.0,-0.3772,0.0,0.0,0.6366,0.0,0.6254
satraj_unsafe,satraj-os-safety,semantic,task_weighted,task_specific,False,,142,0.4772,0.3772,0.0,6.2384,6.2384,0.0112,-0.6254,0.0
satraj_unsafe,satraj-os-safety,semantic,task_equal,task_specific_equal_weight,False,,142,0.4897,0.3897,0.0125,6.2384,6.2384,0.0112,-0.6254,0.0
satraj_unsafe,satraj-os-safety,semantic,global_equal,global_equal_weight,False,,142,0.1087,0.0087,-0.3685,0.0,0.0,0.4299,-0.2067,0.4187
satraj_unsafe,satraj-os-safety,semantic,r325_repaired,profile_guided_repair,True,loop-like,142,0.6506,0.5506,0.1734,6.8891,6.8891,0.0112,-0.6254,0.0
satraj_unsafe,satraj-os-safety,coarse,width,baseline,False,,22,0.0995,0.0,-0.5086,0.3386,0.0,0.8261,0.0,0.7881
satraj_unsafe,satraj-os-safety,coarse,task_weighted,task_specific,False,,22,0.6081,0.5086,0.0,2.2936,1.955,0.038,-0.7881,0.0
satraj_unsafe,satraj-os-safety,coarse,task_equal,task_specific_equal_weight,False,,22,0.6084,0.5089,0.0003,2.2936,1.955,0.038,-0.7881,0.0
satraj_unsafe,satraj-os-safety,coarse,global_equal,global_equal_weight,False,,22,0.1338,0.0343,-0.4743,1.1909,0.8523,0.3277,-0.4984,0.2897
satraj_unsafe,satraj-os-safety,coarse,r325_repaired,profile_guided_repair,True,,22,0.6081,0.5086,0.0,2.2936,1.955,0.038,-0.7881,0.0
agentnet_incorrect_step,agentnet,semantic,width,baseline,False,,289,0.0687,0.0,-0.016,1.1075,0.0,0.0821,0.0,0.082
agentnet_incorrect_step,agentnet,semantic,task_weighted,task_specific,False,,289,0.0847,0.016,0.0,3.6085,2.501,0.0001,-0.082,0.0
agentnet_incorrect_step,agentnet,semantic,task_equal,task_specific_equal_weight,False,,289,0.0999,0.0312,0.0152,3.8861,2.7786,0.0001,-0.082,0.0
agentnet_incorrect_step,agentnet,semantic,global_equal,global_equal_weight,False,,289,0.0992,0.0305,0.0145,2.3752,1.2677,0.0135,-0.0686,0.0134
agentnet_incorrect_step,agentnet,semantic,r325_repaired,profile_guided_repair,True,,289,0.0847,0.016,0.0,3.6085,2.501,0.0001,-0.082,0.0
agentnet_incorrect_step,agentnet,coarse,width,baseline,False,,43,0.065,0.0,-0.012,1.1017,0.0,0.133,0.0,0.1207
agentnet_incorrect_step,agentnet,coarse,task_weighted,task_specific,False,,43,0.077,0.012,0.0,2.228,1.1263,0.0123,-0.1207,0.0
agentnet_incorrect_step,agentnet,coarse,task_equal,task_specific_equal_weight,False,,43,0.0842,0.0192,0.0072,2.7005,1.5988,0.0109,-0.1221,-0.0014
agentnet_incorrect_step,agentnet,coarse,global_equal,global_equal_weight,False,,43,0.0867,0.0217,0.0097,1.8974,0.7957,0.0317,-0.1013,0.0194
agentnet_incorrect_step,agentnet,coarse,r325_repaired,profile_guided_repair,True,,43,0.077,0.012,0.0,2.228,1.1263,0.0123,-0.1207,0.0
agentnet_redundant_step,agentnet,semantic,width,baseline,False,,260,0.0863,0.0,-0.0011,1.1159,0.0,0.0948,0.0,0.0897
agentnet_redundant_step,agentnet,semantic,task_weighted,task_specific,False,,260,0.0874,0.0011,0.0,1.9838,0.8679,0.0051,-0.0897,0.0
agentnet_redundant_step,agentnet,semantic,task_equal,task_specific_equal_weight,False,,260,0.0894,0.0031,0.002,1.9838,0.8679,0.0051,-0.0897,0.0
agentnet_redundant_step,agentnet,semantic,global_equal,global_equal_weight,False,,260,0.0942,0.0079,0.0068,1.3163,0.2004,0.0197,-0.0751,0.0146
agentnet_redundant_step,agentnet,semantic,r325_repaired,profile_guided_repair,True,,260,0.0874,0.0011,0.0,1.9838,0.8679,0.0051,-0.0897,0.0
agentnet_redundant_step,agentnet,coarse,width,baseline,False,,42,0.0773,0.0,0.0001,1.101,0.0,0.1738,0.0,0.1275
agentnet_redundant_step,agentnet,coarse,task_weighted,task_specific,False,,42,0.0772,-0.0001,0.0,1.0585,-0.0425,0.0463,-0.1275,0.0
agentnet_redundant_step,agentnet,coarse,task_equal,task_specific_equal_weight,False,,42,0.0768,-0.0005,-0.0004,1.0275,-0.0735,0.0129,-0.1609,-0.0334
agentnet_redundant_step,agentnet,coarse,global_equal,global_equal_weight,False,,42,0.0854,0.0081,0.0082,1.3277,0.2267,0.0463,-0.1275,0.0
agentnet_redundant_step,agentnet,coarse,r325_repaired,profile_guided_repair,True,,42,0.0772,-0.0001,0.0,1.0585,-0.0425,0.0463,-0.1275,0.0
osworld_group_start,osworld-human,semantic,width,baseline,False,,173,0.2218,0.0,0.0004,1.0417,0.0,0.1331,0.0,0.002
osworld_group_start,osworld-human,semantic,task_weighted,task_specific,False,,173,0.2214,-0.0004,0.0,0.914,-0.1277,0.1311,-0.002,0.0
osworld_group_start,osworld-human,semantic,task_equal,task_specific_equal_weight,False,,173,0.2051,-0.0167,-0.0163,0.0,-1.0417,0.0294,-0.1037,-0.1017
osworld_group_start,osworld-human,semantic,global_equal,global_equal_weight,False,,173,0.2045,-0.0173,-0.0169,0.0905,-0.9512,0.0274,-0.1057,-0.1037
osworld_group_start,osworld-human,semantic,r325_repaired,profile_guided_repair,True,input-phase,173,0.2078,-0.014,-0.0136,0.0,-1.0417,0.0294,-0.1037,-0.1017
osworld_group_start,osworld-human,coarse,width,baseline,False,,32,0.1945,0.0,0.0085,1.062,0.0,0.4024,0.0,0.0
osworld_group_start,osworld-human,coarse,task_weighted,task_specific,False,,32,0.186,-0.0085,0.0,0.9161,-0.1459,0.4024,0.0,0.0
osworld_group_start,osworld-human,coarse,task_equal,task_specific_equal_weight,False,,32,0.1988,0.0043,0.0128,1.0383,-0.0237,0.0763,-0.3261,-0.3261
osworld_group_start,osworld-human,coarse,global_equal,global_equal_weight,False,,32,0.2073,0.0128,0.0213,1.0541,-0.0079,0.0145,-0.3879,-0.3879
osworld_group_start,osworld-human,coarse,r325_repaired,profile_guided_repair,True,input-phase,32,0.2085,0.014,0.0225,1.1524,0.0904,0.0763,-0.3261,-0.3261
