stratum_type,project,vendor,sequence_scope,sequence_granularity,n,rank,ngram,count,share,total_ngrams
overall,ALL,ALL,full_stream,hybrid_shell,3,18,shell:search/text → shell:git/repository → shell:search/text,1204,0.006778897584595462,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,19,shell:search/text → shell:search/text → shell:other,1177,0.006626879117166826,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,20,edit → read → edit,1124,0.006328472495918023,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,21,search → search → search,1093,0.006153932774055515,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,22,wait/control → shell:search/text → shell:search/text,1048,0.005900568661674455,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,23,shell:data/analysis/runtime → shell:data/analysis/runtime → shell:data/analysis/runtime,1020,0.005742919880637351,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,24,shell:other → shell:search/text → shell:search/text,985,0.005545858904340972,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,25,shell:search/text → shell:search/text → shell:data/analysis/runtime,984,0.005540228590732504,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,26,shell:filesystem/navigation → shell:search/text → shell:search/text,962,0.005416361691346208,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,27,shell:search/text → edit → shell:search/text,952,0.005360058555261528,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,28,shell:data/analysis/runtime → shell:search/text → shell:search/text,940,0.005292494791959913,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,29,read → edit → edit,920,0.005179888519790552,177610
overall,ALL,ALL,full_stream,hybrid_shell,3,30,read → edit → read,916,0.005157367265356681,177610
overall,ALL,ALL,full_stream,hybrid_shell,4,1,shell:search/text → shell:search/text → shell:search/text → shell:search/text,23158,0.13166707413450987,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,2,shell:git/repository → shell:git/repository → shell:git/repository → shell:git/repository,4912,0.027927656453437796,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,3,edit → edit → edit → edit,4632,0.026335689066026846,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,4,wait/control → wait/control → wait/control → wait/control,3900,0.02217383146750965,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,5,coordination → coordination → coordination → coordination,1926,0.01095046138626246,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,6,shell:other → wait/control → shell:other → wait/control,1880,0.010688923886902088,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,7,read → read → read → read,1835,0.0104330719853539,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,8,shell:search/text → shell:search/text → shell:search/text → edit,1635,0.009295952422917508,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,9,shell:git/repository → shell:search/text → shell:search/text → shell:search/text,1546,0.008789934217633313,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,10,wait/control → shell:other → wait/control → shell:other,1531,0.008704650250450583,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,11,shell:other → shell:other → shell:other → shell:other,1147,0.00652138069057271,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,12,shell:search/text → shell:search/text → edit → edit,1145,0.006510009494948346,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,13,shell:search/text → shell:search/text → shell:search/text → shell:git/repository,972,0.005526401073440867,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,14,shell:search/text → edit → edit → edit,924,0.005253492378456133,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,15,search → search → search → search,882,0.00501469727034449,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,16,shell:git/repository → shell:git/repository → shell:search/text → shell:search/text,836,0.00475315977098412,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,17,shell:git/repository → shell:git/repository → shell:git/repository → shell:search/text,829,0.004713360586298846,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,18,shell:search/text → shell:git/repository → shell:search/text → shell:search/text,804,0.0045712206409942975,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,19,edit → edit → edit → shell:search/text,794,0.004514364662872478,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,20,shell:search/text → shell:search/text → shell:git/repository → shell:search/text,750,0.004264198359136472,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,21,edit → shell:search/text → shell:search/text → shell:search/text,741,0.004213027978826834,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,22,shell:search/text → shell:git/repository → shell:git/repository → shell:git/repository,702,0.003991289664151737,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,23,edit → edit → shell:search/text → shell:search/text,671,0.0038150361319740965,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,24,shell:search/text → shell:search/text → shell:search/text → shell:other,669,0.0038036649363497326,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,25,read → edit → read → edit,662,0.003763865751664459,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,26,shell:search/text → shell:search/text → shell:search/text → shell:data/analysis/runtime,651,0.0037013241757304573,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,27,shell:filesystem/navigation → shell:search/text → shell:search/text → shell:search/text,637,0.0036217258063599095,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,28,shell:other → shell:search/text → shell:search/text → shell:search/text,590,0.0033545027091873574,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,29,shell:search/text → shell:search/text → edit → shell:search/text,567,0.0032237339595071724,175883
overall,ALL,ALL,full_stream,hybrid_shell,4,30,shell:data/analysis/runtime → shell:search/text → shell:search/text → shell:search/text,559,0.0031782491770097165,175883
overall,ALL,ALL,full_stream,tool_family,2,1,shell → shell,101938,0.5682637901719765,179385
overall,ALL,ALL,full_stream,tool_family,2,2,edit → edit,9566,0.053326643810798005,179385
overall,ALL,ALL,full_stream,tool_family,2,3,shell → wait/control,9039,0.050388828497366,179385
overall,ALL,ALL,full_stream,tool_family,2,4,wait/control → shell,8615,0.04802519720154974,179385
overall,ALL,ALL,full_stream,tool_family,2,5,wait/control → wait/control,6751,0.03763413886333863,179385
overall,ALL,ALL,full_stream,tool_family,2,6,edit → shell,6263,0.03491373303230482,179385
overall,ALL,ALL,full_stream,tool_family,2,7,shell → edit,5216,0.02907712462023023,179385
overall,ALL,ALL,full_stream,tool_family,2,8,read → read,4375,0.02438888424338713,179385
overall,ALL,ALL,full_stream,tool_family,2,9,coordination → coordination,3795,0.02115561501797809,179385
overall,ALL,ALL,full_stream,tool_family,2,10,read → edit,2482,0.013836162443905566,179385
overall,ALL,ALL,full_stream,tool_family,2,11,coordination → shell,2381,0.013273127630515372,179385
overall,ALL,ALL,full_stream,tool_family,2,12,shell → coordination,2343,0.013061292750229953,179385
overall,ALL,ALL,full_stream,tool_family,2,13,shell → read,2341,0.013050143546004403,179385
overall,ALL,ALL,full_stream,tool_family,2,14,edit → read,1625,0.009058728433258076,179385
overall,ALL,ALL,full_stream,tool_family,2,15,read → shell,1621,0.00903643002480698,179385
overall,ALL,ALL,full_stream,tool_family,2,16,search → search,1434,0.007993979429718204,179385
overall,ALL,ALL,full_stream,tool_family,2,17,plan/goal → shell,1212,0.006756417760682331,179385
overall,ALL,ALL,full_stream,tool_family,2,18,shell → plan/goal,1084,0.006042868690247233,179385
overall,ALL,ALL,full_stream,tool_family,2,19,fetch → fetch,827,0.004610195947264264,179385
overall,ALL,ALL,full_stream,tool_family,2,20,shell → task,690,0.0038464754578141987,179385
overall,ALL,ALL,full_stream,tool_family,2,21,task → shell,592,0.0033001644507623267,179385
overall,ALL,ALL,full_stream,tool_family,2,22,task → task,483,0.002692532820469939,179385
overall,ALL,ALL,full_stream,tool_family,2,23,search → fetch,309,0.0017225520528472281,179385
overall,ALL,ALL,full_stream,tool_family,2,24,fetch → search,286,0.0015943362042534215,179385
overall,ALL,ALL,full_stream,tool_family,2,25,wait/control → edit,251,0.0013992251303063244,179385
overall,ALL,ALL,full_stream,tool_family,2,26,write → shell,244,0.001360202915516905,179385
overall,ALL,ALL,full_stream,tool_family,2,27,write → write,227,0.0012654346795997436,179385
overall,ALL,ALL,full_stream,tool_family,2,28,task → coordination,207,0.0011539426373442596,179385
overall,ALL,ALL,full_stream,tool_family,2,29,shell → write,197,0.0010981966162165176,179385
overall,ALL,ALL,full_stream,tool_family,2,30,read → write,191,0.0010647490035398724,179385
overall,ALL,ALL,full_stream,tool_family,3,1,shell → shell → shell,86770,0.48854231180676766,177610
overall,ALL,ALL,full_stream,tool_family,3,2,shell → wait/control → shell,6809,0.038336805360058554,177610
overall,ALL,ALL,full_stream,tool_family,3,3,edit → edit → edit,6347,0.03573560047294634,177610
overall,ALL,ALL,full_stream,tool_family,3,4,shell → shell → wait/control,5313,0.02991385620179044,177610
overall,ALL,ALL,full_stream,tool_family,3,5,wait/control → shell → shell,5114,0.02879342379370531,177610
overall,ALL,ALL,full_stream,tool_family,3,6,wait/control → wait/control → wait/control,4812,0.027093069083947974,177610
overall,ALL,ALL,full_stream,tool_family,3,7,edit → shell → shell,4581,0.02579246664039187,177610
overall,ALL,ALL,full_stream,tool_family,3,8,shell → shell → edit,4030,0.022690163842126007,177610
overall,ALL,ALL,full_stream,tool_family,3,9,wait/control → shell → wait/control,3361,0.01892348403806092,177610
overall,ALL,ALL,full_stream,tool_family,3,10,shell → edit → shell,2881,0.016220933505996283,177610
overall,ALL,ALL,full_stream,tool_family,3,11,read → read → read,2676,0.015066719216260346,177610
overall,ALL,ALL,full_stream,tool_family,3,12,coordination → coordination → coordination,2605,0.014666966950059118,177610
overall,ALL,ALL,full_stream,tool_family,3,13,edit → edit → shell,2488,0.014008220257868364,177610
overall,ALL,ALL,full_stream,tool_family,3,14,shell → edit → edit,2123,0.011953155790777546,177610
overall,ALL,ALL,full_stream,tool_family,3,15,shell → wait/control → wait/control,1905,0.010725747424131524,177610
overall,ALL,ALL,full_stream,tool_family,3,16,wait/control → wait/control → shell,1737,0.009779854737908902,177610
overall,ALL,ALL,full_stream,tool_family,3,17,coordination → shell → shell,1569,0.00883396205168628,177610
overall,ALL,ALL,full_stream,tool_family,3,18,shell → shell → coordination,1530,0.008614379820956027,177610
overall,ALL,ALL,full_stream,tool_family,3,19,shell → shell → read,1356,0.007634705253082597,177610
overall,ALL,ALL,full_stream,tool_family,3,20,edit → read → edit,1124,0.006328472495918023,177610
overall,ALL,ALL,full_stream,tool_family,3,21,coordination → coordination → shell,1117,0.006289060300658747,177610
overall,ALL,ALL,full_stream,tool_family,3,22,plan/goal → shell → shell,1108,0.006238387478182535,177610
overall,ALL,ALL,full_stream,tool_family,3,23,shell → coordination → shell,1106,0.006227126850965599,177610
overall,ALL,ALL,full_stream,tool_family,3,24,search → search → search,1093,0.006153932774055515,177610
overall,ALL,ALL,full_stream,tool_family,3,25,shell → shell → plan/goal,1024,0.005765441135071224,177610
overall,ALL,ALL,full_stream,tool_family,3,26,shell → coordination → coordination,1002,0.005641574235684928,177610
overall,ALL,ALL,full_stream,tool_family,3,27,edit → shell → edit,979,0.005512077022690164,177610
overall,ALL,ALL,full_stream,tool_family,3,28,shell → read → read,972,0.005472664827430888,177610
overall,ALL,ALL,full_stream,tool_family,3,29,read → shell → shell,953,0.005365688868869996,177610
overall,ALL,ALL,full_stream,tool_family,3,30,read → edit → edit,920,0.005179888519790552,177610
overall,ALL,ALL,full_stream,tool_family,4,1,shell → shell → shell → shell,75684,0.4303087848171796,175883
overall,ALL,ALL,full_stream,tool_family,4,2,edit → edit → edit → edit,4632,0.026335689066026846,175883
overall,ALL,ALL,full_stream,tool_family,4,3,wait/control → wait/control → wait/control → wait/control,3900,0.02217383146750965,175883
overall,ALL,ALL,full_stream,tool_family,4,4,shell → wait/control → shell → shell,3898,0.022162460271885287,175883
overall,ALL,ALL,full_stream,tool_family,4,5,shell → shell → wait/control → shell,3873,0.022020320326580738,175883
overall,ALL,ALL,full_stream,tool_family,4,6,edit → shell → shell → shell,3516,0.01999056190763178,175883
overall,ALL,ALL,full_stream,tool_family,4,7,shell → shell → shell → edit,3268,0.018580533650210652,175883
overall,ALL,ALL,full_stream,tool_family,4,8,shell → shell → shell → wait/control,3158,0.017955117890870637,175883
overall,ALL,ALL,full_stream,tool_family,4,9,wait/control → shell → shell → shell,3122,0.017750436369632083,175883
overall,ALL,ALL,full_stream,tool_family,4,10,shell → wait/control → shell → wait/control,2813,0.01599358664566786,175883
overall,ALL,ALL,full_stream,tool_family,4,11,wait/control → shell → wait/control → shell,2771,0.015754791537556215,175883
overall,ALL,ALL,full_stream,tool_family,4,12,shell → shell → edit → shell,2284,0.012985905403023601,175883
overall,ALL,ALL,full_stream,tool_family,4,13,shell → edit → shell → shell,2264,0.012872193446779963,175883
overall,ALL,ALL,full_stream,tool_family,4,14,coordination → coordination → coordination → coordination,1926,0.01095046138626246,175883
overall,ALL,ALL,full_stream,tool_family,4,15,wait/control → shell → shell → wait/control,1864,0.010597954321907178,175883
overall,ALL,ALL,full_stream,tool_family,4,16,read → read → read → read,1835,0.0104330719853539,175883
overall,ALL,ALL,full_stream,tool_family,4,17,edit → edit → shell → shell,1800,0.01023407606192753,175883
overall,ALL,ALL,full_stream,tool_family,4,18,shell → shell → edit → edit,1615,0.00918224046667387,175883
overall,ALL,ALL,full_stream,tool_family,4,19,edit → edit → edit → shell,1320,0.00750498911208019,175883
overall,ALL,ALL,full_stream,tool_family,4,20,coordination → shell → shell → shell,1219,0.0069307437330498115,175883
overall,ALL,ALL,full_stream,tool_family,4,21,shell → shell → wait/control → wait/control,1208,0.00686820215711581,175883
overall,ALL,ALL,full_stream,tool_family,4,22,shell → shell → shell → coordination,1178,0.006697634222750351,175883
overall,ALL,ALL,full_stream,tool_family,4,23,wait/control → wait/control → shell → shell,1157,0.00657823666869453,175883
overall,ALL,ALL,full_stream,tool_family,4,24,shell → edit → edit → edit,1113,0.006328070364958523,175883
overall,ALL,ALL,full_stream,tool_family,4,25,plan/goal → shell → shell → shell,1056,0.006003991289664151,175883
overall,ALL,ALL,full_stream,tool_family,4,26,shell → shell → shell → plan/goal,940,0.005344461943451044,175883
overall,ALL,ALL,full_stream,tool_family,4,27,shell → edit → edit → shell,939,0.005338776345638862,175883
overall,ALL,ALL,full_stream,tool_family,4,28,shell → shell → shell → read,897,0.00509998123752722,175883
overall,ALL,ALL,full_stream,tool_family,4,29,shell → wait/control → wait/control → wait/control,897,0.00509998123752722,175883
overall,ALL,ALL,full_stream,tool_family,4,30,shell → wait/control → wait/control → shell,891,0.005065867650654128,175883
overall,ALL,ALL,same_prompt,hybrid_shell,2,1,shell:search/text → shell:search/text,39920,0.23098109102691694,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,2,shell:git/repository → shell:git/repository,10558,0.061089638253060845,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,3,edit → edit,9081,0.0525435693290439,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,4,wait/control → wait/control,6714,0.03884787187261323,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,5,read → read,3974,0.022993959312148496,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,6,coordination → coordination,3787,0.02191195871039415,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,7,shell:other → wait/control,3783,0.02188881431249566,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,8,shell:other → shell:other,3729,0.021576364940866063,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,9,shell:git/repository → shell:search/text,3626,0.02098039669497998,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,10,shell:search/text → edit,3565,0.02062744462702803,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,11,shell:search/text → shell:git/repository,3349,0.01937764714050964,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,12,shell:search/text → shell:other,2908,0.016825977272201264,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,13,edit → shell:search/text,2784,0.016108500937348114,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,14,wait/control → shell:other,2611,0.01510750572823848,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,15,shell:data/analysis/runtime → shell:data/analysis/runtime,2497,0.014447890388131553,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,16,wait/control → shell:search/text,2460,0.014233804707570533,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,17,read → edit,2114,0.012231814289351262,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,18,shell:other → shell:search/text,2077,0.012017728608790242,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,19,shell:data/analysis/runtime → shell:search/text,1922,0.011120883190223807,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,20,shell:search/text → shell:data/analysis/runtime,1853,0.010721642326474877,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,21,shell:filesystem/navigation → shell:search/text,1557,0.009008956881986715,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,22,shell:search/text → shell:filesystem/navigation,1532,0.008864304395121161,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,23,shell:filesystem/navigation → shell:filesystem/navigation,1483,0.008580785520864675,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,24,search → search,1431,0.008279908348184322,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,25,shell:search/text → wait/control,1325,0.007666581803874372,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,26,shell:search/text → read,1292,0.007475640521211841,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,27,shell:data/analysis/runtime → wait/control,1164,0.0067350197884602035,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,28,edit → read,1130,0.006538292406323049,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,29,wait/control → shell:data/analysis/runtime,1105,0.006393639919457495,172828
overall,ALL,ALL,same_prompt,hybrid_shell,2,30,shell:test → shell:test,1069,0.006185340338371097,172828
overall,ALL,ALL,same_prompt,hybrid_shell,3,1,shell:search/text → shell:search/text → shell:search/text,28938,0.17422559378668834,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,2,shell:git/repository → shell:git/repository → shell:git/repository,6683,0.04023600951262832,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,3,edit → edit → edit,5946,0.035798789849182694,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,4,wait/control → wait/control → wait/control,4772,0.02873054577199795,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,5,coordination → coordination → coordination,2597,0.015635630211625878,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,6,read → read → read,2345,0.014118426201872423,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,7,shell:search/text → shell:search/text → edit,2285,0.013757187151931125,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,8,wait/control → shell:other → wait/control,2201,0.013251452482013306,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,9,shell:other → wait/control → shell:other,2109,0.012697552605436648,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,10,shell:git/repository → shell:search/text → shell:search/text,2039,0.012276107047171799,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,11,shell:other → shell:other → shell:other,1921,0.011565670248953911,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,12,shell:search/text → shell:search/text → shell:git/repository,1628,0.009801619555073903,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,13,shell:search/text → edit → edit,1591,0.00957885547427677,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,14,shell:git/repository → shell:git/repository → shell:search/text,1374,0.008272374243655739,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,15,edit → edit → shell:search/text,1273,0.007664288509587887,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,16,edit → shell:search/text → shell:search/text,1250,0.007525813540443722,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,17,shell:search/text → shell:git/repository → shell:git/repository,1233,0.007423462476293687,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,18,shell:search/text → shell:search/text → shell:other,1154,0.006947831060537644,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,19,shell:search/text → shell:git/repository → shell:search/text,1100,0.006622715915590475,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,20,search → search → search,1090,0.006562509407266925,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,21,wait/control → shell:search/text → shell:search/text,1034,0.006225352960655047,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,22,shell:data/analysis/runtime → shell:data/analysis/runtime → shell:data/analysis/runtime,954,0.005743700894066649,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,23,shell:search/text → shell:search/text → shell:data/analysis/runtime,952,0.005731659592401938,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,24,shell:other → shell:search/text → shell:search/text,935,0.005629308528251904,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,25,shell:filesystem/navigation → shell:search/text → shell:search/text,896,0.00539450314579006,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,26,shell:data/analysis/runtime → shell:search/text → shell:search/text,878,0.00528613143080767,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,27,shell:search/text → edit → shell:search/text,841,0.005063367350010536,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,28,shell:search/text → shell:search/text → shell:filesystem/navigation,830,0.004997140190854631,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,29,shell:search/text → shell:other → shell:other,802,0.004828561967548692,166095
overall,ALL,ALL,same_prompt,hybrid_shell,3,30,edit → read → edit,765,0.004605797886751558,166095
overall,ALL,ALL,same_prompt,hybrid_shell,4,1,shell:search/text → shell:search/text → shell:search/text → shell:search/text,22440,0.1398165686372246,160496
overall,ALL,ALL,same_prompt,hybrid_shell,4,2,shell:git/repository → shell:git/repository → shell:git/repository → shell:git/repository,4561,0.028418153723457282,160496
overall,ALL,ALL,same_prompt,hybrid_shell,4,3,edit → edit → edit → edit,4290,0.02672963812182235,160496
overall,ALL,ALL,same_prompt,hybrid_shell,4,4,wait/control → wait/control → wait/control → wait/control,3864,0.02407536636427076,160496
overall,ALL,ALL,same_prompt,hybrid_shell,4,5,coordination → coordination → coordination → coordination,1919,0.011956684278735918,160496
overall,ALL,ALL,same_prompt,hybrid_shell,4,6,shell:other → wait/control → shell:other → wait/control,1877,0.011694995513906889,160496
