stratum_type,project,vendor,sequence_scope,tool_family,run_n,run_mean,run_p50,run_p90,run_p95,run_p99,run_max,runs_ge_3_share,runs_ge_5_share
vendor,ALL,codex,same_prompt,task,682,1.1935483870967742,1.0,2.0,2.0,3.0,8,0.02346041055718475,0.008797653958944282
vendor,ALL,codex,same_prompt,wait/control,9185,1.73097441480675,1.0,2.0,4.0,14.0,120,0.09885683179096352,0.04442025040827436
vendor,ALL,gemini,full_stream,other,3,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,gemini,full_stream,read,11,1.9090909090909092,2.0,2.0,3.5,4.700000000000001,5,0.09090909090909091,0.09090909090909091
vendor,ALL,gemini,full_stream,search,6,2.3333333333333335,1.5,4.5,5.25,5.8500000000000005,6,0.3333333333333333,0.16666666666666666
vendor,ALL,gemini,full_stream,shell,2,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,gemini,full_stream,write,2,2.0,2.0,2.8000000000000003,2.8999999999999995,2.9799999999999995,3,0.5,0.0
vendor,ALL,gemini,same_prompt,other,3,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,gemini,same_prompt,read,11,1.9090909090909092,2.0,2.0,3.5,4.700000000000001,5,0.09090909090909091,0.09090909090909091
vendor,ALL,gemini,same_prompt,search,6,2.3333333333333335,1.5,4.5,5.25,5.8500000000000005,6,0.3333333333333333,0.16666666666666666
vendor,ALL,gemini,same_prompt,shell,2,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
vendor,ALL,gemini,same_prompt,write,3,1.3333333333333333,1.0,1.8,1.9,1.98,2,0.0,0.0
project,ActPlane,ALL,full_stream,coordination,209,1.3923444976076556,1.0,2.0,3.0,5.0,7,0.07655502392344497,0.028708133971291867
project,ActPlane,ALL,full_stream,edit,4041,2.170502350903242,1.0,4.0,5.0,14.0,118,0.19401138332096016,0.07176441474882454
project,ActPlane,ALL,full_stream,fetch,295,2.606779661016949,2.0,5.0,7.0,14.120000000000005,27,0.3152542372881356,0.11186440677966102
project,ActPlane,ALL,full_stream,multimodal,54,1.2407407407407407,1.0,2.0,2.3499999999999943,3.469999999999999,4,0.05555555555555555,0.0
project,ActPlane,ALL,full_stream,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,ActPlane,ALL,full_stream,other,65,1.0307692307692307,1.0,1.0,1.0,2.0,2,0.0,0.0
project,ActPlane,ALL,full_stream,plan/goal,683,1.1142020497803806,1.0,2.0,2.0,3.0,3,0.01171303074670571,0.0
project,ActPlane,ALL,full_stream,read,2332,1.819468267581475,1.0,4.0,5.0,10.0,41,0.16852487135506003,0.05660377358490566
project,ActPlane,ALL,full_stream,search,334,3.529940119760479,2.0,7.699999999999989,10.0,24.340000000000032,46,0.38023952095808383,0.20059880239520958
project,ActPlane,ALL,full_stream,shell,8718,4.702225281027759,3.0,10.0,16.0,39.0,203,0.5036705666437257,0.24363386097728837
project,ActPlane,ALL,full_stream,skill,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,ActPlane,ALL,full_stream,task,192,1.9635416666666667,1.0,4.0,5.449999999999989,11.360000000000014,26,0.16666666666666666,0.07291666666666667
project,ActPlane,ALL,full_stream,tool discovery,194,1.0051546391752577,1.0,1.0,1.0,1.0,2,0.0,0.0
project,ActPlane,ALL,full_stream,wait/control,4229,1.9172381177583353,1.0,3.0,5.0,14.0,120,0.11917711042799717,0.052731142113974935
project,ActPlane,ALL,full_stream,write,235,1.574468085106383,1.0,2.0,4.0,12.639999999999986,20,0.07659574468085106,0.0425531914893617
project,ActPlane,ALL,same_prompt,coordination,210,1.3857142857142857,1.0,2.0,3.0,5.0,7,0.07142857142857142,0.02857142857142857
project,ActPlane,ALL,same_prompt,edit,4360,2.011697247706422,1.0,3.0,5.0,12.0,118,0.1688073394495413,0.060550458715596334
project,ActPlane,ALL,same_prompt,fetch,295,2.606779661016949,2.0,5.0,7.0,14.120000000000005,27,0.3152542372881356,0.11186440677966102
project,ActPlane,ALL,same_prompt,multimodal,54,1.2407407407407407,1.0,2.0,2.3499999999999943,3.469999999999999,4,0.05555555555555555,0.0
project,ActPlane,ALL,same_prompt,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,ActPlane,ALL,same_prompt,other,66,1.0151515151515151,1.0,1.0,1.0,1.3499999999999943,2,0.0,0.0
project,ActPlane,ALL,same_prompt,plan/goal,702,1.084045584045584,1.0,1.0,2.0,2.0,3,0.007122507122507123,0.0
project,ActPlane,ALL,same_prompt,read,2583,1.6426635694928378,1.0,3.0,4.0,8.0,41,0.13008130081300814,0.0402632597754549
project,ActPlane,ALL,same_prompt,search,335,3.5194029850746267,2.0,7.600000000000023,10.0,24.32000000000005,46,0.3761194029850746,0.2
project,ActPlane,ALL,same_prompt,shell,9755,4.202357765248591,2.0,8.0,14.0,32.0,203,0.48539210661199383,0.22265504869297795
project,ActPlane,ALL,same_prompt,skill,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,ActPlane,ALL,same_prompt,task,223,1.6905829596412556,1.0,3.0,5.0,7.780000000000001,9,0.15246636771300448,0.06726457399103139
project,ActPlane,ALL,same_prompt,tool discovery,194,1.0051546391752577,1.0,1.0,1.0,1.0,2,0.0,0.0
project,ActPlane,ALL,same_prompt,wait/control,4243,1.9109120905020034,1.0,3.0,5.0,14.0,120,0.11831251473014377,0.05232147065755362
project,ActPlane,ALL,same_prompt,write,251,1.4741035856573705,1.0,2.0,3.5,10.0,20,0.06374501992031872,0.035856573705179286
project_vendor,ActPlane,claude,full_stream,coordination,1,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,full_stream,edit,1867,2.6679164434922336,1.0,4.0,7.0,20.0,118,0.22388859132297803,0.09587573647562936
project_vendor,ActPlane,claude,full_stream,fetch,295,2.606779661016949,2.0,5.0,7.0,14.120000000000005,27,0.3152542372881356,0.11186440677966102
project_vendor,ActPlane,claude,full_stream,multimodal,17,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,full_stream,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,full_stream,other,58,1.0172413793103448,1.0,1.0,1.0,1.4299999999999997,2,0.0,0.0
project_vendor,ActPlane,claude,full_stream,plan/goal,9,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,full_stream,read,2332,1.819468267581475,1.0,4.0,5.0,10.0,41,0.16852487135506003,0.05660377358490566
project_vendor,ActPlane,claude,full_stream,search,334,3.529940119760479,2.0,7.699999999999989,10.0,24.340000000000032,46,0.38023952095808383,0.20059880239520958
project_vendor,ActPlane,claude,full_stream,shell,1773,3.2870840383530737,2.0,7.0,10.0,24.11999999999989,76,0.3575860124083474,0.1883812746756909
project_vendor,ActPlane,claude,full_stream,skill,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,full_stream,task,151,1.966887417218543,1.0,4.0,5.5,13.0,26,0.17218543046357615,0.059602649006622516
project_vendor,ActPlane,claude,full_stream,tool discovery,194,1.0051546391752577,1.0,1.0,1.0,1.0,2,0.0,0.0
project_vendor,ActPlane,claude,full_stream,write,235,1.574468085106383,1.0,2.0,4.0,12.639999999999986,20,0.07659574468085106,0.0425531914893617
project_vendor,ActPlane,claude,same_prompt,coordination,1,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,edit,2157,2.309225776541493,1.0,4.0,6.0,18.0,118,0.17385257301808066,0.07139545665275845
project_vendor,ActPlane,claude,same_prompt,fetch,295,2.606779661016949,2.0,5.0,7.0,14.120000000000005,27,0.3152542372881356,0.11186440677966102
project_vendor,ActPlane,claude,same_prompt,multimodal,17,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,network/other,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,other,59,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,plan/goal,9,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,read,2583,1.6426635694928378,1.0,3.0,4.0,8.0,41,0.13008130081300814,0.0402632597754549
project_vendor,ActPlane,claude,same_prompt,search,335,3.5194029850746267,2.0,7.600000000000023,10.0,24.32000000000005,46,0.3761194029850746,0.2
project_vendor,ActPlane,claude,same_prompt,shell,2276,2.5606326889279436,2.0,6.0,8.0,15.0,53,0.28954305799648505,0.13576449912126537
project_vendor,ActPlane,claude,same_prompt,skill,23,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,task,181,1.6408839779005524,1.0,3.0,5.0,7.199999999999989,9,0.15469613259668508,0.055248618784530384
project_vendor,ActPlane,claude,same_prompt,tool discovery,194,1.0051546391752577,1.0,1.0,1.0,1.0,2,0.0,0.0
project_vendor,ActPlane,claude,same_prompt,write,251,1.4741035856573705,1.0,2.0,3.5,10.0,20,0.06374501992031872,0.035856573705179286
project_vendor,ActPlane,codex,full_stream,coordination,208,1.3942307692307692,1.0,2.0,3.0,5.0,7,0.07692307692307693,0.028846153846153848
project_vendor,ActPlane,codex,full_stream,edit,2174,1.7433302667893285,1.0,3.0,5.0,8.0,17,0.16835326586936522,0.05105795768169273
project_vendor,ActPlane,codex,full_stream,multimodal,37,1.3513513513513513,1.0,2.0,3.0,3.6400000000000006,4,0.08108108108108109,0.0
project_vendor,ActPlane,codex,full_stream,other,7,1.1428571428571428,1.0,1.4000000000000004,1.6999999999999993,1.9399999999999995,2,0.0,0.0
project_vendor,ActPlane,codex,full_stream,plan/goal,674,1.1157270029673592,1.0,2.0,2.0,3.0,3,0.011869436201780416,0.0
project_vendor,ActPlane,codex,full_stream,shell,6945,5.063498920086393,3.0,11.0,18.0,42.0,203,0.5409647228221742,0.257739380849532
project_vendor,ActPlane,codex,full_stream,task,41,1.951219512195122,1.0,5.0,5.0,7.200000000000003,8,0.14634146341463414,0.12195121951219512
project_vendor,ActPlane,codex,full_stream,wait/control,4229,1.9172381177583353,1.0,3.0,5.0,14.0,120,0.11917711042799717,0.052731142113974935
project_vendor,ActPlane,codex,same_prompt,coordination,209,1.38755980861244,1.0,2.0,3.0,5.0,7,0.07177033492822966,0.028708133971291867
project_vendor,ActPlane,codex,same_prompt,edit,2203,1.7203812982296869,1.0,3.0,4.0,7.980000000000018,17,0.16386745347253745,0.04993191103041307
project_vendor,ActPlane,codex,same_prompt,multimodal,37,1.3513513513513513,1.0,2.0,3.0,3.6400000000000006,4,0.08108108108108109,0.0
project_vendor,ActPlane,codex,same_prompt,other,7,1.1428571428571428,1.0,1.4000000000000004,1.6999999999999993,1.9399999999999995,2,0.0,0.0
project_vendor,ActPlane,codex,same_prompt,plan/goal,693,1.0851370851370852,1.0,1.0,2.0,2.0,3,0.007215007215007215,0.0
project_vendor,ActPlane,codex,same_prompt,shell,7479,4.701965503409546,3.0,10.0,16.0,35.0,203,0.5449926460756785,0.2490974729241877
project_vendor,ActPlane,codex,same_prompt,task,42,1.9047619047619047,1.0,4.799999999999997,5.0,7.179999999999993,8,0.14285714285714285,0.11904761904761904
project_vendor,ActPlane,codex,same_prompt,wait/control,4243,1.9109120905020034,1.0,3.0,5.0,14.0,120,0.11831251473014377,0.05232147065755362
project,academic-writing-skills,ALL,full_stream,edit,59,6.627118644067797,5.0,14.200000000000003,18.19999999999999,30.04000000000002,37,0.7457627118644068,0.5084745762711864
project,academic-writing-skills,ALL,full_stream,fetch,1,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0
project,academic-writing-skills,ALL,full_stream,other,2,2.0,2.0,2.8000000000000003,2.8999999999999995,2.9799999999999995,3,0.5,0.0
project,academic-writing-skills,ALL,full_stream,read,80,2.725,2.0,6.1000000000000085,8.049999999999997,11.629999999999981,14,0.3125,0.1625
project,academic-writing-skills,ALL,full_stream,search,3,1.6666666666666667,2.0,2.0,2.0,2.0,2,0.0,0.0
project,academic-writing-skills,ALL,full_stream,shell,91,3.2967032967032965,2.0,7.0,9.0,20.399999999999977,24,0.42857142857142855,0.18681318681318682
project,academic-writing-skills,ALL,full_stream,skill,1,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,academic-writing-skills,ALL,full_stream,task,3,2.6666666666666665,3.0,3.8,3.9,3.98,4,0.6666666666666666,0.0
project,academic-writing-skills,ALL,full_stream,tool discovery,3,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,academic-writing-skills,ALL,full_stream,write,11,1.4545454545454546,1.0,3.0,3.0,3.0,3,0.18181818181818182,0.0
project,academic-writing-skills,ALL,same_prompt,edit,81,4.827160493827161,3.0,9.0,15.0,23.40000000000005,37,0.5802469135802469,0.345679012345679
project,academic-writing-skills,ALL,same_prompt,fetch,1,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,other,2,2.0,2.0,2.8000000000000003,2.8999999999999995,2.9799999999999995,3,0.5,0.0
project,academic-writing-skills,ALL,same_prompt,read,84,2.5952380952380953,2.0,6.0,8.0,11.510000000000005,14,0.2619047619047619,0.15476190476190477
project,academic-writing-skills,ALL,same_prompt,search,3,1.6666666666666667,2.0,2.0,2.0,2.0,2,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,shell,111,2.7027027027027026,2.0,6.0,7.5,19.000000000000057,24,0.27927927927927926,0.14414414414414414
project,academic-writing-skills,ALL,same_prompt,skill,1,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,task,3,2.6666666666666665,3.0,3.8,3.9,3.98,4,0.6666666666666666,0.0
project,academic-writing-skills,ALL,same_prompt,tool discovery,3,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,write,11,1.4545454545454546,1.0,3.0,3.0,3.0,3,0.18181818181818182,0.0
project_vendor,academic-writing-skills,claude,full_stream,edit,59,6.627118644067797,5.0,14.200000000000003,18.19999999999999,30.04000000000002,37,0.7457627118644068,0.5084745762711864
project_vendor,academic-writing-skills,claude,full_stream,fetch,1,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0
project_vendor,academic-writing-skills,claude,full_stream,other,2,2.0,2.0,2.8000000000000003,2.8999999999999995,2.9799999999999995,3,0.5,0.0
project_vendor,academic-writing-skills,claude,full_stream,read,80,2.725,2.0,6.1000000000000085,8.049999999999997,11.629999999999981,14,0.3125,0.1625
project_vendor,academic-writing-skills,claude,full_stream,search,3,1.6666666666666667,2.0,2.0,2.0,2.0,2,0.0,0.0
project_vendor,academic-writing-skills,claude,full_stream,shell,91,3.2967032967032965,2.0,7.0,9.0,20.399999999999977,24,0.42857142857142855,0.18681318681318682
project_vendor,academic-writing-skills,claude,full_stream,skill,1,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,academic-writing-skills,claude,full_stream,task,3,2.6666666666666665,3.0,3.8,3.9,3.98,4,0.6666666666666666,0.0
project_vendor,academic-writing-skills,claude,full_stream,tool discovery,3,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,academic-writing-skills,claude,full_stream,write,11,1.4545454545454546,1.0,3.0,3.0,3.0,3,0.18181818181818182,0.0
project_vendor,academic-writing-skills,claude,same_prompt,edit,81,4.827160493827161,3.0,9.0,15.0,23.40000000000005,37,0.5802469135802469,0.345679012345679
project_vendor,academic-writing-skills,claude,same_prompt,fetch,1,2.0,2.0,2.0,2.0,2.0,2,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,other,2,2.0,2.0,2.8000000000000003,2.8999999999999995,2.9799999999999995,3,0.5,0.0
project_vendor,academic-writing-skills,claude,same_prompt,read,84,2.5952380952380953,2.0,6.0,8.0,11.510000000000005,14,0.2619047619047619,0.15476190476190477
project_vendor,academic-writing-skills,claude,same_prompt,search,3,1.6666666666666667,2.0,2.0,2.0,2.0,2,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,shell,111,2.7027027027027026,2.0,6.0,7.5,19.000000000000057,24,0.27927927927927926,0.14414414414414414
project_vendor,academic-writing-skills,claude,same_prompt,skill,1,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,task,3,2.6666666666666665,3.0,3.8,3.9,3.98,4,0.6666666666666666,0.0
project_vendor,academic-writing-skills,claude,same_prompt,tool discovery,3,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
project_vendor,academic-writing-skills,claude,same_prompt,write,11,1.4545454545454546,1.0,3.0,3.0,3.0,3,0.18181818181818182,0.0
project,agentsight,ALL,full_stream,coordination,2368,2.5375844594594597,1.0,6.0,8.0,12.0,31,0.27702702702702703,0.15878378378378377
project,agentsight,ALL,full_stream,edit,3559,1.993256532733914,1.0,4.0,6.0,10.0,23,0.20708064062939027,0.08626018544534982
project,agentsight,ALL,full_stream,fetch,64,2.625,2.0,5.700000000000003,6.849999999999994,8.739999999999995,10,0.359375,0.21875
project,agentsight,ALL,full_stream,multimodal,42,1.1904761904761905,1.0,1.8999999999999986,2.9499999999999957,3.0,3,0.07142857142857142,0.0
project,agentsight,ALL,full_stream,other,20,1.15,1.0,2.0,2.0,2.0,2,0.0,0.0
project,agentsight,ALL,full_stream,plan/goal,710,1.087323943661972,1.0,1.0,2.0,2.909999999999968,4,0.011267605633802818,0.0
project,agentsight,ALL,full_stream,read,1664,1.9753605769230769,1.0,3.7000000000000455,6.0,13.0,23,0.1814903846153846,0.0703125
project,agentsight,ALL,full_stream,search,90,3.6,2.0,7.1000000000000085,14.549999999999997,19.0,19,0.4,0.3
project,agentsight,ALL,full_stream,shell,11612,6.358422321736135,3.0,16.0,26.0,48.88999999999942,202,0.5045642438856356,0.3362900447812608
project,agentsight,ALL,full_stream,skill,31,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0
