stratum_type,project,vendor,sequence_scope,sequence_granularity,from_family,to_family,count,conditional_probability,all_transition_share
overall,ALL,ALL,full_stream,hybrid_shell,search,fetch,309,0.16409984067976632,0.0017225520528472281
overall,ALL,ALL,full_stream,hybrid_shell,search,network/other,8,0.004248539564524694,4.4596816902193607e-05
overall,ALL,ALL,full_stream,hybrid_shell,search,other,17,0.009028146574614976,9.476823591716141e-05
overall,ALL,ALL,full_stream,hybrid_shell,search,read,35,0.01858736059479554,0.00019511107394709702
overall,ALL,ALL,full_stream,hybrid_shell,search,search,1434,0.7615507169410515,0.007993979429718204
overall,ALL,ALL,full_stream,hybrid_shell,search,shell:data/analysis/runtime,1,0.0005310674455655868,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,search,shell:filesystem/navigation,5,0.0026553372278279343,2.7873010563871005e-05
overall,ALL,ALL,full_stream,hybrid_shell,search,shell:git/repository,12,0.006372809346787042,6.68952253532904e-05
overall,ALL,ALL,full_stream,hybrid_shell,search,shell:network/remote,4,0.002124269782262347,2.2298408451096803e-05
overall,ALL,ALL,full_stream,hybrid_shell,search,shell:process/system,1,0.0005310674455655868,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,search,shell:search/text,9,0.004779607010090282,5.017141901496781e-05
overall,ALL,ALL,full_stream,hybrid_shell,search,skill,1,0.0005310674455655868,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,search,task,1,0.0005310674455655868,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,search,tool discovery,34,0.018056293149229952,0.00018953647183432283
overall,ALL,ALL,full_stream,hybrid_shell,search,write,4,0.002124269782262347,2.2298408451096803e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,coordination,81,0.03680145388459791,0.00045154277113471027
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,edit,79,0.03589277601090413,0.00044039356690916184
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,plan/goal,14,0.006360745115856429,7.804442957883881e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,read,29,0.013175829168559746,0.00016166346127045183
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:build/check,174,0.07905497501135847,0.0009699807676227109
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:container/orchestration,2,0.0009086778736937755,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:data/analysis/runtime,42,0.019082235347569285,0.00023413328873651644
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:filesystem/navigation,114,0.051794638800545204,0.0006355046408562589
