stratum_type,project,vendor,grouping,tool_group,calls,ok,fail,observed,decisive_calls,decisive_failure_rate,observed_share
vendor,ALL,claude,tool_name,Bash,14300,13794,504,2,14298,0.03524968527066723,0.00013986013986013986
vendor,ALL,claude,tool_name,Edit,8349,7997,350,2,8347,0.041931232778243684,0.00023954964666427118
vendor,ALL,claude,tool_name,EnterPlanMode,1,1,0,0,1,0.0,0.0
vendor,ALL,claude,tool_name,ExitPlanMode,1,1,0,0,1,0.0,0.0
vendor,ALL,claude,tool_name,Glob,22,22,0,0,22,0.0,0.0
vendor,ALL,claude,tool_name,Grep,42,42,0,0,42,0.0,0.0
vendor,ALL,claude,tool_name,LSP,3,3,0,0,3,0.0,0.0
vendor,ALL,claude,tool_name,Monitor,9,8,1,0,9,0.1111111111111111,0.0
vendor,ALL,claude,tool_name,Read,8980,8871,102,7,8973,0.011367435640254095,0.0007795100222717149
vendor,ALL,claude,tool_name,ReportFindings,2,2,0,0,2,0.0,0.0
vendor,ALL,claude,tool_name,SendMessage,15,12,3,0,15,0.2,0.0
vendor,ALL,claude,tool_name,SendUserFile,35,34,1,0,35,0.02857142857142857,0.0
vendor,ALL,claude,tool_name,Skill,76,75,1,0,76,0.013157894736842105,0.0
vendor,ALL,claude,tool_name,StructuredOutput,23,23,0,0,23,0.0,0.0
vendor,ALL,claude,tool_name,StructuredOutput,52,52,0,0,52,0.0,0.0
vendor,ALL,claude,tool_name,TaskCreate,56,56,0,0,56,0.0,0.0
vendor,ALL,claude,tool_name,TaskStop,3,3,0,0,3,0.0,0.0
vendor,ALL,claude,tool_name,TaskUpdate,106,106,0,0,106,0.0,0.0
vendor,ALL,claude,tool_name,TodoWrite,4,4,0,0,4,0.0,0.0
vendor,ALL,claude,tool_name,ToolSearch,313,313,0,0,313,0.0,0.0
vendor,ALL,claude,tool_name,WebFetch,1253,1210,38,5,1248,0.030448717948717948,0.0039904229848363925
vendor,ALL,claude,tool_name,WebSearch,1879,1865,5,9,1870,0.00267379679144385,0.004789781798829164
vendor,ALL,claude,tool_name,Workflow,2,2,0,0,2,0.0,0.0
vendor,ALL,claude,tool_name,Write,663,647,15,1,662,0.022658610271903322,0.0015082956259426848
vendor,ALL,claude,tool_name,bash,3,0,3,0,3,1.0,0.0
vendor,ALL,claude,tool_name,mcp__actplane__reload_policy,9,3,6,0,9,0.6666666666666666,0.0
vendor,ALL,codex,tool_name,_add_comment_to_issue,4,0,0,4,0,,1.0
vendor,ALL,codex,tool_name,_add_review_to_pr,1,0,0,1,0,,1.0
vendor,ALL,codex,tool_name,_create_pull_request,18,0,18,0,18,1.0,0.0
vendor,ALL,codex,tool_name,_fetch,12,0,4,8,4,1.0,0.6666666666666666
vendor,ALL,codex,tool_name,_fetch_pr,1,0,1,0,1,1.0,0.0
vendor,ALL,codex,tool_name,_fetch_pr_comments,2,0,0,2,0,,1.0
vendor,ALL,codex,tool_name,_get_commit_combined_status,1,0,0,1,0,,1.0
vendor,ALL,codex,tool_name,_get_pr_info,1,0,0,1,0,,1.0
vendor,ALL,codex,tool_name,_get_repo,3,0,1,2,1,1.0,0.6666666666666666
vendor,ALL,codex,tool_name,_mark_pull_request_ready_for_review,1,0,1,0,1,1.0,0.0
vendor,ALL,codex,tool_name,_reply_to_review_comment,2,0,0,2,0,,1.0
vendor,ALL,codex,tool_name,apply_patch,9451,0,16,9435,16,1.0,0.9983070574542376
vendor,ALL,codex,tool_name,close_agent,203,0,12,191,12,1.0,0.9408866995073891
vendor,ALL,codex,tool_name,create_goal,4,0,0,4,0,,1.0
vendor,ALL,codex,tool_name,exec,37882,33548,450,3884,33998,0.01323607271015942,0.10252890554880946
vendor,ALL,codex,tool_name,exec_command,72155,66966,2839,2350,69805,0.04067043908029511,0.032568775552629756
vendor,ALL,codex,tool_name,followup_task,395,0,0,395,0,,1.0
vendor,ALL,codex,tool_name,get_goal,20,0,0,20,0,,1.0
vendor,ALL,codex,tool_name,interrupt_agent,111,0,0,111,0,,1.0
vendor,ALL,codex,tool_name,list_agents,767,0,70,697,70,1.0,0.9087353324641461
vendor,ALL,codex,tool_name,read_thread_terminal,1,0,0,1,0,,1.0
vendor,ALL,codex,tool_name,resume_agent,3,0,0,3,0,,1.0
vendor,ALL,codex,tool_name,send_input,63,0,0,63,0,,1.0
vendor,ALL,codex,tool_name,send_message,1032,0,0,1032,0,,1.0
vendor,ALL,codex,tool_name,spawn_agent,814,0,0,814,0,,1.0
vendor,ALL,codex,tool_name,update_goal,21,0,0,21,0,,1.0
vendor,ALL,codex,tool_name,update_plan,1505,0,0,1505,0,,1.0
vendor,ALL,codex,tool_name,view_image,113,0,2,111,2,1.0,0.9823008849557522
vendor,ALL,codex,tool_name,wait,4403,3815,35,553,3850,0.00909090909090909,0.12559618441971382
vendor,ALL,codex,tool_name,wait_agent,4012,0,14,3998,14,1.0,0.9965104685942173
vendor,ALL,codex,tool_name,write_stdin,11432,1898,675,8859,2573,0.26233968130586865,0.7749300209937019
vendor,ALL,gemini,tool_name,glob,1,1,0,0,1,0.0,0.0
vendor,ALL,gemini,tool_name,grep_search,13,13,0,0,13,0.0,0.0
vendor,ALL,gemini,tool_name,list_directory,3,3,0,0,3,0.0,0.0
vendor,ALL,gemini,tool_name,read_file,21,21,0,0,21,0.0,0.0
vendor,ALL,gemini,tool_name,run_shell_command,2,0,2,0,2,1.0,0.0
vendor,ALL,gemini,tool_name,write_file,4,4,0,0,4,0.0,0.0
project,ActPlane,ALL,tool_name,Agent,251,235,7,9,242,0.028925619834710745,0.035856573705179286
project,ActPlane,ALL,tool_name,AskUserQuestion,4,4,0,0,4,0.0,0.0
project,ActPlane,ALL,tool_name,Bash,5827,5600,227,0,5827,0.038956581431268233,0.0
project,ActPlane,ALL,tool_name,Edit,4981,4800,181,0,4981,0.03633808472194339,0.0
project,ActPlane,ALL,tool_name,Glob,1,1,0,0,1,0.0,0.0
project,ActPlane,ALL,tool_name,Grep,25,25,0,0,25,0.0,0.0
project,ActPlane,ALL,tool_name,Read,4243,4212,30,1,4242,0.007072135785007072,0.00023568230025925054
project,ActPlane,ALL,tool_name,ReportFindings,1,1,0,0,1,0.0,0.0
project,ActPlane,ALL,tool_name,SendMessage,1,0,1,0,1,1.0,0.0
project,ActPlane,ALL,tool_name,SendUserFile,17,17,0,0,17,0.0,0.0
project,ActPlane,ALL,tool_name,Skill,23,23,0,0,23,0.0,0.0
project,ActPlane,ALL,tool_name,StructuredOutput,23,23,0,0,23,0.0,0.0
project,ActPlane,ALL,tool_name,StructuredOutput,52,52,0,0,52,0.0,0.0
project,ActPlane,ALL,tool_name,TaskCreate,16,16,0,0,16,0.0,0.0
project,ActPlane,ALL,tool_name,TaskUpdate,30,30,0,0,30,0.0,0.0
project,ActPlane,ALL,tool_name,ToolSearch,195,195,0,0,195,0.0,0.0
project,ActPlane,ALL,tool_name,WebFetch,769,746,18,5,764,0.02356020942408377,0.006501950585175552
project,ActPlane,ALL,tool_name,WebSearch,1153,1140,5,8,1145,0.004366812227074236,0.006938421509106678
project,ActPlane,ALL,tool_name,Workflow,2,2,0,0,2,0.0,0.0
project,ActPlane,ALL,tool_name,Write,370,364,5,1,369,0.013550135501355014,0.002702702702702703
project,ActPlane,ALL,tool_name,_add_comment_to_issue,2,0,0,2,0,,1.0
project,ActPlane,ALL,tool_name,_create_pull_request,5,0,5,0,5,1.0,0.0
project,ActPlane,ALL,tool_name,_get_pr_info,1,0,0,1,0,,1.0
project,ActPlane,ALL,tool_name,apply_patch,3790,0,10,3780,10,1.0,0.9973614775725593
project,ActPlane,ALL,tool_name,bash,1,0,1,0,1,1.0,0.0
project,ActPlane,ALL,tool_name,close_agent,54,0,2,52,2,1.0,0.9629629629629629
project,ActPlane,ALL,tool_name,exec,3252,2935,18,299,2953,0.0060954961056552655,0.09194341943419435
project,ActPlane,ALL,tool_name,exec_command,31914,29663,1100,1151,30763,0.035757240841270355,0.036065676505608824
project,ActPlane,ALL,tool_name,followup_task,13,0,0,13,0,,1.0
project,ActPlane,ALL,tool_name,get_goal,8,0,0,8,0,,1.0
project,ActPlane,ALL,tool_name,list_agents,21,0,0,21,0,,1.0
project,ActPlane,ALL,tool_name,mcp__actplane__reload_policy,9,3,6,0,9,0.6666666666666666,0.0
project,ActPlane,ALL,tool_name,send_input,23,0,0,23,0,,1.0
project,ActPlane,ALL,tool_name,send_message,40,0,0,40,0,,1.0
project,ActPlane,ALL,tool_name,spawn_agent,80,0,0,80,0,,1.0
project,ActPlane,ALL,tool_name,update_goal,8,0,0,8,0,,1.0
project,ActPlane,ALL,tool_name,update_plan,736,0,0,736,0,,1.0
project,ActPlane,ALL,tool_name,view_image,50,0,2,48,2,1.0,0.96
project,ActPlane,ALL,tool_name,wait,349,295,1,53,296,0.0033783783783783786,0.1518624641833811
project,ActPlane,ALL,tool_name,wait_agent,162,0,3,159,3,1.0,0.9814814814814815
project,ActPlane,ALL,tool_name,write_stdin,7736,923,466,6347,1389,0.3354931605471562,0.8204498448810755
project_vendor,ActPlane,claude,tool_name,Agent,251,235,7,9,242,0.028925619834710745,0.035856573705179286
project_vendor,ActPlane,claude,tool_name,AskUserQuestion,4,4,0,0,4,0.0,0.0
project_vendor,ActPlane,claude,tool_name,Bash,5827,5600,227,0,5827,0.038956581431268233,0.0
project_vendor,ActPlane,claude,tool_name,Edit,4981,4800,181,0,4981,0.03633808472194339,0.0
project_vendor,ActPlane,claude,tool_name,Glob,1,1,0,0,1,0.0,0.0
project_vendor,ActPlane,claude,tool_name,Grep,25,25,0,0,25,0.0,0.0
project_vendor,ActPlane,claude,tool_name,Read,4243,4212,30,1,4242,0.007072135785007072,0.00023568230025925054
project_vendor,ActPlane,claude,tool_name,ReportFindings,1,1,0,0,1,0.0,0.0
project_vendor,ActPlane,claude,tool_name,SendMessage,1,0,1,0,1,1.0,0.0
project_vendor,ActPlane,claude,tool_name,SendUserFile,17,17,0,0,17,0.0,0.0
project_vendor,ActPlane,claude,tool_name,Skill,23,23,0,0,23,0.0,0.0
project_vendor,ActPlane,claude,tool_name,StructuredOutput,23,23,0,0,23,0.0,0.0
project_vendor,ActPlane,claude,tool_name,StructuredOutput,52,52,0,0,52,0.0,0.0
project_vendor,ActPlane,claude,tool_name,TaskCreate,16,16,0,0,16,0.0,0.0
project_vendor,ActPlane,claude,tool_name,TaskUpdate,30,30,0,0,30,0.0,0.0
project_vendor,ActPlane,claude,tool_name,ToolSearch,195,195,0,0,195,0.0,0.0
project_vendor,ActPlane,claude,tool_name,WebFetch,769,746,18,5,764,0.02356020942408377,0.006501950585175552
project_vendor,ActPlane,claude,tool_name,WebSearch,1153,1140,5,8,1145,0.004366812227074236,0.006938421509106678
project_vendor,ActPlane,claude,tool_name,Workflow,2,2,0,0,2,0.0,0.0
project_vendor,ActPlane,claude,tool_name,Write,370,364,5,1,369,0.013550135501355014,0.002702702702702703
project_vendor,ActPlane,claude,tool_name,bash,1,0,1,0,1,1.0,0.0
project_vendor,ActPlane,claude,tool_name,mcp__actplane__reload_policy,9,3,6,0,9,0.6666666666666666,0.0
project_vendor,ActPlane,codex,tool_name,_add_comment_to_issue,2,0,0,2,0,,1.0
project_vendor,ActPlane,codex,tool_name,_create_pull_request,5,0,5,0,5,1.0,0.0
project_vendor,ActPlane,codex,tool_name,_get_pr_info,1,0,0,1,0,,1.0
project_vendor,ActPlane,codex,tool_name,apply_patch,3790,0,10,3780,10,1.0,0.9973614775725593
project_vendor,ActPlane,codex,tool_name,close_agent,54,0,2,52,2,1.0,0.9629629629629629
project_vendor,ActPlane,codex,tool_name,exec,3252,2935,18,299,2953,0.0060954961056552655,0.09194341943419435
project_vendor,ActPlane,codex,tool_name,exec_command,31914,29663,1100,1151,30763,0.035757240841270355,0.036065676505608824
project_vendor,ActPlane,codex,tool_name,followup_task,13,0,0,13,0,,1.0
project_vendor,ActPlane,codex,tool_name,get_goal,8,0,0,8,0,,1.0
project_vendor,ActPlane,codex,tool_name,list_agents,21,0,0,21,0,,1.0
project_vendor,ActPlane,codex,tool_name,send_input,23,0,0,23,0,,1.0
project_vendor,ActPlane,codex,tool_name,send_message,40,0,0,40,0,,1.0
project_vendor,ActPlane,codex,tool_name,spawn_agent,80,0,0,80,0,,1.0
project_vendor,ActPlane,codex,tool_name,update_goal,8,0,0,8,0,,1.0
project_vendor,ActPlane,codex,tool_name,update_plan,736,0,0,736,0,,1.0
project_vendor,ActPlane,codex,tool_name,view_image,50,0,2,48,2,1.0,0.96
project_vendor,ActPlane,codex,tool_name,wait,349,295,1,53,296,0.0033783783783783786,0.1518624641833811
project_vendor,ActPlane,codex,tool_name,wait_agent,162,0,3,159,3,1.0,0.9814814814814815
project_vendor,ActPlane,codex,tool_name,write_stdin,7736,923,466,6347,1389,0.3354931605471562,0.8204498448810755
project,academic-writing-skills,ALL,tool_name,Agent,8,8,0,0,8,0.0,0.0
project,academic-writing-skills,ALL,tool_name,AskUserQuestion,1,0,1,0,1,1.0,0.0
project,academic-writing-skills,ALL,tool_name,Bash,300,277,21,2,298,0.07046979865771812,0.006666666666666667
project,academic-writing-skills,ALL,tool_name,Edit,391,371,19,1,390,0.04871794871794872,0.0025575447570332483
project,academic-writing-skills,ALL,tool_name,LSP,3,3,0,0,3,0.0,0.0
project,academic-writing-skills,ALL,tool_name,Read,218,213,1,4,214,0.004672897196261682,0.01834862385321101
project,academic-writing-skills,ALL,tool_name,Skill,1,1,0,0,1,0.0,0.0
project,academic-writing-skills,ALL,tool_name,ToolSearch,3,3,0,0,3,0.0,0.0
project,academic-writing-skills,ALL,tool_name,WebFetch,2,2,0,0,2,0.0,0.0
project,academic-writing-skills,ALL,tool_name,WebSearch,5,5,0,0,5,0.0,0.0
project,academic-writing-skills,ALL,tool_name,Write,16,15,1,0,16,0.0625,0.0
project_vendor,academic-writing-skills,claude,tool_name,Agent,8,8,0,0,8,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,AskUserQuestion,1,0,1,0,1,1.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,Bash,300,277,21,2,298,0.07046979865771812,0.006666666666666667
project_vendor,academic-writing-skills,claude,tool_name,Edit,391,371,19,1,390,0.04871794871794872,0.0025575447570332483
project_vendor,academic-writing-skills,claude,tool_name,LSP,3,3,0,0,3,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,Read,218,213,1,4,214,0.004672897196261682,0.01834862385321101
project_vendor,academic-writing-skills,claude,tool_name,Skill,1,1,0,0,1,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,ToolSearch,3,3,0,0,3,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,WebFetch,2,2,0,0,2,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,WebSearch,5,5,0,0,5,0.0,0.0
project_vendor,academic-writing-skills,claude,tool_name,Write,16,15,1,0,16,0.0625,0.0
project,agentsight,ALL,tool_name,Agent,234,233,0,1,233,0.0,0.004273504273504274
project,agentsight,ALL,tool_name,AskUserQuestion,4,3,1,0,4,0.25,0.0
project,agentsight,ALL,tool_name,Bash,6279,6100,179,0,6279,0.028507724159898072,0.0
project,agentsight,ALL,tool_name,Edit,1911,1812,99,0,1911,0.05180533751962323,0.0
project,agentsight,ALL,tool_name,EnterPlanMode,1,1,0,0,1,0.0,0.0
project,agentsight,ALL,tool_name,ExitPlanMode,1,1,0,0,1,0.0,0.0
project,agentsight,ALL,tool_name,Glob,21,21,0,0,21,0.0,0.0
project,agentsight,ALL,tool_name,Grep,8,8,0,0,8,0.0,0.0
project,agentsight,ALL,tool_name,Monitor,2,2,0,0,2,0.0,0.0
project,agentsight,ALL,tool_name,Read,3277,3230,45,2,3275,0.013740458015267175,0.0006103143118706134
project,agentsight,ALL,tool_name,SendMessage,1,1,0,0,1,0.0,0.0
project,agentsight,ALL,tool_name,SendUserFile,15,14,1,0,15,0.06666666666666667,0.0
project,agentsight,ALL,tool_name,Skill,31,30,1,0,31,0.03225806451612903,0.0
project,agentsight,ALL,tool_name,TaskCreate,36,36,0,0,36,0.0,0.0
project,agentsight,ALL,tool_name,TaskUpdate,69,69,0,0,69,0.0,0.0
project,agentsight,ALL,tool_name,TodoWrite,4,4,0,0,4,0.0,0.0
project,agentsight,ALL,tool_name,ToolSearch,44,44,0,0,44,0.0,0.0
project,agentsight,ALL,tool_name,WebFetch,163,147,16,0,163,0.09815950920245399,0.0
project,agentsight,ALL,tool_name,WebSearch,281,280,0,1,280,0.0,0.0035587188612099642
project,agentsight,ALL,tool_name,Write,141,137,4,0,141,0.028368794326241134,0.0
project,agentsight,ALL,tool_name,_add_review_to_pr,1,0,0,1,0,,1.0
project,agentsight,ALL,tool_name,_create_pull_request,10,0,10,0,10,1.0,0.0
project,agentsight,ALL,tool_name,_fetch,5,0,1,4,1,1.0,0.8
project,agentsight,ALL,tool_name,_fetch_pr,1,0,1,0,1,1.0,0.0
project,agentsight,ALL,tool_name,_fetch_pr_comments,2,0,0,2,0,,1.0
project,agentsight,ALL,tool_name,_get_commit_combined_status,1,0,0,1,0,,1.0
project,agentsight,ALL,tool_name,_get_repo,1,0,1,0,1,1.0,0.0
project,agentsight,ALL,tool_name,_reply_to_review_comment,2,0,0,2,0,,1.0
project,agentsight,ALL,tool_name,apply_patch,5183,0,6,5177,6,1.0,0.9988423692841983
project,agentsight,ALL,tool_name,bash,2,0,2,0,2,1.0,0.0
project,agentsight,ALL,tool_name,close_agent,145,0,9,136,9,1.0,0.9379310344827586
project,agentsight,ALL,tool_name,create_goal,4,0,0,4,0,,1.0
project,agentsight,ALL,tool_name,exec,31088,27829,363,2896,28192,0.012875993189557322,0.09315491507977354
project,agentsight,ALL,tool_name,exec_command,36463,34073,1598,792,35671,0.04479829553418743,0.021720648328442532
project,agentsight,ALL,tool_name,followup_task,362,0,0,362,0,,1.0
project,agentsight,ALL,tool_name,get_goal,12,0,0,12,0,,1.0
project,agentsight,ALL,tool_name,glob,1,1,0,0,1,0.0,0.0
project,agentsight,ALL,tool_name,grep_search,13,13,0,0,13,0.0,0.0
project,agentsight,ALL,tool_name,interrupt_agent,108,0,0,108,0,,1.0
project,agentsight,ALL,tool_name,list_agents,702,0,69,633,69,1.0,0.9017094017094017
project,agentsight,ALL,tool_name,list_directory,1,1,0,0,1,0.0,0.0
project,agentsight,ALL,tool_name,read_file,10,10,0,0,10,0.0,0.0
project,agentsight,ALL,tool_name,read_thread_terminal,1,0,0,1,0,,1.0
project,agentsight,ALL,tool_name,resume_agent,3,0,0,3,0,,1.0
project,agentsight,ALL,tool_name,run_shell_command,2,0,2,0,2,1.0,0.0
project,agentsight,ALL,tool_name,send_input,39,0,0,39,0,,1.0
project,agentsight,ALL,tool_name,send_message,937,0,0,937,0,,1.0
project,agentsight,ALL,tool_name,spawn_agent,704,0,0,704,0,,1.0
project,agentsight,ALL,tool_name,update_goal,13,0,0,13,0,,1.0
project,agentsight,ALL,tool_name,update_plan,737,0,0,737,0,,1.0
project,agentsight,ALL,tool_name,view_image,35,0,0,35,0,,1.0
project,agentsight,ALL,tool_name,wait,3075,2858,16,201,2874,0.0055671537926235215,0.06536585365853659
project,agentsight,ALL,tool_name,wait_agent,3751,0,10,3741,10,1.0,0.9973340442548654
project,agentsight,ALL,tool_name,write_stdin,1649,643,142,864,785,0.18089171974522292,0.5239539114614918
project_vendor,agentsight,claude,tool_name,Agent,234,233,0,1,233,0.0,0.004273504273504274
project_vendor,agentsight,claude,tool_name,AskUserQuestion,4,3,1,0,4,0.25,0.0
project_vendor,agentsight,claude,tool_name,Bash,6279,6100,179,0,6279,0.028507724159898072,0.0
project_vendor,agentsight,claude,tool_name,Edit,1911,1812,99,0,1911,0.05180533751962323,0.0
project_vendor,agentsight,claude,tool_name,EnterPlanMode,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,claude,tool_name,ExitPlanMode,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,claude,tool_name,Glob,21,21,0,0,21,0.0,0.0
project_vendor,agentsight,claude,tool_name,Grep,8,8,0,0,8,0.0,0.0
project_vendor,agentsight,claude,tool_name,Monitor,2,2,0,0,2,0.0,0.0
project_vendor,agentsight,claude,tool_name,Read,3277,3230,45,2,3275,0.013740458015267175,0.0006103143118706134
project_vendor,agentsight,claude,tool_name,SendMessage,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,claude,tool_name,SendUserFile,15,14,1,0,15,0.06666666666666667,0.0
project_vendor,agentsight,claude,tool_name,Skill,31,30,1,0,31,0.03225806451612903,0.0
project_vendor,agentsight,claude,tool_name,TaskCreate,36,36,0,0,36,0.0,0.0
project_vendor,agentsight,claude,tool_name,TaskUpdate,69,69,0,0,69,0.0,0.0
project_vendor,agentsight,claude,tool_name,TodoWrite,4,4,0,0,4,0.0,0.0
project_vendor,agentsight,claude,tool_name,ToolSearch,44,44,0,0,44,0.0,0.0
project_vendor,agentsight,claude,tool_name,WebFetch,163,147,16,0,163,0.09815950920245399,0.0
project_vendor,agentsight,claude,tool_name,WebSearch,281,280,0,1,280,0.0,0.0035587188612099642
project_vendor,agentsight,claude,tool_name,Write,141,137,4,0,141,0.028368794326241134,0.0
project_vendor,agentsight,claude,tool_name,bash,2,0,2,0,2,1.0,0.0
project_vendor,agentsight,codex,tool_name,_add_review_to_pr,1,0,0,1,0,,1.0
project_vendor,agentsight,codex,tool_name,_create_pull_request,10,0,10,0,10,1.0,0.0
project_vendor,agentsight,codex,tool_name,_fetch,5,0,1,4,1,1.0,0.8
project_vendor,agentsight,codex,tool_name,_fetch_pr,1,0,1,0,1,1.0,0.0
project_vendor,agentsight,codex,tool_name,_fetch_pr_comments,2,0,0,2,0,,1.0
project_vendor,agentsight,codex,tool_name,_get_commit_combined_status,1,0,0,1,0,,1.0
project_vendor,agentsight,codex,tool_name,_get_repo,1,0,1,0,1,1.0,0.0
project_vendor,agentsight,codex,tool_name,_reply_to_review_comment,2,0,0,2,0,,1.0
project_vendor,agentsight,codex,tool_name,apply_patch,5183,0,6,5177,6,1.0,0.9988423692841983
project_vendor,agentsight,codex,tool_name,close_agent,145,0,9,136,9,1.0,0.9379310344827586
project_vendor,agentsight,codex,tool_name,create_goal,4,0,0,4,0,,1.0
project_vendor,agentsight,codex,tool_name,exec,31088,27829,363,2896,28192,0.012875993189557322,0.09315491507977354
project_vendor,agentsight,codex,tool_name,exec_command,36463,34073,1598,792,35671,0.04479829553418743,0.021720648328442532
project_vendor,agentsight,codex,tool_name,followup_task,362,0,0,362,0,,1.0
project_vendor,agentsight,codex,tool_name,get_goal,12,0,0,12,0,,1.0
project_vendor,agentsight,codex,tool_name,interrupt_agent,108,0,0,108,0,,1.0
project_vendor,agentsight,codex,tool_name,list_agents,702,0,69,633,69,1.0,0.9017094017094017
project_vendor,agentsight,codex,tool_name,read_thread_terminal,1,0,0,1,0,,1.0
project_vendor,agentsight,codex,tool_name,resume_agent,3,0,0,3,0,,1.0
project_vendor,agentsight,codex,tool_name,send_input,39,0,0,39,0,,1.0
project_vendor,agentsight,codex,tool_name,send_message,937,0,0,937,0,,1.0
project_vendor,agentsight,codex,tool_name,spawn_agent,704,0,0,704,0,,1.0
project_vendor,agentsight,codex,tool_name,update_goal,13,0,0,13,0,,1.0
project_vendor,agentsight,codex,tool_name,update_plan,737,0,0,737,0,,1.0
project_vendor,agentsight,codex,tool_name,view_image,35,0,0,35,0,,1.0
project_vendor,agentsight,codex,tool_name,wait,3075,2858,16,201,2874,0.0055671537926235215,0.06536585365853659
project_vendor,agentsight,codex,tool_name,wait_agent,3751,0,10,3741,10,1.0,0.9973340442548654
project_vendor,agentsight,codex,tool_name,write_stdin,1649,643,142,864,785,0.18089171974522292,0.5239539114614918
project_vendor,agentsight,gemini,tool_name,glob,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,gemini,tool_name,grep_search,13,13,0,0,13,0.0,0.0
project_vendor,agentsight,gemini,tool_name,list_directory,1,1,0,0,1,0.0,0.0
project_vendor,agentsight,gemini,tool_name,read_file,10,10,0,0,10,0.0,0.0
project_vendor,agentsight,gemini,tool_name,run_shell_command,2,0,2,0,2,1.0,0.0
project,agentskill-observability-paper,ALL,tool_name,Agent,30,26,4,0,30,0.13333333333333333,0.0
project,agentskill-observability-paper,ALL,tool_name,AskUserQuestion,2,2,0,0,2,0.0,0.0
project,agentskill-observability-paper,ALL,tool_name,Bash,242,235,7,0,242,0.028925619834710745,0.0
project,agentskill-observability-paper,ALL,tool_name,Edit,264,236,28,0,264,0.10606060606060606,0.0
project,agentskill-observability-paper,ALL,tool_name,Read,350,348,2,0,350,0.005714285714285714,0.0
project,agentskill-observability-paper,ALL,tool_name,SendMessage,2,0,2,0,2,1.0,0.0
project,agentskill-observability-paper,ALL,tool_name,SendUserFile,2,2,0,0,2,0.0,0.0
project,agentskill-observability-paper,ALL,tool_name,Skill,13,13,0,0,13,0.0,0.0
project,agentskill-observability-paper,ALL,tool_name,ToolSearch,6,6,0,0,6,0.0,0.0
project,agentskill-observability-paper,ALL,tool_name,WebFetch,10,10,0,0,10,0.0,0.0
project,agentskill-observability-paper,ALL,tool_name,WebSearch,48,48,0,0,48,0.0,0.0
project,agentskill-observability-paper,ALL,tool_name,Write,22,22,0,0,22,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,Agent,30,26,4,0,30,0.13333333333333333,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,AskUserQuestion,2,2,0,0,2,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,Bash,242,235,7,0,242,0.028925619834710745,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,Edit,264,236,28,0,264,0.10606060606060606,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,Read,350,348,2,0,350,0.005714285714285714,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,SendMessage,2,0,2,0,2,1.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,SendUserFile,2,2,0,0,2,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,Skill,13,13,0,0,13,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,ToolSearch,6,6,0,0,6,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,WebFetch,10,10,0,0,10,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,WebSearch,48,48,0,0,48,0.0,0.0
project_vendor,agentskill-observability-paper,claude,tool_name,Write,22,22,0,0,22,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_name,Agent,12,12,0,0,12,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_name,Bash,349,333,16,0,349,0.045845272206303724,0.0
project,bpf-developer-tutorial,ALL,tool_name,Edit,230,218,12,0,230,0.05217391304347826,0.0
project,bpf-developer-tutorial,ALL,tool_name,Grep,5,5,0,0,5,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_name,Monitor,1,0,1,0,1,1.0,0.0
project,bpf-developer-tutorial,ALL,tool_name,Read,396,377,19,0,396,0.047979797979797977,0.0
project,bpf-developer-tutorial,ALL,tool_name,Skill,3,3,0,0,3,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_name,ToolSearch,6,6,0,0,6,0.0,0.0
project,bpf-developer-tutorial,ALL,tool_name,Write,50,47,3,0,50,0.06,0.0
project,bpf-developer-tutorial,ALL,tool_name,apply_patch,18,0,0,18,0,,1.0
project,bpf-developer-tutorial,ALL,tool_name,close_agent,1,0,0,1,0,,1.0
project,bpf-developer-tutorial,ALL,tool_name,exec,159,119,1,39,120,0.008333333333333333,0.24528301886792453
project,bpf-developer-tutorial,ALL,tool_name,exec_command,347,309,28,10,337,0.0830860534124629,0.02881844380403458
project,bpf-developer-tutorial,ALL,tool_name,followup_task,1,0,0,1,0,,1.0
