stratum_type,project,vendor,grouping,tool_group,calls,ok,fail,observed,decisive_calls,decisive_failure_rate,observed_share
project_vendor,eunomia.dev,claude,tool_family,task,92,89,3,0,92,0.03260869565217391,0.0
project_vendor,eunomia.dev,claude,tool_family,tool discovery,59,59,0,0,59,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,wait/control,6,6,0,0,6,0.0,0.0
project_vendor,eunomia.dev,claude,tool_family,write,64,62,2,0,64,0.03125,0.0
project_vendor,eunomia.dev,codex,tool_family,coordination,213,0,3,210,3,1.0,0.9859154929577465
project_vendor,eunomia.dev,codex,tool_family,edit,460,0,0,460,0,,1.0
project_vendor,eunomia.dev,codex,tool_family,fetch,7,0,3,4,3,1.0,0.5714285714285714
project_vendor,eunomia.dev,codex,tool_family,multimodal,28,0,0,28,0,,1.0
project_vendor,eunomia.dev,codex,tool_family,other,8,0,4,4,4,1.0,0.5
project_vendor,eunomia.dev,codex,tool_family,plan/goal,28,0,0,28,0,,1.0
project_vendor,eunomia.dev,codex,tool_family,shell,6814,5586,181,1047,5767,0.031385469048031904,0.1536542412679777
project_vendor,eunomia.dev,codex,tool_family,task,28,0,0,28,0,,1.0
project_vendor,eunomia.dev,codex,tool_family,wait/control,2974,947,83,1944,1030,0.08058252427184466,0.6536650975117687
overall,ALL,ALL,tool_name,Agent,613,589,14,10,603,0.02321724709784411,0.01631321370309951
overall,ALL,ALL,tool_name,AskUserQuestion,12,10,2,0,12,0.16666666666666666,0.0
overall,ALL,ALL,tool_name,Bash,14300,13794,504,2,14298,0.03524968527066723,0.00013986013986013986
overall,ALL,ALL,tool_name,Edit,8349,7997,350,2,8347,0.041931232778243684,0.00023954964666427118
overall,ALL,ALL,tool_name,EnterPlanMode,1,1,0,0,1,0.0,0.0
overall,ALL,ALL,tool_name,ExitPlanMode,1,1,0,0,1,0.0,0.0
overall,ALL,ALL,tool_name,Glob,22,22,0,0,22,0.0,0.0
overall,ALL,ALL,tool_name,Grep,42,42,0,0,42,0.0,0.0
overall,ALL,ALL,tool_name,LSP,3,3,0,0,3,0.0,0.0
overall,ALL,ALL,tool_name,Monitor,9,8,1,0,9,0.1111111111111111,0.0
overall,ALL,ALL,tool_name,Read,8980,8871,102,7,8973,0.011367435640254095,0.0007795100222717149
overall,ALL,ALL,tool_name,ReportFindings,2,2,0,0,2,0.0,0.0
