stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
project_vendor,ActPlane,codex,same_prompt,multimodal,38,8398.0,21195.6,25107.74999999999,54465.5500000001,68520,0.2631578947368421,0.6052631578947368,1,0.02631578947368421,0,0.0,0.0007942811755361397
project_vendor,ActPlane,codex,same_prompt,other,8,9849.5,12852.8,13978.399999999998,14878.88,15104,0.125,0.5,0,0.0,0,0.0,0.0
project_vendor,ActPlane,codex,same_prompt,plan/goal,666,8135.0,24479.5,33831.25,93166.3500000001,62192492,0.003003003003003003,0.6651651651651652,16,0.024024024024024024,4,0.006006006006006006,0.012708498808578236
project_vendor,ActPlane,codex,same_prompt,shell,34363,3083.0,23143.999999999996,35145.799999999974,65283.53999999965,29511889,0.48831592119430783,0.7382067921892733,408,0.011873235747751943,7,0.00020370747606437156,0.32406671961874506
project_vendor,ActPlane,codex,same_prompt,task,79,8356.0,14568.800000000001,15921.099999999975,36413.86,37204,0.0759493670886076,0.6835443037974683,0,0.0,0,0.0,0.0
project_vendor,ActPlane,codex,same_prompt,wait/control,8057,34630.0,49064.20000000019,71801.79999999996,258420.4799999949,3966143,0.07124239791485665,0.1372719374456994,745,0.09246617847834182,6,0.0007446940548591287,0.5917394757744241
project,academic-writing-skills,ALL,all_adjacent,ALL,923,5014.0,46517.40000000001,135307.89999999985,577471.7399999988,48921278,0.16143011917659805,0.7020585048754063,76,0.08234019501625135,8,0.00866738894907909,1.0
project,academic-writing-skills,ALL,all_adjacent,edit,388,3476.0,24979.200000000063,68961.94999999995,512402.33999999985,2886294,0.05154639175257732,0.7835051546391752,23,0.059278350515463915,2,0.005154639175257732,0.3026315789473684
project,academic-writing-skills,ALL,all_adjacent,fetch,2,34243.0,61331.799999999996,64717.899999999994,67426.78000000001,68104,0.5,0.5,1,0.5,0,0.0,0.013157894736842105
project,academic-writing-skills,ALL,all_adjacent,other,3,11282.0,998274.8,1121648.9,1220348.18,1245023,0.0,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.013157894736842105
project,academic-writing-skills,ALL,all_adjacent,read,211,1013.0,36580.0,60559.5,181131.40000000008,795688,0.4834123222748815,0.7725118483412322,11,0.052132701421800945,1,0.004739336492890996,0.14473684210526316
project,academic-writing-skills,ALL,all_adjacent,search,5,23815.0,29085.4,29313.2,29495.440000000002,29541,0.4,0.4,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,all_adjacent,shell,287,8108.0,84027.80000000005,303825.3,610209.5399999989,48921278,0.08362369337979095,0.5749128919860628,37,0.1289198606271777,3,0.010452961672473868,0.4868421052631579
project,academic-writing-skills,ALL,all_adjacent,skill,1,10204.0,10204.0,10204.0,10204.0,10204,0.0,0.0,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,all_adjacent,task,7,8978.0,304813.6000000001,378728.7999999998,437860.95999999985,452644,0.0,0.5714285714285714,2,0.2857142857142857,0,0.0,0.02631578947368421
project,academic-writing-skills,ALL,all_adjacent,tool discovery,3,7960.0,9604.8,9810.4,9974.880000000001,10016,0.0,0.6666666666666666,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,all_adjacent,write,16,14502.0,48391.5,1095338.25,3580680.449999999,4202016,0.0,0.375,1,0.0625,1,0.0625,0.013157894736842105
project,academic-writing-skills,ALL,same_prompt,ALL,813,3857.0,18170.600000000013,33317.19999999998,67899.4,164375,0.18327183271832717,0.7835178351783518,14,0.017220172201722016,0,0.0,1.0
project,academic-writing-skills,ALL,same_prompt,edit,349,3129.0,11238.2,18029.99999999998,35177.399999999994,64682,0.05730659025787966,0.8681948424068768,1,0.0028653295128939827,0,0.0,0.07142857142857142
project,academic-writing-skills,ALL,same_prompt,fetch,2,34243.0,61331.799999999996,64717.899999999994,67426.78000000001,68104,0.5,0.5,1,0.5,0,0.0,0.07142857142857142
project,academic-writing-skills,ALL,same_prompt,other,2,7014.5,10428.500000000002,10855.25,11196.65,11282,0.0,0.5,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,read,192,941.5,17543.50000000001,42137.24999999998,110000.7500000001,164375,0.53125,0.828125,5,0.026041666666666668,0,0.0,0.35714285714285715
project,academic-writing-skills,ALL,same_prompt,search,4,12191.0,27025.9,27713.949999999997,28264.389999999996,28402,0.5,0.5,0,0.0,0,0.0,0.0
