stratum_type,project,vendor,tool_family,source_category,projected_effect,calls,share,ok,fail,observed
project_vendor,ActPlane,codex,plan/goal,plan,test,1,2.0727966171959207e-05,0,0,1
project_vendor,ActPlane,codex,plan/goal,tool,process,16,0.0003316474587513473,0,0,16
project_vendor,ActPlane,codex,shell,shell,network,278,0.00576237459580466,176,22,80
project_vendor,ActPlane,codex,shell,shell,process,11893,0.24651770168311085,10258,469,1166
project_vendor,ActPlane,codex,shell,shell,read,19506,0.4043197081502363,19124,365,17
project_vendor,ActPlane,codex,shell,shell,repo,278,0.00576237459580466,263,7,8
project_vendor,ActPlane,codex,shell,shell,test,2542,0.05269049000912031,2154,231,157
project_vendor,ActPlane,codex,shell,shell,write,669,0.013867009369040709,623,24,22
project_vendor,ActPlane,codex,task,subagent,process,79,0.0016375093275847773,0,0,79
project_vendor,ActPlane,codex,task,subagent,test,1,2.0727966171959207e-05,0,0,1
project_vendor,ActPlane,codex,wait/control,network,network,7,0.00014509576320371445,0,3,4
project_vendor,ActPlane,codex,wait/control,tool,process,8101,0.16791725395904153,1218,464,6419
project,academic-writing-skills,ALL,edit,edit,process,385,0.4061181434599156,365,19,1
project,academic-writing-skills,ALL,edit,edit,test,6,0.006329113924050633,6,0,0
project,academic-writing-skills,ALL,fetch,network,process,2,0.002109704641350211,2,0,0
project,academic-writing-skills,ALL,other,tool,process,4,0.004219409282700422,3,1,0
project,academic-writing-skills,ALL,read,read,process,217,0.2289029535864979,212,1,4
project,academic-writing-skills,ALL,read,read,test,1,0.0010548523206751054,1,0,0
project,academic-writing-skills,ALL,search,network,process,5,0.005274261603375527,5,0,0
project,academic-writing-skills,ALL,shell,shell,network,3,0.0031645569620253164,3,0,0
project,academic-writing-skills,ALL,shell,shell,process,140,0.14767932489451477,125,15,0
project,academic-writing-skills,ALL,shell,shell,read,152,0.16033755274261605,145,5,2
project,academic-writing-skills,ALL,shell,shell,test,1,0.0010548523206751054,1,0,0
project,academic-writing-skills,ALL,shell,shell,write,4,0.004219409282700422,3,1,0
project,academic-writing-skills,ALL,skill,tool,process,1,0.0010548523206751054,1,0,0
project,academic-writing-skills,ALL,task,subagent,process,8,0.008438818565400843,8,0,0
project,academic-writing-skills,ALL,tool discovery,network,process,3,0.0031645569620253164,3,0,0
project,academic-writing-skills,ALL,write,edit,process,15,0.015822784810126583,14,1,0
project,academic-writing-skills,ALL,write,edit,test,1,0.0010548523206751054,1,0,0
project_vendor,academic-writing-skills,claude,edit,edit,process,385,0.4061181434599156,365,19,1
project_vendor,academic-writing-skills,claude,edit,edit,test,6,0.006329113924050633,6,0,0
project_vendor,academic-writing-skills,claude,fetch,network,process,2,0.002109704641350211,2,0,0
project_vendor,academic-writing-skills,claude,other,tool,process,4,0.004219409282700422,3,1,0
project_vendor,academic-writing-skills,claude,read,read,process,217,0.2289029535864979,212,1,4
project_vendor,academic-writing-skills,claude,read,read,test,1,0.0010548523206751054,1,0,0
project_vendor,academic-writing-skills,claude,search,network,process,5,0.005274261603375527,5,0,0
project_vendor,academic-writing-skills,claude,shell,shell,network,3,0.0031645569620253164,3,0,0
project_vendor,academic-writing-skills,claude,shell,shell,process,140,0.14767932489451477,125,15,0
project_vendor,academic-writing-skills,claude,shell,shell,read,152,0.16033755274261605,145,5,2
project_vendor,academic-writing-skills,claude,shell,shell,test,1,0.0010548523206751054,1,0,0
project_vendor,academic-writing-skills,claude,shell,shell,write,4,0.004219409282700422,3,1,0
project_vendor,academic-writing-skills,claude,skill,tool,process,1,0.0010548523206751054,1,0,0
project_vendor,academic-writing-skills,claude,task,subagent,process,8,0.008438818565400843,8,0,0
project_vendor,academic-writing-skills,claude,tool discovery,network,process,3,0.0031645569620253164,3,0,0
project_vendor,academic-writing-skills,claude,write,edit,process,15,0.015822784810126583,14,1,0
project_vendor,academic-writing-skills,claude,write,edit,test,1,0.0010548523206751054,1,0,0
project,agentsight,ALL,coordination,subagent,process,5071,0.05196442112598119,0,88,4983
project,agentsight,ALL,coordination,tool,process,935,0.009581292398499785,1,0,934
project,agentsight,ALL,coordination,tool,test,3,3.074211464759289e-05,0,0,3
project,agentsight,ALL,edit,edit,process,1890,0.01936753222798352,1791,99,0
project,agentsight,ALL,edit,edit,test,21,0.00021519480253315025,21,0,0
project,agentsight,ALL,edit,edit,write,5183,0.05311212673949132,0,6,5177
project,agentsight,ALL,fetch,network,network,140,0.0014346320168876683,120,16,4
project,agentsight,ALL,fetch,network,process,28,0.00028692640337753364,27,1,0
project,agentsight,ALL,multimodal,tool,process,50,0.0005123685774598816,14,1,35
project,agentsight,ALL,other,tool,process,23,0.0002356895456315455,4,13,6
project,agentsight,ALL,plan/goal,plan,network,3,3.074211464759289e-05,0,0,3
project,agentsight,ALL,plan/goal,plan,process,740,0.0075830549464062464,6,0,734
project,agentsight,ALL,plan/goal,tool,process,29,0.0002971737749267313,0,0,29
project,agentsight,ALL,read,read,network,8,8.197897239358104e-05,8,0,0
project,agentsight,ALL,read,read,process,3253,0.033334699649539896,3206,45,2
project,agentsight,ALL,read,read,test,16,0.00016395794478716208,16,0,0
project,agentsight,ALL,read,tool,process,10,0.00010247371549197631,10,0,0
project,agentsight,ALL,search,network,process,294,0.0030127272354641033,293,0,1
project,agentsight,ALL,search,read,process,30,0.00030742114647592893,30,0,0
project,agentsight,ALL,shell,shell,network,1711,0.017533252720677146,1562,49,100
project,agentsight,ALL,shell,shell,process,19819,0.20309265673354784,15954,703,3162
project,agentsight,ALL,shell,shell,read,42525,0.43576947512962927,41810,657,58
project,agentsight,ALL,shell,shell,repo,1259,0.012901440780439817,1074,84,101
project,agentsight,ALL,shell,shell,test,3983,0.04081528088045416,3377,391,215
project,agentsight,ALL,shell,shell,write,4535,0.04647182997561126,4225,258,52
project,agentsight,ALL,shell,tool,process,2,2.049474309839526e-05,0,2,0
project,agentsight,ALL,skill,tool,process,31,0.00031766851802512655,30,1,0
project,agentsight,ALL,task,network,network,19,0.00019470005943475499,0,0,19
project,agentsight,ALL,task,network,process,4,4.098948619679052e-05,4,0,0
project,agentsight,ALL,task,subagent,process,1015,0.010401082122435595,332,0,683
project,agentsight,ALL,task,subagent,test,5,5.123685774598816e-05,2,0,3
project,agentsight,ALL,tool discovery,network,process,44,0.0004508843481646958,44,0,0
project,agentsight,ALL,wait/control,tool,process,4766,0.048838972803475905,3503,158,1105
project,agentsight,ALL,write,edit,process,138,0.0014141372737892731,134,4,0
project,agentsight,ALL,write,edit,test,3,3.074211464759289e-05,3,0,0
project_vendor,agentsight,claude,coordination,tool,process,1,7.984031936127745e-05,1,0,0
project_vendor,agentsight,claude,edit,edit,process,1890,0.15089820359281436,1791,99,0
project_vendor,agentsight,claude,edit,edit,test,21,0.0016766467065868263,21,0,0
project_vendor,agentsight,claude,fetch,network,network,135,0.010778443113772455,120,15,0
project_vendor,agentsight,claude,fetch,network,process,28,0.0022355289421157683,27,1,0
project_vendor,agentsight,claude,multimodal,tool,process,15,0.0011976047904191617,14,1,0
project_vendor,agentsight,claude,other,tool,process,4,0.0003193612774451098,3,1,0
project_vendor,agentsight,claude,plan/goal,plan,process,6,0.00047904191616766467,6,0,0
project_vendor,agentsight,claude,read,read,network,8,0.0006387225548902196,8,0,0
project_vendor,agentsight,claude,read,read,process,3253,0.25972055888223555,3206,45,2
project_vendor,agentsight,claude,read,read,test,16,0.0012774451097804392,16,0,0
project_vendor,agentsight,claude,search,network,process,281,0.022435129740518964,280,0,1
project_vendor,agentsight,claude,search,read,process,29,0.002315369261477046,29,0,0
project_vendor,agentsight,claude,shell,shell,network,83,0.006626746506986028,79,4,0
project_vendor,agentsight,claude,shell,shell,process,1770,0.14131736526946106,1696,74,0
project_vendor,agentsight,claude,shell,shell,read,3834,0.30610778443113773,3772,62,0
project_vendor,agentsight,claude,shell,shell,repo,131,0.010459081836327344,106,25,0
project_vendor,agentsight,claude,shell,shell,test,400,0.031936127744510975,387,13,0
project_vendor,agentsight,claude,shell,shell,write,63,0.005029940119760479,60,3,0
project_vendor,agentsight,claude,skill,tool,process,31,0.0024750499001996006,30,1,0
project_vendor,agentsight,claude,task,network,process,4,0.0003193612774451098,4,0,0
project_vendor,agentsight,claude,task,subagent,process,333,0.02658682634730539,332,0,1
project_vendor,agentsight,claude,task,subagent,test,2,0.0001596806387225549,2,0,0
project_vendor,agentsight,claude,tool discovery,network,process,44,0.0035129740518962077,44,0,0
project_vendor,agentsight,claude,wait/control,tool,process,2,0.0001596806387225549,2,0,0
project_vendor,agentsight,claude,write,edit,process,138,0.011017964071856288,134,4,0
project_vendor,agentsight,claude,write,edit,test,3,0.00023952095808383233,3,0,0
project_vendor,agentsight,codex,coordination,subagent,process,5071,0.059634969541595126,0,88,4983
project_vendor,agentsight,codex,coordination,tool,process,934,0.01098384175741468,0,0,934
project_vendor,agentsight,codex,coordination,tool,test,3,3.5280005644800905e-05,0,0,3
project_vendor,agentsight,codex,edit,edit,write,5183,0.06095208975233436,0,6,5177
project_vendor,agentsight,codex,fetch,network,network,5,5.8800009408001504e-05,0,1,4
project_vendor,agentsight,codex,multimodal,tool,process,35,0.00041160006585601056,0,0,35
project_vendor,agentsight,codex,other,tool,process,18,0.00021168003386880542,0,12,6
project_vendor,agentsight,codex,plan/goal,plan,network,3,3.5280005644800905e-05,0,0,3
project_vendor,agentsight,codex,plan/goal,plan,process,734,0.00863184138109462,0,0,734
project_vendor,agentsight,codex,plan/goal,tool,process,29,0.0003410400545664087,0,0,29
project_vendor,agentsight,codex,shell,shell,network,1628,0.01914528306324529,1483,45,100
project_vendor,agentsight,codex,shell,shell,process,18049,0.21225627396100383,14258,629,3162
project_vendor,agentsight,codex,shell,shell,read,38691,0.4550062328009972,38038,595,58
project_vendor,agentsight,codex,shell,shell,repo,1128,0.013265282122445139,968,59,101
project_vendor,agentsight,codex,shell,shell,test,3583,0.04213608674177388,2990,378,215
project_vendor,agentsight,codex,shell,shell,write,4472,0.05259072841451655,4165,255,52
project_vendor,agentsight,codex,task,network,network,19,0.00022344003575040572,0,0,19
project_vendor,agentsight,codex,task,subagent,process,682,0.008020321283251405,0,0,682
project_vendor,agentsight,codex,task,subagent,test,3,3.5280005644800905e-05,0,0,3
project_vendor,agentsight,codex,wait/control,tool,process,4764,0.05602464896394383,3501,158,1105
project_vendor,agentsight,gemini,other,tool,process,1,0.037037037037037035,1,0,0
project_vendor,agentsight,gemini,read,tool,process,10,0.37037037037037035,10,0,0
project_vendor,agentsight,gemini,search,network,process,13,0.48148148148148145,13,0,0
project_vendor,agentsight,gemini,search,read,process,1,0.037037037037037035,1,0,0
project_vendor,agentsight,gemini,shell,tool,process,2,0.07407407407407407,0,2,0
project,agentskill-observability-paper,ALL,coordination,tool,process,2,0.0020181634712411706,0,2,0
project,agentskill-observability-paper,ALL,edit,edit,process,264,0.26639757820383453,236,28,0
project,agentskill-observability-paper,ALL,fetch,network,network,10,0.010090817356205853,10,0,0
project,agentskill-observability-paper,ALL,multimodal,tool,process,2,0.0020181634712411706,2,0,0
project,agentskill-observability-paper,ALL,other,tool,process,2,0.0020181634712411706,2,0,0
project,agentskill-observability-paper,ALL,read,read,process,350,0.35317860746720486,348,2,0
project,agentskill-observability-paper,ALL,search,network,process,48,0.04843592330978809,48,0,0
project,agentskill-observability-paper,ALL,shell,shell,process,81,0.08173562058526741,79,2,0
project,agentskill-observability-paper,ALL,shell,shell,read,154,0.15539858728557013,152,2,0
project,agentskill-observability-paper,ALL,shell,shell,repo,3,0.0030272452068617556,3,0,0
project,agentskill-observability-paper,ALL,shell,shell,test,4,0.004036326942482341,1,3,0
project,agentskill-observability-paper,ALL,skill,tool,process,13,0.013118062563067608,13,0,0
project,agentskill-observability-paper,ALL,task,subagent,process,30,0.030272452068617558,26,4,0
project,agentskill-observability-paper,ALL,tool discovery,network,process,6,0.006054490413723511,6,0,0
