stratum_type,project,vendor,tool_family,analysis_scope,window,behavior,count,share,failed_calls
vendor,ALL,claude,shell,same_prompt_source_stream,next_call,switch_to:write,1,0.0019723865877712033,507
vendor,ALL,claude,skill,same_prompt_source_stream,next_call,switch_to:task,1,1.0,1
vendor,ALL,claude,task,same_prompt_source_stream,next_call,end_of_prompt,8,0.5714285714285714,14
vendor,ALL,claude,task,same_prompt_source_stream,next_call,end_of_stream,1,0.07142857142857142,14
vendor,ALL,claude,task,same_prompt_source_stream,next_call,exact_retry_success,2,0.14285714285714285,14
vendor,ALL,claude,task,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.07142857142857142,14
vendor,ALL,claude,task,same_prompt_source_stream,next_call,switch_to:shell,1,0.07142857142857142,14
vendor,ALL,claude,task,same_prompt_source_stream,next_call,switch_to:write,1,0.07142857142857142,14
vendor,ALL,claude,wait/control,same_prompt_source_stream,next_call,end_of_prompt,1,1.0,1
vendor,ALL,claude,write,same_prompt_source_stream,next_call,end_of_stream,1,0.06666666666666667,15
vendor,ALL,claude,write,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.06666666666666667,15
vendor,ALL,claude,write,same_prompt_source_stream,next_call,switch_to:read,11,0.7333333333333333,15
vendor,ALL,claude,write,same_prompt_source_stream,next_call,switch_to:shell,2,0.13333333333333333,15
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,end_of_prompt,3,0.03125,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.010416666666666666,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,same_family_changed_tool_or_arguments,42,0.4375,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.010416666666666666,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,switch_to:edit,2,0.020833333333333332,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,switch_to:plan/goal,2,0.020833333333333332,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,switch_to:shell,34,0.3541666666666667,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,switch_to:task,9,0.09375,96
vendor,ALL,codex,coordination,same_prompt_source_stream,next_call,switch_to:wait/control,2,0.020833333333333332,96
vendor,ALL,codex,edit,same_prompt_source_stream,next_call,end_of_prompt,1,0.0625,16
vendor,ALL,codex,edit,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,2,0.125,16
vendor,ALL,codex,edit,same_prompt_source_stream,next_call,switch_to:plan/goal,1,0.0625,16
vendor,ALL,codex,edit,same_prompt_source_stream,next_call,switch_to:shell,12,0.75,16
vendor,ALL,codex,fetch,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,3,0.75,4
vendor,ALL,codex,fetch,same_prompt_source_stream,next_call,switch_to:shell,1,0.25,4
vendor,ALL,codex,multimodal,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.5,2
vendor,ALL,codex,multimodal,same_prompt_source_stream,next_call,switch_to:edit,1,0.5,2
vendor,ALL,codex,other,same_prompt_source_stream,next_call,exact_retry_not_success,2,0.09523809523809523,21
vendor,ALL,codex,other,same_prompt_source_stream,next_call,switch_to:fetch,1,0.047619047619047616,21
vendor,ALL,codex,other,same_prompt_source_stream,next_call,switch_to:shell,18,0.8571428571428571,21
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,end_of_prompt,33,0.010033444816053512,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,end_of_stream,9,0.002736394040741867,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,exact_retry_not_success,11,0.0033444816053511705,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,exact_retry_success,6,0.0018242626938279112,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_different_class,1441,0.43812709030100333,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_same_class,1424,0.43295834600182426,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,switch_to:coordination,19,0.005776831863788386,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,switch_to:edit,183,0.055640012161751295,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,switch_to:multimodal,1,0.0003040437823046519,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,switch_to:plan/goal,22,0.006688963210702341,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,switch_to:task,9,0.002736394040741867,3289
vendor,ALL,codex,shell,same_prompt_source_stream,next_call,switch_to:wait/control,131,0.03982973548190939,3289
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,end_of_prompt,6,0.008450704225352112,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,end_of_stream,2,0.0028169014084507044,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,exact_retry_not_success,161,0.2267605633802817,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,exact_retry_success,28,0.03943661971830986,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,61,0.08591549295774648,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,switch_to:coordination,4,0.005633802816901409,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,switch_to:edit,49,0.06901408450704226,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,switch_to:plan/goal,6,0.008450704225352112,710
vendor,ALL,codex,wait/control,same_prompt_source_stream,next_call,switch_to:shell,393,0.5535211267605634,710
vendor,ALL,gemini,shell,same_prompt_source_stream,next_call,switch_to:search,2,1.0,2
project,ActPlane,ALL,coordination,same_prompt_source_stream,next_call,end_of_prompt,2,0.3333333333333333,6
project,ActPlane,ALL,coordination,same_prompt_source_stream,next_call,same_family_changed_tool_or_arguments,1,0.16666666666666666,6
project,ActPlane,ALL,coordination,same_prompt_source_stream,next_call,switch_to:edit,1,0.16666666666666666,6
project,ActPlane,ALL,coordination,same_prompt_source_stream,next_call,switch_to:plan/goal,1,0.16666666666666666,6
project,ActPlane,ALL,coordination,same_prompt_source_stream,next_call,switch_to:shell,1,0.16666666666666666,6
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,end_of_prompt,17,0.08900523560209424,191
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,exact_retry_not_success,12,0.06282722513089005,191
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,exact_retry_success,9,0.04712041884816754,191
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,7,0.03664921465968586,191
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,switch_to:plan/goal,1,0.005235602094240838,191
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,switch_to:read,113,0.5916230366492147,191
project,ActPlane,ALL,edit,same_prompt_source_stream,next_call,switch_to:shell,32,0.16753926701570682,191
