stratum_type,project,vendor,shell_class,classification,calls,share_of_shell_calls
project_vendor,agentsight,codex,lint/format,primary,1083,0.016032331127592486
project_vendor,agentsight,codex,network/remote,primary,755,0.011176740536779618
project_vendor,agentsight,codex,other,primary,8879,0.13144142943849832
project_vendor,agentsight,codex,package/dependency,primary,26,0.00038489437610101995
project_vendor,agentsight,codex,process/system,primary,1593,0.023582182351112493
project_vendor,agentsight,codex,search/text,primary,34925,0.5170167725126201
project_vendor,agentsight,codex,test,primary,1775,0.026276442983819634
project_vendor,agentsight,gemini,search/text,primary,2,1.0
project,agentskill-observability-paper,ALL,build/check,primary,5,0.02066115702479339
project,agentskill-observability-paper,ALL,data/analysis/runtime,primary,3,0.012396694214876033
project,agentskill-observability-paper,ALL,filesystem/navigation,primary,35,0.1446280991735537
project,agentskill-observability-paper,ALL,git/repository,primary,6,0.024793388429752067
project,agentskill-observability-paper,ALL,other,primary,2,0.008264462809917356
project,agentskill-observability-paper,ALL,search/text,primary,191,0.7892561983471075
project_vendor,agentskill-observability-paper,claude,build/check,primary,5,0.02066115702479339
project_vendor,agentskill-observability-paper,claude,data/analysis/runtime,primary,3,0.012396694214876033
project_vendor,agentskill-observability-paper,claude,filesystem/navigation,primary,35,0.1446280991735537
project_vendor,agentskill-observability-paper,claude,git/repository,primary,6,0.024793388429752067
project_vendor,agentskill-observability-paper,claude,other,primary,2,0.008264462809917356
project_vendor,agentskill-observability-paper,claude,search/text,primary,191,0.7892561983471075
project,bpf-developer-tutorial,ALL,build/check,primary,16,0.01871345029239766
project,bpf-developer-tutorial,ALL,data/analysis/runtime,primary,3,0.0035087719298245615
project,bpf-developer-tutorial,ALL,filesystem/navigation,primary,49,0.05730994152046784
project,bpf-developer-tutorial,ALL,git/repository,primary,263,0.30760233918128654
project,bpf-developer-tutorial,ALL,other,primary,94,0.10994152046783626
project,bpf-developer-tutorial,ALL,package/dependency,primary,1,0.0011695906432748538
project,bpf-developer-tutorial,ALL,process/system,primary,6,0.007017543859649123
project,bpf-developer-tutorial,ALL,search/text,primary,417,0.48771929824561405
project,bpf-developer-tutorial,ALL,test,primary,6,0.007017543859649123
project_vendor,bpf-developer-tutorial,claude,data/analysis/runtime,primary,2,0.0057306590257879654
project_vendor,bpf-developer-tutorial,claude,filesystem/navigation,primary,29,0.0830945558739255
project_vendor,bpf-developer-tutorial,claude,git/repository,primary,166,0.47564469914040114
project_vendor,bpf-developer-tutorial,claude,other,primary,2,0.0057306590257879654
project_vendor,bpf-developer-tutorial,claude,package/dependency,primary,1,0.0028653295128939827
project_vendor,bpf-developer-tutorial,claude,process/system,primary,1,0.0028653295128939827
project_vendor,bpf-developer-tutorial,claude,search/text,primary,148,0.42406876790830944
project_vendor,bpf-developer-tutorial,codex,build/check,primary,16,0.03162055335968379
project_vendor,bpf-developer-tutorial,codex,data/analysis/runtime,primary,1,0.001976284584980237
project_vendor,bpf-developer-tutorial,codex,filesystem/navigation,primary,20,0.039525691699604744
project_vendor,bpf-developer-tutorial,codex,git/repository,primary,97,0.191699604743083
project_vendor,bpf-developer-tutorial,codex,other,primary,92,0.18181818181818182
project_vendor,bpf-developer-tutorial,codex,process/system,primary,5,0.009881422924901186
project_vendor,bpf-developer-tutorial,codex,search/text,primary,269,0.5316205533596838
project_vendor,bpf-developer-tutorial,codex,test,primary,6,0.011857707509881422
project,eunomia.dev,ALL,build/check,primary,190,0.02340766292965381
project,eunomia.dev,ALL,container/orchestration,primary,1,0.00012319822594554638
project,eunomia.dev,ALL,data/analysis/runtime,primary,243,0.02993716890476777
project,eunomia.dev,ALL,filesystem/navigation,primary,602,0.07416533201921892
project,eunomia.dev,ALL,git/repository,primary,2072,0.2552667241591721
project,eunomia.dev,ALL,lint/format,primary,62,0.007638290008623876
project,eunomia.dev,ALL,network/remote,primary,173,0.021313293088579526
project,eunomia.dev,ALL,other,primary,1550,0.1909572502155969
project,eunomia.dev,ALL,package/dependency,primary,15,0.0018479733891831958
project,eunomia.dev,ALL,process/system,primary,152,0.01872613034372305
project,eunomia.dev,ALL,search/text,primary,2974,0.36639152396205493
project,eunomia.dev,ALL,test,primary,83,0.01022545275348035
project_vendor,eunomia.dev,claude,data/analysis/runtime,primary,7,0.005372217958557176
project_vendor,eunomia.dev,claude,filesystem/navigation,primary,443,0.3399846508058327
project_vendor,eunomia.dev,claude,git/repository,primary,351,0.2693783576362241
project_vendor,eunomia.dev,claude,lint/format,primary,4,0.0030698388334612432
project_vendor,eunomia.dev,claude,network/remote,primary,44,0.03376822716807368
project_vendor,eunomia.dev,claude,other,primary,75,0.05755947812739831
project_vendor,eunomia.dev,claude,package/dependency,primary,3,0.0023023791250959325
project_vendor,eunomia.dev,claude,process/system,primary,16,0.012279355333844973
project_vendor,eunomia.dev,claude,search/text,primary,354,0.27168073676132004
project_vendor,eunomia.dev,claude,test,primary,6,0.004604758250191865
project_vendor,eunomia.dev,codex,build/check,primary,190,0.02788376871147637
project_vendor,eunomia.dev,codex,container/orchestration,primary,1,0.000146756677428823
project_vendor,eunomia.dev,codex,data/analysis/runtime,primary,236,0.034634575873202234
project_vendor,eunomia.dev,codex,filesystem/navigation,primary,159,0.02333431171118286
project_vendor,eunomia.dev,codex,git/repository,primary,1721,0.2525682418550044
project_vendor,eunomia.dev,codex,lint/format,primary,58,0.008511887290871734
project_vendor,eunomia.dev,codex,network/remote,primary,129,0.018931611388318167
project_vendor,eunomia.dev,codex,other,primary,1475,0.21646609920751395
project_vendor,eunomia.dev,codex,package/dependency,primary,12,0.0017610801291458762
project_vendor,eunomia.dev,codex,process/system,primary,136,0.01995890813031993
project_vendor,eunomia.dev,codex,search/text,primary,2620,0.3845024948635163
project_vendor,eunomia.dev,codex,test,primary,77,0.011300264162019373
overall,ALL,ALL,build/check,multi_label_presence,3144,0.02528510077045568
overall,ALL,ALL,container/orchestration,multi_label_presence,2667,0.021448907046693798
overall,ALL,ALL,data/analysis/runtime,multi_label_presence,12237,0.09841405156745106
overall,ALL,ALL,filesystem/navigation,multi_label_presence,8137,0.0654404786797703
overall,ALL,ALL,git/repository,multi_label_presence,22227,0.17875697672548294
overall,ALL,ALL,lint/format,multi_label_presence,2173,0.0174759936304708
overall,ALL,ALL,network/remote,multi_label_presence,1187,0.00954625146772611
overall,ALL,ALL,other,multi_label_presence,13092,0.1052902478647601
overall,ALL,ALL,package/dependency,multi_label_presence,183,0.0014717472776696531
overall,ALL,ALL,process/system,multi_label_presence,7531,0.060566823760274086
overall,ALL,ALL,search/text,multi_label_presence,80052,0.6438049894645413
overall,ALL,ALL,test,multi_label_presence,4435,0.03566775506264979
vendor,ALL,claude,build/check,multi_label_presence,484,0.03383905474376005
vendor,ALL,claude,container/orchestration,multi_label_presence,71,0.004963993567782983
vendor,ALL,claude,data/analysis/runtime,multi_label_presence,1423,0.09948961756274907
vendor,ALL,claude,filesystem/navigation,multi_label_presence,3229,0.225756834230581
vendor,ALL,claude,git/repository,multi_label_presence,3307,0.23121023561490597
vendor,ALL,claude,lint/format,multi_label_presence,151,0.01055722575683423
vendor,ALL,claude,network/remote,multi_label_presence,124,0.008669509893029434
vendor,ALL,claude,other,multi_label_presence,273,0.019086904845137385
vendor,ALL,claude,package/dependency,multi_label_presence,50,0.00349577011815703
vendor,ALL,claude,process/system,multi_label_presence,440,0.030762777039781863
vendor,ALL,claude,search/text,multi_label_presence,10661,0.7453681045934419
vendor,ALL,claude,test,multi_label_presence,435,0.030413200027966162
vendor,ALL,codex,build/check,multi_label_presence,2660,0.0241736870325436
vendor,ALL,codex,container/orchestration,multi_label_presence,2596,0.023592064487399693
vendor,ALL,codex,data/analysis/runtime,multi_label_presence,10814,0.09827603442478439
vendor,ALL,codex,filesystem/navigation,multi_label_presence,4908,0.044603178930723304
vendor,ALL,codex,git/repository,multi_label_presence,18920,0.17194216490816724
vendor,ALL,codex,lint/format,multi_label_presence,2022,0.018375637285640286
vendor,ALL,codex,network/remote,multi_label_presence,1063,0.009660386960749567
vendor,ALL,codex,other,multi_label_presence,12819,0.11649717822187082
vendor,ALL,codex,package/dependency,multi_label_presence,133,0.0012086843516271799
vendor,ALL,codex,process/system,multi_label_presence,7091,0.06444196043149122
vendor,ALL,codex,search/text,multi_label_presence,69389,0.6305969810154766
vendor,ALL,codex,test,multi_label_presence,4000,0.03635140907149413
vendor,ALL,gemini,search/text,multi_label_presence,2,1.0
project,ActPlane,ALL,build/check,multi_label_presence,1055,0.025735473483924475
project,ActPlane,ALL,container/orchestration,multi_label_presence,2447,0.05969166219446748
project,ActPlane,ALL,data/analysis/runtime,multi_label_presence,5484,0.13377567448894961
project,ActPlane,ALL,filesystem/navigation,multi_label_presence,2821,0.06881494852905304
project,ActPlane,ALL,git/repository,multi_label_presence,5725,0.13965458359759964
project,ActPlane,ALL,lint/format,multi_label_presence,852,0.020783529296970287
project,ActPlane,ALL,network/remote,multi_label_presence,115,0.0028052885788164123
project,ActPlane,ALL,other,multi_label_presence,2459,0.05998438795921354
project,ActPlane,ALL,package/dependency,multi_label_presence,81,0.0019758989120359075
project,ActPlane,ALL,process/system,multi_label_presence,3661,0.08930575206127726
project,ActPlane,ALL,search/text,multi_label_presence,25765,0.6285066107235205
project,ActPlane,ALL,test,multi_label_presence,1779,0.04339659462360346
project_vendor,ActPlane,claude,build/check,multi_label_presence,159,0.027282086479066575
project_vendor,ActPlane,claude,container/orchestration,multi_label_presence,41,0.007035003431708991
project_vendor,ActPlane,claude,data/analysis/runtime,multi_label_presence,1080,0.18531228551818807
project_vendor,ActPlane,claude,filesystem/navigation,multi_label_presence,1369,0.23490048043925876
project_vendor,ActPlane,claude,git/repository,multi_label_presence,1132,0.19423472889498972
project_vendor,ActPlane,claude,lint/format,multi_label_presence,53,0.009094028826355524
project_vendor,ActPlane,claude,network/remote,multi_label_presence,35,0.006005490734385724
project_vendor,ActPlane,claude,other,multi_label_presence,86,0.014756348661633494
project_vendor,ActPlane,claude,package/dependency,multi_label_presence,32,0.00549073438572409
project_vendor,ActPlane,claude,process/system,multi_label_presence,175,0.03002745367192862
project_vendor,ActPlane,claude,search/text,multi_label_presence,4036,0.6925188743994509
project_vendor,ActPlane,claude,test,multi_label_presence,127,0.021791352093342483
project_vendor,ActPlane,codex,build/check,multi_label_presence,896,0.0254791560029574
project_vendor,ActPlane,codex,container/orchestration,multi_label_presence,2406,0.06841835864186999
project_vendor,ActPlane,codex,data/analysis/runtime,multi_label_presence,4404,0.12523460160382188
project_vendor,ActPlane,codex,filesystem/navigation,multi_label_presence,1452,0.041289882272649715
project_vendor,ActPlane,codex,git/repository,multi_label_presence,4593,0.1306091110731957
project_vendor,ActPlane,codex,lint/format,multi_label_presence,799,0.022720809873172952
project_vendor,ActPlane,codex,network/remote,multi_label_presence,80,0.0022749246431211967
project_vendor,ActPlane,codex,other,multi_label_presence,2373,0.0674799522265825
project_vendor,ActPlane,codex,package/dependency,multi_label_presence,49,0.001393391343911733
project_vendor,ActPlane,codex,process/system,multi_label_presence,3486,0.09912984132400614
project_vendor,ActPlane,codex,search/text,multi_label_presence,21729,0.617897969629756
project_vendor,ActPlane,codex,test,multi_label_presence,1652,0.04697719388045271
project,academic-writing-skills,ALL,build/check,multi_label_presence,2,0.006666666666666667
project,academic-writing-skills,ALL,container/orchestration,multi_label_presence,2,0.006666666666666667
project,academic-writing-skills,ALL,data/analysis/runtime,multi_label_presence,38,0.12666666666666668
project,academic-writing-skills,ALL,filesystem/navigation,multi_label_presence,163,0.5433333333333333
project,academic-writing-skills,ALL,git/repository,multi_label_presence,96,0.32
project,academic-writing-skills,ALL,other,multi_label_presence,3,0.01
project,academic-writing-skills,ALL,process/system,multi_label_presence,8,0.02666666666666667
project,academic-writing-skills,ALL,search/text,multi_label_presence,231,0.77
project_vendor,academic-writing-skills,claude,build/check,multi_label_presence,2,0.006666666666666667
project_vendor,academic-writing-skills,claude,container/orchestration,multi_label_presence,2,0.006666666666666667
project_vendor,academic-writing-skills,claude,data/analysis/runtime,multi_label_presence,38,0.12666666666666668
project_vendor,academic-writing-skills,claude,filesystem/navigation,multi_label_presence,163,0.5433333333333333
project_vendor,academic-writing-skills,claude,git/repository,multi_label_presence,96,0.32
project_vendor,academic-writing-skills,claude,other,multi_label_presence,3,0.01
project_vendor,academic-writing-skills,claude,process/system,multi_label_presence,8,0.02666666666666667
project_vendor,academic-writing-skills,claude,search/text,multi_label_presence,231,0.77
project,agentsight,ALL,build/check,multi_label_presence,1807,0.024473819649483978
project,agentsight,ALL,container/orchestration,multi_label_presence,204,0.0027629547363003494
project,agentsight,ALL,data/analysis/runtime,multi_label_presence,6273,0.08496085814123575
project,agentsight,ALL,filesystem/navigation,multi_label_presence,4287,0.058062681149605874
project,agentsight,ALL,git/repository,multi_label_presence,13767,0.18645881301297504
project,agentsight,ALL,lint/format,multi_label_presence,1246,0.016875694124658017
project,agentsight,ALL,network/remote,multi_label_presence,886,0.01199989164883387
project,agentsight,ALL,other,multi_label_presence,8984,0.1216783595633448
project,agentsight,ALL,package/dependency,multi_label_presence,71,0.000961616599398651
project,agentsight,ALL,process/system,multi_label_presence,3560,0.048216268927594334
project,agentsight,ALL,search/text,multi_label_presence,48647,0.6588698973372701
project,agentsight,ALL,test,multi_label_presence,2535,0.034333775767261696
project_vendor,agentsight,claude,build/check,multi_label_presence,306,0.04871835694953033
project_vendor,agentsight,claude,container/orchestration,multi_label_presence,19,0.0030249960197420793
project_vendor,agentsight,claude,data/analysis/runtime,multi_label_presence,248,0.039484158573475564
project_vendor,agentsight,claude,filesystem/navigation,multi_label_presence,1120,0.17831555484795414
project_vendor,agentsight,claude,git/repository,multi_label_presence,1404,0.22353128482725682
project_vendor,agentsight,claude,lint/format,multi_label_presence,93,0.014806559465053335
project_vendor,agentsight,claude,network/remote,multi_label_presence,35,0.005572361088998567
project_vendor,agentsight,claude,other,multi_label_presence,105,0.0167170832669957
project_vendor,agentsight,claude,package/dependency,multi_label_presence,6,0.000955261900971183
project_vendor,agentsight,claude,process/system,multi_label_presence,202,0.03216048399936316
project_vendor,agentsight,claude,search/text,multi_label_presence,5084,0.809425250756249
project_vendor,agentsight,claude,test,multi_label_presence,297,0.047285464098073555
project_vendor,agentsight,codex,build/check,multi_label_presence,1501,0.022220248404908882
project_vendor,agentsight,codex,container/orchestration,multi_label_presence,185,0.0027386715222572577
project_vendor,agentsight,codex,data/analysis/runtime,multi_label_presence,6025,0.08919186984648636
project_vendor,agentsight,codex,filesystem/navigation,multi_label_presence,3167,0.04688309573507424
project_vendor,agentsight,codex,git/repository,multi_label_presence,12363,0.183017275836035
project_vendor,agentsight,codex,lint/format,multi_label_presence,1153,0.01706858521709523
project_vendor,agentsight,codex,network/remote,multi_label_presence,851,0.012597889002383384
project_vendor,agentsight,codex,other,multi_label_presence,8879,0.13144142943849832
project_vendor,agentsight,codex,package/dependency,multi_label_presence,65,0.00096223594025255
project_vendor,agentsight,codex,process/system,multi_label_presence,3358,0.04971058903643173
project_vendor,agentsight,codex,search/text,multi_label_presence,43561,0.6448609198975589
project_vendor,agentsight,codex,test,multi_label_presence,2238,0.0331305236043878
project_vendor,agentsight,gemini,search/text,multi_label_presence,2,1.0
project,agentskill-observability-paper,ALL,build/check,multi_label_presence,7,0.028925619834710745
project,agentskill-observability-paper,ALL,data/analysis/runtime,multi_label_presence,9,0.0371900826446281
project,agentskill-observability-paper,ALL,filesystem/navigation,multi_label_presence,39,0.16115702479338842
project,agentskill-observability-paper,ALL,git/repository,multi_label_presence,7,0.028925619834710745
project,agentskill-observability-paper,ALL,other,multi_label_presence,2,0.008264462809917356
project,agentskill-observability-paper,ALL,process/system,multi_label_presence,2,0.008264462809917356
project,agentskill-observability-paper,ALL,search/text,multi_label_presence,213,0.8801652892561983
project_vendor,agentskill-observability-paper,claude,build/check,multi_label_presence,7,0.028925619834710745
project_vendor,agentskill-observability-paper,claude,data/analysis/runtime,multi_label_presence,9,0.0371900826446281
project_vendor,agentskill-observability-paper,claude,filesystem/navigation,multi_label_presence,39,0.16115702479338842
project_vendor,agentskill-observability-paper,claude,git/repository,multi_label_presence,7,0.028925619834710745
project_vendor,agentskill-observability-paper,claude,other,multi_label_presence,2,0.008264462809917356
project_vendor,agentskill-observability-paper,claude,process/system,multi_label_presence,2,0.008264462809917356
project_vendor,agentskill-observability-paper,claude,search/text,multi_label_presence,213,0.8801652892561983
project,bpf-developer-tutorial,ALL,build/check,multi_label_presence,24,0.028070175438596492
project,bpf-developer-tutorial,ALL,data/analysis/runtime,multi_label_presence,11,0.012865497076023392
project,bpf-developer-tutorial,ALL,filesystem/navigation,multi_label_presence,57,0.06666666666666667
project,bpf-developer-tutorial,ALL,git/repository,multi_label_presence,278,0.32514619883040935
project,bpf-developer-tutorial,ALL,other,multi_label_presence,94,0.10994152046783626
project,bpf-developer-tutorial,ALL,package/dependency,multi_label_presence,2,0.0023391812865497076
project,bpf-developer-tutorial,ALL,process/system,multi_label_presence,14,0.016374269005847954
project,bpf-developer-tutorial,ALL,search/text,multi_label_presence,591,0.6912280701754386
project,bpf-developer-tutorial,ALL,test,multi_label_presence,10,0.011695906432748537
project_vendor,bpf-developer-tutorial,claude,build/check,multi_label_presence,1,0.0028653295128939827
project_vendor,bpf-developer-tutorial,claude,data/analysis/runtime,multi_label_presence,2,0.0057306590257879654
project_vendor,bpf-developer-tutorial,claude,filesystem/navigation,multi_label_presence,35,0.10028653295128939
project_vendor,bpf-developer-tutorial,claude,git/repository,multi_label_presence,171,0.4899713467048711
project_vendor,bpf-developer-tutorial,claude,other,multi_label_presence,2,0.0057306590257879654
project_vendor,bpf-developer-tutorial,claude,package/dependency,multi_label_presence,2,0.0057306590257879654
project_vendor,bpf-developer-tutorial,claude,process/system,multi_label_presence,3,0.008595988538681949
project_vendor,bpf-developer-tutorial,claude,search/text,multi_label_presence,269,0.7707736389684814
project_vendor,bpf-developer-tutorial,claude,test,multi_label_presence,1,0.0028653295128939827
project_vendor,bpf-developer-tutorial,codex,build/check,multi_label_presence,23,0.045454545454545456
project_vendor,bpf-developer-tutorial,codex,data/analysis/runtime,multi_label_presence,9,0.017786561264822136
project_vendor,bpf-developer-tutorial,codex,filesystem/navigation,multi_label_presence,22,0.043478260869565216
project_vendor,bpf-developer-tutorial,codex,git/repository,multi_label_presence,107,0.21146245059288538
project_vendor,bpf-developer-tutorial,codex,other,multi_label_presence,92,0.18181818181818182
project_vendor,bpf-developer-tutorial,codex,process/system,multi_label_presence,11,0.021739130434782608
project_vendor,bpf-developer-tutorial,codex,search/text,multi_label_presence,322,0.6363636363636364
project_vendor,bpf-developer-tutorial,codex,test,multi_label_presence,9,0.017786561264822136
project,eunomia.dev,ALL,build/check,multi_label_presence,249,0.030676358260441048
project,eunomia.dev,ALL,container/orchestration,multi_label_presence,14,0.0017247751632376493
project,eunomia.dev,ALL,data/analysis/runtime,multi_label_presence,422,0.051989651349020574
project,eunomia.dev,ALL,filesystem/navigation,multi_label_presence,770,0.09486263397807071
project,eunomia.dev,ALL,git/repository,multi_label_presence,2354,0.29000862387581616
project,eunomia.dev,ALL,lint/format,multi_label_presence,75,0.009239866945915979
project,eunomia.dev,ALL,network/remote,multi_label_presence,186,0.022914870025871628
project,eunomia.dev,ALL,other,multi_label_presence,1550,0.1909572502155969
project,eunomia.dev,ALL,package/dependency,multi_label_presence,29,0.0035727485524208453
project,eunomia.dev,ALL,process/system,multi_label_presence,286,0.035234692620426264
project,eunomia.dev,ALL,search/text,multi_label_presence,4605,0.5673278304792411
project,eunomia.dev,ALL,test,multi_label_presence,111,0.013675003079955648
project_vendor,eunomia.dev,claude,build/check,multi_label_presence,9,0.006907137375287797
project_vendor,eunomia.dev,claude,container/orchestration,multi_label_presence,9,0.006907137375287797
project_vendor,eunomia.dev,claude,data/analysis/runtime,multi_label_presence,46,0.035303146584804296
project_vendor,eunomia.dev,claude,filesystem/navigation,multi_label_presence,503,0.3860322333077513
project_vendor,eunomia.dev,claude,git/repository,multi_label_presence,497,0.3814274750575595
project_vendor,eunomia.dev,claude,lint/format,multi_label_presence,5,0.003837298541826554
project_vendor,eunomia.dev,claude,network/remote,multi_label_presence,54,0.04144282425172678
project_vendor,eunomia.dev,claude,other,multi_label_presence,75,0.05755947812739831
project_vendor,eunomia.dev,claude,package/dependency,multi_label_presence,10,0.007674597083653108
project_vendor,eunomia.dev,claude,process/system,multi_label_presence,50,0.03837298541826554
project_vendor,eunomia.dev,claude,search/text,multi_label_presence,828,0.6354566385264774
project_vendor,eunomia.dev,claude,test,multi_label_presence,10,0.007674597083653108
