stratum_type,project,vendor,analysis_scope,classification,reason,adjacent_pairs,share,all_adjacent_pairs
project_vendor,ActPlane,claude,same_prompt_source_stream,dependency_cue,edit_then_validation,58,0.003872863247863248,14976
project_vendor,ActPlane,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,29,0.001936431623931624,14976
project_vendor,ActPlane,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,1988,0.1327457264957265,14976
project_vendor,ActPlane,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,4631,0.3092280982905983,14976
project_vendor,ActPlane,claude,same_prompt_source_stream,observed_overlap,shared_exact_path,199,0.01328792735042735,14976
project_vendor,ActPlane,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,8071,0.5389289529914529,14976
project_vendor,ActPlane,codex,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,4351,0.09227408648442305,47153
project_vendor,ActPlane,codex,same_prompt_source_stream,dependency_cue,edit_then_validation,539,0.011430873963480585,47153
project_vendor,ActPlane,codex,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,176,0.0037325302737895786,47153
project_vendor,ActPlane,codex,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,5352,0.11350285241660128,47153
project_vendor,ActPlane,codex,same_prompt_source_stream,observed_overlap,shared_artifact_identity,3567,0.07564736071936037,47153
project_vendor,ActPlane,codex,same_prompt_source_stream,observed_overlap,shared_exact_path,103,0.0021843785125018555,47153
project_vendor,ActPlane,codex,same_prompt_source_stream,unknown,insufficient_observable_evidence,33065,0.7012279176298433,47153
project,academic-writing-skills,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,12,0.014760147601476014,813
project,academic-writing-skills,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,283,0.34809348093480935,813
project,academic-writing-skills,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,147,0.18081180811808117,813
project,academic-writing-skills,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,79,0.0971709717097171,813
project,academic-writing-skills,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,292,0.3591635916359164,813
project_vendor,academic-writing-skills,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,12,0.014760147601476014,813
project_vendor,academic-writing-skills,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,283,0.34809348093480935,813
project_vendor,academic-writing-skills,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,147,0.18081180811808117,813
project_vendor,academic-writing-skills,claude,same_prompt_source_stream,observed_overlap,shared_exact_path,79,0.0971709717097171,813
project_vendor,academic-writing-skills,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,292,0.3591635916359164,813
project,agentsight,ALL,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,6006,0.06363299253059279,94385
project,agentsight,ALL,same_prompt_source_stream,dependency_cue,edit_then_validation,850,0.009005668273560417,94385
project,agentsight,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,43,0.00045558086560364467,94385
project,agentsight,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,13798,0.1461884833395137,94385
project,agentsight,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,9814,0.10397838639614346,94385
project,agentsight,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,789,0.008359379138634318,94385
project,agentsight,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,63085,0.6683795094559517,94385
project_vendor,agentsight,claude,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,1,9.03179190751445e-05,11072
project_vendor,agentsight,claude,same_prompt_source_stream,dependency_cue,edit_then_validation,165,0.014902456647398844,11072
project_vendor,agentsight,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,16,0.001445086705202312,11072
project_vendor,agentsight,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,1457,0.13159320809248554,11072
project_vendor,agentsight,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,2088,0.18858381502890173,11072
project_vendor,agentsight,claude,same_prompt_source_stream,observed_overlap,shared_exact_path,194,0.017521676300578035,11072
project_vendor,agentsight,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,7151,0.6458634393063584,11072
project_vendor,agentsight,codex,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,6005,0.07209922197675535,83288
project_vendor,agentsight,codex,same_prompt_source_stream,dependency_cue,edit_then_validation,685,0.008224474113917971,83288
project_vendor,agentsight,codex,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,27,0.00032417635193545286,83288
project_vendor,agentsight,codex,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,12338,0.1481365863029488,83288
project_vendor,agentsight,codex,same_prompt_source_stream,observed_overlap,shared_artifact_identity,7726,0.09276246277975218,83288
project_vendor,agentsight,codex,same_prompt_source_stream,observed_overlap,shared_exact_path,595,0.007143886274133128,83288
project_vendor,agentsight,codex,same_prompt_source_stream,unknown,insufficient_observable_evidence,55912,0.6713091922005571,83288
project_vendor,agentsight,gemini,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,3,0.12,25
project_vendor,agentsight,gemini,same_prompt_source_stream,unknown,insufficient_observable_evidence,22,0.88,25
project,agentskill-observability-paper,ALL,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,1,0.0012239902080783353,817
project,agentskill-observability-paper,ALL,same_prompt_source_stream,dependency_cue,edit_then_validation,4,0.004895960832313341,817
project,agentskill-observability-paper,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,4,0.004895960832313341,817
project,agentskill-observability-paper,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,94,0.11505507955936352,817
project,agentskill-observability-paper,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,283,0.3463892288861689,817
project,agentskill-observability-paper,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,53,0.06487148102815178,817
project,agentskill-observability-paper,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,378,0.46266829865361075,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,1,0.0012239902080783353,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,dependency_cue,edit_then_validation,4,0.004895960832313341,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,4,0.004895960832313341,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,94,0.11505507955936352,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,283,0.3463892288861689,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,observed_overlap,shared_exact_path,53,0.06487148102815178,817
project_vendor,agentskill-observability-paper,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,378,0.46266829865361075,817
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,54,0.03571428571428571,1512
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,dependency_cue,edit_then_validation,11,0.007275132275132275,1512
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,6,0.003968253968253968,1512
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,503,0.3326719576719577,1512
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,178,0.11772486772486772,1512
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,4,0.0026455026455026454,1512
project,bpf-developer-tutorial,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,756,0.5,1512
project_vendor,bpf-developer-tutorial,claude,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,1,0.0010940919037199124,914
project_vendor,bpf-developer-tutorial,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,6,0.006564551422319475,914
project_vendor,bpf-developer-tutorial,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,378,0.4135667396061269,914
project_vendor,bpf-developer-tutorial,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,164,0.17943107221006566,914
project_vendor,bpf-developer-tutorial,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,365,0.3993435448577681,914
project_vendor,bpf-developer-tutorial,codex,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,53,0.09075342465753425,584
project_vendor,bpf-developer-tutorial,codex,same_prompt_source_stream,dependency_cue,edit_then_validation,11,0.018835616438356163,584
project_vendor,bpf-developer-tutorial,codex,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,115,0.1969178082191781,584
project_vendor,bpf-developer-tutorial,codex,same_prompt_source_stream,observed_overlap,shared_artifact_identity,14,0.023972602739726026,584
project_vendor,bpf-developer-tutorial,codex,same_prompt_source_stream,observed_overlap,shared_exact_path,4,0.00684931506849315,584
project_vendor,bpf-developer-tutorial,codex,same_prompt_source_stream,unknown,insufficient_observable_evidence,387,0.6626712328767124,584
project_vendor,bpf-developer-tutorial,gemini,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,10,0.7142857142857143,14
project_vendor,bpf-developer-tutorial,gemini,same_prompt_source_stream,unknown,insufficient_observable_evidence,4,0.2857142857142857,14
project,eunomia.dev,ALL,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,1141,0.08662313999392651,13172
project,eunomia.dev,ALL,same_prompt_source_stream,dependency_cue,edit_then_validation,22,0.0016702095353780747,13172
project,eunomia.dev,ALL,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,7,0.0005314303067112056,13172
project,eunomia.dev,ALL,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,1466,0.11129668994837534,13172
project,eunomia.dev,ALL,same_prompt_source_stream,observed_overlap,shared_artifact_identity,810,0.06149407834801093,13172
project,eunomia.dev,ALL,same_prompt_source_stream,observed_overlap,shared_exact_path,71,0.005390221682356514,13172
project,eunomia.dev,ALL,same_prompt_source_stream,unknown,insufficient_observable_evidence,9655,0.7329942301852415,13172
project_vendor,eunomia.dev,claude,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,5,0.0017035775127768314,2935
project_vendor,eunomia.dev,claude,same_prompt_source_stream,dependency_cue,edit_then_validation,2,0.0006814310051107325,2935
project_vendor,eunomia.dev,claude,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,1,0.00034071550255536625,2935
project_vendor,eunomia.dev,claude,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,361,0.12299829642248722,2935
project_vendor,eunomia.dev,claude,same_prompt_source_stream,observed_overlap,shared_artifact_identity,445,0.151618398637138,2935
project_vendor,eunomia.dev,claude,same_prompt_source_stream,observed_overlap,shared_exact_path,34,0.011584327086882453,2935
project_vendor,eunomia.dev,claude,same_prompt_source_stream,unknown,insufficient_observable_evidence,2087,0.7110732538330494,2935
project_vendor,eunomia.dev,codex,same_prompt_source_stream,dependency_cue,control_or_wait_handoff,1136,0.11097001074533555,10237
project_vendor,eunomia.dev,codex,same_prompt_source_stream,dependency_cue,edit_then_validation,20,0.001953697372277034,10237
project_vendor,eunomia.dev,codex,same_prompt_source_stream,dependency_cue,exact_retry_after_failure,6,0.0005861092116831103,10237
project_vendor,eunomia.dev,codex,same_prompt_source_stream,observed_disjoint,disjoint_observed_paths,1105,0.10794177981830615,10237
project_vendor,eunomia.dev,codex,same_prompt_source_stream,observed_overlap,shared_artifact_identity,365,0.035654977044055874,10237
project_vendor,eunomia.dev,codex,same_prompt_source_stream,observed_overlap,shared_exact_path,37,0.0036143401387125134,10237
project_vendor,eunomia.dev,codex,same_prompt_source_stream,unknown,insufficient_observable_evidence,7568,0.7392790856696297,10237
