contrast,scope,project,vendor,group,sessions,direction_claim_allowed,agent_actions_sum,agent_actions_median,agent_actions_q25,agent_actions_q75,mutations_sum,mutations_median,mutations_q25,mutations_q75,mutation_density_mean,mutation_density_median,mutation_density_q25,mutation_density_q75,nondelete_eligible_mutations,reuse_observed,reuse_competing_delete,reuse_competing_supersede,reuse_censored_end,reuse_missing,reuse_observed_pooled_rate,reuse_session_rate_median,validation_observed,validation_competing_supersede,validation_censored_end,validation_missing,validation_observed_pooled_rate,validation_session_rate_median
guidance_density_tertiles,project_vendor,agentsight,gemini,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,ActPlane,claude,low,21,True,760.0,20.0,15.0,28.0,4.0,0.0,0.0,0.0,0.3189308921792998,0.0,0.0,0.0,1,0,1,0,0,0,0.0,0.0,0,1,0,0,0.0,0.0
guidance_density_tertiles,project_vendor,ActPlane,claude,high,21,True,4496.0,149.0,46.0,360.0,1407.0,42.0,9.0,96.0,27.56406569099178,32.158590308370044,13.043478260869565,39.02439024390244,1406,1376,0,0,30,0,0.9786628733997155,1.0,116,1290,0,0,0.08250355618776671,0.057259127643720986
guidance_density_tertiles,project_vendor,ActPlane,codex,low,44,True,1246.0,29.5,10.75,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,ActPlane,codex,high,26,True,28464.0,217.0,90.0,555.75,171.0,0.0,0.0,3.0,0.5041549390563499,0.0,0.0,0.2580019298544353,38,15,0,0,23,0,0.39473684210526316,0.4074074074074074,38,0,0,0,1.0,1.0
guidance_density_tertiles,project_vendor,ActPlane,gemini,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,ActPlane,gemini,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,bpf-developer-tutorial,claude,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,bpf-developer-tutorial,claude,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,bpf-developer-tutorial,codex,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,bpf-developer-tutorial,codex,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,bpf-developer-tutorial,gemini,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,bpf-developer-tutorial,gemini,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,eunomia.dev,claude,low,15,True,268.0,16.0,10.5,21.5,23.0,0.0,0.0,2.0,6.537806637806637,0.0,0.0,11.011904761904763,23,22,0,0,1,0,0.9565217391304348,1.0,6,17,0,0,0.2608695652173913,0.5
guidance_density_tertiles,project_vendor,eunomia.dev,claude,high,8,False,2995.0,309.5,175.5,465.25,529.0,23.5,0.0,89.25,15.746485415675107,8.869476121408898,0.0,18.429143080226428,514,491,1,0,22,0,0.9552529182879378,0.9841269841269841,64,450,0,0,0.1245136186770428,0.23636363636363636
guidance_density_tertiles,project_vendor,eunomia.dev,codex,low,13,True,630.0,35.0,29.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,eunomia.dev,codex,high,9,False,4226.0,185.0,42.0,1085.0,155.0,0.0,0.0,1.0,1.5157215562241628,0.0,0.0,1.0309278350515463,137,124,2,0,11,0,0.9051094890510949,0.9111111111111111,62,75,0,0,0.45255474452554745,0.5
guidance_density_tertiles,project_vendor,eunomia.dev,gemini,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,eunomia.dev,gemini,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,agentskill-observability-paper,claude,low,3,False,125.0,19.0,17.0,55.0,41.0,5.0,2.5,20.5,24.297924297924297,33.33333333333333,16.666666666666664,36.446886446886445,41,36,0,0,5,0,0.8780487804878049,0.9305555555555556,0,36,5,0,0.0,0.0
guidance_density_tertiles,project_vendor,agentskill-observability-paper,claude,high,3,False,491.0,30.0,19.0,241.5,110.0,7.0,4.0,54.5,19.449963208241353,22.516556291390728,17.508278145695364,22.92494481236203,110,99,0,0,11,0,0.9,1.0,8,98,4,0,0.07272727272727272,0.0
guidance_density_tertiles,project_vendor,agentskill-observability-paper,codex,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,agentskill-observability-paper,codex,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,agentskill-observability-paper,gemini,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,agentskill-observability-paper,gemini,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,academic-writing-skills,claude,low,11,True,153.0,9.0,3.5,22.5,18.0,0.0,0.0,2.0,7.73645546372819,0.0,0.0,9.722222222222223,18,16,0,0,2,0,0.8888888888888888,0.8571428571428571,7,11,0,0,0.3888888888888889,0.2857142857142857
guidance_density_tertiles,project_vendor,academic-writing-skills,claude,high,6,False,795.0,99.5,73.0,212.25,233.0,24.5,2.25,58.75,35.761008116886735,42.645582329317264,9.656954887218046,59.00661469407039,229,218,1,0,10,0,0.9519650655021834,0.9366918103448276,26,198,5,0,0.11353711790393013,0.07197273456295109
guidance_density_tertiles,project_vendor,academic-writing-skills,codex,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,academic-writing-skills,codex,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,academic-writing-skills,gemini,low,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
guidance_density_tertiles,project_vendor,academic-writing-skills,gemini,high,0,False,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,,
