task,dataset,query_family,policy,view,ranker,metric,direction,operations,positives,prevalence,groups,positive_groups,observed,null_mean,null_median,null_p05,null_p95,observed_minus_null_mean,observed_over_null_mean,empirical_p_value,beyond_95pct_null,reps
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,top5_lift,higher,729,504,0.6914,40,21,1.0359,1.0003,1.0011,0.9695,1.0327,0.0356,1.0356,0.0365,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,budget30_recall,higher,729,504,0.6914,40,21,0.3532,0.2989,0.2996,0.2798,0.3175,0.0543,1.1815,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,work_to_first_positive,lower,729,504,0.6914,40,21,0.2058,0.2058,0.2058,0.2058,0.2058,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,average_precision,higher,729,504,0.6914,29,17,0.8672,0.6923,0.6919,0.6679,0.7173,0.1749,1.2527,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,top5_precision,higher,729,504,0.6914,29,17,0.8,0.6909,0.6933,0.6333,0.7467,0.1091,1.158,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,top5_recall,higher,729,504,0.6914,29,17,0.2381,0.2056,0.2063,0.1885,0.2222,0.0325,1.158,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,top5_f1,higher,729,504,0.6914,29,17,0.367,0.3169,0.318,0.2905,0.3425,0.0501,1.158,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,top5_work,lower,729,504,0.6914,29,17,0.2058,0.2058,0.2058,0.2058,0.2058,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,top5_lift,higher,729,504,0.6914,29,17,1.1571,0.9993,1.0029,0.9161,1.08,0.1579,1.158,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,budget30_recall,higher,729,504,0.6914,29,17,0.3611,0.2987,0.2976,0.2817,0.3175,0.0624,1.2088,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,work_to_first_positive,lower,729,504,0.6914,29,17,0.0412,0.0412,0.0412,0.0412,0.0412,0.0,1.0,1.0,True,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,average_precision,higher,729,504,0.6914,4,4,0.7989,0.692,0.6919,0.6741,0.7104,0.1069,1.1545,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,top5_precision,higher,729,504,0.6914,4,4,0.6914,0.6914,0.6914,0.6914,0.6914,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,top5_recall,higher,729,504,0.6914,4,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,top5_f1,higher,729,504,0.6914,4,4,0.8175,0.8175,0.8175,0.8175,0.8175,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,top5_work,lower,729,504,0.6914,4,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,top5_lift,higher,729,504,0.6914,4,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,budget30_recall,higher,729,504,0.6914,4,4,0.3452,0.2621,0.2619,0.244,0.2798,0.0832,1.3174,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,work_to_first_positive,lower,729,504,0.6914,4,4,0.1824,0.1824,0.1824,0.1824,0.1824,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,average_precision,higher,729,504,0.6914,14,11,0.7512,0.6924,0.6921,0.6752,0.7105,0.0589,1.085,0.0005,True,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_precision,higher,729,504,0.6914,14,11,0.7105,0.6912,0.6974,0.6053,0.7632,0.0193,1.028,0.4073,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_recall,higher,729,504,0.6914,14,11,0.1071,0.1042,0.1052,0.0913,0.1151,0.0029,1.028,0.4073,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_f1,higher,729,504,0.6914,14,11,0.1862,0.1811,0.1828,0.1586,0.2,0.0051,1.028,0.4073,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_work,lower,729,504,0.6914,14,11,0.1043,0.1043,0.1043,0.1043,0.1043,0.0,1.0,1.0,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_lift,higher,729,504,0.6914,14,11,1.0277,0.9998,1.0087,0.8755,1.1039,0.028,1.028,0.4073,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,budget30_recall,higher,729,504,0.6914,14,11,0.2024,0.2318,0.2321,0.2143,0.25,-0.0294,0.8731,0.9965,False,2000
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,work_to_first_positive,lower,729,504,0.6914,14,11,0.037,0.037,0.037,0.037,0.037,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,average_precision,higher,729,202,0.2771,40,9,0.3979,0.2806,0.2795,0.2584,0.3064,0.1173,1.4178,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,top5_precision,higher,729,202,0.2771,40,9,0.217,0.2786,0.2736,0.217,0.3491,-0.0617,0.7787,0.9545,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,top5_recall,higher,729,202,0.2771,40,9,0.1139,0.1462,0.1436,0.1139,0.1832,-0.0324,0.7787,0.9545,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,top5_f1,higher,729,202,0.2771,40,9,0.1494,0.1918,0.1883,0.1494,0.2403,-0.0424,0.7787,0.9545,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,top5_work,lower,729,202,0.2771,40,9,0.1454,0.1454,0.1454,0.1454,0.1454,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,top5_lift,higher,729,202,0.2771,40,9,0.7831,1.0056,0.9873,0.7831,1.2597,-0.2225,0.7787,0.9545,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,budget30_recall,higher,729,202,0.2771,40,9,0.3812,0.2999,0.302,0.2574,0.3465,0.0813,1.271,0.005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,work_to_first_positive,lower,729,202,0.2771,40,9,0.0645,0.0645,0.0645,0.0645,0.0645,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,average_precision,higher,729,202,0.2771,40,9,0.3661,0.2781,0.2774,0.2566,0.3009,0.088,1.3164,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,top5_precision,higher,729,202,0.2771,40,9,0.2926,0.2767,0.2773,0.2555,0.2969,0.0158,1.0572,0.1174,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,top5_recall,higher,729,202,0.2771,40,9,0.6634,0.6275,0.6287,0.5792,0.6733,0.0359,1.0572,0.1174,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,top5_f1,higher,729,202,0.2771,40,9,0.4061,0.3841,0.3848,0.3545,0.4121,0.022,1.0572,0.1174,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,top5_work,lower,729,202,0.2771,40,9,0.6283,0.6283,0.6283,0.6283,0.6283,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,top5_lift,higher,729,202,0.2771,40,9,1.0559,0.9988,1.0007,0.9219,1.0716,0.0571,1.0572,0.1174,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,budget30_recall,higher,729,202,0.2771,40,9,0.3069,0.2985,0.297,0.2525,0.3465,0.0084,1.0283,0.4073,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,work_to_first_positive,lower,729,202,0.2771,40,9,0.2058,0.2058,0.2058,0.2058,0.2058,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,average_precision,higher,729,202,0.2771,29,2,0.4606,0.28,0.2787,0.2571,0.3065,0.1807,1.6454,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,top5_precision,higher,729,202,0.2771,29,2,0.0,0.2768,0.2746,0.2254,0.338,-0.2768,0.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,top5_recall,higher,729,202,0.2771,29,2,0.0,0.1946,0.1931,0.1584,0.2376,-0.1946,0.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,top5_f1,higher,729,202,0.2771,29,2,0.0,0.2285,0.2267,0.186,0.2791,-0.2285,0.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,top5_work,lower,729,202,0.2771,29,2,0.1948,0.1948,0.1948,0.1948,0.1948,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,top5_lift,higher,729,202,0.2771,29,2,0.0,0.999,0.9912,0.8133,1.2199,-0.999,0.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,budget30_recall,higher,729,202,0.2771,29,2,0.0,0.2999,0.302,0.2574,0.3465,-0.2999,0.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,work_to_first_positive,lower,729,202,0.2771,29,2,0.3471,0.0412,0.0412,0.0412,0.0412,0.3059,8.4333,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,average_precision,higher,729,202,0.2771,4,1,0.5166,0.2776,0.2772,0.2613,0.295,0.239,1.8608,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,top5_precision,higher,729,202,0.2771,4,1,0.2771,0.2771,0.2771,0.2771,0.2771,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,top5_recall,higher,729,202,0.2771,4,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,top5_f1,higher,729,202,0.2771,4,1,0.4339,0.4339,0.4339,0.4339,0.4339,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,top5_work,lower,729,202,0.2771,4,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,top5_lift,higher,729,202,0.2771,4,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,budget30_recall,higher,729,202,0.2771,4,1,0.0,0.2622,0.2624,0.2178,0.3069,-0.2622,0.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,work_to_first_positive,lower,729,202,0.2771,4,1,0.5364,0.5364,0.5364,0.5364,0.5364,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,average_precision,higher,729,202,0.2771,14,6,0.3273,0.2783,0.2778,0.2633,0.2959,0.049,1.1759,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_precision,higher,729,202,0.2771,14,6,0.44,0.2784,0.28,0.2343,0.3257,0.1616,1.5804,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_recall,higher,729,202,0.2771,14,6,0.3812,0.2412,0.2426,0.203,0.2822,0.14,1.5804,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_f1,higher,729,202,0.2771,14,6,0.4085,0.2585,0.2599,0.2175,0.3024,0.15,1.5804,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_work,lower,729,202,0.2771,14,6,0.2401,0.2401,0.2401,0.2401,0.2401,0.0,1.0,1.0,False,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_lift,higher,729,202,0.2771,14,6,1.5879,1.0047,1.0105,0.8455,1.1755,0.5832,1.5804,0.0005,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,budget30_recall,higher,729,202,0.2771,14,6,0.3812,0.2976,0.297,0.2525,0.3416,0.0836,1.281,0.0015,True,2000
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,work_to_first_positive,lower,729,202,0.2771,14,6,0.1495,0.1495,0.1495,0.1495,0.1495,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,average_precision,higher,4285,622,0.1452,142,31,0.4875,0.146,0.1457,0.1382,0.1548,0.3415,3.3395,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,top5_precision,higher,4285,622,0.1452,142,31,0.9056,0.1447,0.1444,0.1,0.1889,0.7608,6.2574,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,top5_recall,higher,4285,622,0.1452,142,31,0.2621,0.0419,0.0418,0.0289,0.0547,0.2202,6.2574,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,top5_f1,higher,4285,622,0.1452,142,31,0.4065,0.065,0.0648,0.0449,0.0848,0.3415,6.2574,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,top5_work,lower,4285,622,0.1452,142,31,0.042,0.042,0.042,0.042,0.042,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,top5_lift,higher,4285,622,0.1452,142,31,6.2384,0.997,0.9951,0.6889,1.3013,5.2415,6.2574,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,budget30_recall,higher,4285,622,0.1452,142,31,0.8376,0.2998,0.3006,0.2717,0.328,0.5378,2.7936,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,work_to_first_positive,lower,4285,622,0.1452,142,31,0.0112,0.0112,0.0112,0.0112,0.0112,-0.0,0.9991,0.999,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,average_precision,higher,4285,622,0.1452,142,31,0.1003,0.1457,0.1455,0.1383,0.1539,-0.0454,0.6883,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,top5_precision,higher,4285,622,0.1452,142,31,0.0,0.1453,0.1455,0.1369,0.1541,-0.1453,0.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,top5_recall,higher,4285,622,0.1452,142,31,0.0,0.5187,0.5193,0.4887,0.5498,-0.5187,0.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,top5_f1,higher,4285,622,0.1452,142,31,0.0,0.2271,0.2273,0.2139,0.2407,-0.2271,0.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,top5_work,lower,4285,622,0.1452,142,31,0.5181,0.5181,0.5181,0.5181,0.5181,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,top5_lift,higher,4285,622,0.1452,142,31,0.0,1.0012,1.0023,0.9434,1.0613,-1.0012,0.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,budget30_recall,higher,4285,622,0.1452,142,31,0.1125,0.3005,0.3006,0.2717,0.3296,-0.188,0.3745,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,work_to_first_positive,lower,4285,622,0.1452,142,31,0.6366,0.1083,0.1083,0.1083,0.1083,0.5284,5.8793,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,average_precision,higher,4285,622,0.1452,250,88,0.5059,0.1462,0.146,0.138,0.1553,0.3597,3.4612,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,top5_precision,higher,4285,622,0.1452,250,88,0.5455,0.1462,0.1364,0.0758,0.2273,0.3992,3.7308,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,top5_recall,higher,4285,622,0.1452,250,88,0.0579,0.0155,0.0145,0.008,0.0241,0.0424,3.7308,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,top5_f1,higher,4285,622,0.1452,250,88,0.1047,0.0281,0.0262,0.0145,0.0436,0.0766,3.7308,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,top5_work,lower,4285,622,0.1452,250,88,0.0154,0.0154,0.0154,0.0154,0.0154,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,top5_lift,higher,4285,622,0.1452,250,88,3.7577,1.0072,0.9394,0.5219,1.5657,2.7505,3.7308,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,budget30_recall,higher,4285,622,0.1452,250,88,0.865,0.2991,0.299,0.2717,0.3264,0.5658,2.8917,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,work_to_first_positive,lower,4285,622,0.1452,250,88,0.0037,0.004,0.0037,0.0037,0.0063,-0.0003,0.9289,0.9125,False,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,average_precision,higher,4285,622,0.1452,5,2,0.7598,0.1455,0.1453,0.1392,0.1522,0.6143,5.2224,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,top5_precision,higher,4285,622,0.1452,5,2,0.1452,0.1452,0.1452,0.1452,0.1452,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,top5_recall,higher,4285,622,0.1452,5,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,top5_f1,higher,4285,622,0.1452,5,2,0.2535,0.2535,0.2535,0.2535,0.2535,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,top5_work,lower,4285,622,0.1452,5,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,top5_lift,higher,4285,622,0.1452,5,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,budget30_recall,higher,4285,622,0.1452,5,2,1.0,0.1872,0.1865,0.164,0.2106,0.8128,5.3405,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,work_to_first_positive,lower,4285,622,0.1452,5,2,0.098,0.098,0.098,0.098,0.098,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,average_precision,higher,4285,622,0.1452,24,12,0.5988,0.1456,0.1453,0.1396,0.1524,0.4532,4.1138,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_precision,higher,4285,622,0.1452,24,12,0.3302,0.1448,0.1444,0.1266,0.1633,0.1853,2.2796,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_recall,higher,4285,622,0.1452,24,12,0.4486,0.1968,0.1961,0.172,0.2219,0.2518,2.2796,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_f1,higher,4285,622,0.1452,24,12,0.3804,0.1669,0.1663,0.1459,0.1881,0.2135,2.2796,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_work,lower,4285,622,0.1452,24,12,0.1972,0.1972,0.1972,0.1972,0.1972,0.0,1.0,1.0,False,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,top5_lift,higher,4285,622,0.1452,24,12,2.2746,0.9978,0.9946,0.8723,1.1251,1.2768,2.2796,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,budget30_recall,higher,4285,622,0.1452,24,12,0.5209,0.2999,0.299,0.2717,0.3281,0.221,1.7372,0.0005,True,2000
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,work_to_first_positive,lower,4285,622,0.1452,24,12,0.0285,0.0285,0.0285,0.0285,0.0285,0.0,1.0,1.0,False,2000
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,average_precision,higher,14718,874,0.0594,289,101,0.0886,0.0599,0.0598,0.0568,0.0633,0.0287,1.4784,0.0005,True,2000
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,top5_precision,higher,14718,874,0.0594,289,101,0.1429,0.0592,0.0476,0.0,0.1429,0.0837,2.4135,0.1259,False,2000
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,top5_recall,higher,14718,874,0.0594,289,101,0.0034,0.0014,0.0011,0.0,0.0034,0.002,2.4135,0.1259,False,2000
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,top5_f1,higher,14718,874,0.0594,289,101,0.0067,0.0028,0.0022,0.0,0.0067,0.0039,2.4135,0.1259,False,2000
