metric,metric_label,project,vendor,value,numerator,denominator,n_units,eligible,eligibility_reason,contrast_value,contrast_definition,decisive_coverage,recognized_test_session_coverage,decisive_test_status_coverage,independent_worktrees,source
same_prompt_repeat_read_share,Same-prompt repeated identity reads,academic-writing-skills,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/repeated_reads
shell_share,Shell tool share,agentsight,claude,0.5014770459081836,6281,12525,123,True,>=100 calls and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,agentsight,codex,0.7943998871039819,67551,85034,176,True,>=100 calls and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,agentsight,gemini,0.07407407407407407,2,27,2,False,27 calls/2 contributing sessions; need 100/10,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,ActPlane,claude,0.3238857396910081,5828,17994,62,True,>=100 calls and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,ActPlane,codex,0.7289196584031175,35166,48244,77,True,>=100 calls and >=10 denominator-contributing sessions,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,ActPlane,gemini,,0,0,0,False,0 calls/0 contributing sessions; need 100/10,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,bpf-developer-tutorial,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,bpf-developer-tutorial,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,bpf-developer-tutorial,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,eunomia.dev,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,eunomia.dev,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,eunomia.dev,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,agentskill-observability-paper,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,agentskill-observability-paper,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,agentskill-observability-paper,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,academic-writing-skills,claude,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,academic-writing-skills,codex,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_share,Shell tool share,academic-writing-skills,gemini,,,,0,False,not evaluated in preflight,,N/A,,,,,toolcall-behavior/tool_family_distribution
shell_shell_bigram_share,Shell→shell bigram share,agentsight,claude,0.3989342485549133,4417,11072,105,True,>=100 bigrams and >=10 denominator-contributing sessions,0.14042791899161344,observed shell→shell share minus origin×destination marginal expectation,,,,,toolcall-behavior/markov_transitions
shell_shell_bigram_share,Shell→shell bigram share,agentsight,codex,0.6827514167707233,56865,83288,81,True,>=100 bigrams and >=10 denominator-contributing sessions,0.054129295534734556,observed shell→shell share minus origin×destination marginal expectation,,,,,toolcall-behavior/markov_transitions
shell_shell_bigram_share,Shell→shell bigram share,agentsight,gemini,0.0,0,25,2,False,25 bigrams/2 contributing sessions; need 100/10,0.0,observed shell→shell share minus origin×destination marginal expectation,,,,,toolcall-behavior/markov_transitions
shell_shell_bigram_share,Shell→shell bigram share,ActPlane,claude,0.23717948717948717,3552,14976,60,True,>=100 bigrams and >=10 denominator-contributing sessions,0.13359595170649108,observed shell→shell share minus origin×destination marginal expectation,,,,,toolcall-behavior/markov_transitions
shell_shell_bigram_share,Shell→shell bigram share,ActPlane,codex,0.5871736686955231,27687,47153,70,True,>=100 bigrams and >=10 denominator-contributing sessions,0.0561820707525319,observed shell→shell share minus origin×destination marginal expectation,,,,,toolcall-behavior/markov_transitions
shell_shell_bigram_share,Shell→shell bigram share,ActPlane,gemini,,0,0,0,False,0 bigrams/0 contributing sessions; need 100/10,,observed shell→shell share minus origin×destination marginal expectation,,,,,toolcall-behavior/markov_transitions
