population,corpus_or_project,stratum_or_vendor,metric,value,n,eligible,direction_anchor,ci95_low,ci95_high
local,academic-writing-skills,gemini,module_return_call_share,,0,False,0.0,,
local,academic-writing-skills,gemini,path_reuse_share,,0,False,0.0,,
local,academic-writing-skills,gemini,repeat_path_read_share,,0,False,0.0,,
local,academic-writing-skills,gemini,shell_share,,0,False,0.5,,
local,academic-writing-skills,gemini,unit_top_path_share_median,,0,False,0.0,,
local,academic-writing-skills,gemini,late_path_reread_delta_median,,0,False,0.0,,
public,ideatrail,default/train,top10_unit_call_share,0.5294117647058824,2,False,0.0,0.5,0.5294117647058824
public,ideatrail,default/train,path_locality_excess,0.6460176991150443,113,True,0.0,0.6451612903225806,0.6470588235294118
public,ideatrail,default/train,module_return_call_share,0.1565217391304348,115,True,0.0,0.15384615384615385,0.15873015873015872
public,ideatrail,default/train,path_reuse_share,0.5217391304347826,115,True,0.0,0.46153846153846156,0.5714285714285714
public,ideatrail,default/train,repeat_path_read_share,0.43617021276595747,94,False,0.0,0.41304347826086957,0.4583333333333333
public,ideatrail,default/train,shell_share,0.0,187,True,0.5,0.0,0.0
public,ideatrail,default/train,unit_top_path_share_median,0.1846764346764347,2,False,0.0,0.11538461538461539,0.25396825396825395
public,ideatrail,default/train,late_path_reread_delta_median,0.3248803827751196,2,False,0.0,0.2681818181818182,0.381578947368421
public,openswe,openhands/minimax_m25,top10_unit_call_share,0.5461538461538461,2,False,0.0,0.5,0.5461538461538461
public,openswe,openhands/minimax_m25,path_locality_excess,0.6379310344827587,116,True,0.0,0.46875,0.8461538461538461
public,openswe,openhands/minimax_m25,module_return_call_share,0.2796610169491525,118,True,0.0,0.11320754716981132,0.4153846153846154
public,openswe,openhands/minimax_m25,path_reuse_share,0.675392670157068,191,True,0.0,0.5714285714285714,0.7265625
public,openswe,openhands/minimax_m25,repeat_path_read_share,0.6526946107784432,167,True,0.0,0.5423728813559322,0.7129629629629629
public,openswe,openhands/minimax_m25,shell_share,0.7538461538461538,130,True,0.5,0.7288135593220338,0.7746478873239436
public,openswe,openhands/minimax_m25,unit_top_path_share_median,0.1576140873015873,2,False,0.0,0.140625,0.1746031746031746
public,openswe,openhands/minimax_m25,late_path_reread_delta_median,0.4272273425499232,2,False,0.0,0.4166666666666667,0.43778801843317966
public,openswe,openhands/qwen35_122b,top10_unit_call_share,0.5157232704402516,2,False,0.0,0.5,0.5157232704402516
public,openswe,openhands/qwen35_122b,path_locality_excess,0.3465346534653465,101,True,0.0,0.09523809523809523,0.5254237288135594
public,openswe,openhands/qwen35_122b,module_return_call_share,0.30097087378640774,103,True,0.0,0.25,0.37209302325581395
public,openswe,openhands/qwen35_122b,path_reuse_share,0.6462585034013606,147,True,0.0,0.4807692307692308,0.7368421052631579
public,openswe,openhands/qwen35_122b,repeat_path_read_share,0.5957446808510638,94,False,0.0,0.3076923076923077,0.7058823529411765
public,openswe,openhands/qwen35_122b,shell_share,0.5786163522012578,159,True,0.5,0.5121951219512195,0.6493506493506493
