task,dataset,query_family,view,ranker,uses_hidden_fields,operations,positives,sessions,positive_sessions,groups,top5_operation_work,top5_positive_operation_recall,top5_session_work,top5_positive_session_recall,top5_positive_session_f1,budget30_operation_work,budget30_positive_operation_recall,budget30_session_work,budget30_positive_session_recall,budget30_positive_session_f1,budget30_positive_session_lift,budget30_session_efficiency
satraj_unsafe,satraj-os-safety,safety,flat,oracle_upper_bound,True,4285,622,250,88,1,1.0,1.0,1.0,1.0,0.5207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satraj_unsafe,satraj-os-safety,safety,fixed_session,width,False,4285,622,250,88,250,0.035,0.0,0.02,0.0,0.0,0.2999,0.0,0.172,0.0,0.0,0.0,0.0
satraj_unsafe,satraj-os-safety,safety,fixed_session,visible_risk,False,4285,622,250,88,250,0.0341,0.0,0.02,0.0,0.0,0.2999,0.0193,0.2,0.0341,0.0435,0.1705,0.1705
satraj_unsafe,satraj-os-safety,safety,fixed_session,query_aware,False,4285,622,250,88,250,0.0154,0.0579,0.02,0.0455,0.086,0.2999,0.865,0.444,0.9318,0.8241,2.0987,2.0987
satraj_unsafe,satraj-os-safety,safety,fixed_session,oracle_upper_bound,True,4285,622,250,88,250,0.0243,0.1672,0.02,0.0568,0.1075,0.2999,1.0,0.48,1.0,0.8462,2.0833,2.0833
satraj_unsafe,satraj-os-safety,safety,dataset_native,width,False,4285,622,250,88,5,1.0,1.0,1.0,1.0,0.5207,0.2866,0.0,0.2,0.0,0.0,0.0,0.0
satraj_unsafe,satraj-os-safety,safety,dataset_native,visible_risk,False,4285,622,250,88,5,1.0,1.0,1.0,1.0,0.5207,0.2866,0.0,0.2,0.0,0.0,0.0,0.0
satraj_unsafe,satraj-os-safety,safety,dataset_native,query_aware,False,4285,622,250,88,5,1.0,1.0,1.0,1.0,0.5207,0.1874,1.0,0.4,1.0,0.9362,2.5,2.5
satraj_unsafe,satraj-os-safety,safety,dataset_native,oracle_upper_bound,True,4285,622,250,88,5,1.0,1.0,1.0,1.0,0.5207,0.1874,1.0,0.4,1.0,0.9362,2.5,2.5
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,width,False,4285,622,250,88,24,0.8607,0.7605,0.988,1.0,0.5254,0.2999,0.783,0.776,1.0,0.6241,1.2887,1.2887
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,visible_risk,False,4285,622,250,88,24,0.1529,0.0145,0.44,0.0568,0.0505,0.2994,0.4871,0.956,1.0,0.5382,1.046,1.046
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,query_aware,False,4285,622,250,88,24,0.1972,0.4486,0.744,1.0,0.6423,0.2999,0.5209,0.924,1.0,0.5517,1.0823,1.0823
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,oracle_upper_bound,True,4285,622,250,88,24,0.203,0.9325,0.392,0.9432,0.8925,0.2996,0.9807,0.796,1.0,0.6132,1.2563,1.2563
satraj_unsafe,satraj-os-safety,safety,operation_stack,width,False,4285,622,250,88,142,0.5181,0.0,0.48,0.0,0.0,0.2999,0.1125,0.448,0.2841,0.25,0.6341,0.6341
satraj_unsafe,satraj-os-safety,safety,operation_stack,visible_risk,False,4285,622,250,88,142,0.0793,0.0,0.168,0.0,0.0,0.2999,0.0804,0.508,0.1591,0.1302,0.3132,0.3132
satraj_unsafe,satraj-os-safety,safety,operation_stack,query_aware,False,4285,622,250,88,142,0.042,0.2621,0.116,0.2841,0.4274,0.2999,0.8376,0.764,1.0,0.6308,1.3089,1.3089
satraj_unsafe,satraj-os-safety,safety,operation_stack,oracle_upper_bound,True,4285,622,250,88,142,0.0789,0.5434,0.284,0.8068,0.8931,0.2999,1.0,0.808,1.0,0.6069,1.2376,1.2376
satraj_unsafe,satraj-os-safety,safety,label_drilldown,width,True,4285,622,250,88,108,0.5636,0.0,0.524,0.0,0.0,0.2999,0.1415,0.38,0.2614,0.2514,0.6878,0.6878
satraj_unsafe,satraj-os-safety,safety,label_drilldown,visible_risk,True,4285,622,250,88,108,0.0226,0.0,0.064,0.0,0.0,0.2999,0.0579,0.52,0.1364,0.1101,0.2622,0.2622
satraj_unsafe,satraj-os-safety,safety,label_drilldown,query_aware,True,4285,622,250,88,108,0.0411,0.2669,0.12,0.2955,0.4407,0.2999,0.8457,0.804,1.0,0.609,1.2438,1.2438
satraj_unsafe,satraj-os-safety,safety,label_drilldown,oracle_upper_bound,True,4285,622,250,88,108,0.081,0.5579,0.296,0.8409,0.9136,0.2999,1.0,0.896,1.0,0.5641,1.1161,1.1161
agentnet_incorrect_step,agentnet,step-quality,flat,width,False,14718,874,835,502,1,1.0,1.0,1.0,1.0,0.7509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_incorrect_step,agentnet,step-quality,flat,visible_risk,False,14718,874,835,502,1,1.0,1.0,1.0,1.0,0.7509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_incorrect_step,agentnet,step-quality,flat,query_aware,False,14718,874,835,502,1,1.0,1.0,1.0,1.0,0.7509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_incorrect_step,agentnet,step-quality,flat,oracle_upper_bound,True,14718,874,835,502,1,1.0,1.0,1.0,1.0,0.7509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session,width,False,14718,874,835,502,835,0.0154,0.016,0.006,0.008,0.0158,0.3,0.2929,0.1844,0.241,0.3689,1.3069,1.3069
agentnet_incorrect_step,agentnet,step-quality,fixed_session,visible_risk,False,14718,874,835,502,835,0.0056,0.0126,0.006,0.008,0.0158,0.2999,0.405,0.3018,0.3606,0.4801,1.1947,1.1947
agentnet_incorrect_step,agentnet,step-quality,fixed_session,query_aware,False,14718,874,835,502,835,0.0056,0.0126,0.006,0.008,0.0158,0.3,0.4062,0.3006,0.3606,0.4807,1.1995,1.1995
agentnet_incorrect_step,agentnet,step-quality,fixed_session,oracle_upper_bound,True,14718,874,835,502,835,0.0047,0.0252,0.006,0.01,0.0197,0.2999,0.6659,0.2898,0.4821,0.6505,1.6633,1.6633
agentnet_incorrect_step,agentnet,step-quality,dataset_native,width,False,14718,874,835,502,65,0.2915,0.2059,0.285,0.2092,0.2838,0.2999,0.2208,0.2946,0.2211,0.2968,0.7505,0.7505
agentnet_incorrect_step,agentnet,step-quality,dataset_native,visible_risk,False,14718,874,835,502,65,0.0289,0.0492,0.0551,0.0458,0.0839,0.2997,0.4119,0.3353,0.4143,0.532,1.2356,1.2356
agentnet_incorrect_step,agentnet,step-quality,dataset_native,query_aware,False,14718,874,835,502,65,0.0091,0.0023,0.0287,0.004,0.0076,0.2999,0.4199,0.3341,0.4163,0.5352,1.246,1.246
agentnet_incorrect_step,agentnet,step-quality,dataset_native,oracle_upper_bound,True,14718,874,835,502,65,0.1031,0.1957,0.1186,0.1853,0.3095,0.3,0.4542,0.2826,0.4303,0.5854,1.5224,1.5224
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,width,False,14718,874,835,502,25,0.8565,0.8661,0.9246,0.9064,0.7143,0.3,0.2437,0.9569,0.3127,0.2414,0.3268,0.3268
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,visible_risk,False,14718,874,835,502,25,0.0372,0.0343,0.2659,0.0498,0.0691,0.2922,0.2838,1.0,0.3466,0.2603,0.3466,0.3466
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,query_aware,False,14718,874,835,502,25,0.013,0.0114,0.0743,0.0159,0.0284,0.2922,0.2838,1.0,0.3466,0.2603,0.3466,0.3466
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,oracle_upper_bound,True,14718,874,835,502,25,0.771,0.9222,0.9988,0.9641,0.7246,0.2981,0.3021,0.9473,0.3705,0.2877,0.3911,0.3911
agentnet_incorrect_step,agentnet,step-quality,operation_stack,width,False,14718,874,835,502,289,0.2965,0.3284,0.3904,0.3446,0.4179,0.3,0.3307,0.3904,0.3486,0.4227,0.8929,0.8929
agentnet_incorrect_step,agentnet,step-quality,operation_stack,visible_risk,False,14718,874,835,502,289,0.0022,0.0046,0.0084,0.006,0.0118,0.3,0.4005,0.7856,0.4223,0.3661,0.5375,0.5375
agentnet_incorrect_step,agentnet,step-quality,operation_stack,query_aware,False,14718,874,835,502,289,0.0014,0.0034,0.0024,0.002,0.004,0.3,0.4382,0.3485,0.4044,0.512,1.1603,1.1603
agentnet_incorrect_step,agentnet,step-quality,operation_stack,oracle_upper_bound,True,14718,874,835,502,289,0.0063,0.0481,0.0479,0.0797,0.1476,0.3,0.5652,0.5329,0.6076,0.6441,1.14,1.14
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,width,True,14718,874,835,502,287,0.2829,0.0,0.4024,0.0,0.0,0.3,0.0,0.4323,0.0,0.0,0.0,0.0
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,visible_risk,True,14718,874,835,502,287,0.0032,0.0183,0.0359,0.0279,0.0526,0.3,0.4119,0.8072,0.4283,0.3656,0.5306,0.5306
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,query_aware,True,14718,874,835,502,287,0.0126,0.0149,0.0647,0.0239,0.0432,0.3,0.3604,0.3784,0.3566,0.4377,0.9422,0.9422
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,oracle_upper_bound,True,14718,874,835,502,287,0.0219,0.3684,0.2419,0.4024,0.5739,0.3,1.0,0.9174,1.0,0.7918,1.0901,1.0901
agentnet_redundant_step,agentnet,step-quality,flat,width,False,10067,733,549,438,1,1.0,1.0,1.0,1.0,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_redundant_step,agentnet,step-quality,flat,visible_risk,False,10067,733,549,438,1,1.0,1.0,1.0,1.0,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_redundant_step,agentnet,step-quality,flat,query_aware,False,10067,733,549,438,1,1.0,1.0,1.0,1.0,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_redundant_step,agentnet,step-quality,flat,oracle_upper_bound,True,10067,733,549,438,1,1.0,1.0,1.0,1.0,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agentnet_redundant_step,agentnet,step-quality,fixed_session,width,False,10067,733,549,438,549,0.0205,0.0205,0.0091,0.0114,0.0226,0.3,0.2742,0.1858,0.2169,0.3519,1.1674,1.1674
agentnet_redundant_step,agentnet,step-quality,fixed_session,visible_risk,False,10067,733,549,438,549,0.0081,0.015,0.0091,0.0091,0.0181,0.3,0.3302,0.3352,0.3082,0.4341,0.9196,0.9196
agentnet_redundant_step,agentnet,step-quality,fixed_session,query_aware,False,10067,733,549,438,549,0.0086,0.0123,0.0091,0.0114,0.0226,0.3,0.3302,0.2568,0.2854,0.4318,1.1112,1.1112
agentnet_redundant_step,agentnet,step-quality,fixed_session,oracle_upper_bound,True,10067,733,549,438,549,0.0076,0.0259,0.0091,0.0114,0.0226,0.3,0.5525,0.3024,0.3767,0.5464,1.2459,1.2459
agentnet_redundant_step,agentnet,step-quality,dataset_native,width,False,10067,733,549,438,57,0.3456,0.3261,0.2823,0.3311,0.489,0.2998,0.2851,0.2568,0.2945,0.4456,1.1468,1.1468
agentnet_redundant_step,agentnet,step-quality,dataset_native,visible_risk,False,10067,733,549,438,57,0.0422,0.0409,0.0838,0.0502,0.0909,0.299,0.3342,0.388,0.3379,0.4547,0.8709,0.8709
agentnet_redundant_step,agentnet,step-quality,dataset_native,query_aware,False,10067,733,549,438,57,0.0364,0.0423,0.0546,0.0525,0.0983,0.2996,0.3302,0.3005,0.3265,0.4743,1.0863,1.0863
agentnet_redundant_step,agentnet,step-quality,dataset_native,oracle_upper_bound,True,10067,733,549,438,57,0.1759,0.2333,0.1858,0.2215,0.3593,0.3,0.3943,0.3242,0.3721,0.5292,1.1478,1.1478
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,width,False,10067,733,549,438,25,0.8188,0.869,0.8852,0.8973,0.8506,0.3,0.2442,0.9982,0.3265,0.2901,0.3271,0.3271
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,visible_risk,False,10067,733,549,438,25,0.0484,0.0368,0.3588,0.0525,0.0724,0.2983,0.2647,1.0,0.3447,0.306,0.3447,0.3447
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,query_aware,False,10067,733,549,438,25,0.0824,0.0859,0.3953,0.1027,0.1374,0.2965,0.2619,0.9599,0.3516,0.3192,0.3663,0.3663
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,oracle_upper_bound,True,10067,733,549,438,25,0.7237,0.8922,0.9982,0.9429,0.8377,0.299,0.292,0.8852,0.379,0.3593,0.4281,0.4281
agentnet_redundant_step,agentnet,step-quality,operation_stack,width,False,10067,733,549,438,260,0.3215,0.3588,0.388,0.3813,0.5131,0.3,0.3438,0.3461,0.3721,0.5191,1.0753,1.0753
agentnet_redundant_step,agentnet,step-quality,operation_stack,visible_risk,False,10067,733,549,438,260,0.0032,0.0055,0.0128,0.0068,0.0135,0.3,0.322,0.8415,0.3744,0.3644,0.4449,0.4449
agentnet_redundant_step,agentnet,step-quality,operation_stack,query_aware,False,10067,733,549,438,260,0.0089,0.0177,0.0146,0.0183,0.0359,0.3,0.3533,0.3206,0.3311,0.4723,1.0327,1.0327
agentnet_redundant_step,agentnet,step-quality,operation_stack,oracle_upper_bound,True,10067,733,549,438,260,0.0092,0.0573,0.0729,0.0913,0.1674,0.3,0.5157,0.5719,0.5502,0.641,0.962,0.962
agentnet_redundant_step,agentnet,step-quality,label_drilldown,width,True,10067,733,549,438,253,0.3048,0.0,0.4098,0.0,0.0,0.3,0.0,0.4153,0.0,0.0,0.0,0.0
agentnet_redundant_step,agentnet,step-quality,label_drilldown,visible_risk,True,10067,733,549,438,253,0.0032,0.0082,0.0291,0.0114,0.022,0.3,0.4284,0.8452,0.4475,0.4346,0.5295,0.5295
agentnet_redundant_step,agentnet,step-quality,label_drilldown,query_aware,True,10067,733,549,438,253,0.0062,0.075,0.051,0.0639,0.1202,0.3,0.3042,0.3206,0.2808,0.4007,0.876,0.876
agentnet_redundant_step,agentnet,step-quality,label_drilldown,oracle_upper_bound,True,10067,733,549,438,253,0.0296,0.4065,0.3333,0.4178,0.5894,0.3,1.0,0.8707,1.0,0.9563,1.1485,1.1485
osworld_group_start,osworld-human,human-boundary,flat,width,False,4011,764,320,244,1,1.0,1.0,1.0,1.0,0.8652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osworld_group_start,osworld-human,human-boundary,flat,visible_risk,False,4011,764,320,244,1,1.0,1.0,1.0,1.0,0.8652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osworld_group_start,osworld-human,human-boundary,flat,query_aware,False,4011,764,320,244,1,1.0,1.0,1.0,1.0,0.8652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osworld_group_start,osworld-human,human-boundary,flat,oracle_upper_bound,True,4011,764,320,244,1,1.0,1.0,1.0,1.0,0.8652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osworld_group_start,osworld-human,human-boundary,fixed_session,width,False,4011,764,320,244,320,0.2476,0.2421,0.0156,0.0205,0.0402,0.2999,0.2906,0.025,0.0287,0.0556,1.1475,1.1475
osworld_group_start,osworld-human,human-boundary,fixed_session,visible_risk,False,4011,764,320,244,320,0.0172,0.034,0.0156,0.0205,0.0402,0.2999,0.3246,0.0844,0.1107,0.1993,1.3115,1.3115
osworld_group_start,osworld-human,human-boundary,fixed_session,query_aware,False,4011,764,320,244,320,0.0172,0.034,0.0156,0.0205,0.0402,0.2999,0.3508,0.2031,0.2336,0.3689,1.1501,1.1501
osworld_group_start,osworld-human,human-boundary,fixed_session,oracle_upper_bound,True,4011,764,320,244,320,0.0035,0.0092,0.0156,0.0205,0.0402,0.2999,0.5013,0.2531,0.332,0.4985,1.3115,1.3115
osworld_group_start,osworld-human,human-boundary,dataset_native,width,False,4011,764,320,244,10,0.9023,0.8966,0.6969,0.7459,0.7794,0.2964,0.2683,0.4688,0.4836,0.599,1.0317,1.0317
osworld_group_start,osworld-human,human-boundary,dataset_native,visible_risk,False,4011,764,320,244,10,0.8023,0.8089,0.5344,0.5984,0.7036,0.2959,0.2618,0.5563,0.5451,0.6303,0.9799,0.9799
osworld_group_start,osworld-human,human-boundary,dataset_native,query_aware,False,4011,764,320,244,10,0.7078,0.733,0.4719,0.5,0.6177,0.2959,0.2618,0.5563,0.5451,0.6303,0.9799,0.9799
osworld_group_start,osworld-human,human-boundary,dataset_native,oracle_upper_bound,True,4011,764,320,244,10,0.8437,0.873,0.6062,0.6844,0.7626,0.2934,0.2971,0.5719,0.5656,0.6464,0.989,0.989
osworld_group_start,osworld-human,human-boundary,raw_action_stack,width,False,4011,764,320,244,27,0.8886,0.8639,0.9,0.918,0.8421,0.2999,0.4005,0.825,0.459,0.4409,0.5564,0.5564
osworld_group_start,osworld-human,human-boundary,raw_action_stack,visible_risk,False,4011,764,320,244,27,0.5218,0.4725,0.7375,0.4713,0.4792,0.2959,0.2775,0.6844,0.3689,0.3888,0.539,0.539
