audit_id,audit_type,dimension,raw_tag,canonical_tag,reason,confidence,profile_similarity,support,risk_reasons,raw_top_processes,raw_top_effects,raw_top_paths,raw_top_prompts,raw_top_sessions,audit_label,audit_notes
R190-0015,overmerge_proxy,llm,fix,debug,alias,0.96,0.0,128,dictionary_alias_needs_human_check;high_support_merge,,,,review=5433643; refactor=1079452; debug=921436; lint=164474; metrics=142534; test=123808,review=7835100; refactor=127439; confirmed=62550; research=2026; design=1775; analyze=571,,
R190-0016,overmerge_proxy,prompt,docsfix,docs,alias,0.96,0.0,118,dictionary_alias_needs_human_check;high_support_merge,python3=34; nl=24; set=16; tool/tool=14; git=12; sed=10,process=64; read=54,scripts=34; agentcgroup=26; none=14; experiments=10; yunwei37=6; swerebench=6,,docs=119,,
R190-0017,overmerge_proxy,prompt,cleanups,cleanup,lexical+profile,0.845,0.91,106,high_support_merge,tool/tool=40; du=38; docker=20; df=6; journalctl=2,process=106,none=64; home=12; var=10; /=6; yunwei37=6; opt=2,,cleanup=109; test=1,,
R190-0018,overmerge_proxy,llm,updateplan,plan,alias,0.96,0.0,101,dictionary_alias_needs_human_check;high_support_merge,,,,refactor=26563003956; review=5737524433; ignored=3389975493; debug=2293219104; analysis=565433140; design=526916114,refactor=35502864894; review=3272630577; design=2507414279; test=594180728; research=302883667; docs=136845743,,
R190-0019,overmerge_proxy,prompt,perfstrace,trace,lexical+profile,0.75,0.583,97,near_threshold_confidence,git=21; tmp_mktemp=14; opencode=10; agentsight=7; rg=7; claude=4,process=60; read=35; test=2,none=44; collector/target=10; ghcr.io=8; docs/fixtures=8; tmp=5; collector/src=5,,design=99,,
R190-0020,overmerge_proxy,prompt,docsanalyze,docs,alias,0.96,0.0,90,dictionary_alias_needs_human_check,tool/tool=36; python=28; sed=14; tool/plan=4; git=2; ls=2,process=66; read=22; write=2,none=46; experiments=26; scripts=10; swerebench=6; docs/plan_branchcontext_motivation_experiments.md=2,,docs=91,,
R190-0021,overmerge_proxy,session,docwrite,docs,alias,0.96,0.0,90,dictionary_alias_needs_human_check,rg=30; sed=30; opencode=14; tool/plan=2; cargo=2; file=2,read=64; process=24; test=2,collector/src=28; none=22; .opencode=20; bpf=12; trace=2; collector/adapters=2,docwrite=90,,,
R190-0022,overmerge_proxy,prompt,docrewrite,docs,alias,0.96,0.0,82,dictionary_alias_needs_human_check,rg=32; sed=32; git=14; python=3; tool/tool=1,read=78; process=4,docs/experiment-plans=26; docs/tmp=22; none=11; docs/research_plan.md=10; experiments=6; osdi-experiment-design=4,,design=73; docs=11,,
R190-0023,overmerge_proxy,prompt,testcase,test,alias,0.96,0.0,81,dictionary_alias_needs_human_check,git=24; cargo=16; tool/tool=14; bash=6; rg=5; sed=5,read=37; process=28; test=16,bpfopt=47; none=23; tmp=3; bpfopt-loader-katran-min-repeat1=3; head:bpfopt=3; bpfopt-loader-katran-min-repeat10000=2,,research=82,,
R190-0024,overmerge_proxy,llm,eval,evaluate,alias,0.96,0.0,80,dictionary_alias_needs_human_check,,,,commitlog=1004; validate=579; research=522; refactor=426; eval=383; diversify=342,research=2039; test=1200; design=867; analyze=168; refactor=59,,
R190-0025,overmerge_proxy,prompt,docsupdate,docs,alias,0.96,0.0,68,dictionary_alias_needs_human_check,rg=37; cat=8; sed=8; tool/plan=4; ls=4; git=2,read=61; process=7,docs/visexp=34; experiments=13; none=6; docs/plan_branchcontext_motivation_experiments.md=4; opt=2; agentcgroup=2,,docs=74; docsupdate=15,,
R190-0026,overmerge_proxy,prompt,docszh,docs,alias,0.96,0.0,68,dictionary_alias_needs_human_check,tool/tool=40; mkdir=14; python=8; tool/plan=3; for=1; git=1,process=57; write=9; read=2,none=44; experiments=6; scripts=4; swerebench=4; localhost=2; docker.io=1,,docs=69,,
R190-0027,overmerge_proxy,prompt,refactorrepo,refactor,lexical+profile,0.764,0.545,67,low_profile_similarity,tool/subagent=38; python3=11; git=5; sed=5; rg=3; tool/plan=2,process=50; read=16; write=1,docs/eval_runs=24; none=22; yunwei37=9; sections=6; docs/rq1-expressiveness=4; docs/eval.md=1,,refactor=68,,
R190-0028,overmerge_proxy,prompt,docsreview,docs,alias,0.96,0.0,66,dictionary_alias_needs_human_check,nl=20; rg=17; for=9; stat=9; git=5; gh=2,read=44; process=22,docs/visexp=45; agentsight-r113-live=12; none=6; tmp=3,,review=65; docs=3,,
R190-0029,overmerge_proxy,prompt,visdesign,design,lexical+profile,0.729,0.456,64,low_profile_similarity;near_threshold_confidence,sed=34; rg=10; nl=8; find=6; jq=4; git=2,read=64,docs/design=24; frontend/src=20; none=4; docs/sample-snapshot.json=4; cargo.toml=2; package.json=2,,visdesign=65,,
R190-0030,overmerge_proxy,llm,testcodex,test,lexical+profile,0.757,0.526,56,low_profile_similarity;near_threshold_confidence,,,,test=83254480; examples=657; compare=415; refactor=400; setup=342; testcodex=282,test=83258136; research=44,,
R190-0031,overmerge_proxy,llm,docsupdate,docs,alias,0.96,0.0,45,dictionary_alias_needs_human_check,,,,docsupdate=449494; fact=404; review=173; refactor=80; explain=50; design=46,docsupdate=449494; refactor=553; design=178; research=50; analyze=36; review=30,,
R190-0032,overmerge_proxy,prompt,testdocs,docs,alias,0.96,0.0,40,dictionary_alias_needs_human_check,tool/tool=28; task_swebench_example_date=6; swebench_example_20260304_233348=4; python3=2,process=40,none=34; experiments=2; scripts=2; swerebench=2,,docs=41,,
R190-0033,overmerge_proxy,llm,countlines,measure,alias,0.96,0.0,39,dictionary_alias_needs_human_check,,,,countlines=516200,countlines=516200,,
R190-0034,overmerge_proxy,prompt,mapresearch,research,lexical+profile,0.757,0.571,35,near_threshold_confidence,find=17; jq=5; rg=4; for=2; ls=2; python3=2,read=30; process=5,corpus=8; tmp=7; runner=4; balancer_ingres=2; balancer_ingress=2; result.json=2,,research=36,,
R190-0035,overmerge_proxy,llm,docupdate,docs,alias,0.96,0.0,34,dictionary_alias_needs_human_check,,,,build=149789; refactor=601; explain=137; design=87; review=81; branding=65,build=149789; refactor=439; design=351; research=254; review=137; branding=75,,
R190-0036,overmerge_proxy,llm,stats,measure,alias,0.96,0.0,34,dictionary_alias_needs_human_check,,,,refactor=131431; build=101703; design=627; trace=294; analyze=257; backup=165,refactor=131848; build=101703; uxdesign=627; backup=224; design=215; docs=164,,
R190-0037,overmerge_proxy,llm,updatedocs,docs,alias,0.96,0.0,32,dictionary_alias_needs_human_check,,,,summary=146715413; docsupdate=141921139; docsanalyze=111256268; docscheck=11885159; docs=2801264; refactor=85394,docs=414579243; review=84967; refactor=363; analyze=198; research=160; design=149,,
R190-0038,overmerge_proxy,llm,bench,benchmark,alias,0.96,0.0,26,dictionary_alias_needs_human_check,,,,refactor=593; analyze=191; test=118; research=63; eval=57; benchmark=57,refactor=718; analyze=204; design=91; test=66; research=63,,
R190-0039,overmerge_proxy,llm,restart,start,lexical+profile,0.754,0.518,25,low_profile_similarity;near_threshold_confidence,,,,test=48119; analyze=436; network=109; cleanup=93; refactor=52; research=47,debug=48119; analyze=436; review=185; cleanup=93; refactor=52; research=47,,
R190-0040,overmerge_proxy,prompt,updatedocs,docs,alias,0.96,0.0,25,dictionary_alias_needs_human_check,sed=12; python3=6; find=4; rg=2; ls=1,read=19; process=6,none=6; docs/eval_scripts=4; experiments=3; micro=3; docs/micro-bench-status.md=3; docs/corpus-rq1=2,,test=11; refactor=10; docs=7,,
R190-0041,overmerge_proxy,llm,docwrite,docs,alias,0.96,0.0,24,dictionary_alias_needs_human_check,,,,docwrite=1880355; analyze=63; refactor=31,docwrite=1880292; research=94; design=63,,
R190-0042,overmerge_proxy,prompt,docu,docs,alias,0.96,0.0,23,dictionary_alias_needs_human_check,git=8; find=6; rg=6; sed=2; for=1,read=22; process=1,llvm-backend=10; .c=2; vendor=2; none=2; .bpf.c=1; .cache=1,,refactor=24,,
R190-0043,overmerge_proxy,llm,doc,docs,alias,0.96,0.0,22,dictionary_alias_needs_human_check,,,,setup=89203; review=287; design=190; refactor=180; test=60; analyze=56,review=89220; design=447; refactor=225; analyze=96; research=58; branding=50,,
R190-0044,overmerge_proxy,prompt,benchfix,benchmark,alias,0.96,0.0,17,dictionary_alias_needs_human_check,find=9; sed=4; python3=3; ls=1,read=14; process=3,bpfix-bench=10; none=3; .c=1; .h=1; .rs=1; s_bpfix-bench=1,,research=18,,
R190-0045,overmerge_proxy,llm,docu,docs,alias,0.96,0.0,16,dictionary_alias_needs_human_check,,,,refactor=1705; unique=914; review=76; explain=74; analyze=69; docs=30,review=2398; refactor=263; analyze=99; research=74; design=61,,
R190-0046,overmerge_proxy,prompt,testlog,test,lexical+profile,0.733,0.486,13,low_profile_similarity;near_threshold_confidence,agentsight=4; git=3; lsof=3; cargo=1; ls=1; tool/tool=1,process=8; read=4; test=1,none=6; collector/target=5; collector/cargo.toml=1; origin=1,,test=14,,
R190-0047,overmerge_proxy,llm,jsonokno,verify,alias,0.96,0.0,10,dictionary_alias_needs_human_check,,,,jsonokno=185,jsonokno=185,,
R190-0048,overmerge_proxy,prompt,jsonokno,verify,alias,0.96,0.0,10,dictionary_alias_needs_human_check,python=6; python3=4,write=8; process=2,docs/visexp=8; none=2,,jsonokno=15,,
R190-0049,overmerge_proxy,prompt,rmarkdownfix,docs,alias,0.96,0.0,10,dictionary_alias_needs_human_check,sed=10,read=10,docs/visexp=10,,rmarkdown=15,,
R190-0050,overmerge_proxy,prompt,rootpidrefs,trace,alias,0.96,0.0,10,dictionary_alias_needs_human_check,rg=10,read=10,docs/visexp=10,,rootpidrefsc=15,,
R190-0051,overmerge_proxy,session,docsupdate,docs,alias,0.96,0.0,10,dictionary_alias_needs_human_check,rg=10,read=10,docs/visexp=10,docsupdate=10,,,
R190-0052,overmerge_proxy,session,jsonokno,verify,alias,0.96,0.0,10,dictionary_alias_needs_human_check,python=6; python3=4,write=8; process=2,docs/visexp=8; none=2,jsonokno=10,,,
R190-0053,overmerge_proxy,llm,fixwarn,debug,alias,0.96,0.0,9,dictionary_alias_needs_human_check,,,,refactor=203; review=137; maintain=38; analyze=37,design=243; refactor=97; review=38; analyze=37,,
R190-0054,overmerge_proxy,prompt,mergeconflic,merge,lexical+profile,0.741,0.589,8,near_threshold_confidence,git=8,read=6; repo=2,collector/vendor=4; none=4,,mergeconflic=9,,
R190-0055,overmerge_proxy,llm,metrics,measure,alias,0.96,0.0,6,dictionary_alias_needs_human_check,,,,metrics=117285; summary=116; tag=76; analyze=46; review=42; compare=42,review=117443; analyze=122; research=42,,
R190-0056,overmerge_proxy,llm,testcase,test,alias,0.96,0.0,6,dictionary_alias_needs_human_check,,,,review=237; research=84; test=78; refactor=71,research=470,,
R190-0057,overmerge_proxy,llm,testrun,test,lexical+profile,0.742,0.483,6,low_profile_similarity;near_threshold_confidence,,,,trace=79; research=75; validate=68; test=57; benchmark=42,research=253; test=68,,
R190-0058,overmerge_proxy,prompt,testdesign,design,lexical+profile,0.754,0.528,6,low_profile_similarity;near_threshold_confidence,git=2; rg=2; sed=2,read=6,docs/design=6,,design=11,,
R190-0059,overmerge_proxy,llm,docsdesign,design,lexical+profile,0.762,0.541,5,low_profile_similarity,,,,marketdoc=389; userscenariq=322; visdesign=56; docs=44,design=389; marketdoc=322; visdesign=56; uxdesign=44,,
R190-0060,overmerge_proxy,llm,paperagentfl,paper,alias,0.96,0.0,5,dictionary_alias_needs_human_check,,,,paperagentfl=175,paperagentfl=175,,
R190-0061,overmerge_proxy,llm,rootpidrefs,trace,alias,0.96,0.0,5,dictionary_alias_needs_human_check,,,,rootpidrefs=165,rootpidrefsc=165,,
R190-0062,overmerge_proxy,llm,statsoff,stats,lexical+profile,0.752,0.512,5,low_profile_similarity;near_threshold_confidence,,,,refactor=213; test=44,refactor=257,,
R190-0063,overmerge_proxy,llm,document,docs,alias,0.96,0.0,4,dictionary_alias_needs_human_check,,,,refactor=210; design=49,refactor=148; design=111,,
R190-0064,overmerge_proxy,llm,docrewrite,docs,alias,0.96,0.0,3,dictionary_alias_needs_human_check,,,,refactor=59; docs=58; review=47,refactor=117; design=47,,
R190-0065,overmerge_proxy,llm,fixes,debug,alias,0.96,0.0,3,dictionary_alias_needs_human_check,,,,refactor=463792; review=82,review=463792; design=49; uxdesign=33,,
R190-0066,overmerge_proxy,llm,gitcheck,check,lexical+profile,0.737,0.469,3,low_profile_similarity;near_threshold_confidence,,,,refactor=50; testignore=37; summary=22,refactor=50; test=37; review=22,,
R190-0067,overmerge_proxy,llm,logparse,parse,lexical+profile,0.73,0.449,3,low_profile_similarity;near_threshold_confidence,,,,design=69414; benchmark=40; refactor=33,design=69414; refactor=73,,
R190-0068,overmerge_proxy,llm,mergecheck,merge,lexical+profile,0.753,0.515,3,low_profile_similarity;near_threshold_confidence,,,,merge=67; trace=37,review=104,,
R190-0069,overmerge_proxy,llm,parselog,parse,lexical+profile,0.727,0.44,3,low_profile_similarity;near_threshold_confidence,,,,review=58; refactor=46; test=26,refactor=72; review=58,,
R190-0070,overmerge_proxy,llm,warnfix,debug,alias,0.96,0.0,3,dictionary_alias_needs_human_check,,,,debug=558; refactor=86; commitlog=50,refactor=644; research=50,,
R190-0071,overmerge_proxy,prompt,rqanalyze,analyze,alias,0.96,0.0,3,dictionary_alias_needs_human_check,python3=3,process=3,none=3,,docs=4,,
R190-0072,overmerge_proxy,llm,auditevents,audit,lexical+profile,0.734,0.461,2,low_profile_similarity;near_threshold_confidence,,,,trace=73; refactor=66,review=73; refactor=66,,
R190-0073,overmerge_proxy,llm,doccheck,check,lexical+profile,0.751,0.51,2,low_profile_similarity;near_threshold_confidence,,,,docs=41353; review=47,review=41353; design=47,,
R190-0074,overmerge_proxy,llm,docsfix,docs,alias,0.96,0.0,2,dictionary_alias_needs_human_check,,,,refactor=76; design=30,refactor=76; design=30,,
R190-0075,overmerge_proxy,llm,fixfmt,fix,lexical+profile,0.74,0.476,2,low_profile_similarity;near_threshold_confidence,,,,review=46; refactor=17,uxdesign=46; review=17,,
R190-0076,overmerge_proxy,llm,parsejson,parse,lexical+profile,0.748,0.499,2,low_profile_similarity;near_threshold_confidence,,,,review=60; test=29,review=60; refactor=29,,
R190-0077,overmerge_proxy,llm,staticcheck,check,lexical+profile,0.729,0.446,2,low_profile_similarity;near_threshold_confidence,,,,refactor=68; design=46,refactor=68; design=46,,
R190-0078,overmerge_proxy,llm,statscheck,stat,lexical+profile,0.76,0.535,2,low_profile_similarity,,,,refactor=44; review=42,refactor=44; design=42,,
R190-0079,overmerge_proxy,llm,statson,stats,lexical+profile,0.755,0.519,2,low_profile_similarity;near_threshold_confidence,,,,refactor=97,refactor=97,,
R190-0080,overmerge_proxy,prompt,smoketest,test,alias,0.96,0.0,2,dictionary_alias_needs_human_check,printf=2,process=2,none=2,,smoketest=3,,
R190-0081,undermerge_proxy,prompt,codex,codex,no_merge_noisy_supported_tag,0,0,402,noisy_tag_retained,git=126; nl=78; rg=50; rustfmt=48; sed=44; cargo=22,read=302; process=78; test=22,collector/src=202; agentsight=74; none=44; bpf=32; docs/plan_branchcontext_motivation_experiments.md=16; scripts=12,,docs=404,,
R190-0082,undermerge_proxy,prompt,codexcheck,codexcheck,no_merge_noisy_supported_tag,0,0,176,noisy_tag_retained,wc=54; rg=46; git=28; cargo=26; sed=18; nl=4,read=150; test=18; process=8,collector/src=78; src=38; none=34; .rs=14; collector/tests=8; docs/design=4,,uxdesign=177,,
R190-0083,undermerge_proxy,prompt,checkpoint,checkpoint,no_merge_noisy_supported_tag,0,0,126,noisy_tag_retained,rg=42; sed=22; git=18; nl=14; tool/tool=10; tool/plan=8,read=100; process=26,docs/experiment-plans=34; docs/research_plan.md=30; none=22; docs/tmp=18; plan=8; osdi-experiment-design=4,,design=127,,
R190-0084,undermerge_proxy,session,bpfanalyze,analyze,lexical+profile,0.653,0.244,126,review_suggestion_not_applied,find=48; tool/read=40; grep=32; wc=4; ls=2,read=86; process=40,bpf=42; collector/src=24; frontend/src=20; .rs=6; .tsx=6; .c=4,explore=126,,,
R190-0085,undermerge_proxy,prompt,codexinteg,codexinteg,no_merge_noisy_supported_tag,0,0,100,noisy_tag_retained,wc=36; rg=30; sed=26; cargo=6; nl=2,read=94; test=4; process=2,collector/src=80; collector/tests=8; none=6; .rs=6,,uxdesign=101,,
R190-0086,undermerge_proxy,prompt,costanalysis,costanalysis,no_merge_noisy_supported_tag,0,0,71,noisy_tag_retained,tool/subagent=38; python3=11; git=7; sed=6; rg=3; tool/plan=2,process=50; read=20; write=1,docs/eval_runs=26; none=21; docs/papers=9; yunwei37=9; docs/rq1-expressiveness=4; docs/eval.md=1,,refactor=72,,
R190-0087,undermerge_proxy,prompt,loganalyze,analyze,lexical+profile,0.699,0.378,61,review_suggestion_not_applied,rg=28; sed=14; perl=10; tool/plan=4; find=3; cargo=1,read=45; process=15; test=1,bpfopt=14; module=14; tests/unittest=12; runner=9; micro=4; none=2,,refactor=62,,
R190-0088,undermerge_proxy,llm,visdesign,design,lexical+profile,0.696,0.35,48,review_suggestion_not_applied,,,,docgen=27573635; visdesign=1102193,visdesign=28675828,,
R190-0089,undermerge_proxy,prompt,auditrewrite,auditrewrite,no_merge_noisy_supported_tag,0,0,42,noisy_tag_retained,rg=22; sed=10; git=6; tool/plan=2; find=2,read=40; process=2,docs/design=20; none=6; readme.md=6; readme.zh-cn.md=4; node_modules=2; script=2,,design=43,,
R190-0090,undermerge_proxy,prompt,syncsync,syncsync,no_merge_noisy_supported_tag,0,0,39,noisy_tag_retained,find=10; git=9; for=5; sed=5; tmp_mktemp=4; ls=2,read=26; process=13,skills=8; yunwei37=7; scripts=6; none=5; home=3; skill-creator=3,,analyze=40,,
R190-0091,undermerge_proxy,llm,tokenreport,report,lexical+profile,0.695,0.35,34,review_suggestion_not_applied,,,,improve=6500136; userscenariq=6067283; gothub=4156847; clarify=54729,uximprove=6554865; marketdoc=6067283; gotomarket=4156847,,
R190-0092,undermerge_proxy,llm,clauderesp,clauderesp,no_merge_noisy_supported_tag,0,0,32,noisy_tag_retained,,,,cli=1233654,cli=1233654,,
R190-0093,undermerge_proxy,prompt,agentsight,agentsight,no_merge_noisy_supported_tag,0,0,28,noisy_tag_retained,rg=10; sed=4; git=3; printf=2; cargo=2; curl=2,read=17; process=7; test=2; network=2,none=12; collector/src=9; frontend/src=3; .rs=1; .ts=1; .tsx=1,,review=27; agentsight=3,,
R190-0094,undermerge_proxy,prompt,dataupdate,dataupdate,no_merge_noisy_supported_tag,0,0,27,noisy_tag_retained,find=14; python3=6; for=2; ps=2; test=2; stat=1,read=14; process=8; write=5,corpus=7; micro=3; result.json=3; none=3; details=1; katran.json=1,,refactor=28,,
R190-0095,undermerge_proxy,llm,logcheck,check,lexical+profile,0.684,0.317,21,review_suggestion_not_applied,,,,analyze=277; benchmark=162; refactor=135; test=78; design=69; docs=47,refactor=609; analyze=188; test=47,,
R190-0096,undermerge_proxy,prompt,unittest,test,lexical+profile,0.707,0.411,19,review_suggestion_not_applied,tar=14; tool/plan=1; du=1; find=1; rg=1; sed=1,process=16; read=3,.cache=9; blobs=4; none=3; manifest.json=2; runner=1,,refactor=20,,
R190-0097,undermerge_proxy,prompt,testcodexcod,test,lexical+profile,0.706,0.408,18,review_suggestion_not_applied,llama-gguf=4; python=4; tool/tool=4; llama-cli=2; llama-server=2; ls=2,process=16; read=2,build=8; none=8; llama.cpp-latest=2,,test=19,,
R190-0098,undermerge_proxy,prompt,testignore,test,lexical+profile,0.688,0.357,18,review_suggestion_not_applied,git=12; rg=4; find=2,read=18,docs/corpus-rq1=12; docs/eval.md=2; docs/eval_scripts=2; docs/.gitignore=2,,test=19,,
R190-0099,undermerge_proxy,prompt,uxdesign,design,lexical+profile,0.717,0.42,12,review_suggestion_not_applied,sed=10; perf=2,read=10; process=2,frontend/src=10; none=2,,uxdesign=15,,
R190-0100,undermerge_proxy,llm,reviewbu,review,lexical+profile,0.643,0.201,10,review_suggestion_not_applied,,,,reviewbu=748,reviewbu=748,,
R190-0101,undermerge_proxy,llm,cleanbuild,build,lexical+profile,0.671,0.281,8,review_suggestion_not_applied,,,,refactor=159; research=106; cleanup=86; tag=34,analyze=120; research=106; design=63; refactor=54; test=42,,
R190-0102,undermerge_proxy,llm,updatedoc,update,lexical+profile,0.643,0.201,7,review_suggestion_not_applied,,,,research=156; refactor=95; analyze=64; maintain=52,research=156; refactor=95; analyze=64; review=52,,
R190-0103,undermerge_proxy,llm,verifyclaude,verify,lexical+profile,0.636,0.18,7,review_suggestion_not_applied,,,,verify=85634,verify=85634,,
R190-0104,undermerge_proxy,llm,formatcheck,format,lexical+profile,0.675,0.291,6,review_suggestion_not_applied,,,,research=68; userscenariq=53; refactor=52; design=50; commitlog=16,research=84; marketdoc=53; refactor=52; analyze=50,,
R190-0105,undermerge_proxy,prompt,builddocscod,build,lexical+profile,0.673,0.382,6,review_suggestion_not_applied,git=2; ls=2; sed=2,read=6,readme.md=6,,review=7,,
R190-0106,undermerge_proxy,prompt,designcodexs,design,lexical+profile,0.677,0.307,6,review_suggestion_not_applied,nl=6,read=6,collector/src=4; collector/tests=1; readme.md=1,,design=7,,
R190-0107,undermerge_proxy,llm,docsync,docs,lexical+profile,0.712,0.396,5,review_suggestion_not_applied,,,,review=63; research=54; design=45; analyze=33; designfix=29,design=92; analyze=78; research=54,,
R190-0108,undermerge_proxy,llm,fmtcheck,check,lexical+profile,0.667,0.27,5,review_suggestion_not_applied,,,,refactor=75; docx=68; design=18,design=72; uxdesign=68; research=21,,
R190-0109,undermerge_proxy,llm,synccheck,check,lexical+profile,0.633,0.171,5,review_suggestion_not_applied,,,,commitlog=72; review=30; research=20; refactor=15,research=107; review=30,,
R190-0110,undermerge_proxy,llm,testfilter,test,lexical+profile,0.72,0.42,5,review_suggestion_not_applied,,,,research=88; commitlog=40; refactor=21,research=149,,
R190-0111,undermerge_proxy,llm,checklist,check,lexical+profile,0.697,0.354,4,review_suggestion_not_applied,,,,refactor=59; analyze=57; design=49; review=19,design=68; review=59; analyze=57,,
R190-0112,undermerge_proxy,llm,proofbuild,build,lexical+profile,0.667,0.268,4,review_suggestion_not_applied,,,,refactor=141; benchmark=53,refactor=194,,
R190-0113,undermerge_proxy,llm,proofcheck,check,lexical+profile,0.719,0.416,4,review_suggestion_not_applied,,,,refactor=86; design=50; capture=43,refactor=92; research=87,,
R190-0114,undermerge_proxy,llm,reviewer,review,lexical+profile,0.668,0.271,4,review_suggestion_not_applied,,,,design=88; refactor=38; analyze=36,design=88; research=38; analyze=36,,
R190-0115,undermerge_proxy,llm,checkartefac,check,lexical+profile,0.716,0.407,3,review_suggestion_not_applied,,,,test=82; refactor=63,refactor=145,,
R190-0116,undermerge_proxy,llm,checkdb,check,lexical+profile,0.665,0.264,3,review_suggestion_not_applied,,,,review=60; feedback=50; report=47,review=110; report=47,,
R190-0117,undermerge_proxy,llm,checkdisk,check,lexical+profile,0.698,0.357,3,review_suggestion_not_applied,,,,refactor=48; design=42; diskcheck=19,design=67; refactor=42,,
R190-0118,undermerge_proxy,llm,checks,check,lexical+profile,0.642,0.198,3,review_suggestion_not_applied,,,,setup=42; trace=24; refactor=18,branding=60; review=24,,
