task,dataset,query_family,view,ranker,policy,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top1_positive,top1_positive_rate,top1_lift,top5_positive_groups,top5_group_precision,top5_recall,top5_precision,top5_f1,top5_lift,top5_work,work_to_first_positive,rank_to_first_positive,groups_to_50pct_recall,work_to_50pct_recall
satraj_unsafe,satraj-os-safety,safety,flat,width,flat:width,4285,622,0.145158,1,1,0.145158,1.0,True,0.145158,1.0,1,1.0,1.0,0.145158,0.253515,1.0,1.0,1.0,1,1,1.0
satraj_unsafe,satraj-os-safety,safety,fixed_session,query_aware,fixed_session:query_aware,4285,622,0.145158,250,88,0.505909,0.735449,True,1.0,6.889068,4,0.8,0.057878,0.545455,0.104651,3.757673,0.015403,0.003734,1,56,0.161494
satraj_unsafe,satraj-os-safety,safety,dataset_native,query_aware,dataset_native:query_aware,4285,622,0.145158,5,2,0.759822,1.0,True,0.745238,5.133996,2,0.4,1.0,0.145158,0.253515,1.0,1.0,0.098016,1,1,0.098016
satraj_unsafe,satraj-os-safety,safety,raw_action_stack,query_aware,raw_action_stack:query_aware,4285,622,0.145158,24,12,0.59876,0.681003,True,0.852459,5.872648,4,0.8,0.448553,0.330178,0.380368,2.274615,0.1972,0.028471,1,8,0.328588
satraj_unsafe,satraj-os-safety,safety,operation_stack,query_aware,operation_stack:query_aware,4285,622,0.145158,142,31,0.487455,0.652996,True,1.0,6.889068,4,0.8,0.262058,0.905556,0.406484,6.238433,0.042007,0.011202,1,38,0.228238
agentnet_incorrect_step,agentnet,step-quality,flat,width,flat:width,14718,874,0.059383,1,1,0.059383,1.0,True,0.059383,1.0,1,1.0,1.0,0.059383,0.112109,1.0,1.0,1.0,1,1,1.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session,query_aware,fixed_session:query_aware,14718,874,0.059383,835,502,0.079949,0.792923,False,0.0,0.0,4,0.8,0.012586,0.134146,0.023013,2.259,0.005571,0.001699,2,326,0.387553
agentnet_incorrect_step,agentnet,step-quality,dataset_native,query_aware,dataset_native:query_aware,14718,874,0.059383,65,54,0.079748,0.576594,True,0.024096,0.405779,1,0.2,0.002288,0.014925,0.003968,0.251341,0.009104,0.005639,1,34,0.420234
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack,query_aware,raw_action_stack:query_aware,14718,874,0.059383,25,12,0.066048,0.284051,False,0.0,0.0,2,0.4,0.011442,0.052083,0.018762,0.877074,0.013045,0.004077,2,21,0.93919
agentnet_incorrect_step,agentnet,step-quality,operation_stack,query_aware,operation_stack:query_aware,14718,874,0.059383,289,101,0.088587,0.359435,False,0.0,0.0,2,0.4,0.003432,0.142857,0.006704,2.405688,0.001427,0.000747,3,186,0.385718
agentnet_redundant_step,agentnet,step-quality,flat,width,flat:width,10067,733,0.072812,1,1,0.072812,1.0,True,0.072812,1.0,1,1.0,1.0,0.072812,0.135741,1.0,1.0,1.0,1,1,1.0
agentnet_redundant_step,agentnet,step-quality,fixed_session,query_aware,fixed_session:query_aware,10067,733,0.072812,549,438,0.078768,0.834064,True,0.076923,1.056459,5,1.0,0.012278,0.103448,0.021951,1.420756,0.008642,0.001291,1,272,0.475315
agentnet_redundant_step,agentnet,step-quality,dataset_native,query_aware,dataset_native:query_aware,10067,733,0.072812,57,46,0.077191,0.626081,True,0.0625,0.858373,4,0.8,0.042292,0.084699,0.056415,1.16326,0.036356,0.001589,1,21,0.510778
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,query_aware,raw_action_stack:query_aware,10067,733,0.072812,25,13,0.08171,0.340545,False,0.0,0.0,3,0.6,0.085948,0.075904,0.080614,1.042458,0.082448,0.037747,3,12,0.827754
agentnet_redundant_step,agentnet,step-quality,operation_stack,query_aware,operation_stack:query_aware,10067,733,0.072812,260,93,0.087488,0.405451,True,0.137255,1.885055,4,0.8,0.017735,0.144444,0.031592,1.983796,0.00894,0.005066,1,157,0.494288
osworld_group_start,osworld-human,human-boundary,flat,width,flat:width,4011,764,0.190476,1,1,0.190476,1.0,True,0.190476,1.0,1,1.0,1.0,0.190476,0.32,1.0,1.0,1.0,1,1,1.0
osworld_group_start,osworld-human,human-boundary,fixed_session,query_aware,fixed_session:query_aware,4011,764,0.190476,320,244,0.234508,0.524558,True,0.45,2.3625,5,1.0,0.034031,0.376812,0.062425,1.978261,0.017203,0.004986,1,107,0.489404
osworld_group_start,osworld-human,human-boundary,dataset_native,query_aware,dataset_native:query_aware,4011,764,0.190476,10,10,0.197737,0.677594,True,0.243243,1.277027,5,1.0,0.732984,0.197253,0.310852,1.035576,0.707804,0.018449,1,2,0.624283
osworld_group_start,osworld-human,human-boundary,raw_action_stack,query_aware,raw_action_stack:query_aware,4011,764,0.190476,27,15,0.221431,0.782078,True,0.303644,1.59413,4,0.8,0.472513,0.17248,0.252713,0.905518,0.521815,0.184742,1,7,0.861631
osworld_group_start,osworld-human,human-boundary,operation_stack,query_aware,operation_stack:query_aware,4011,764,0.190476,173,74,0.225432,0.795397,True,0.34981,1.836502,4,0.8,0.387435,0.181151,0.246872,0.95104,0.40738,0.131139,1,62,0.655448
